time	C3	C3_star	C8	C8_star	FL	FS	IKK	L	L_RF	L_RF_C8	L_RF_C8_FS	L_RF_FL	L_RF_FL_FL	L_RF_FL_FS	L_RF_FS	L_RF_FS_FS	NF_kB_IkB	NF_kB_IkB_P	NF_kB_star	RF	p43_FLIP	p43_FLIP_IKK_star	p43_p41
0.0.	1.443404	0.0	64.47652	0.0	7.398562	5.083923	5.772825	113.22	0.0	0.0	0.0	0.0	-6.018531076210112e-36	0.0	0.0	0.0	4.739546	0.0	0.0	91.26592	0.0	0.0	-4.591774807899562e-41
3.0.6.0	1.443403983092643	1.5706165701552578e-08	61.696265038728185	8.881705036224564e-06	1.304576797797333e-33	0.00061389448864	5.770583275179658	21.95408000000012	81.93382480796538	1.978192872291679	0.292829737894494	1.423233762709158	0.46548358372427706	4.788611724044302	0.0006377420473010001	0.000614950762633	4.734540278813129	0.000884353791347	0.004097092143028	-1.8571091627314842e-25	0.253507620977625	0.002176054741947	0.12673250027433902
7.0.2.0	1.443402861762218	9.83668259781029e-07	58.9044550741381	0.00029014952113200004	2.250546428059621e-35	7.843145614807978e-10	5.765499072045272	21.95408000000012	79.69319687407656	3.8396906299940783	0.29327780422569505	1.250652535069474	0.46548358372427706	4.788854525156365	0.000560550685927	0.00061505957385	4.707909639074815	0.002976553401039	0.028313617260400003	4.2299411139234915e-30	0.420761844370859	0.006909718964469001	0.505207769595708
10.0.8.0	1.443391743868344	9.84915751945615e-06	56.11160192324395	0.002010377206951	-1.28777509637753e-36	-2.771068253239203e-12	5.758150433048296	21.95408000000012	77.61357542019401	5.351112800783325	0.293342734064482	1.105788061514077	0.46548358372427706	4.788854525313563	0.0004956214768870001	0.0006150595739210001	4.647161955294973	0.0058509811082570005	0.08494941354574101	1.7335558595576412e-30	0.558277678772081	0.013451258820799	1.07169084058166
14.0.4.0	1.44334149346821	4.674172573978954e-05	53.359096620769826	0.007443942839142001	1.277413293628744e-34	7.410752527414327e-11	5.74894875560171	21.95408000000012	75.68475112582526	6.579151633639347	0.29339753074747305	0.9835299915292701	0.46548358372427706	4.7888545254240364	0.000440824606443	0.00061505957397	4.5446265530682215	0.009156097372835001	0.18118537241918	1.8365027584376943e-30	0.671334071199826	0.021266403931292	1.7671779681702162
18.0.	1.44319135496574	0.000148117363733	50.67528882448955	0.01965200882592	-1.2207873210391639e-36	-1.281226780911191e-11	5.738233727374711	21.95408000000012	73.89622584937204	7.578097208279001	0.293443979488038	0.879897757349374	0.46548358372427706	4.788854525418878	0.000394375957962	0.000615059573968	4.3971211622685225	0.012564884555515	0.319577795810485	7.105707691397058e-32	0.7642512771578831	0.029930916683589003	2.545236757635677
21.0.6.0	1.442842601031983	0.00036464218682300003	48.078222804410906	0.041997431191411	-8.72942540319799e-39	-1.6572090000808569e-12	5.7262859022193	21.95408000000012	72.23765378176464	8.391678387264761	0.29348353309130604	0.7916491434292711	0.46548358372427706	4.7888545254132335	0.00035482234918700003	0.000615059573965	4.205519585951424	0.015789547083284002	0.498577242540966	1.0485269897746542e-33	0.8405520659282181	0.039110032975088006	3.369990933794144
25.0.2.0	1.44215784223171	0.000755602407697	45.577993344911334	0.077698927021437	6.799059657176846e-40	5.159024156483638e-14	5.713337308744938	21.95408000000012	70.69912929462555	9.055027981943601	0.293517372786029	0.716148921603823	0.46548358372427706	4.788854525412448	0.00032098265354000004	0.000615059573965	3.974109387210979	0.018597190001209	0.7132421547738541	5.290532999559388e-37	0.9031036942800871	0.048541378610754006	4.214359340986918
28.0.8.0	1.440965050403701	0.00138205657319	43.17876233096029	0.129507834155297	-1.388727774760689e-41	6.5557650177502576e-15	5.699580253015427	21.95408000000012	69.2713610584379	9.596352957854334	0.29354645828290804	0.651255859755406	0.46548358372427706	4.788854525412442	0.000291897156711	0.000615059573965	3.7097707224409913	0.020821112470299	0.9561172108597131	-4.8529184954947215e-37	0.954239700399	0.058020937479807	5.058456704220422
32.0.4.0	1.439064827151343	0.0023003954202370004	40.88046441665414	0.199521747572576	-6.554061026721847e-43	-2.905313334371719e-16	5.685174543608226	21.95408000000012	67.94576285813936	10.038316356846341	0.29357157023978603	0.595228218899117	0.46548358372427706	4.788854525412446	0.000266785199839	0.000615059573965	3.42105766653186	0.022365041602532002	1.21819480578586	-1.6254465405183728e-38	0.9958616318480861	0.067391616553566	5.888130076714128
36.0.	1.436239494713569	0.003557230328164	38.68022031741956	0.28911426529087003	3.1482621423130707e-44	-2.7435624647466154e-19	5.67025338082203	21.95408000000012	66.71448458449747	10.399160493972355	0.293593345052431	0.546646127555885	0.46548358372427706	4.788854525412447	0.000245010387194	0.000615059573965	3.117280982141981	0.023199897881211	1.489860336851023	-3.032516382034332e-40	1.029522560405122	0.076533975080359	6.693641707202723
39.0.6.0	1.43226287824612	0.0051859167199030005	36.57347623380446	0.39894705985113404	7.974922261365126e-46	-5.631384007642323e-21	5.654928137319841	21.95408000000012	65.57040158489356	10.693608853786255	0.293612303094103	0.504348573623647	0.46548358372427706	4.788854525412447	0.00022605234552100002	0.000615059573965	2.807683337749444	0.023354334567754	1.7617305065926012	-2.205146583474079e-42	1.056494870835172	0.085358732775049	7.468519153976691
43.0.2.0	1.426909994813664	0.007204623658404001	34.55489241824406	0.5290305049566161	-5.02649263455893e-47	-1.924959620375642e-20	5.639292230995203	21.95408000000012	64.50707638519934	10.933584312834691	0.293628871459352	0.46738266043581106	0.46548358372427706	4.788854525412447	0.00020948398027200002	0.000615059573965	2.500773607590598	0.022901222301631	2.025319126108231	7.269281902396116e-44	1.077824877698371	0.093800727021436	8.20858828693724
