time	Ln_	NR	NRLc	NRLn	NRc	RE	REL
0.0.	0.0	83.5	0.0	0.0	83.5	3.7	0.0
0.0.3.0	0.0029791057413780003	83.0029815448948	0.405000271676677	0.244965493936763	82.96254774940937	2.9917235559063	0.708276444093702
0.0.6.0	0.004335887540901	82.89208578949655	0.411150494137882	0.35865702147475503	82.87928182330887	2.7288985710665363	0.9711014289334651
0.0.8999999999999999.0	0.004799681994636	82.85692287389402	0.41328354698649605	0.39746004564519305	82.85297595196676	2.6492767492678313	1.050723250732169
1.0.2.0	0.0049412138620610006	82.84633783095589	0.41393766267164606	0.409294952140467	82.84517034516738	2.625893698987266	1.074106301012732
1.0.5.0	0.004982889317572001	82.84323196518976	0.414130556998187	0.412779297668085	82.84289132822741	2.61908664530251	1.080913354697489
1.0.7999999999999998.0	0.004995031588909	82.84232796168232	0.41418678158035005	0.41379442450276505	82.84222898109758	2.617110013187775	1.082889986812223
2.0.1.0	0.0049985583646630005	82.84206546747559	0.41420311415313404	0.414089265722039	82.84203674063968	2.6165364552626897	1.083463544737308
2.0.4.0	0.004999581648279	82.84198930029825	0.414207853883357	0.414174825665437	82.84198096602042	2.6163700611888103	1.083629938811187
2.0.6999999999999997.0	0.004999878672966001	82.84196720364567	0.41420922897070606	0.414199647805615	82.84196478588602	2.6163217915144523	1.083678208485545
3.0.	0.0049999648053170006	82.84196079359072	0.41420962787408006	0.41420684854726003	82.84196009223757	2.6163077891903743	1.083692210809622
3.0.3.0	0.004999989790478001	82.84195893415976	0.41420974358843404	0.41420893734486103	82.84195873070682	2.616303727411585	1.083696272588411
3.0.5999999999999996.0	0.004999997038364	82.84195839476519	0.414209777155559	0.414209543275784	82.84195833574636	2.6163025491487097	1.083697450851286
3.0.9.0	0.0049999991408720005	82.84195823829452	0.41420978689290605	0.414209719047742	82.841958221174	2.616302207351579	1.083697792648418
4.0.2.0	0.004999999750779	82.84195819290461	0.41420978971757005	0.41420977003666504	82.84195818793819	2.6163021082011513	1.0836978917988471
4.0.5.0	0.004999999927704	82.84195817973765	0.41420979053696505	0.414209784827818	82.84195817829698	2.61630207943904	1.083697920560957
4.0.8.0	0.004999999979028001	82.84195817591812	0.414209790774659	0.414209789118518	82.8419581755002	2.616302071095566	1.083697928904431
5.0.1.0	0.0049999999939160005	82.84195817481012	0.41420979084361104	0.41420979036318906	82.84195817468888	2.616302068675245	1.083697931324753
5.0.3999999999999995.0	0.0049999999982350005	82.84195817448872	0.41420979086361304	0.414209790724249	82.84195817445355	2.616302067973144	1.083697932026853
5.0.7.0	0.004999999999488001	82.84195817439547	0.414209790869415	0.414209790828989	82.84195817438527	2.616302067769473	1.083697932230524
6.0.	0.004999999999848	82.84195817436864	0.41420979087108506	0.414209790859121	82.84195817436562	2.616302067710881	1.083697932289117
6.0.3.0	0.004999999999952	82.84195817436088	0.414209790871568	0.41420979086784304	82.84195817435995	2.616302067693921	1.083697932306077
6.0.6.0	0.004999999999985001	82.84195817435845	0.41420979087171805	0.41420979087055804	82.84195817435815	2.61630206768864	1.083697932311358
6.0.8999999999999995.0	0.004999999999995001	82.84195817435769	0.414209790871765	0.414209790871404	82.8419581743576	2.616302067686996	1.083697932313002
7.0.199999999999999.0	0.004999999999998	82.84195817435744	0.41420979087178006	0.41420979087166704	82.8419581743574	2.616302067686484	1.083697932313514
7.0.5.0	0.004999999999999	82.84195817435739	0.41420979087178406	0.41420979087174903	82.84195817435737	2.616302067686325	1.083697932313674
7.0.8.0	0.004999999999999	82.84195817435739	0.41420979087178605	0.414209790871775	82.84195817435737	2.6163020676862763	1.083697932313723
8.0.1.0	0.004999999999999	82.84195817435739	0.41420979087178605	0.41420979087178306	82.84195817435737	2.616302067686259	1.083697932313739
8.0.4.0	0.004999999999999	82.84195817435739	0.41420979087178605	0.41420979087178506	82.84195817435737	2.616302067686253	1.083697932313743
8.0.7.0	0.004999999999999	82.84195817435739	0.41420979087178605	0.41420979087178605	82.84195817435737	2.6163020676862523	1.083697932313745
9.0.	0.004999999999999	82.84195817435739	0.41420979087178605	0.41420979087178605	82.84195817435737	2.6163020676862523	1.0836979323137461
9.0.299999999999999.0	0.004999999999999	82.84195817435739	0.41420979087178605	0.41420979087178605	82.84195817435737	2.6163020676862523	1.0836979323137461
9.0.6.0	0.004999999999999	82.84195817435739	0.41420979087178605	0.41420979087178605	82.84195817435737	2.6163020676862523	1.0836979323137461
9.0.9.0	0.004999999999999	82.84195817435739	0.41420979087178605	0.41420979087178605	82.84195817435737	2.6163020676862523	1.0836979323137461
10.0.2.0	0.004999999999999	82.84195817435739	0.41420979087178605	0.41420979087178605	82.84195817435737	2.6163020676862523	1.0836979323137461
10.0.5.0	0.004999999999999	82.84195817435739	0.41420979087178605	0.41420979087178605	82.84195817435737	2.6163020676862523	1.0836979323137461
10.0.799999999999999.0	0.004999999999999	82.84195817435739	0.41420979087178605	0.41420979087178605	82.84195817435737	2.6163020676862523	1.0836979323137461
11.0.1.0	0.004999999999999	82.84195817435739	0.41420979087178605	0.41420979087178605	82.84195817435737	2.6163020676862523	1.0836979323137461
11.0.4.0	0.004999999999999	82.84195817435739	0.41420979087178605	0.41420979087178605	82.84195817435737	2.6163020676862523	1.0836979323137461
11.0.7.0	0.004999999999999	82.84195817435739	0.41420979087178605	0.41420979087178605	82.84195817435737	2.6163020676862523	1.0836979323137461
12.0.	0.004999999999999	82.84195817435739	0.41420979087178605	0.41420979087178605	82.84195817435737	2.6163020676862523	1.0836979323137461
