	Inh	Inh_T1	T1	T1_alpha	T2	T2_beta	T3	T3_Inh	alpha	alpha_T1	alpha_T1_alpha	alpha_T2	alpha_T2_beta	alpha_alpha_T1	alpha_beta_T2	beta	beta_Inh_T3	beta_T3	beta_T3_Inh
50	10.519648504858091	36.43901305164189	1.3982305482207196	0.13971141530149467	2.20304576586419	0.8495973643135918	0.1928790393180504	29.26880732175054	5.773296649945124	0.02709307887631455	0.07704199410669546	0.030211608230800338	0.14237199391850988	0.4189099118530683	0.6647732676729178	3.957277253771254	5.737577406371173	0.00107560259784087	3.2996606299620517
51	10.18878268844888	36.96963992102999	1.1880842855115024	0.0732244329261391	2.577554205572226	0.7333151395879344	0.17132115889515054	29.689999974636006	3.4471134976224103	0.013914428455436069	0.03940230674664729	0.021062428522849567	0.09701135904330385	0.2157346253304635	0.46105686727369594	3.373966078060165	5.496464121596429	0.0008810419158420803	3.141333702956219
52	9.229927209258287	37.239801573783396	1.088449374108771	0.03750213891425501	2.9485199612166006	0.5795360074154802	0.17845851017555764	30.576794768537077	1.910413870677506	0.0070211022067625285	0.01956114479935131	0.0133169963819683	0.059807229612834564	0.10766466618761852	0.2888198053731267	2.684791655150385	4.9369514072884	0.0007523499223688047	2.807042964076227
53	7.929146545427211	37.3283077809917	1.0833188951151802	0.01975255845111042	3.254468199305225	0.4254977970295245	0.20271179170462655	31.698852914853138	1.0223466205387404	0.0036627678651233336	0.009955177422024675	0.007839480769653307	0.03432843726627769	0.05500282015500994	0.1678660856293307	2.0441140806293228	4.212435573849632	0.0006475067605816822	2.3853522128316835
54	6.544948545127812	37.29613020442924	1.1556608453285173	0.01102535974613842	3.474632225630944	0.2983238038854225	0.24073141727938005	32.84987836120449	0.5463405267170839	0.0020322888857905916	0.005374508082514181	0.004452206451607419	0.01897232174441513	0.02977679352795707	0.09361944228762305	1.5223528111541864	3.457121419809675	0.0005573173777987173	1.951711484328356
55	5.253263021712443	37.18014971580292	1.29162236556865	0.0065895385378494965	3.6196172362503725	0.205638266972233	0.29176686172287203	33.89320288120076	0.29920156780729235	0.0012102220671560446	0.0031179580505695413	0.002524503674457671	0.010428228212597392	0.017310199972989635	0.05179176489035035	1.1260405474333102	2.7598212806816056	0.0004801143811334612	1.5547288620133002
56	4.140982807823862	37.00023984048191	1.481990767381948	0.004222882598107887	3.7110034217300316	0.14243166535202542	0.3558015678397816	34.76446974254208	0.17115946609430333	0.0007740979360371186	0.0019467942253938817	0.0014696624955479521	0.0058587310157987476	0.010825617376725386	0.029236519406605935	0.8339615963818725	2.1627168671993005	0.0004145991186273733	1.2165972232998843
57	3.2302057278708256	36.76705612660083	1.7209249047034907	0.0029018695210095164	3.7681633288211747	0.10028650022762256	0.4329321701461224	35.45042637777974	0.10372478738549937	0.000531732293676226	0.0013070704002291292	0.0008968495989478808	0.0034370112413139946	0.007278296480940082	0.017216310110948815	0.6204413829425047	1.674962988916886	0.0003589637292164612	0.9413194994277431
58	2.5075007505454816	36.48698380541155	2.004277221360268	0.002140622659528223	3.8044868433044825	0.0720419766069542	0.5231359523540181	35.965085774598535	0.06728066077890295	0.0003925993756006303	0.0009437716018944825	0.0005822055455179343	0.0021392065541155866	0.00526197959127052	0.010749767988935949	0.4640548307852715	1.2880490695665319	0.00031134629581458723	0.7234178571848425
59	1.9451327036229251	36.16472938044456	2.328429831947695	0.0016983743693054889	3.8281912227161246	0.05277359279458045	0.6261712600442491	36.33301663790567	0.047057445964398356	0.0003121097964907603	0.0007338274959741476	0.0004061271030050469	0.0014287722006873522	0.004096475946040693	0.0072002851856116	0.34893454328326917	0.9866401424248559	0.0002701992469343439	0.5539017603780212
60	1.512848170859756	35.80455503319263	2.6896696670444595	0.0014521825221453285	3.8440826829014094	0.039364493523621036	0.74153772681512	36.58030106567179	0.03566563467466865	0.0002676257130919935	0.0006154806662663799	0.0003064245842325989	0.0010319841220727637	0.0034400108614847285	0.005214414868675686	0.26376999831645564	0.7544773365849152	0.0002343970189176823	0.423449473909004
61	1.1831518654697977	35.41080505448517	3.083929115929271	0.0013401114533168278	3.8549518498704676	0.029884278635930364	0.8684738308433707	36.73059896364029	0.029378413566712093	0.0002478282948221923	0.0005576005472027185	0.0002510393531821691	0.0008099849638338284	0.003120289290229179	0.004102847176597814	0.2005465696068219	0.5769567131493244	0.00020319473683407338	0.3237672976299408
62	0.9330449470402915	34.98806979895452	3.5067414720659342	0.001335606131058411	3.862439533553113	0.023127918137959395	1.005980476576463	36.8039188306902	0.02633323214185915	0.00024795703059368696	0.0005460185473271982	0.00022371459762706217	0.0006925616695623772	0.003059147270606912	0.0035162720417513667	0.1535563520007951	0.44193305705406055	0.00017614359271676876	0.2479914920863003
63	0.7441340177929247	34.54117175300931	3.953304146554619	0.0014372575935069198	3.867520980095961	0.018331997432979495	1.1528596259323698	36.81660186835647	0.02568134875764605	0.00026793771938092033	0.0005778118825796269	0.00021689834790479792	0.0006455092015621396	0.003241093240629389	0.003284614921604703	0.11871278641594216	0.3397212605487846	0.00015302043770879675	0.19066422472440622
64	0.6021198819445848	34.07508228788754	4.418570105879533	0.0016681872376839914	3.870760772688462	0.015013755602293365	1.3077553159529185	36.78175018976916	0.027216224668669662	0.0003123211902375914	0.0006601126349979216	0.00022853723487267644	0.0006553474045530412	0.003706985170066742	0.003341587069831774	0.09309605359244193	0.26280325035778884	0.00013379930372369066	0.14755744461612363
65	0.4961425067800026	33.594841697544155	4.897300106007108	0.002084585227696286	3.872433560576441	0.012886459455742509	1.4691825545100452	36.70974855799758	0.031276170936660824	0.00039196405066228705	0.0008127081297262034	0.00026115815766551893	0.0007233550706118973	0.0045689390407101	0.0036954667395523917	0.07466259264520589	0.20547831012971068	0.00011868468150787211	0.11547189268089104
66	0.4181936584739194	33.105540120203834	5.384004626074009	0.002797608014041866	3.8725557590241366	0.011825307615659737	1.635526442110288	36.60873488486412	0.03886496364967061	0.0005282794401569058	0.001075688720379347	0.00032275530939241754	0.0008656970775112233	0.006053677547642478	0.004430480973313631	0.062079714612338764	0.16356264562051925	0.0001082374826530774	0.09206778992215178
