	y	z
0	15.0	5.0
1	13.113515758559824	4.01667995100933
2	12.075749734427092	3.307259815291892
3	11.540145723039322	2.777739631253604
4	11.328060248414456	2.3600904851496853
5	11.343504926747277	2.0116433394307918
6	11.532962208319312	1.7083977388870313
7	11.865268016043531	1.4385846021252842
8	12.320777875319516	1.197661243151687
9	12.88560314103714	0.9847043263624501
10	13.548359041257775	0.799797249716481
11	14.298615063768024	0.6425272195420058
12	15.126341568165827	0.5114175666059424
13	16.021886136309465	0.40401218249619314
14	16.976103896867077	0.31729888979244436
15	17.980557779316072	0.24808154031822477
16	19.027648620252677	0.1933069004003352
17	20.110638048923885	0.15024711472999705
18	21.223669118453248	0.11655834172337122
19	22.36170408389865	0.09029513430151481
20	23.520440370237353	0.06987588258934835
21	24.696246561308744	0.054030907387461594
22	25.886077689516696	0.04175407242571006
23	27.087390564676262	0.03225119895791593
24	28.29807702293577	0.024902203678921063
25	29.516393459905952	0.019222655567085058
26	30.740905750301806	0.014835746508957132
27	31.970438442565285	0.011447485342159575
28	33.20401413371749	0.008832836105000248
29	34.440868595744824	0.006814091183788848
30	35.68035319677067	0.0052564923969137065
31	36.921955895021455	0.004054476551044376
32	38.16525721773892	0.0031269188410180016
33	39.409919766476555	0.0024117750943480802
34	40.65567092720739	0.0018601027160221946
35	41.902292912419725	0.0014344184476638953
36	43.14960725234212	0.0011063664170086287
37	44.39747610694016	0.0008531954031746671
38	45.64578674049638	0.0006576939215305539
39	46.89444847255319	0.0005067708964953526
40	48.14338873941071	0.0003904686290543171
41	49.392550108686144	0.00030094390871474193
42	50.64188700571145	0.00023200153151488784
43	51.89136309012242	0.00017885527264849827
44	53.1409493869043	0.00013786575097564577
45	54.39062287611604	0.00010625963319219198
46	55.64036537432	8.191016643620368e-05
47	56.89016248799789	6.316228598012431e-05
48	58.14000268327854	4.871763698520338e-05
49	59.38987678985548	3.7574810621292364e-05
50	60.63977759634904	2.8974694945989878e-05
51	61.889699477632256	2.234110521165952e-05
52	63.139638013381	1.7228512878145032e-05
53	64.38958968983175	1.3288175471059096e-05
54	65.63955170354896	1.0249048786796808e-05
55	66.88952183807508	7.90375363433434e-06
56	68.13949836023671	6.0944062942373986e-06
57	69.38947991650926	4.699502983528506e-06
58	70.63946543956438	3.62425995020575e-06
59	71.88945408084581	2.7950030292542516e-06
60	73.13944516762835	2.155239418290363e-06
61	74.38943817280435	1.6618222410439492e-06
62	75.63943268611037	1.2814594656934743e-06
63	76.88942838590144	9.882402454695884e-07
64	78.13942501481333	7.619553158187125e-07
65	79.38942237176806	5.873381521881396e-07
66	80.6394203002938	4.527297490445592e-07
67	81.88941867797568	3.4902435592759045e-07
68	83.1394174083471	2.690991189884669e-07
69	84.38941641750316	2.076173332574987e-07
70	85.63941564335204	1.6020119020443256e-07
71	86.88941503770735	1.235639034434582e-07
72	88.13941456374108	9.526764585947438e-08
73	89.38941418699977	7.315544161134567e-08
74	90.63941389028419	5.6066557695729685e-08
75	91.88941365823587	4.292921878459957e-08
76	93.13941350503617	3.4071105522526543e-08
77	94.38941338187163	2.7040791371335823e-08
78	95.63941328287054	2.1461126080281842e-08
79	96.88941320330498	1.7032780741527735e-08
80	98.13941313936941	1.3518190167777183e-08
81	99.38941308800125	1.072880858665224e-08
82	100.63941304673635	8.514994974386406e-09
83	101.88941301359233	6.757985437866006e-09
84	103.13941298697479	5.363522009191599e-09
85	104.38941296560152	4.25679607224241e-09
86	105.6394129484416	3.378435162313349e-09
87	106.88941293466628	2.681317850529863e-09
88	108.13941292360938	2.1280458467224666e-09
89	109.38941291473557	1.6889377106086427e-09
90	110.6394129076147	1.3404365426873544e-09
91	111.88941290190117	1.063846234192384e-09
92	113.13941289731741	8.443284810708291e-10
93	114.38941289364041	6.70106755744108e-10
94	115.63941289069115	5.318345327788838e-10
95	116.88941288832585	4.220938761180499e-10
96	118.13941288634706	3.349954076534309e-10
97	119.38941288476107	2.658695735924365e-10
98	120.63941288349005	2.1100775118102383e-10
99	121.88941288247155	1.674665850439231e-10
100	123.13941288165546	1.329100758610219e-10
