	ADP	ATP	BPG	P3G	gap	glc	nadp	nadph	pep	pyr
0	0.0	10.0	0.0	3.0	0.0	10.0	0.0	0.2	5.0	0.4
1	0.00014157253162408074	9.99985842746837	0.004484232119290746	2.9611931809879484	0.03329447844358197	9.96599587324583	0.0003184601385971789	0.19968153986140277	4.9577941155311045	0.4422058844688986
2	0.00014249507733323053	9.99985750492266	0.004520510931352771	2.923101672756914	0.06794071337504046	9.927941133793754	0.00031895010549708955	0.19968104989450286	4.9157238596210995	0.48427614037890293
3	0.0001434375010772305	9.999856562498913	0.0045536894232268985	2.88512383524319	0.1002321388869477	9.889996794982562	0.00031927031615509074	0.19968072968384487	4.8737372507144485	0.5262627492855552
4	0.00014439092833336048	9.999855609071655	0.004582955382714102	2.8472573745692094	0.1303245547112059	9.852159919989031	0.00031959003711911504	0.19968040996288083	4.831834626311441	0.5681653736885628
5	0.0001453601998566702	9.999854639800132	0.004609341344470786	2.8095000165339234	0.15836167454652378	9.814429265221838	0.00031990734345441847	0.19968009265654552	4.790016371402553	0.6099836285974503
6	0.000146335997893509	9.999853664002096	0.004633044847804047	2.77184958531351	0.18447882746329491	9.776802902252886	0.00032027209158199164	0.19967972790841793	4.7482829490348095	0.6517170509651943
7	0.00014732760789544383	9.999852672392095	0.004654192967279294	2.734304391645132	0.20880157673464023	9.73927921789345	0.00032063328104968593	0.19967936671895023	4.706634983905214	0.6933650160947893
8	0.00014832891969232434	9.999851671080298	0.004672932643255302	2.6968629205909447	0.23144917096936102	9.701856860257513	0.00032100702332245334	0.19967899297667746	4.6650731525944815	0.7349268474055214
9	0.00014933865504829986	9.999850661344942	0.0046894425929456815	2.6595239754243676	0.2525296061411403	9.66453481510759	0.0003213970902867905	0.19967860290971312	4.623598270726423	0.7764017292735795
10	0.00015037383201976198	9.99984962616797	0.004703837528048514	2.6222864937964077	0.2721456516135502	9.627312101614447	0.00032177029000109777	0.1996782297099988	4.5822112256171925	0.8177887743828101
11	0.00015141590416529254	9.999848584095824	0.004716256180816614	2.5851496319715355	0.29039347178765307	9.590188048586674	0.0003221604343329579	0.19967783956566695	4.540912968717383	0.8590870312826197
12	0.0001524644069586311	9.999847535593032	0.004726815566427971	2.548112759310139	0.30736255245812355	9.553162131401006	0.00032255652445037835	0.19967744347554953	4.499704566238717	0.900295433761286
13	0.0001535285553260129	9.999846471444664	0.004735620951882426	2.511175437241124	0.3231362281115449	9.516234009147714	0.0003229509547190068	0.19967704904528089	4.458587184624763	0.94141281537524
14	0.00015460676350121354	9.99984539323649	0.00474277227266111	2.474337395872146	0.33779255551151766	9.479403514591331	0.0003233464465357312	0.19967665355346417	4.41756206260315	0.9824379373968521
15	0.0001556908296707411	9.999844309170319	0.004748362264044281	2.4375985423295625	0.3514042119788005	9.442670649203839	0.0003237446102428847	0.199676255389757	4.376630522382975	1.0233694776170281
16	0.0001567857824447514	9.999843214217545	0.004752473339752667	2.4009589648911667	0.3640385354748081	9.406035575851403	0.00032413762049386945	0.19967586237950602	4.335793995471634	1.0642060045283688
17	0.00015790127416989307	9.99984209872582	0.0047551811764104225	2.364418910981363	0.3757583471535795	9.369498616148329	0.00032452399056523987	0.19967547600943467	4.295054006779991	1.1049459932200114
18	0.00015902605098527537	9.999840973949004	0.004756557676724174	2.327978778284302	0.3866223754123028	9.333060245968197	0.00032491000717885563	0.19967508999282105	4.254412147808077	1.1455878521919247
19	0.0001601472766981253	9.99983985272329	0.004756668427805327	2.291639109697816	0.3966855405769772	9.296721068796932	0.0003252906713187729	0.19967470932868114	4.213870095902764	1.186129904097238
20	0.0001612854063865497	9.999838714593603	0.004755571186036017	2.2554005922095626	0.4059991156588773	9.260481820404902	0.00032565700931126067	0.19967434299068865	4.173429651812087	1.226570348187915
21	0.00016245701186858543	9.99983754298812	0.004753319642068741	2.2192640555150183	0.4146109070148928	9.22434339083519	0.0003260156781105249	0.19967398432188938	4.133092705258098	1.2669072947419036
22	0.00016362463806914883	9.99983637536192	0.004749965015710023	2.18323046913765	0.42256546460447203	9.18830680534806	0.00032637119470716337	0.19967362880529274	4.092861185507558	1.3071388144924436
23	0.0001647645085265772	9.999835235491462	0.004745552483542414	2.1473009388212994	0.42990431015112496	9.152373200651335	0.0003267093465018336	0.19967329065349806	4.052737129429055	1.3472628705709475
24	0.00016594348120036622	9.99983405651879	0.004740120446839155	2.1114767060178576	0.4366661459855499	9.116543853179168	0.0003270267144803116	0.19967297328551958	4.012722762760318	1.387277237239684
25	0.0001672035168030186	9.999832796483187	0.004733704932608653	2.075759147766794	0.4428870293805283	9.080820191851311	0.0003273391519176001	0.1996726608480823	3.9728203883548834	1.4271796116451188
26	0.00016838599271903342	9.99983161400727	0.004726342620593755	2.0401497707487604	0.44860054787052367	9.045203758486995	0.0003276451176491331	0.19967235488235074	3.933032206904015	1.466967793095987
27	0.00016939293108087568	9.999830607068908	0.004718063941249151	2.004650207668754	0.45383801944225155	9.009696178843727	0.00032790723373125945	0.19967209276626863	3.8933605775040254	1.5066394224959767
28	0.0001706862140686558	9.99982931378592	0.004708886895047099	1.9692622315712216	0.45862860992099774	8.974299260600604	0.00032814213434167577	0.19967185786565822	3.8538085360436516	1.5461914639563505
29	0.0001724065533736144	9.999827593446614	0.0046988322877464074	1.9339877665382001	0.4629994435215119	8.939015012343003	0.00032841351706257104	0.1996715864829373	3.8143789304458084	1.5856210695541937
