	Act_C_Cyt	Act_C_Nuc	Ca_Cyt	Ca_Nuc	Inact_C_Cyt	Inact_C_Nuc	NFAT_Act_C_Cyt	NFAT_Act_C_Nuc	NFAT_Cyt	NFAT_Nuc	NFAT_Pi_Act_C_Cyt	NFAT_Pi_Act_C_Nuc	NFAT_Pi_Cyt	NFAT_Pi_Nuc
0	9.1e-06	5.05e-05	1.0	1.0	0.0097108	0.049198	6.1e-06	0.0009477	0.0001101	0.0005219	2.2e-06	2.5e-06	0.0094397	0.0002272
1	0.004140338970075483	0.023058967893178347	0.970223293135434	0.9648256180983035	0.004660279190930541	0.025868002924659166	0.00028902797420234046	0.0017521501992867113	0.00010009788011717593	0.0003100392805998399	0.0004224060854268539	3.412546649643412e-05	0.008508807799398093	0.00016898071883953556
2	0.0037342359215996376	0.023110416546731558	0.9675290795097687	0.967281579727152	0.0042333619661494145	0.025565060149302335	0.0004237948989656097	0.003673279234738857	9.228977099671968e-05	0.00018045499863987593	0.00041837119248796714	3.630946386886795e-05	0.007641834645886267	0.00014648420768576694
3	0.003416710479278748	0.023010543155011595	0.966589521191298	0.9667136434090258	0.0038759441011310286	0.025481043115239514	0.0004029804007985533	0.0056574998324533075	8.619201983691552e-05	0.00012139412604557347	0.00035702738346239367	3.828313538039681e-05	0.0069266913490558055	0.00013186786011779733
4	0.0031555527110917166	0.022916237768418914	0.9659173276063578	0.9660327330134855	0.003579805993308824	0.025425646371780804	0.00035695328892692006	0.00736954605631506	8.096869046886333e-05	9.914551210667263e-05	0.0003032427338560097	4.020412549989011e-05	0.0063260219260080925	0.00012010071350401197
5	0.002937036318311618	0.022831805817462355	0.9653601817821831	0.965440769021283	0.0033317871675899798	0.02537664057394377	0.00031630938816232766	0.008809529605701758	7.637739596323321e-05	9.512201980774906e-05	0.00026087068666005603	4.188189815988519e-05	0.005813867821000648	0.00011021334809610776
6	0.0027520703515738396	0.022753458890977574	0.9648835310453973	0.9649319219326047	0.0031218031174231604	0.02532867113225829	0.000284088055896421	0.010030760210442372	7.231014622119171e-05	9.965251983342759e-05	0.00022748937160261821	4.33275436896631e-05	0.005371574082809503	0.00010175188880894063
7	0.002594020171250913	0.0226787048381683	0.9644691669269192	0.9644900487947696	0.0029423650091091997	0.02527973585486449	0.00025876279241170727	0.011080385884227486	6.8690554195578e-05	0.0001078388090094893	0.00020081324749897972	4.458343820133492e-05	0.004985390865988885	9.44126051493895e-05
8	0.0024578951926754566	0.02260617579410276	0.9641046027342854	0.9641022984579998	0.002787819993696394	0.025229099487798477	0.000238651793585763	0.011993775245744584	6.545560604222553e-05	0.00011726205498116082	0.0001791780672729719	4.568648381417862e-05	0.004644962870635771	8.797530574878851e-05
9	0.002339865656812681	0.022535132967166707	0.963780706959211	0.9637589087706961	0.0026538237385601428	0.025176603852797453	0.00022247706410687422	0.012797126068253993	6.255217545735326e-05	0.00012677243759051017	0.00016139583334623964	4.6664927975028016e-05	0.004342344524646714	8.227531181872883e-05
10	0.0022369430725556498	0.02246517437015128	0.9634905826414899	0.9634523665895693	0.0025369835067670923	0.025122348274988295	0.00020931257542427983	0.013510161947161824	5.993553547056049e-05	0.00013586071914933952	0.00014660654417528271	4.7540248317238234e-05	0.004071339013383969	7.718667108711851e-05
11	0.0021467611264757267	0.02239607823086762	0.9632288902080152	0.9631767922751924	0.00243461174638028	0.025066533668802047	0.00019848367370124098	0.014148033239031075	5.7568081812618185e-05	0.0001443346073374823	0.00013417623241749772	4.832904232403006e-05	0.00382704332889931	7.261121548932505e-05
12	0.002067421792084939	0.022327719893723424	0.9629914108265449	0.9629275146837782	0.0023445523250303197	0.025009388039256744	0.00018949135546684532	0.014722594223789055	5.541815822064892e-05	0.00015215342665397257	0.00012362947807837747	4.904437661428265e-05	0.003605528137521158	6.847117844529858e-05
13	0.0019973850101604332	0.022260027579269415	0.9627747544110375	0.96270077332702	0.0022650556372463284	0.024951132811989827	0.00018196070824916708	0.015243270360226052	5.345902889533493e-05	0.00015934465447625234	0.00011460420844043474	4.969671097562691e-05	0.003403608075932447	6.470408150640392e-05
