	ADP	AMP	ATP	NADH	Pyr
0	0.0	0.0	16.3	256.0	0.0
1	0.45367738268439595	3.56606620539813	12.280256411917442	255.74155774919365	0.02171594520202518
2	0.8727590229981889	5.857801182453028	9.569439794548758	254.73521473347932	0.04301735150377325
3	1.0437818692448682	7.45464640476334	7.801571725991768	253.28818574034517	0.05183078058600666
4	1.0796512569929895	8.641881917567424	6.578466825439559	251.69322335648147	0.05375939787086908
5	1.0568006743316545	9.565670403292692	5.6775289223756245	250.0919239191534	0.05268813494550309
6	1.0104646108889062	10.308072914091056	4.981462475020006	248.54365669435313	0.050413260977009856
7	0.9559182391713706	10.919216714999534	4.4248650458290655	247.0712446545805	0.04771341966756848
8	0.8998643253739176	11.431793584135315	3.9683420904907347	245.68162729372915	0.04493019445404467
9	0.8452860013629625	11.868203519769857	3.586510478867146	244.37471814660955	0.04221579140962849
10	0.7934759051239592	12.244390717617753	3.262133377258254	243.1473163429119	0.03963645935968762
11	0.7449232851386475	12.572054187189469	2.9830225276718485	241.99491946138477	0.03721761336672895
12	0.6997254502450304	12.85999471725018	2.7402798325047533	240.91259686008144	0.03496472917713064
13	0.6577888624496291	13.114972836629466	2.5272383009208674	239.8954172732608	0.03287354601512753
14	0.6189312404864362	13.342275432268826	2.338793327244704	238.93865468607746	0.030935246775903372
15	0.5829345666780732	13.546101436572705	2.1709639967491823	238.03788031755113	0.029139149750206757
16	0.5495727385619271	13.729831201689915	2.020596059748122	237.18899517362584	0.027474115739254925
17	0.5186257425356339	13.896218870551865	1.8851553869124702	236.38823168331015	0.02592927216351171
18	0.4898865314147274	14.047532459767748	1.7625810088174896	235.63213972021012	0.024494367113229814
19	0.46316392307804444	14.185657638578798	1.6511784383431278	234.91756533833635	0.02315992125037343
20	0.4382833412537801	14.312175802194698	1.5495408565514939	234.24162676843667	0.02191726977301138
21	0.4150864141232228	14.428423621971552	1.4564899639051976	233.60169012693422	0.02075854591469486
22	0.3934300017175378	14.535539036913457	1.371030961368977	232.9953461156766	0.019676634954814917
23	0.3731849735459335	14.634497177409663	1.2923178490443736	232.42038832858796	0.01866511508739463
24	0.35423491523810335	14.726138716968787	1.2196263677930792	231.87479340897647	0.017718194270981227
25	0.33647486113227226	14.811192460720752	1.1523326781469432	231.3567030960153	0.01683064803161258
26	0.3198101023952484	14.890293499949115	1.0898963976556062	230.86440808859552	0.015997760786019017
27	0.30415509309792343	14.96399792093993	1.0318469859621175	230.39633360073196	0.015215271869064406
28	0.28943246118258503	15.032794811580366	0.9777727272370261	229.95102645996135	0.014479326657872285
29	0.2755721227776534	15.097116130281183	0.9273117469411444	229.52714359580716	0.01378643274905646
30	0.2625104938627597	15.157344870570933	0.8801446355662875	229.1234417703395	0.01313342091445028
31	0.2501897911785887	15.213821856685824	0.8359883521355708	228.73876841309414	0.012517410449009682
32	0.23855741369982975	15.266851431566167	0.7945911547339868	228.37205343510144	0.01193577849140358
33	0.22756539590002983	15.316706243575194	0.7557283605247587	228.02230190883725	0.011386132890015872
34	0.21716992465498822	15.363631294629299	0.719198780715693	227.68858751418009	0.010866288215276305
35	0.20733091224488578	15.407847380083082	0.6848217076720117	227.37004666135653	0.010374244548314484
36	0.19801161870852754	15.44955402459102	0.652434356700428	227.06587321294373	0.009908168713886306
37	0.1891783174782014	15.488931998636335	0.621889683885438	226.77531373581343	0.009466377658387485
38	0.18079999902649677	15.526145483957116	0.5930545170163611	226.49766322305322	0.009047323712857266
39	0.17284810780067666	15.561343944181798	0.5658079480174963	226.23226123252	0.008649581507561442
40	0.16529630838589038	15.594663746519842	0.5400399450942369	225.9784883956971	0.008271836337422183
41	0.15812027734656295	15.626229572339868	0.5156501503135359	225.73576325625694	0.007912873802532222
42	0.15129751759953655	15.656155648336567	0.49254683406386235	225.50353940205315	0.007571570567965004
43	0.14480719263622358	15.684546824275097	0.4706459830886416	225.28130285944232	0.007246886109884843
44	0.13862997819939263	15.71149951942833	0.4498705023722394	225.0685697215858	0.006937855329273948
45	0.13274792938440555	15.737102555895028	0.4301495147205269	224.86488398681263	0.006643581932535991
46	0.1271443613697828	15.761437894347846	0.4114177442823302	224.6698155852671	0.00636323248993205
47	0.12180374218607329	15.784581285393847	0.39361497242004045	224.48295857452885	0.006096031092839656
48	0.1167115961579129	15.806602847663278	0.3766855561787686	224.30392948734863	0.0058412545420638085
49	0.11185441683232754	15.82756758202115	0.36057800114648153	224.13236581664472	0.005598228008218782
50	0.10721958831422104	15.847535830137081	0.3452445815486552	223.96792462409456	0.005366321110574997
51	0.1027953141197375	15.866563684209328	0.33064100167089205	223.81028126090104	0.005144944370177944
52	0.09857055270694667	15.88470335391369	0.31672609337932006	223.65912818969045	0.004933545995430213
53	0.09453495897809193	15.902003495728936	0.30346154529292624	223.51417389832883	0.004731608965077238
54	0.09067883112882855	15.918509509011862	0.29081165985926327	223.37514189726744	0.004538648377494688
55	0.08699306226773487	15.93426380281708	0.27874313491514113	223.24176979247028	0.004354209037621203
56	0.08346909635636102	15.949306036581438	0.26722486706215604	223.11380842795361	0.004177863259132423
57	0.08009888799163233	15.963673337823566	0.25622777418475473	222.9910210910405	0.00400920885808516
58	0.0768748656611216	15.977400499315582	0.24572463502324668	222.87318277517517	0.0038478673196308756
59	0.07378989812229514	15.990520157988938	0.2356899438887219	222.76007949530194	0.0036934821204324037
60	0.0708372636113685	16.0030629574643	0.22609977892428784	222.6515076515748	0.003545717192114322
61	0.06801062160491807	16.01505769598378	0.21693168241126112	222.54727343718682	0.0034042555119884747
