time	IKK	IkBaIKK	IkBaIKKNFkB	IkBaNFkB_cytoplasm	IkBaNFkB_nucleus	IkBa_cytoplasm	IkBa_mRNA	IkBa_nucleus	IkBbIKK	IkBbIKKNFkB	IkBbNFkB_cytoplasm	IkBbNFkB_nucleus	IkBb_cytoplasm	IkBb_mRNA	IkBb_nucleus	IkBeIKK	IkBeIKKNFkB	IkBeNFkB_cytoplasm	IkBeNFkB_nucleus	IkBe_cytoplasm	IkBe_mRNA	IkBe_nucleus	NFkB_cytoplasm	NFkB_nucleus
0.0.	0.001	0.0	0.0	0.06	-2.869859254937225e-42	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	1.972152263052529e-31	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
40.0.	0.00033621611899700005	2.347946015276056e-05	0.000463488394641	0.053818829759194005	0.00010726185371400001	0.009448892448649	0.006472583114481001	0.0004926871511420001	1.1196840377790309e-06	0.000126479994527	0.029354948424221	2.666847932477997e-05	0.001394139253592	0.001244255133653	6.313692780864556e-05	1.076777152323813e-06	4.8139570489722304e-05	0.009707320596429	1.895113419341023e-05	0.000991155468746	0.0008877550672690001	4.4876787029097704e-05	4.032805707601931e-05	0.006287583736186
80.0.	0.00032642460697800005	5.248775470213186e-05	0.000446717609942	0.053593058732381	0.00022773371496300003	0.018755615211758	0.011272221311410001	0.001012341456545	1.9821995277504923e-06	0.00012308022058	0.029351440122533	4.664050717387994e-05	0.0022501980714070002	0.0018796790370430002	0.000103733378271	1.9123494933446752e-06	4.739525877524717e-05	0.009839417289602	3.320063761287117e-05	0.0016019150612550002	0.001341119312946	7.384473768812764e-05	3.7071980602130615e-05	0.006254243925831001
120.0.	0.000316680211162	6.344040801695776e-05	0.00044840531032500005	0.055508817928888	0.00022246461447400002	0.022095320912201	0.012574974171678	0.0015421039226310002	2.3637625895230567e-06	0.00011980989139700001	0.029506822362173002	4.4051590767451725e-05	0.0026898693051730003	0.002204181245168	0.00015205836268400002	2.281945087573483e-06	4.7018471420322486e-05	0.010076006867964001	3.13707952903042e-05	0.0019156209693740002	0.0015726461693050002	0.00010828810640900001	3.462171566280226e-05	0.003960610451635
160.0.	0.000313692410688	6.361553511843306e-05	0.00045149956843	0.056406480925434	0.00018788049764	0.022090106102325	0.012411841587425	0.0018153398926180001	2.5589023883576143e-06	0.00011881174225200001	0.02958813110451	3.874573832514859e-05	0.0029151607709670003	0.0023699000519210004	0.000187114799881	2.471750455734534e-06	4.7350090665994595e-05	0.010253150287303002	2.7596970726399855e-05	0.0020763818192380003	0.0016908837449100002	0.00013327497669800002	3.388464637201953e-05	0.002846468428339
200.0.	0.000313623901005	6.217749844574617e-05	0.00045207939447100006	0.05647793263696001	0.00017499434702600002	0.021598161023314	0.012134561396591002	0.0018512279768220002	2.6701957478798358e-06	0.00011888543602000001	0.029627299073051002	3.795885704193004e-05	0.003029892852202	0.0024545303465090002	0.000201146939853	2.579990150148459e-06	4.7983584160169955e-05	0.010395343539520001	2.7038776465437893e-05	0.0021582668116410003	0.001751266033745	0.00014328110918200002	3.3805028118791074e-05	0.002606679327164
240.0.	0.000314084439904	6.12206000828257e-05	0.00045139352804000004	0.05630442027949101	0.000171895662441	0.021267367875308002	0.011967669857607001	0.001826907853325	2.7321545355124107e-06	0.00011922538018300002	0.029671238036678003	3.865496661388195e-05	0.003088280853376	0.002497749862014	0.000205732802255	2.6402271436821995e-06	4.870367010969902e-05	0.010536417007058001	2.7535931810234316e-05	0.0021999543211940003	0.0017821024296390002	0.000146554439545	3.382305760027559e-05	0.0025966924799710003
280.0.	0.000314508117964	6.0758093672628787e-05	0.00045024561514600005	0.056083860182086005	0.00017121799824100002	0.021099994510889	0.011886403604835002	0.0018061378244390001	2.7658523103451215e-06	0.00011960877743300001	0.029726684252198002	3.9284710778464154e-05	0.0031180617259810002	0.0025198214735210004	0.000207397321638	2.6730450143110823e-06	4.9440498458969746e-05	0.010681200034649	2.798537587153014e-05	0.002221232034195	0.0017978501524560002	0.000147744520093	3.381949194120554e-05	0.0026166530631940004
320.0.	0.000314839629703	6.057110564916458e-05	0.000448959678777	0.055864384652705004	0.000170990047386	0.021023668789352003	0.011849811750462002	0.0017955246051020001	2.7842748749703528e-06	0.000119986811615	0.029788858167178002	3.9629309587212985e-05	0.0031332862533520003	0.0025310931427150003	0.000208177773404	2.691065213523668e-06	5.0167434166325934e-05	0.010826327805982	2.823146896041645e-05	0.002232123838465	0.0018058922984540001	0.00014830364476800002	3.379060463886038e-05	0.002628674019001
360.0.	0.00031510979929600004	6.051075401151042e-05	0.000447659241942	0.05565488357151101	0.000170788037489	0.020989334037337	0.011833170739463002	0.0017912774271910002	2.794705867170005e-06	0.000120350805874	0.029853171603050004	3.9773792771141756e-05	0.0031410877065960003	0.0025368494294570002	0.00020864303559400003	2.701346320955359e-06	5.087334668763513e-05	0.010968633844691001	2.8334881469314336e-05	0.0022377186673480003	0.001809999312028	0.000148637603769	3.374839881248712e-05	0.0026317824757010003
