time	HIV-mRNA copies
days	per ml blood
0	1029000
0.10500000000000001	1087000
0.169	2158000
0.28200000000000003	1860000
0.492	2195000
0.757	1567000
1.029	3208000
1.253	2293000
1.533	1342000
1.75	1197000
2.0380000000000003	987100
3.013	697300
3.987	503800
4.968	282200
5.9719999999999995	172700
6.973	91618.242
