	T
0	120.0
1	120.54130622886815
2	121.0849688489163
3	121.63108315249332
4	122.17966023438882
5	122.73071139587495
6	123.28424785995017
7	123.84027973415365
8	124.39881782242342
9	124.95987425964448
10	125.52346079998527
11	126.08958914168248
12	126.65827081983797
13	127.22951736812932
14	127.80334034001567
15	128.37975134443042
16	128.958762046097
17	129.54038416728542
18	130.12462948511222
19	130.71150982698273
20	131.3010370708916
21	131.8932231596814
22	132.48808008650542
23	133.0856199012686
24	133.68585470572137
25	134.28879665413288
26	134.89445795531105
27	135.50285087364242
28	136.11398772919904
29	136.72788089765916
30	137.3445428104233
31	137.9639859548964
32	138.58622287479912
33	139.21126617044345
34	139.83912849898138
35	140.4698225746508
36	141.10336116901775
37	141.73975711124743
38	142.3790232883847
39	143.0211726456046
40	143.66621818646186
41	144.31417297315022
42	144.96505012677258
43	145.61886282761168
44	146.2756243153982
45	146.93534788957612
46	147.5980469095705
47	148.26373479505853
48	148.93242502624224
49	149.6041311441219
50	150.27886675076962
51	150.95664550960447
52	151.63748114566937
53	152.32138744590912
54	153.00837825944976
55	153.69846749787874
56	154.39166913552677
57	155.08799720975063
58	155.78746582121764
59	156.49008913419107
60	157.19588137681706
61	157.9048568414126
62	158.61702988475508
63	159.332414928373
64	160.0510264588379
65	160.77287902805782
66	161.497987253572
67	162.22636581884674
68	162.9580294735729
69	163.69299303396448
70	164.43127138305871
71	165.1728794710174
72	165.91783231542965
73	166.666145001616
74	167.41783268293392
75	168.17291058108466
76	168.93139398642148
77	169.6932982582592
78	170.4586388251854
79	171.22743118537272
80	171.99969090689274
81	172.77543362803115
82	173.55467505760458
83	174.33743097527864
84	175.12371723188738
85	175.9135497497544
86	176.70694452301515
87	177.50391761794089
88	178.30448517326403
89	179.10866340050495
90	179.91646858430022
91	180.7279170827324
92	181.54302532766133
93	182.36180982505684
94	183.18428715533295
95	184.0104739736837
96	184.8403870104204
97	185.67404307131042
98	186.5114590379175
99	187.3526518679435
100	188.19763859557204
