	AC_PKA_cyto_mem	AC_active_cyto_mem	AC_cyto_mem	AMP_cyto	ATP_cyto	BAR_G_cyto_mem	BAR_cyto_mem	B_Raf_active_cyto	B_Raf_cyto	GRK_bg_cyto	GRK_cyto	G_GDP_cyto	G_a_s_cyto	G_protein_cyto	MAPK_active_cyto	MAPK_cyto	MEK_active_cyto	MEK_cyto	PDE4_P_cyto	PDE4_cyto	PDE_high_km_cyto	PKA_cyto	PP2A_cyto	PP_PDE_cyto	PTP_PKA_cyto	PTP_PP_cyto	PTP_cyto	R2C2_cyto	bg_cyto	c2_R2C2_cyto	c3_R2C2_cyto	cAMP_cyto	c_R2C2_cyto	iso_BAR_G_cyto_mem	iso_BAR_cyto_mem	iso_BAR_p_cyto_mem	iso_extra
64	0.0	255.8561641643305	44.14383583566874	3175131.3150806706	2844704.0981774544	0.5886922444679806	0.011722599293455253	108.91234182143302	11.487658178567298	0.1690713771510203	0.43292862284897815	0.7942131294909214	6.97834360248174	2089.5282075053474	23.259167418614258	193.46083258138626	80.75639822562	27.603601774380408	161.21954840151452	79.5804515984856	301.0	9.422988392568053	60.2	120.4	13.966757868080288	60.2	106.43324213191991	77.1022960695403	58.774718187687604	0.02567963062005584	0.1457858566977291	92.70282141524322	33.70325005057426	93.0513224046003	0.33644840740705245	0.011814344231359731	5851.880746718759
65	0.0	255.8563256986959	44.14367430130332	3178165.0243498674	2841669.751985578	0.5886908925552916	0.011722572453022903	109.15267016668426	11.24732983331606	0.16907153161459365	0.4329284683854048	0.7942158628130163	6.978373327634152	2089.528185755928	23.336481775534246	193.38351822446626	80.81472078854192	27.545279211458467	162.62576432728443	78.17423567271575	301.0	9.633793733190858	60.2	120.4	14.277001561761145	60.2	106.12299843823905	76.6806687741316	58.77478279857163	0.02588006776192753	0.14924296150083677	92.2785861310821	33.910414463415144	93.0511086768708	0.3364476381433575	0.012030219977668725	5851.8807442370035
66	0.0	255.8564374803712	44.14356251962799	3181198.6991060902	2838635.4279054026	0.5886895406695071	0.011722545542273961	109.3834422463626	11.016557753637727	0.16907164072904515	0.43292835927095324	0.7942177756752999	6.97839387430304	2089.528183955275	23.41334023206845	193.30665976793205	80.87041986274433	27.489580137256073	163.9887720803552	76.811227919645	301.0	9.844921328558781	60.2	120.4	14.587085350430485	60.2	105.8129146495697	76.2642822372345	58.774827505323415	0.02607680102788799	0.152707637695654	91.87101467471243	34.11201199548353	93.05089495269091	0.336446865676405	0.012246095421035868	5851.88074175517
67	0.0	255.8565094944997	44.14349050549949	3184232.3395508504	2835601.1265031486	0.5886881888059174	0.01172251857533456	109.60521107241631	10.794788927584031	0.16907171359556325	0.43292828640443515	0.7942190327333614	6.9784070844903	2089.5281980998234	23.489789975726154	193.23021002427433	80.9236680792023	27.436331920798107	165.31030725943896	75.48969274056127	301.0	10.056363331254587	60.2	120.4	14.896992472327671	60.2	105.50300752767252	75.85298473616646	58.774856302527915	0.026269932396564947	0.15617952386747327	91.47921175609902	34.30820247631526	93.05068123145772	0.33644609064947545	0.012461970511702055	5851.880739273275
68	0.0	255.85654970989418	44.143450290105	3187265.945938584	2832566.848240824	0.5886868369607671	0.011722491563478408	109.81848795959863	10.58151204040169	0.1690717574775559	0.43292824252244255	0.7942197653960541	6.978414428259994	2089.528224994435	23.565873911131824	193.15412608886865	80.97462307281808	27.385376927182325	166.59202605991752	74.20797394008271	301.0	10.268111930160195	60.2	120.4	15.206706339199934	60.2	105.19329366080026	75.44663209650402	58.774872378157205	0.026459559031749305	0.1596582761337894	91.10234078019137	34.4991381381706	93.05046751268998	0.33644531357595564	0.012677845209956547	5851.880736791332
69	0.0	255.8565644998421	44.143435500157075	3190299.518557981	2829532.593498012	0.5886854851310509	0.011722464515722062	110.02374605114852	10.37625394885181	0.1690717781842205	0.432928221815778	0.7942200787638104	6.978417081372505	2089.5282620836683	23.641631158033803	193.07836884196666	81.02342919282921	27.336570807171206	167.83550831358863	72.96449168641158	301.0	10.480159342452167	60.2	120.4	15.516210519397005	60.2	104.8837894806032	75.04508716245815	58.774878281920394	0.026645773637570726	0.16314356766997848	90.73962022573535	34.68496415378248	93.05025379600288	0.336444534866445	0.012893719484039595	5851.880734309353
70	0.0	255.85655898299967	44.14344101699951	3193333.057718464	2826498.3625895143	0.5886841333143569	0.011722437439307143	110.22142398082147	10.178576019178863	0.1690717803811806	0.4329282196188179	0.7942200572480635	6.978415988136322	2089.5283073151345	23.717097457222863	193.0029025427776	81.07021891803127	27.289781081969146	169.04226106279373	71.75773893720647	301.0	10.692497809042912	60.2	120.4	15.825488725175285	60.2	104.57451127482493	74.6482193156606	58.774876061603024	0.02682866478126062	0.16663508721311382	90.39031906332897	34.86581912330246	93.0500400810873	0.3364437548507156	0.013109593308443954	5851.880731827346
71	0.0	255.85653721497832	44.14346278502087	3196366.563743423	2823464.155775268	0.5886827815087721	0.011722410339971371	110.41192850746029	9.988071492540035	0.1690717677651627	0.43292823223483584	0.7942197677313287	6.9784118967724895	2089.528359062658	23.792305431621056	192.92769456837942	81.11511380588531	27.2448861941151	170.21372162163362	70.58627837836656	301.0	10.905119593979085	60.2	120.4	16.134524807603867	60.2	104.26547519239635	74.25590414158712	58.77486733973419	0.02700831704483677	0.17013253690573416	90.053753269496	35.041835410483564	93.04982636769837	0.3364429737900534	0.01332546666295979	5851.880729345317
72	0.0	255.8565024678948	44.14349753210441	3199400.036958792	2820429.9732748168	0.5886814297127537	0.011722383222344002	110.59563800490749	9.80436199509285	0.1690717433187122	0.4329282566812863	0.7942192641749011	6.978405410946901	2089.5284160142282	23.867284984398896	192.8527150156016	81.15822590792935	27.201774092071076	171.35126151260124	69.44873848739888	301.0	11.11801697798279	60.2	120.4	16.4433027476716	60.2	103.9566972523286	73.86802294051006	58.77485342538191	0.027184811461164384	0.17363563410204155	89.72928231052458	35.21313963594429	93.04961265563847	0.3364421918952671	0.01354133953128198	5851.880726863273
73	0.0	255.85645734341284	44.14354265658637	3202433.477690636	2817395.815273158	0.5886800779250757	0.011722356090105777	110.77290459892498	9.627095401075353	0.16907170941327201	0.4329282905867265	0.7942185894841084	6.978397010642951	2089.5284771266543	23.94206351959304	192.77793648040748	81.19965851681995	27.16034148318048	172.45618926515223	68.34381073484786	301.0	11.331182263114512	60.2	120.4	16.75180665317321	60.2	103.648193346827	73.48446241657051	58.774835359396214	0.027358225533034984	0.1771441056990329	89.41630538837133	35.37985298908326	93.04939894475052	0.33644140933397176	0.01375721190044656	5851.880724381217
