time	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	999.999903689	0.0	499.999975922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3999.99980738	0.0	0.0	999.999903689	1.2154326714572541e-63	0.0	99.9999903689	499.999951844
200.0.	841.3952277862033	158.60467590279404	499.999975922	3.046282349273216	2.0110104303834364e-05	2.736075921120588e-06	8.516177752209361e-09	1.234945262645375e-08	728.56910340131	51.71787213913129	3419.1573268095826	517.214691650919	63.62778891950267	201.41692703823855	14.396078516328327	0.8536402447158921	99.9999903689	499.999951844
400.0.	0.894491731735057	999.1054119572634	499.999975922	640.6444031467487	1111.186178120187	1086.6522882678842	19.386051777573105	28.349004125184386	51.55890685506596	91.12994788789811	2932.0848428349013	828.330645231393	239.58431931370924	13.832735490598605	25.445656193941723	177.38825411474193	99.9999903689	499.999951844
600.0.	6.765630663974999	993.2342730250235	499.999975922	75.55903917441918	285.00767230135614	2240.5008092961875	224.46895575356976	328.72867401993364	635.186352865598	72.5878658496952	1988.365685443626	1321.7687789466584	689.8653429897172	170.86315387160928	24.535911165415865	21.267580762257033	99.9999903689	499.999951844
800.0.	2.141441459981179	997.8584622290178	499.999975922	226.99448467263076	1148.778877795016	2683.2026070233132	418.3877325012598	612.786607478532	507.9800082490664	48.35876496801232	1864.8659266723473	1279.2424574241347	855.8914232835174	134.23012954557583	19.27555341871228	63.16096283499323	99.9999903689	499.999951844
1000.0.	2.166317148138248	997.8335865408598	499.999975922	222.87719449939829	901.0455301477557	2398.048570115008	641.7836560885551	940.0603307202581	516.2236992392333	44.23236415107839	1366.6375965817294	1339.8333289942418	1293.5288818040256	133.4012067388857	20.72188551502343	62.54355354537233	99.9999903689	499.999951844
1200.0.	2.189123020360313	997.8107806686378	499.999975922	219.20137274564854	984.5651099378317	2697.839428853194	854.5803926752411	1251.7798480605368	525.7408250633662	38.39106008069529	1127.8172283215333	1319.4388706662028	1552.7437083922619	134.09623042006936	20.741976948137584	61.82843843107453	99.9999903689	499.999951844
1400.0.	2.13281340071388	997.8670902882841	499.999975922	224.1485495186314	997.2936056538372	2771.691983311877	1072.9969638425052	1571.7425214856291	524.4093064118363	34.77540195916046	902.7631620676408	1271.0191988715103	1826.2174464408474	131.79794458032552	21.285386307157403	63.5833149118834	99.9999903689	499.999951844
1600.0.	2.086136684800496	997.9137670041977	499.999975922	228.27647617822666	1016.2931405844233	2831.8539003476117	1286.868364019285	1885.0474488729906	522.9483213506135	32.1084603608525	718.253440253571	1203.309607549127	2078.4367595773	129.6524302998783	21.897302249102612	65.11691325032048	99.9999903689	499.999951844
1800.0.	2.04847040924526	997.9514332797528	499.999975922	231.54011518419424	1030.2995584083499	2879.3415938008975	1495.4287124860962	2190.5726172728223	521.7489737062913	30.044168999220965	565.2171280094975	1121.7857765827976	2312.9969027877028	127.73194315883916	22.522670637796875	66.41203200264448	99.9999903689	499.999951844
2000.0.	2.016903273051029	997.9830004159473	499.999975922	234.2104043563061	1041.236835108737	2916.070047023177	1697.7857212983515	2487.010794183194	520.7317060045826	28.391147528823478	438.11130909334764	1030.28642725026	2531.60207103639	125.99545835671029	23.131659935745432	67.53952750682639	99.9999903689	499.999951844
2200.0.	1.9903221337414791	998.0095815552572	499.999975922	236.3765597474732	1049.8286812174422	2944.800007136384	1893.3617301345328	2773.5156168730664	519.9244066086321	27.03229153360844	332.93797161496474	931.6016146931994	2735.4602210718326	124.4359142952943	23.710422303826565	68.5203092001617	99.9999903689	499.999951844
2400.0.	1.968092859137275	998.0318108298615	499.999975922	238.08322674774408	1056.4636494908102	2967.2031433353077	2081.8149576209616	3049.586320403869	519.3583132213236	25.891717920639923	246.61309161487767	827.8636948322203	2925.5230209328993	123.04993385562192	24.253165142849415	69.36354680080949	99.9999903689	499.999951844
2600.0.	1.949921039382509	998.049982649616	499.999975922	239.34040555591676	1061.3406892141616	2984.2254127276506	2262.9419433499415	3314.924804679534	519.0753043765698	24.917547957217668	176.69079670951697	720.8455459846349	3102.463464685846	121.83958825239077	24.75801817938212	70.069039367507	99.9999903689	499.999951844
2800.0.	1.935873794826625	998.0640298941723	499.999975922	240.11597275349607	1064.4781570277905	2996.2608337350484	2436.6120356815327	3569.3396552813497	519.1449099912535	24.072375144952854	121.18611358810581	612.2130287837056	3266.6006650081877	120.81710211128228	25.22489443283308	70.62464925516406	99.9999903689	499.999951844
3000.0.	1.9265088931056602	998.0733947958935	499.999975922	240.31577306407044	1065.666461693961	3003.130477383746	2602.7117878572753	3812.6646883570406	519.6900160383185	23.32746878731473	78.44420155592854	503.81735032419465	3417.7382554998776	120.01236441960788	25.654220679957973	71.00006069971387	99.9999903689	499.999951844
3200.0.	1.923187259231737	998.0767164297677	499.999975922	239.7418735227537	1064.3349192698333	3003.8626732456573	2761.081082944503	4044.6653879890027	520.9327907539612	22.658593612992338	47.02482179217006	398.1475161940831	3554.827469393748	119.48679374852382	26.04589424363311	71.13395780712361	99.9999903689	499.999951844
3400.0.	1.928706335236413	998.071197353763	499.999975922	238.01628262978087	1059.2581893262989	2996.1437841582733	2911.4172502278643	4264.898468365823	523.2748358061752	22.042139453746803	25.56247038966703	299.12005158791015	3675.3172854024215	119.35805920993072	26.39791628409023	70.91067030525859	99.9999903689	499.999951844
3600.0.	1.948183805480806	998.0517198835188	499.999975922	234.50065944351712	1048.0492379452107	2975.2402133646347	3053.1074570498095	4472.466388630384	527.3810201994955	21.45157824669173	12.536357995982017	213.18681487021047	3774.2766345138075	119.82727212661855	26.70422703036911	70.13514664229257	99.9999903689	499.999951844
3800.0.	1.988155755186531	998.011747933813	499.999975922	228.51864561413953	1027.0577181552546	2932.9292064031933	3184.9540255770708	4665.6150093000615	533.9533717887356	20.861240486830294	5.91819752080856	148.81512222379683	3845.2664876353956	121.11506023604068	26.953538320629615	68.59804724260982	99.9999903689	499.999951844
4000.0.	2.0486399780197	997.9512637109798	499.999975922	220.4425079018601	994.3620033984157	2860.775893457146	3304.9636634680865	4841.424677173269	542.6178053968558	20.272944590986366	3.120089501528568	109.29998117001571	3887.579736708456	123.12724421662712	27.137888135369742	66.40151344728248	99.9999903689	499.999951844
4200.0.	2.117609072228739	997.8822946167703	499.999975922	212.04235363317255	954.4415504125154	2761.402525806463	3410.8776635438735	4996.58641156188	551.5630110384685	19.727893218063805	1.963537652993728	87.257079448963	3910.7791902780396	125.33146556364277	27.26577969159014	64.06940054404711	99.9999903689	499.999951844
4400.0.	2.183428311593042	997.816475377406	499.999975922	204.63683370627368	914.2631333840018	2650.207213935261	3501.483409327713	5129.323095029758	559.437335147981	19.259089035450423	1.412952175772272	74.27052820784547	3924.3163269963793	127.31541280252422	27.353481684270577	61.99775131248531	99.9999903689	499.999951844
4600.0.	2.2412821861082692	997.7586215028911	499.999975922	198.5490351016395	877.8510239342526	2542.155329490313	3577.1680909608526	5240.201242917598	565.911983068209	18.872239719853688	1.112539399031503	66.03523316879546	3932.8520348121706	128.9636679029297	27.41403043329754	60.28894746305214	99.9999903689	499.999951844
4800.0.	2.290170762305726	997.7097329266933	499.999975922	193.68026087526908	846.5915001406278	2445.414547185429	3639.402076067864	5331.37447003513	571.0935258473987	18.559471167031013	0.9321642928733871	60.52173757971476	3938.54590550741	130.29040549688656	27.456395472894858	58.91984482949703	99.9999903689	499.999951844
5000.0.	2.330627186420625	997.6692765025787	499.999975922	189.8268907769507	820.5438309425516	2362.7619364094644	3690.0807301358996	5405.619235115683	575.1973306469409	18.309036465806685	0.816143859681788	56.67785661000979	3942.505806910307	131.34500109934237	27.48653542738798	57.83510927254786	99.9999903689	499.999951844
5200.0.	2.363716193259616	997.6361874957397	499.999975922	186.78604748005367	799.201572961615	2294.03153180601	3731.11310697491	5465.732185700032	578.4378858654279	18.109324544221057	0.7376195433178341	53.91376410508442	3945.348423731596	132.1797792567968	27.508352940502814	56.97851360198035	99.9999903689	499.999951844
5400.0.	2.390599649074866	997.6093040399244	499.999975922	184.3852174093994	781.8792098911767	2237.765340713344	3764.227834579076	5514.245717065641	580.9978040780843	17.950236402221947	0.6823956382241111	51.87798368983608	3947.439428051938	132.84034331744263	27.524408444353988	56.301894037483535	99.9999903689	499.999951844
5600.0.	2.412358460308011	997.5875452286914	499.999975922	182.48599459656165	767.8919285865198	2192.1111454309394	3790.907029239344	5553.331119111232	583.0238054719953	17.823457821148082	0.6424044321136341	50.35034714738938	3949.0070558004945	133.36377771448542	27.53640078242365	55.766467302369776	99.9999903689	499.999951844
5800.0.	2.429931744013459	997.5699719449863	499.999975922	180.97989599007343	756.6277404752306	2155.248756694104	3812.3840305847057	5584.795238601486	584.6310449895025	17.72231691013002	0.6127826015301231	49.18708694416656	3950.1999378343035	133.7794000715387	27.54547550116501	55.34177022657664	99.9999903689	499.999951844
6000.0.	2.444107833332435	997.5557958556674	499.999975922	179.78258622743198	747.5677851988484	2125.561098590564	3829.6681672961577	5610.116751398361	585.9091504833626	17.641521178906068	0.590452468919182	48.290986437862756	3951.1183684732177	134.11013792624863	27.552419310261612	55.00408856277504	99.9999903689	499.999951844
6200.0.	2.45553630740236	997.5443673815975	499.999975922	178.82857280925816	740.2839797806824	2101.6803495664244	3843.5778261189635	5630.494604287926	586.9277945013059	17.576890579136673	0.5733858434386381	47.59433803371071	3951.832083502848	134.3738733957181	27.557782707592704	54.73498969596812	99.9999903689	499.999951844
6400.0.	2.464746905153983	997.5351567838459	499.999975922	178.0668796930169	734.4282180175147	2082.4789929832277	3854.7732712527622	5646.89609366371	587.7412524824238	17.5251257142583	0.560199938501397	47.04879485941871	3952.3908125820767	134.5845704229835	27.561957977619606	54.52011739867526	99.9999903689	499.999951844
6600.0.	2.472169127944751	997.5277345610551	499.999975922	177.4576819604921	729.7195827819968	2067.0404018976433	3863.785848999118	5660.099649804533	588.3919568537424	17.483619075462673	0.549924659972378	46.61910067176672	3952.8307820482573	134.7531656637651	27.56522947169946	54.34825066381344	99.9999903689	499.999951844
