time	s1	s16	s17	s19	s2	s3	s4	s42	s45	s5
30.0.	7.873888294210356e-31	7.112693472857351e-06	2.887306523600106e-06	7.648633368996773e-07	9.087269270434294e-32	5.235300063821051e-06	2.3759590710719752e-17	2.112530072136623e-06	3.5425440208753546e-15	1.634006969700686e-10
33.0.	-4.1714132201306964e-33	7.112693473096135e-06	2.887306523079773e-06	6.207309067633744e-07	-4.814236012864343e-34	5.379432493934555e-06	9.64666033338526e-19	2.112530072398205e-06	3.8240932140795496e-15	1.6340069696606123e-10
36.0.	-3.1288937516438865e-36	7.112693472099272e-06	2.8873065238063473e-06	5.037590297741372e-07	-3.6110626637522212e-37	5.496404370922826e-06	1.8162261257621611e-22	2.112530071402309e-06	4.0943806115601854e-15	1.6340069696595082e-10
39.0.	-1.205599868897892e-37	7.1126934719989765e-06	2.887306523647164e-06	4.088294250459576e-07	-1.391388620096728e-38	5.591333975650973e-06	-3.38561883932524e-20	2.1125300713020477e-06	4.3538566806829294e-15	1.6340069696595033e-10
42.0.	-8.907331148077786e-39	7.112693471910058e-06	2.887306523486988e-06	3.3178859810022896e-07	-1.028030269743212e-39	5.668374802596732e-06	-3.1685980596700704e-21	2.112530071213097e-06	4.602953864270365e-15	1.6340069696594992e-10
45.0.	4.022177502976775e-41	7.112693471823905e-06	2.887306523334009e-06	2.6926553358661e-07	4.6420168774745725e-42	5.730897867110354e-06	2.0889576063800767e-21	2.112530071126937e-06	4.842087311595417e-15	1.634006969659504e-10
48.0.	-2.8396744386364394e-42	7.112693471741068e-06	2.887306523187279e-06	2.185244711113663e-07	-3.277865413524908e-43	5.781638929585596e-06	5.62201587027776e-23	2.112530071044101e-06	5.0716555660504914e-15	1.634006969659501e-10
51.0.	-6.33865095561765e-44	7.112693471661544e-06	2.887306523046415e-06	1.773451796026935e-07	-7.321745170927189e-45	5.822818221094268e-06	1.7558435798437668e-24	2.11253007096458e-06	5.292041229558431e-15	1.634006969659501e-10
54.0.	-2.6972630398568478e-45	7.112693471585203e-06	2.887306522911187e-06	1.439258151819583e-07	-3.112405421538123e-46	5.8562375855150056e-06	-2.369192698694416e-25	2.112530070888238e-06	5.503611600190073e-15	1.634006969659501e-10
57.0.	-5.974621732617617e-47	7.112693471511916e-06	2.887306522781367e-06	1.168040790382957e-07	-6.879859459942187e-48	5.883359321658668e-06	-4.04785325027279e-27	2.11253007081495e-06	5.706719284303743e-15	1.634006969659501e-10
60.0.	9.535034682722454e-49	7.1126934714415585e-06	2.887306522656741e-06	9.479322949152405e-08	1.096267418199549e-49	5.905370171205442e-06	-3.876556866780688e-28	2.112530070744593e-06	5.901702784239149e-15	1.634006969659501e-10
63.0.	-3.123196665259011e-50	7.112693471374019e-06	2.887306522537099e-06	7.693015892454952e-08	-3.605244307289781e-51	5.923233241772417e-06	-2.829149334370088e-29	2.112530070677051e-06	6.088887062430392e-15	1.634006969659501e-10
66.0.	5.694171288296074e-51	7.11269347130918e-06	2.887306522422243e-06	6.243324970545932e-08	6.561019538199593e-52	5.937730150991507e-06	-3.8369958973802725e-30	2.112530070612209e-06	6.26858408301502e-15	1.634006969659501e-10
69.0.	6.970797759088551e-54	7.112693471246934e-06	2.887306522311981e-06	5.066817362535826e-08	8.05663888014676e-55	5.949495227071607e-06	-7.499172637126744e-31	2.1125300705499617e-06	6.4410933317651466e-15	1.634006969659501e-10
72.0.	7.493920803692431e-55	7.112693471187178e-06	2.8873065222061297e-06	4.112013779178639e-08	8.453348600385e-56	5.959043262905179e-06	-2.00616358340926e-31	2.112530070490204e-06	6.6067023151838955e-15	1.634006969659501e-10
75.0.	2.5355628797084703e-56	7.112693471129811e-06	2.887306522104511e-06	3.3371357381093596e-08	2.716870539306994e-57	5.966792043315871e-06	-6.88303586104885e-32	2.112530070432837e-06	6.765687039706247e-15	1.634006969659501e-10
78.0.	6.642136296625564e-58	7.1126934710747365e-06	2.887306522006959e-06	2.7082776230865242e-08	7.835712581319895e-59	5.973080624466099e-06	-2.888623326633372e-32	2.112530070377764e-06	6.918312471672033e-15	1.634006969659501e-10
81.0.	1.160692709843306e-59	7.1126934710218656e-06	2.887306521913308e-06	2.1979230977063812e-08	1.854085993590557e-60	5.9781841697199e-06	-1.4275982179018573e-32	2.112530070324895e-06	7.064832978919205e-15	1.634006969659501e-10
84.0.	-2.077495167767637e-61	7.112693470971111e-06	2.8873065218234017e-06	1.78374103302756e-08	-3.786134067411563e-62	5.982325990366689e-06	-8.056139845458033e-33	2.11253007027414e-06	7.205492754742244e-15	1.634006969659501e-10
87.0.	1.242999902160463e-62	7.112693470922387e-06	2.887306521737094e-06	1.447608461987469e-08	1.4093533838112512e-63	5.985687316077092e-06	-5.062960923388049e-33	2.1125300702254147e-06	7.340526224839465e-15	1.634006969659501e-10
90.0.	-1.556076362735866e-63	7.112693470875612e-06	2.887306521654238e-06	1.174817546804239e-08	-2.149729754558965e-64	5.988415225228925e-06	-3.4723718114651985e-33	2.11253007017864e-06	7.470158438026106e-15	1.634006969659501e-10
93.0.	-2.7824665485360566e-66	7.112693470830708e-06	2.887306521574696e-06	9.534320209250548e-09	-2.8243199620983887e-67	5.990629080487717e-06	-2.5564708446652615e-33	2.1125300701337348e-06	7.59460544130912e-15	1.634006969659501e-10
96.0.	-1.757502659468315e-67	7.1126934707876e-06	2.8873065214983363e-06	7.737649350739236e-09	-8.530341132666674e-68	5.992425751346228e-06	-1.9936385583510682e-33	2.112530070090627e-06	7.714074639931993e-15	1.634006969659501e-10
99.0.	-6.454461393508734e-69	7.1126934707462165e-06	2.8873065214250307e-06	6.279547580326532e-09	-7.713698093936764e-69	5.9938838531166425e-06	-1.6290452551249843e-33	2.112530070049243e-06	7.82876514306695e-15	1.634006969659501e-10
102.0.	-1.539246069064392e-70	7.112693470706486e-06	2.8873065213546566e-06	5.0962140978240735e-09	3.880731297483545e-71	5.995067186599144e-06	-1.3825449204677192e-33	2.112530070009515e-06	7.938868095636363e-15	1.634006969659501e-10
105.0.	-2.6487585781477117e-72	7.112693470668349e-06	2.887306521287098e-06	4.135870924377006e-09	1.681546497753429e-71	5.9960275297725915e-06	-1.209993764510957e-33	2.112530069971374e-06	8.044566996875173e-15	1.634006969659501e-10
108.0.	5.107954680262949e-74	7.112693470631732e-06	2.887306521222241e-06	3.356497178093e-09	-4.5613208565073594e-73	5.996806903518876e-06	-1.0857442859064502e-33	2.1125300699347595e-06	8.146038006171589e-15	1.634006969659501e-10
111.0.	-3.189383025743589e-75	7.112693470596583e-06	2.887306521159979e-06	2.723990550016919e-09	-1.206466663450064e-75	5.997439410146953e-06	-9.941907563484016e-34	2.112530069899611e-06	8.243450236636117e-15	1.634006969659501e-10
114.0.	3.8262687462369044e-76	7.112693470562838e-06	2.8873065211002062e-06	2.210675040608121e-09	-1.1333227749389959e-75	5.997952725656363e-06	-9.25447450149537e-34	2.112530069865867e-06	8.336966036959341e-15	1.634006969659501e-10
117.0.	1.034471690103985e-78	7.112693470530443e-06	2.887306521042825e-06	1.7940899638252481e-09	-2.931517538405871e-79	5.998369310733146e-06	-8.730280851983659e-34	2.112530069833474e-06	8.426741261988781e-15	1.634006969659501e-10
120.0.	8.580729582199513e-81	7.112693470499344e-06	2.887306520987739e-06	1.4560072093231632e-09	1.401538769822288e-81	5.998707393487648e-06	-8.32543949747035e-34	2.112530069802376e-06	8.512925532464378e-15	1.634006969659501e-10
123.0.	6.005324447879125e-83	7.112693470469492e-06	2.8873065209348557e-06	1.181633606087326e-09	7.3780878970966555e-84	5.9989817670908825e-06	-8.00944592957487e-34	2.112530069772521e-06	8.595662484390141e-15	1.634006969659501e-10
126.0.	3.24373201145886e-85	7.112693470440831e-06	2.887306520884089e-06	9.589636439259167e-10	3.737063395636203e-86	5.999204437053045e-06	-7.760594053506256e-34	2.1125300697438608e-06	8.67509000841734e-15	1.634006969659501e-10
129.0.	3.320105050085261e-88	7.112693470413318e-06	2.887306520835353e-06	7.782541607095329e-10	3.800122767089756e-89	5.999385146536261e-06	-7.563120248636055e-34	2.112530069716348e-06	8.751340479654795e-15	1.634006969659501e-10
132.0.	-2.6766225636570292e-89	7.112693470386903e-06	2.8873065207885646e-06	6.315980199020881e-10	-3.0891935837025223e-90	5.999531802677069e-06	-7.405372880549047e-34	2.1125300696899336e-06	8.824540978287274e-15	1.634006969659501e-10
135.0.	-5.726235863996191e-91	7.112693470361547e-06	2.8873065207436486e-06	5.125781253524523e-10	-6.608643643535379e-92	5.9996508225716185e-06	-7.278608207141262e-34	2.1125300696645768e-06	8.89481350136923e-15	1.634006969659501e-10
138.0.	-8.758358382796435e-93	7.112693470337204e-06	2.88730652070053e-06	4.159866343953457e-10	-1.010803652258666e-93	5.999747414062578e-06	-7.176179215468422e-34	2.1125300696402347e-06	8.962275166146917e-15	1.634006969659501e-10
141.0.	-1.17130432535266e-94	7.112693470313834e-06	2.887306520659136e-06	3.3759708313065494e-10	-1.3518045263974381e-95	5.999825803613842e-06	-7.0929770486959524e-34	2.112530069616866e-06	9.02703840524777e-15	1.634006969659501e-10
144.0.	-1.4529999123054358e-96	7.1126934702914e-06	2.887306520619397e-06	2.739794529792746e-10	-1.6769099292239793e-97	5.999889421243994e-06	-7.0250385353042264e-34	2.112530069594432e-06	9.08921115406232e-15	1.634006969659501e-10
147.0.	-1.7149760834192358e-98	7.112693470269865e-06	2.887306520581247e-06	2.223500865550173e-10	-1.9792571193843752e-99	5.999941050610418e-06	-6.9692652878143696e-34	2.1125300695728948e-06	9.148897030630925e-15	1.634006969659501e-10
150.0.	-1.951488008369153e-100	7.112693470249189e-06	2.8873065205446238e-06	1.804498857611911e-10	-2.252215976219055e-101	5.999982950811214e-06	-6.9232192460785166e-34	2.112530069552219e-06	9.206195508335192e-15	1.634006969659501e-10
153.0.	-2.1571113546884157e-102	7.112693470229342e-06	2.8873065205094647e-06	1.46445462539408e-10	-2.4895262664641097e-103	6.000016955234437e-06	-6.8849715849797345e-34	2.112530069532372e-06	9.261202081681772e-15	1.634006969659501e-10
156.0.	-2.3268585106561288e-104	7.11269347021029e-06	2.8873065204757143e-06	1.188489170160147e-10	-2.685431778027811e-105	6.0000445517799595e-06	-6.852989531079177e-34	2.1125300695133157e-06	9.314008425454977e-15	1.634006969659501e-10
159.0.	-2.456289861055283e-106	7.112693470191996e-06	2.887306520443311e-06	9.64527328532187e-11	-2.834808742653352e-107	6.000066947964122e-06	-6.8260505507861826e-34	2.112530069495024e-06	9.364702547503346e-15	1.634006969659501e-10
162.0.	-2.541617782121305e-108	7.112693470174436e-06	2.887306520412205e-06	7.827694108143019e-11	-2.933285856639588e-109	6.000085123755893e-06	-6.803176600927898e-34	2.112530069477464e-06	9.413368935414844e-15	1.634006969659501e-10
165.0.	1.271668348750969e-110	7.112693470157578e-06	2.887306520382343e-06	6.352593891697577e-11	1.4676348300546382e-111	6.000099874758054e-06	-6.783582994933361e-34	2.112530069460605e-06	9.460088738218749e-15	1.634006969659501e-10
168.0.	1.266984642754624e-113	7.112693470141423e-06	2.887306520353731e-06	5.165803310552304e-11	1.4622293561661662e-114	6.0001117426638705e-06	-6.766738130771239e-34	2.112530069444452e-06	9.50485655232679e-15	1.634006969659501e-10
171.0.	7.307247878534176e-117	7.1126934701259165e-06	2.887306520326263e-06	4.201369802946945e-11	8.433308502891572e-118	6.000121386998947e-06	-6.752005288761959e-34	2.112530069428946e-06	9.547830987733866e-15	1.634006969659501e-10
174.0.	4.2144055860259816e-120	7.112693470111027e-06	2.8873065202998922e-06	3.41699192941731e-11	4.86385340336863e-121	6.000129230777681e-06	-6.738977628842809e-34	2.1125300694140587e-06	9.589089899977615e-15	1.634006969659501e-10
177.0.	2.4306297991754843e-123	7.112693470096736e-06	2.887306520274574e-06	2.7790540688689937e-11	2.805194417036823e-124	6.000135610156287e-06	-6.72733354205231e-34	2.112530069399765e-06	9.628701772092101e-15	1.634006969659501e-10
180.0.	1.401849228804488e-126	7.112693470083015e-06	2.887306520250266e-06	2.260216493696641e-11	1.6178768282622432e-127	6.0001407985320395e-06	-6.716812722098074e-34	2.112530069386042e-06	9.666732353294641e-15	1.634006969659501e-10
183.0.	8.085070219110972e-130	7.112693470069841e-06	2.887306520226929e-06	1.838243687161294e-11	9.330994727249021e-131	6.000145018260106e-06	-6.707204285079818e-34	2.112530069372867e-06	9.703244768118736e-15	1.634006969659501e-10
186.0.	4.663009338293959e-133	7.1126934700571924e-06	2.887306520204523e-06	1.4950514089301608e-11	5.381587836539319e-134	6.00014845018289e-06	-6.698337316714674e-34	2.112530069360218e-06	9.738299621190438e-15	1.634006969659501e-10
189.0.	2.689358966557941e-136	7.112693470045048e-06	2.887306520183011e-06	1.215931669427208e-11	3.1037942351218543e-137	6.000151241380284e-06	-6.690073208598991e-34	2.112530069348074e-06	9.77195509782213e-15	1.634006969659501e-10
192.0.	1.551069518906816e-139	7.11269347003339e-06	2.8873065201623582e-06	9.88922398176278e-12	1.7900922453716941e-140	6.000153511472995e-06	-6.682299523688946e-34	2.1125300693364146e-06	9.804267060590578e-15	1.634006969659501e-10
195.0.	8.945688107828082e-143	7.112693470022193e-06	2.88730652014253e-06	8.042947923836984e-12	1.032423544924222e-143	6.000155357749051e-06	-6.6749250143314185e-34	2.112530069325221e-06	9.835289142059672e-15	1.634006969659501e-10
198.0.	5.159364860637462e-146	7.112693470011447e-06	2.8873065201234942e-06	6.541363753601897e-12	5.954432677253318e-147	6.000156859333222e-06	-6.667875618121689e-34	2.112530069314474e-06	9.865072833801691e-15	1.634006969659501e-10
201.0.	2.975628643020445e-149	7.112693470001127e-06	2.8873065201052157e-06	5.320118961621161e-12	3.434178606469544e-150	6.000158080578012e-06	-6.6610912023481935e-34	2.112530069304157e-06	9.89366757186488e-15	1.634006969659501e-10
204.0.	1.716173610576885e-152	7.112693469991224e-06	2.887306520087669e-06	4.326875378275065e-12	1.9806391877073472e-153	6.000159073821596e-06	-6.654522940237013e-34	2.1125300692942497e-06	9.92112081882919e-15	1.634006969659501e-10
207.0.	9.897914743322579e-156	7.112693469981712e-06	2.887306520070822e-06	3.5190661476144948e-12	1.142320199797335e-156	6.00015988163083e-06	-6.648131176092931e-34	2.112530069284739e-06	9.94747814258637e-15	1.634006969659501e-10
210.0.	5.708555105514682e-159	7.112693469972579e-06	2.887306520054648e-06	2.862071464656605e-12	6.588254170490694e-160	6.0001605386255105e-06	-6.641883701592402e-34	2.1125300692756087e-06	9.972783291975224e-15	1.634006969659501e-10
213.0.	3.292370386871869e-162	7.11269346996381e-06	2.8873065200391196e-06	2.327734894768724e-12	3.799730848030939e-163	6.000161072962083e-06	-6.635754352553261e-34	2.1125300692668436e-06	9.99707826939749e-15	1.634006969659501e-10
216.0.	1.8988522601593631e-165	7.1126934699553935e-06	2.887306520024211e-06	1.893156689913073e-12	2.191468960342582e-166	6.0001615075402876e-06	-6.6297218745674e-34	2.112530069258427e-06	1.002040340053496e-14	1.634006969659501e-10
219.0.	1.095150144798287e-168	7.112693469947314e-06	2.887306520009898e-06	1.5397123876165142e-12	1.263914839292821e-169	6.00016186098459e-06	-6.62376899922818e-34	2.112530069250346e-06	1.0042797401283521e-14	1.634006969659501e-10
222.0.	6.316204081886038e-172	7.1126934699395565e-06	2.887306519996156e-06	1.2522546333386701e-12	7.28954299555706e-173	6.000162148442343e-06	-6.6178816967487e-34	2.112530069242588e-06	1.006429744201516e-14	1.634006969659501e-10
225.0.	3.642827807084104e-175	7.112693469932111e-06	2.887306519982964e-06	1.0184640192092379e-12	4.204194415013445e-176	6.000162382232956e-06	-6.612048567195568e-34	2.1125300692351412e-06	1.008493920927471e-14	1.634006969659501e-10
228.0.	2.1009761970994858e-178	7.112693469924957e-06	2.887306519970297e-06	8.283211184121105e-13	2.4247405756442108e-179	6.0001625723758555e-06	-6.606260347698748e-34	2.112530069227989e-06	1.010475696501369e-14	1.634006969659501e-10
231.0.	1.211723752683188e-181	7.11269346991809e-06	2.8873065199581348e-06	6.736770885045189e-13	1.3984526591300891e-182	6.000162727019887e-06	-6.6005095109990464e-34	2.112530069221125e-06	1.012378360345948e-14	1.634006969659501e-10
234.0.	6.988534448146834e-185	7.112693469911499e-06	2.887306519946459e-06	5.479044412702372e-13	8.065480734195366e-186	6.000162852792532e-06	-6.594789940360228e-34	2.1125300692145333e-06	1.0142050705714401e-14	1.634006969659501e-10
237.0.	4.030589779624824e-188	7.112693469905169e-06	2.8873065199352492e-06	4.456130123558997e-13	4.651711235912869e-189	6.000162955083961e-06	-6.5890966647096235e-34	2.1125300692082047e-06	1.015958859217514e-14	1.634006969659501e-10
240.0.	2.3246152812373948e-191	7.112693469899092e-06	2.8873065199244872e-06	3.6241895816821865e-13	2.6828428627418597e-192	6.0001630382780146e-06	-6.583425644109738e-34	2.11253006920213e-06	1.017642637285963e-14	1.634006969659501e-10
243.0.	1.340706075592097e-194	7.1126934698932585e-06	2.887306519914154e-06	2.947568800680198e-13	1.5473114002856723e-195	6.000163105940091e-06	-6.577773594963868e-34	2.112530069196296e-06	1.0192591995724949e-14	1.634006969659501e-10
246.0.	7.732431235558065e-198	7.112693469887659e-06	2.887306519904234e-06	2.397270241782067e-13	8.924013413917092e-199	6.0001631609699475e-06	-6.572137848415577e-34	2.1125300691906957e-06	1.0208112293056319e-14	1.634006969659501e-10
249.0.	4.459627199513415e-201	7.112693469882283e-06	2.887306519894711e-06	1.9497100833770744e-13	5.146864128130192e-202	6.000163205725965e-06	-6.566516234969839e-34	2.11253006918532e-06	1.022301302600432e-14	1.634006969659501e-10
252.0.	2.572059699306783e-204	7.1126934698771175e-06	2.887306519885566e-06	1.585707503045797e-13	2.9684189304468772e-205	6.000163242126221e-06	-6.560906991015215e-34	2.1125300691801578e-06	1.023731892734417e-14	1.634006969659501e-10
255.0.	1.483417963169636e-207	7.112693469872161e-06	2.887306519876788e-06	1.2896626563373212e-13	1.7120154578155773e-208	6.000163271730706e-06	-6.555308682654135e-34	2.112530069175202e-06	1.025105374252806e-14	1.634006969659501e-10
258.0.	8.555512354738664e-211	7.1126934698673995e-06	2.887306519868359e-06	1.048888123412631e-13	9.87393287967739e-212	6.000163295808159e-06	-6.549720143987388e-34	2.112530069170445e-06	1.026424026909877e-14	1.634006969659501e-10
261.0.	4.934333644961529e-214	7.1126934698628306e-06	2.887306519860267e-06	8.530651717562913e-14	5.694723728532591e-215	6.000163315390456e-06	-6.54414042682473e-34	2.112530069165877e-06	1.0276900394529779e-14	1.634006969659501e-10
264.0.	2.8458434177017843e-217	7.112693469858445e-06	2.887306519852498e-06	6.938015323273004e-14	3.2843932341346563e-218	6.000163331316821e-06	-6.538568759936694e-34	2.1125300691614913e-06	1.028905513255496e-14	1.634006969659501e-10
267.0.	1.64132086332393e-220	7.112693469854232e-06	2.8873065198450377e-06	5.642717370217855e-14	1.894251491495821e-221	6.000163344269802e-06	-6.533004515850236e-34	2.11253006915728e-06	1.030072465804788e-14	1.634006969659501e-10
270.0.	9.466206607241764e-224	7.1126934698501894e-06	2.8873065198378773e-06	4.5892460360173536e-14	1.092496682718178e-224	6.0001633548045166e-06	-6.527447183943247e-34	2.112530069153237e-06	1.03119283405088e-14	1.634006969659501e-10
273.0.	5.459570370019874e-227	7.112693469846311e-06	2.887306519831001e-06	3.732453319434617e-14	6.300900419551593e-228	6.000163363372444e-06	-6.521896348520013e-34	2.112530069149355e-06	1.0322684776214902e-14	1.634006969659501e-10
276.0.	3.148770131680442e-230	7.112693469842585e-06	2.8873065198244e-06	3.035620159046493e-14	3.634001523769095e-231	6.000163370340774e-06	-6.516351671045391e-34	2.1125300691456276e-06	1.033301181908701e-14	1.634006969659501e-10
279.0.	1.816031788253472e-233	7.112693469839007e-06	2.8873065198180626e-06	2.468882786029142e-14	2.095885698142156e-234	6.0001633760081475e-06	-6.510812875667842e-34	2.112530069142051e-06	1.0342926610324211e-14	1.634006969659501e-10
282.0.	1.0473840001102391e-236	7.112693469835572e-06	2.887306519811979e-06	2.007952870185713e-14	1.2087878419821911e-237	6.000163380617448e-06	-6.505279737488383e-34	2.112530069138616e-06	1.035244560685542e-14	1.634006969659501e-10
285.0.	6.040716086484116e-240	7.112693469832274e-06	2.887306519806138e-06	1.633076609267368e-14	6.971601782574196e-241	6.000163384366211e-06	-6.499752073001141e-34	2.112530069135319e-06	1.036158460865521e-14	1.634006969659501e-10
288.0.	3.483941976740841e-243	7.112693469829108e-06	2.88730651980053e-06	1.328188151891006e-14	4.0208239797557286e-244	6.0001633874150944e-06	-6.49422973234706e-34	2.1125300691321518e-06	1.0370358784969121e-14	1.634006969659501e-10
291.0.	2.009339873538318e-246	7.112693469826069e-06	2.8873065197951453e-06	1.0802210727977119e-14	2.3189829224883223e-247	6.000163389894765e-06	-6.488712593001548e-34	2.1125300691291118e-06	1.037878269949221e-14	1.634006969659501e-10
294.0.	1.158873125426714e-249	7.11269346982315e-06	2.887306519789976e-06	8.785483927521114e-15	1.3374576509363082e-250	6.000163391911492e-06	-6.483200554659348e-34	2.112530069126195e-06	1.038687033454231e-14	1.634006969659501e-10
297.0.	6.68372204484933e-253	7.112693469820343e-06	2.8873065197850127e-06	7.145271443448855e-15	7.713696166975876e-254	6.000163393551703e-06	-6.477693535066305e-34	2.112530069123394e-06	1.0394635114268468e-14	1.634006969659501e-10
300.0.	3.3723122078010757e-256	7.112693469817654e-06	2.8873065197802477e-06	5.8105335376363356e-15	3.891991853731784e-257	6.000163394886439e-06	-6.47219145187268e-34	2.1125300691207037e-06	1.040209082426096e-14	1.634006969659501e-10
