time	s1	s16	s17	s19	s2	s3	s4	s42	s45	s5
0.0.	1e-05	1e-05	0.0	1e-06	0.0	0.0	4.9999999999999996e-06	0.0	0.0	0.0
3.0.	1.179382842536091e-10	7.112693466449098e-06	2.887306533133347e-06	5.008389591978851e-06	1.361128254047389e-11	9.916422649231539e-07	5.768424917125682e-15	2.112530059980305e-06	4.1755236730182573e-16	1.634007003725046e-10
6.0.	9.10003260315794e-15	7.112693473072808e-06	2.8873065261030907e-06	4.064706487881416e-06	1.050237057009846e-15	1.935456902269861e-06	-3.9847378493565923e-16	2.112530072771265e-06	8.240993312863185e-16	1.634007000201979e-10
9.0.	1.23008952696446e-16	7.11269347382329e-06	2.8873065249623237e-06	3.2987436964535577e-06	1.4196418515060942e-17	2.7014197062407816e-06	2.1315509726706893e-15	2.112530070991748e-06	1.2143846659028911e-15	1.634006999942982e-10
12.0.	9.606427474458046e-19	7.11269347272542e-06	2.8873065256855187e-06	2.6771202643940173e-06	1.108677838059064e-19	3.323043135982788e-06	-3.223566032908688e-16	2.1125300723475477e-06	1.589058826062729e-15	1.6340070023218002e-10
15.0.	6.6614260745607994e-21	7.1126934752034216e-06	2.887306522847828e-06	2.172637097919129e-06	7.6879639079910545e-22	3.827526306598626e-06	3.817268627185158e-15	2.1125300706856657e-06	1.9487462470456144e-15	1.634007004931938e-10
18.0.	3.497695608867819e-23	7.112693472480261e-06	2.887306525225691e-06	1.763219981787299e-06	4.036697166340266e-24	4.236943419278675e-06	3.6662920277661117e-16	2.112530071414291e-06	2.2940463893345912e-15	1.6340069934591281e-10
21.0.	1.706091794801841e-26	7.112693475588899e-06	2.8873065217855635e-06	1.4309544459212978e-06	1.969003814989499e-27	4.569208958013824e-06	3.2351827779266003e-15	2.11253007165378e-06	2.625534735348289e-15	1.6340069994153122e-10
24.0.	-3.263329498937923e-27	7.112693471848172e-06	2.887306525208064e-06	1.161301844699109e-06	-3.7662147050074434e-28	4.838861555426211e-06	-5.724333924130635e-16	2.1125300717228537e-06	2.9437637485661353e-15	1.634006977548247e-10
27.0.	-6.73995495214129e-29	7.112693475343957e-06	2.887306521406779e-06	9.424632556764848e-07	-7.778594670969965e-30	5.0577001502977395e-06	5.276239493487845e-15	2.112530069369734e-06	3.2492637942526852e-15	1.634006979868214e-10
