time	CYCDcdk4	CYCDcdk4p27	CYCEcdk2p27	E2F	aCYCEcdk2	aCYCEcdk20	aCYCEcdk21	iCYCEcdk2	p27	pRB	pRBE2F
0.0.	0.0	0.0	1.0	0.0	0.0	5.0	0.01	0.01	15.0	0.05	1.9500000000000002
5.0.	0.0009440056152280001	0.0030975986756440004	0.9932427423022571	0.012149413761006	0.001139006449913	3.808053841605717	0.022456976188045003	0.04756954191281	14.761742859049008	0.13040937056937701	1.93747117584229
10.0.	0.0010910345312520001	0.006589965703667	0.9875719938770401	0.039341230977688005	0.0011511320977650001	3.088087672867627	0.05144704255531601	0.21553271683347802	14.523109826596071	0.209336606940027	1.908325135190588
15.0.	0.001205294825033	0.010312296153771001	0.981993721451976	0.08084041344572601	0.0011644883459180002	2.654044119454658	0.09736435199054601	0.601012978169567	14.28623666624437	0.286136168638342	1.862117194482465
20.0.	0.0012877544327200001	0.014125049837932	0.9766527952640661	0.134823910914701	0.001179641022069	2.392668642571217	0.15942795000686902	1.274154067567138	14.050936573085261	0.360384871549352	1.7995925978179121
25.0.	0.0013444587475400002	0.01791452064309	0.9717335318981841	0.19861495311414	0.001197189144195	2.235374683048867	0.23583629921245802	2.2829408280899592	13.816890340792312	0.43184547245646604	1.7225325161048701
30.0.	0.0013824949183180002	0.021600279308661003	0.967449990753904	0.269056181434769	0.001217749548633	2.140724494466517	0.32408520835959703	3.650812559519862	13.583652913883551	0.5004134209376391	1.633434468056137
35.0.	0.001407894498673	0.025131319688523	0.9640361820423601	0.342867308486045	0.0012419491977660002	2.083736956021923	0.42129866699349705	5.377020247109771	13.350673068620544	0.566070653495632	1.535178422344
40.0.	0.001425083312274	0.028478447044522	0.9617373154168971	0.416929216003024	0.0012704252352690002	2.049377501040342	0.524511425903011	7.439130701728362	13.117316296490152	0.6288525958862871	1.430740593341953
45.0.	0.0014370574358040001	0.031627071411418003	0.960802749300889	0.488479788855304	0.001303831662106	2.028608606461847	0.630882615472893	9.796907299975361	12.882885160537905	0.688826876080815	1.322976313460369
50.0.	0.001445753949899	0.034571752498315005	0.9614808842526921	0.555228735677957	0.001342851284452	2.016001937819495	0.7378412216326311	12.396857186395847	12.646634986516673	0.74608033946074	1.2144715866292541
55.0.	0.001452392759914	0.037312491391777	0.964015954336169	0.6154066072880541	0.0013882119204720001	2.008298568891617	0.843172938111558	15.176884375584692	12.407784670465926	0.8007113048250021	1.107454005312035
60.0.	0.001457731172605	0.039852354491974	0.968646510018466	0.667764435571179	0.001440706431116	2.003542493854441	0.945060255136787	18.070651069809227	12.165523137983238	0.8528248868379551	1.003751208120953
65.0.	0.0014622362759360002	0.042196003338172	0.975605326974686	0.711538946828248	0.0015012167758620002	2.00055981874291	1.042087334493115	21.011394109618717	11.919012159669292	0.902530015621228	0.9047852603164511
70.0.	0.0014661960061670002	0.044348804716813	0.985120485099207	0.7463959627904371	0.001570742962224	1.9986459797682001	1.133219927719489	23.93506077802452	11.667386149707527	0.94993736238693	0.8115925754702491
75.0.	0.0014697887588000001	0.046316299956146	0.997417414962077	0.7723621125775301	0.001650438489508	1.997377992762777	1.2177689910043221	26.782717696456913	11.409749402013327	0.9951577504094891	0.724860577875024
80.0.	0.001473126332632	0.048103891731113006	1.012721787539518	0.7897526180448731	0.0017416547741910002	1.996501790268035	1.295345005091642	29.502251052679092	11.14517100892191	1.038300849234606	0.644973952486471
85.0.	0.0014762801860720002	0.04971666033144	1.031263218293907	0.7991007980186801	0.0018459982283640002	1.9958646297707552	1.365808442191657	32.049419593640934	10.872677476214825	1.079474068813186	0.572064911992194
90.0.	0.001479297416635	0.051159255500412004	1.053279866958873	0.801093115665734	0.001965405362672	1.995374546999742	1.42922040096879	34.38834757748301	10.591242789784015	1.118781627888578	0.506063355370654
95.0.	0.0014822104745170002	0.052435830975216	1.0790241450951	0.796512088026564	0.00210224385124	1.9949760341591891	1.485796194943848	36.491556943648646	10.299775383448848	1.15632379359897	0.44674405406675405
100.0.	0.0014850430835700002	0.05355000147448501	1.108769908090591	0.786188185865441	0.002259451516669	1.994635450266439	1.535863649295875	38.33963975875914	9.997101068414207	1.192196293546976	0.393769057034458
105.0.	0.0014878138842430002	0.054504809218475	1.142821731736712	0.770960956314775	0.0024407316962890002	1.994332268091945	1.5798270394056542	39.92066654734451	9.68194045219759	1.226489897618213	0.34672434905426003
110.0.	0.0014905387256210002	0.055302691077871	1.18152719972673	0.7516489683126291	0.0026508343062010002	1.994053820648326	1.6181369810192021	41.229415957028515	9.352878595968345	1.2592901603329971	0.30515043753619703
115.0.	0.001493232179585	0.055945439254569004	1.225293635567147	0.729027771707331	0.00289597065943	1.9937921450055591	1.651266136118765	42.266498351879605	9.008323454148679	1.290677308456305	0.26856700182511
120.0.	0.001495908642329	0.056434148554215004	1.274611544197455	0.7038148323185901	0.0031844436938570004	1.993542081740943	1.679690304142575	43.03743185014046	8.646447680741447	1.320726254253384	0.23649204249711803
125.0.	0.0014985832754270002	0.056769141905621004	1.330088461078288	0.676660315511119	0.003527638169367	1.993300124137316	1.7038742967504121	43.55171493649138	8.265105047978722	1.34950671247831	0.208456145215377
130.0.	0.001501272993717	0.05694986240494201	1.392499496893182	0.6481426025355661	0.003941639280115	1.993063711923953	1.724261918737038	43.821925355843916	7.861706752066587	1.377083398732968	0.184012552249765
135.0.	0.0015039977256720001	0.056974713627252004	1.46286580833538	0.618767506254087	0.004450007163226	1.992830783359988	1.7412693747012842	43.86285989809719	7.433031616664871	1.4035162878269771	0.162743738699652
140.0.	0.0015067822774410002	0.056840817528643006	1.5425822628854071	0.5889702843113851	0.005088817046769001	1.9925994681660462	1.7552814744437422	43.690711559821324	6.974921585826343	1.428860912740984	0.144265136660116
145.0.	0.0015096594073760001	0.056543634649829005	1.633637558941028	0.559119721191855	0.005916505448777001	1.992367839385279	1.7666501167018591	43.32225290985432	6.481764900005075	1.453168687304601	0.12822654267407202
150.0.	0.0015126754091250002	0.056076338827680004	1.7390230782409972	0.5295237900409381	0.007034999020812001	1.9921336506209681	1.7756947193501942	42.77393861345912	5.945552605330615	1.47648723833541	0.114311553698814
155.0.	0.0015159013968060002	0.055428714480119004	1.863571501765942	0.5004368311648111	0.00864117274621	1.9918939566689071	1.782704664709259	42.06069507873089	5.353979088680602	1.498860735271271	0.102234974957275
160.0.	0.001519459589996	0.054585006112619	2.015935291259653	0.47206931954959	0.011177132396548	1.99164439805776	1.787944995824011	41.193690600649745	4.686049411214658	1.520330206271806	0.09173697596635501
165.0.	0.001523599168447	0.053519011851077006	2.214377911740793	0.444605980889391	0.015915868471111	1.9913774827211181	1.791671517930201	40.17431144075213	3.8994945739687252	1.5409338253778841	0.082567859041696
170.0.	0.0015290186645690001	0.052179267356907005	2.5118739060471142	0.418271560544468	0.028965660514132	1.991076882142793	1.794196380119407	38.96693338391706	2.8775117418471052	1.560707118108879	0.074422427564512
175.0.	0.0015408416646970002	0.050395980028590005	3.3178049392366082	0.394682896485747	0.32474291331272803	1.9906764849824552	1.7972664833575802	36.926940478329406	0.7658916204449531	1.579682342046988	0.06556240903520301
180.0.	0.0015444040884610001	0.047964832087185	3.391451385248486	0.422889411003502	4.605685171353471	1.990135761190281	1.852798289502049	11.937802482197007	0.006387387813181	1.597798878023579	0.004173239698198001
185.0.	0.00154254849886	0.045629155516237	3.10581848779083	0.39195530251673805	2.284599635434672	1.989842411469296	1.848471042690905	11.375393085610343	0.011878348812291	1.6151548315023492	0.002519394903418
190.0.	0.0015407446667460001	0.043408597530466005	2.846057857609527	0.361717212289405	1.898860215273143	1.989706338754063	1.842171225471713	11.45687559800046	0.013169135525352002	1.6318486898535052	0.0026497873035470003
195.0.	0.0015390003719900002	0.041296435667289	2.608774934062558	0.333855439719126	1.787742041725846	1.9896620395287332	1.835749444131272	11.440848936817863	0.012840120684009	1.647899763999669	0.0027266777823830002
200.0.	0.0015373190936760002	0.039287105458618	2.391397967500161	0.30821698455545404	1.70376407614107	1.989670733394096	1.829252328597367	11.355040669008563	0.012351262658486	1.663325670210797	0.00271727276479
205.0.	0.001535705252253	0.037375605925469006	2.192126970994947	0.28457083385264004	1.609003663279982	1.989709397847857	1.8226300771108122	11.248502477508719	0.011988161349572	1.67814410985923	0.0026843481183540002
210.0.	0.0015341612763660002	0.035557211655299	2.009458177652218	0.26273781796849405	1.5076856381336832	1.989764334427263	1.815867459269326	11.139954594608378	0.011728014798036	1.692372796358975	0.002655272618487
215.0.	0.001532687335052	0.033827413012551	1.8420204070826411	0.24257372107157102	1.405479846505076	1.989827411160838	1.80897073683688	11.032717314528506	0.011533453774514	1.706029300186597	0.0026352203995340003
220.0.	0.001531282097279	0.032181910800888	1.688545971243956	0.223950813528551	1.3046038249028	1.9898938326803581	1.801951225307089	10.926113405775506	0.011390831522987001	1.71913097766301	0.002623674675196
225.0.	0.0015299434010640001	0.030616613365278003	1.5478664862086151	0.20675122319559702	1.205480055317057	1.9899608037538261	1.79481969083914	10.81904038061128	0.011300822107703001	1.731694945078198	0.0026200590480830004
230.0.	0.001528668666486	0.029127630151641003	1.4189082785642722	0.19086533682835102	1.107983725144211	1.990026726112245	1.787585479999319	10.710529354213504	0.011270549833065	1.743738065850574	0.0026246275096950002
235.0.	0.001527455126179	0.027711263692100002	1.30068566405242	0.17619133998369502	1.011908953517273	1.9900907160303791	1.780256719889165	10.599646671457863	0.01131100899478	1.7552769398742911	0.002638284623334
240.0.	0.001526299949161	0.026364001612514003	1.1922934460933101	0.16263481112359202	0.9170968597104241	1.990152315000784	1.772840542083254	10.485355517269344	0.011437310070355	1.7663278930394952	0.0026623835653520004
245.0.	0.0015252003033330002	0.025082509400391	1.092899379392314	0.150108232481797	0.8234719170946391	1.990211316550532	1.765343188425765	10.366417408569331	0.011670311254549	1.776906967044897	0.0026986433207600003
250.0.	0.001524153380184	0.023863624328978	1.001736736398667	0.138530469341273	0.731072475580484	1.99026766289786	1.757770044811451	10.241314977049152	0.012039341338079	1.7870299098072362	0.002749138263636
255.0.	0.0015231563927310002	0.022704350931171003	0.9180968075432451	0.12782627478107	0.640099387410338	1.9903213836791092	1.750125659490585	10.108180341226516	0.012586339342393001	1.79671216661272	0.0028163032129840003
260.0.	0.001522206550369	0.021601858590247002	0.8413210026942861	0.11792586657154801	0.550988213124412	1.9903725601706501	1.742413796375304	9.964730036542646	0.013372105598061	1.805968871986862	0.002902903357959
265.0.	0.0015213010099130002	0.020553482093093	0.7707921305020251	0.10876462726430401	0.46450187584581704	1.990421305192062	1.734637582218868	9.808226318342566	0.014485603465940002	1.8148148420865962	0.0030119102751420004
270.0.	0.0015204368011960002	0.019556726293375	0.705924525914654	0.10028299320448501	0.38182628004095504	1.990467752941428	1.726799826120319	9.635508823440619	0.016057129328223	1.8232645672047871	0.0031462059347740004
275.0.	0.001519610733643	0.018609276071237	0.646153426811725	0.092426603568606	0.304623340150649	1.990512055326443	1.718903601110338	9.443169459858975	0.018274714629198	1.831332203728834	0.003308025580145
280.0.	0.001518819320863	0.017709011686895003	0.590926449664511	0.085146735265113	0.23495611443802802	1.990554382212728	1.7109531369241542	9.22796042741976	0.021397992640289	1.839031564732621	0.0034980912245990005
285.0.	0.0015180588338010001	0.01685402546037	0.539705683445685	0.078400893179801	0.17497815903757002	1.990594922093277	1.702954913254868	8.987485696640436	0.025751543021456002	1.846376108625334	0.0037145471264090004
290.0.	0.0015173256938440002	0.016042626028477003	0.491996402682548	0.072153140788439	0.126344487402168	1.990633876597025	1.694918536005803	8.721069687578472	0.031662736453327005	1.853378926418658	0.003952114260468
295.0.	0.0015166173737250002	0.015273303817001002	0.447414056922795	0.066373522038638	0.08951955645974001	1.990671439164644	1.686856698583279	8.4304365874968	0.039315204644102	1.86005273037563	0.004202159030718001
300.0.	0.0015159334628630002	0.014544634542712001	0.40576059335544	0.061036174077529	0.063421495778035	1.990707753897362	1.678783729978011	8.119695466835411	0.048571130328019005	1.8664098489124292	0.004454169484263
305.0.	0.001515275832949	0.013855142047771002	0.36702728397662504	0.056116668867327	0.045782159151398	1.990742872980964	1.670713172357382	7.794446266137297	0.058932955382556	1.8724622319588091	0.0046981917146480005
310.0.	0.001514647307063	0.013203199372925	0.331283054419635	0.05158995544789301	0.03403598678598	1.990776749632925	1.662655750905851	7.460487287346757	0.069743525297542	1.878221466190318	0.004926863711027
315.0.	0.0015140499439750001	0.012587029594050001	0.298540481710803	0.04742984249125701	0.026077418423569	1.9908092795645451	1.6546187741193341	7.122872574414465	0.080453030363536	1.883698794173832	0.005136013886398
320.0.	0.0015134843538630002	0.012004779912968002	0.268707581798218	0.043609681542354006	0.020493551888074002	1.990840358455983	1.6466067487430012	6.785610404252366	0.09073004244881201	1.888905130813491	0.0053240465649230006
325.0.	0.001512950010121	0.011454601140029	0.24161666938789603	0.040103325935867004	0.016428449891374	1.9908699181862841	1.638622346265064	6.4517704343594975	0.100419106819514	1.893851074312157	0.005490980542234
330.0.	0.0015124457824610001	0.0109346977124	0.21706754382339402	0.036885814692321	0.013374170478159001	1.990897935006712	1.630667165906663	6.123694105486942	0.109462975490192	1.8985469125028611	0.0056376952780630004
335.0.	0.0015119702923950002	0.010443350645331001	0.19485480961255902	0.03393371701773	0.01102078996415	1.9909244222427571	1.622742201213472	5.803171060404769	0.11785062759093601	1.903002626532635	0.0057654758962650005
340.0.	0.0015115220865090002	0.009978925510724001	0.17478021106934302	0.031225251056708002	0.009170760303678001	1.9909494192185542	1.614848099564413	5.491563553693451	0.1255920998766	1.9072278934502211	0.0058757662459690005
345.0.	0.001511099711834	0.009539873728532001	0.156657186825637	0.028740281604999002	0.007692716473074001	1.9909729816285502	1.606985304874228	5.189893709228785	0.132707582483647	1.911232088584154	0.005970038893742
350.0.	0.0015107017485290002	0.009124731071895001	0.140312163561009	0.026460258479118003	0.006496085468865	1.990995174516728	1.5991541377840992	4.898907586853107	0.139222607713156	1.9150242881485902	0.0060497273054970005
355.0.	0.001510326824706	0.008732114998166	0.12558457808911	0.024368127689218002	0.0055165100101150005	1.9910160675378572	1.591354841949114	4.619124540498105	0.14516570256227002	1.9186132722718001	0.0061161913888330005
