	CIS	CISRNA	CISnRNA1	CISnRNA2	CISnRNA3	CISnRNA4	CISnRNA5	Epo	EpoRJAK2	EpoRJAK2_CIS	EpoRpJAK2	SHP1	SHP1Act	SOCS3	SOCS3RNA	SOCS3nRNA1	SOCS3nRNA2	SOCS3nRNA3	SOCS3nRNA4	SOCS3nRNA5	STAT5	npSTAT5	p12EpoRpJAK2	p1EpoRpJAK2	p2EpoRpJAK2	pSTAT5
23	12.602856914980483	0.13722892538652945	1093.3588263264337	1214.48964073726	1317.0820246659869	1378.802578315605	1378.7305221960405	1.24997e-07	3.7366015306383322	0.0	0.12816576179059663	26.57397880910108	0.15112119089892334	9.00280488111997	0.05184369117307134	0.001114761532061301	0.0011327044304772897	0.0011509226600509173	0.0011694093566096478	0.001188158269205817	55.517835485611315	11.212003665731606	0.026031711886633335	0.01683433942939217	0.06858665625504812	16.52741199420097
24	13.765556690273895	0.13667804552833784	1041.1496619255192	1161.8777861094866	1270.9661547573721	1348.3982256040692	1373.192266213021	1.24997e-07	3.740188709071521	0.0	0.12721417082517475	26.57292604118746	0.15217395881254175	9.21746349824544	0.05307982124256357	0.0010598160393867511	0.0010768427856412933	0.001094157820082158	0.001111757954202776	0.0011296381234831752	56.689652404196494	10.659938738221378	0.025100178268696084	0.016546602624300546	0.0671703392103103	15.735139713279072
25	14.888344530711684	0.13513483092351522	990.9702877096488	1109.751809260276	1222.5901277748978	1311.953704465748	1357.684653368374	1.24997e-07	3.743327566209133	0.0	0.1263689614198373	26.5719658160614	0.15313418393860256	9.405309296434913	0.05416154706581767	0.0010078439070506482	0.0010239335143068368	0.0010403162741652954	0.0010569914974781838	0.0010739571212281301	57.77994831158329	10.138408150538218	0.02429723901599972	0.016293770210347655	0.06593246314468487	15.003396084924448
26	15.962032479890137	0.13277006249985787	943.0561155445344	1058.7326947356842	1173.085747187835	1271.0642061342319	1333.9234916067621	1.24997e-07	3.7460665786852867	0.0	0.12561998337309296	26.57108703865543	0.15401296134457093	9.568132051818774	0.055099175266622384	0.0009588711098273891	0.0009740221765510541	0.0009894658586210503	0.0010052027933577336	0.001021233062081344	58.79304691685282	9.647495043018765	0.023608832234196724	0.016071968830272485	0.06485263687715415	14.327800241074536
27	16.979628108361158	0.12974383078007393	897.5483392495581	1009.2749046399692	1123.352985029948	1227.0933329000454	1303.5171650567045	1.24997e-07	3.7484550342828533	0.0	0.1249580340638066	26.570280127208544	0.15481987279145878	9.707674859843102	0.055902743647611275	0.000912872458165638	0.0009270977050888607	0.0009416111723318744	0.0009564143899706418	0.0009715086583694227	59.73320965114563	9.186810149569022	0.023018047741203435	0.01587763604219308	0.06391124786994666	13.704358371028434
28	17.936241147737338	0.12620230909749391	854.5085120417735	961.6869168543249	1074.0793757418537	1181.1749047393757	1267.934219683458	1.24997e-07	3.750536672081332	0.0	0.12437518800963969	26.569536899777287	0.1555631002227157	9.825626570544816	0.05658197762884536	0.0008697810355900476	0.0008831028343005227	0.0008967056000556895	0.0009105916708492504	0.0009247631469954798	60.6046151342938	8.755580472836312	0.022509251019287614	0.01570772114762154	0.06309116774212227	13.129423290633996
29	18.828629040682596	0.12227675658764207	813.9468164562464	916.1771473093498	1025.7964515149847	1134.2545698243998	1228.4933538811567	1.24997e-07	3.7523474683908495	0.0	0.12386419162266175	26.568850169280793	0.1562498307192094	9.923623347856239	0.05714629922899609	0.0008295046981765958	0.0008419522541716899	0.0008546714222899596	0.0008676652031284059	0.0008809363737853232	61.41135362021014	8.352802458931352	0.022070335915474772	0.015559628303113167	0.06237837576790348	12.59959468927732
30	19.654927383779317	0.11808252240494033	775.8377731838988	872.8791928669364	978.9104949161602	1087.1116374976884	1186.3534185088295	1.24997e-07	3.7539172927154865	0.0	0.12341816875997735	26.568213540117224	0.15688645988278008	10.003238600202234	0.057604769080681274	0.0007919355902051777	0.0008035428858720382	0.0008154109856339837	0.0008275433353336398	0.0008399432409567997	62.157396974372574	7.977331359249126	0.021692521738782417	0.01543104532336507	0.061760971462391304	12.111687716146413
31	20.414449188349824	0.1137188772341687	740.1295351955196	831.8673478714915	933.7226956975031	1040.375924861583	1142.5117267804512	1.24997e-07	3.7552724297346893	0.0	0.12303077619243971	26.567621303900093	0.1574786960999104	10.065973731812718	0.05796603317150119	0.0007569557592519829	0.0007677599369550072	0.000778813184216065	0.0007901192084495526	0.0008016816485414633	62.846570541600826	7.627934254941536	0.021368537924926476	0.015319876812288021	0.06122837933565925	11.662724658129635
32	21.10750052209239	0.10926963035430345	706.7505542947658	793.168461406044	890.4460418670261	994.5449536769922	1097.8102554592313	1.24997e-07	3.756436411630947	0.0	0.12269626723669488	26.567068371599177	0.15803162840082602	10.11325265999938	0.05823829127156781	0.0007244410342444091	0.000734481116329719	0.0007447580057741946	0.000755275550930454	0.0007660375659508525	63.48253568562426	7.303326611732719	0.021091983351511898	0.015224238837893502	0.060771098942955855	11.249927268812254
33	21.73520316493612	0.10480425004967854	675.6150356045573	756.7721153049172	849.2208023724996	950.0017321370141	1052.9469025038466	1.24997e-07	3.7574303373664324	0.0	0.12240944625343532	26.56655021514509	0.15854978485491228	10.146419464517908	0.058429283397408716	0.0006942640704452223	0.0007035799586879283	0.000713120163360819	0.0007228885907885043	0.0007328891322831559	64.06878020323478	7.0022008359058265	0.02085703923933027	0.015142463896508621	0.06038071324429634	10.870706722082723
34	22.299329226967014	0.10037924268805924	646.6274899216575	722.6393986409211	810.1284804210712	907.0320527893884	1008.4893430788418	1.24997e-07	3.7582729160627153	0.0	0.12216558629246772	26.566062809662164	0.15903719033783595	10.166738081599568	0.05854628805027315	0.0006662968055311787	0.0006749285125990214	0.00068377204367677	0.0006928312974246068	0.0007021101761083024	64.60861452757541	6.723249177216133	0.020658609285568542	0.015073074598984344	0.060049813760266996	10.522651663091256
35	22.802152935305475	0.09603963117528871	619.6864238663651	690.7102331611513	773.203917555712	865.8404607751871	964.8898836582594	1.24997e-07	3.758980713367304	0.0	0.12196037880140236	26.56560257784073	0.15949742215927173	10.175393306527598	0.05859612798978202	0.0006404123819213726	0.00064839945347146	0.0006565860267133639	0.0006649759405687693	0.0006735730544853737	65.10517138086507	6.465181553272408	0.02049228517873687	0.015014752596642469	0.059771870055916936	10.203516301262908
