	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_7	species_8	species_9
0	6.69999967736e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	6.303695030582029e-05	7.614540186134587e-08	5.447517729023954e-07	1.5119261012318645e-07	8.494288754433873e-08	7.196749142844555e-08	1.998758647293169e-06	7.584311742030034e-07	1.4214871318017728e-07	1.3801428692912387e-07
2	5.93082894694328e-05	1.4778735208820004e-07	1.057285405219799e-06	2.9344326721259474e-07	1.6486201559172762e-07	1.3967862450850575e-07	4.665489451079169e-06	7.383870597870956e-07	2.2332558371765414e-07	2.678660236469304e-07
3	5.5800155300498286e-05	2.1519213480998674e-07	1.5395059200797218e-06	4.272806990912827e-07	2.4005443350178245e-07	2.0338507301605423e-07	7.231628262435812e-06	6.955271533762474e-07	2.6657439009214467e-07	3.9003785274699413e-07
4	5.249950792650029e-05	2.786102962519541e-07	1.9932057500790364e-06	5.532023847510977e-07	3.107996344456671e-07	2.633236363227829e-07	9.667656966201171e-06	6.544164445574712e-07	2.8638814220278715e-07	5.049838917173702e-07
5	4.93940781993236e-05	3.382775740521354e-07	2.420071385709867e-06	6.716763995836885e-07	3.773605920920208e-07	3.197171177238321e-07	1.1972789406329389e-05	6.157110918049722e-07	2.918728650807526e-07	6.131314173366986e-07
6	4.647232217981942e-05	3.944157717883313e-07	2.8216896318125543e-06	7.831431518217602e-07	4.399847361727186e-07	3.727751509816354e-07	1.4149875683169426e-05	5.792937710684123e-07	2.887412518126605e-07	7.148824507629251e-07
7	4.372337830491085e-05	4.4723358196315585e-07	3.1995534952924566e-06	8.880170166398081e-07	4.98904870551783e-07	4.2269497815580333e-07	1.6203420722239925e-05	5.450299936005851e-07	2.805691131999483e-07	8.10615249201759e-07
8	4.11370270793452e-05	4.969273604808769e-07	3.555067725804247e-06	9.866878739380451e-07	5.543400371816783e-07	4.696621815863315e-07	1.813879771862015e-05	5.127925253558668e-07	2.6958700321630305e-07	9.006857096535368e-07
9	3.870365315213479e-05	5.436818553051999e-07	3.88955402864212e-06	1.07952255514903e-06	6.064963289468265e-07	5.138513725717277e-07	1.9961777101286204e-05	4.824615413682629e-07	2.571788449180006e-07	9.85428689612593e-07
10	3.6414209623339283e-05	5.87670892263593e-07	4.204255971052095e-06	1.1668662049554267e-06	6.555676547025759e-07	5.55426839544945e-07	2.1678238405148533e-05	4.539243451805856e-07	2.4419645189879944e-07	1.0651592500943203e-06
11	3.426018442877364e-05	6.290580209266479e-07	4.500343602917147e-06	1.2490435637336446e-06	7.017364597764585e-07	5.945431585149333e-07	2.3293997311995438e-05	4.2707487612978094e-07	2.3115757278598227e-07	1.1401738262978378e-06
12	3.223356880320038e-05	6.679971205517437e-07	4.7789177917384145e-06	1.326360170702051e-06	7.451744019197694e-07	6.313457657636718e-07	2.481470471028263e-05	4.018133413515948e-07	2.1837027156571157e-07	1.2107513258848196e-06
13	3.032682752301686e-05	7.046329718357518e-07	5.041014313010868e-06	1.3991034991803773e-06	7.860429891179198e-07	6.659714982282092e-07	2.6245789983217477e-05	3.780458545030054e-07	2.060117710291361e-07	1.2771541652868732e-06
14	2.853287086319769e-05	7.391017957302894e-07	5.287607704961192e-06	1.467544026449262e-06	8.244941806578995e-07	6.985491027524556e-07	2.759243250746805e-05	3.556840716663152e-07	1.9417783427434274e-07	1.3396292463134673e-06
15	2.684502832718253e-05	7.715317581918577e-07	5.519614879580431e-06	1.5319362359708526e-06	8.606709501948992e-07	7.291997131429235e-07	2.8859550210095508e-05	3.346448719868289e-07	1.829137461763307e-07	1.398408871016501e-06
16	2.5257023798739023e-05	8.020434476103552e-07	5.737898538195034e-06	1.5925195653602064e-06	8.947078183406944e-07	7.580373014019173e-07	3.0051798437692092e-05	3.148500469427172e-07	1.7223393371154905e-07	1.4537116070341632e-06
17	2.3762952372117496e-05	8.307503199911347e-07	5.943270356343527e-06	1.6495192903288456e-06	9.267313492799677e-07	7.851690984835474e-07	3.117357505292864e-05	2.962260120218535e-07	1.6213410863887315e-07	1.505743094487772e-06
