	e	ez	w	z
0	0.0	0.0	0.0	2.4e-05
1	1.1293016693098065e-07	1.937131360463891e-09	1.1486729829144456e-07	2.3883195570348095e-05
2	2.2235834968869232e-07	6.83979086219229e-09	2.2919814055088462e-07	2.376396206858693e-05
3	3.2829576667222164e-07	1.4674530579957275e-08	3.42970297252179e-07	2.364235517216787e-05
4	4.30788326905204e-07	2.5376055634615602e-08	4.5616438253981975e-07	2.351845956182557e-05
5	5.299311738583718e-07	3.8837011403591306e-08	5.687681852619632e-07	2.339239480333445e-05
6	6.258335529566238e-07	5.493869173100847e-08	6.807722446876324e-07	2.3264289063581363e-05
7	7.186070297305777e-07	7.356134483118725e-08	7.921683745617651e-07	2.313427028060705e-05
8	8.08350569756203e-07	9.459933359380751e-08	9.029499033500107e-07	2.3002450763056185e-05
9	8.951676896629543e-07	1.1794245803714685e-07	1.0131101477001013e-06	2.2868947394262757e-05
10	9.791709171061738e-07	1.4347124587842792e-07	1.1226421629846018e-06	2.2733886591136977e-05
11	1.0604650526667307e-06	1.7107476920918042e-07	1.231539821875911e-06	2.2597385408914914e-05
12	1.1391501456382003e-06	2.0064744524080444e-07	1.3397975908790044e-06	2.2459554963880195e-05
13	1.2153207595494072e-06	2.3208977701711922e-07	1.4474105365665261e-06	2.232049968641636e-05
14	1.2890676527540286e-06	2.653065424245127e-07	1.5543741951785412e-06	2.218031926239695e-05
15	1.3604781512615786e-06	3.0020637825107343e-07	1.660684529512652e-06	2.203910909223628e-05
16	1.429636578236515e-06	3.367013118083702e-07	1.7663378900448853e-06	2.189696079814675e-05
17	1.4966243472052728e-06	3.7470665111346247e-07	1.8713309983187353e-06	2.1753962350567806e-05
18	1.5615200523417912e-06	4.141408796697325e-07	1.9756609320115236e-06	2.1610198188318748e-05
19	1.624399520926772e-06	4.549255914082902e-07	2.079325112335062e-06	2.1465749296256652e-05
20	1.6853360712334697e-06	4.969851964275476e-07	2.182321267661017e-06	2.132069353591144e-05
21	1.7444005172309379e-06	5.402469129790128e-07	2.2846474302099503e-06	2.117510565681104e-05
22	1.8016606552737764e-06	5.846413387537986e-07	2.3863019940275745e-06	2.1029056667218628e-05
23	1.8571816926428663e-06	6.301019646527089e-07	2.487283657295575e-06	2.0882614378051716e-05
24	1.9110265999812365e-06	6.765647767720512e-07	2.5875913767532876e-06	2.073584384647466e-05
25	1.9632559436238553e-06	7.239684409311452e-07	2.6872243845550004e-06	2.0588807174513853e-05
26	2.013928503527844e-06	7.722536119495441e-07	2.7861821154773883e-06	2.0441564272573067e-05
27	2.0631008339901796e-06	8.213634215287726e-07	2.8844642555189522e-06	2.0294172322952273e-05
28	2.110827292830653e-06	8.712434431171442e-07	2.9820707359477973e-06	2.014668582093506e-05
29	2.1571603151059715e-06	9.218413848025906e-07	3.079001699908562e-06	1.999915691528885e-05
30	2.2021502625432917e-06	9.731072540399434e-07	3.1752575165832347e-06	1.9851635229376824e-05
31	2.2458455808629156e-06	1.024993180537531e-06	3.270838761400446e-06	1.9704168058062024e-05
32	2.2882929501553876e-06	1.0774532470198834e-06	3.36574619717527e-06	1.9556800555804848e-05
33	2.3295373541962953e-06	1.130443410406974e-06	3.4599807646032687e-06	1.9409575824989758e-05
34	2.3696221145973515e-06	1.1839214622961718e-06	3.553543576893523e-06	1.9262534960810306e-05
35	2.4085889332776266e-06	1.2378469802906496e-06	3.6464359135682758e-06	1.9115717106141072e-05
36	2.446477950211902e-06	1.2921812624029904e-06	3.738659212614892e-06	1.8969159524982112e-05
37	2.483327805704795e-06	1.34688725650688e-06	3.830215062211675e-06	1.882289768128144e-05
38	2.5191756989776044e-06	1.4019294939908966e-06	3.9211051929685015e-06	1.8676965313040597e-05
39	2.55405744200243e-06	1.4572740288004498e-06	4.01133147080288e-06	1.8531394500396664e-05
40	2.588007510602345e-06	1.5128883796101505e-06	4.100895890212495e-06	1.8386215730177347e-05
41	2.6210590942427455e-06	1.56874147352831e-06	4.189800567771056e-06	1.824145795870063e-05
