	Ln_	NRLc	NRLm	NRLn	NRc	NRm	NRn	RE	REL
0	0.0	0.0	0.0	0.0	42.0	42.0	83.25	3.7	0.0
1	0.0013314303577285163	0.20124392288169998	0.07425258511611174	0.08757719326525946	41.79875607711832	41.925747414883865	82.88043039835655	3.4180075916219734	0.28199240837802964
2	0.0023251696440714413	0.2033093611238397	0.11043989461325501	0.17569935091845393	41.79669063887618	41.88956010538676	82.53145518387261	3.157154534791238	0.5428454652087665
3	0.0031000218787790245	0.2049265738892939	0.13874769576426696	0.24387218303741326	41.79507342611071	41.86125230423574	82.28710811922328	2.9809803022608765	0.7190196977391295
4	0.0036757136368263054	0.2061382050599287	0.15990706424703283	0.29416871710370546	41.793861794940064	41.84009293575296	82.11891685850223	2.863085575606083	0.8369144243939219
5	0.00408907237610787	0.2070132045300847	0.1751630944083118	0.33010922217951927	41.792986795469886	41.824836905591674	82.00428364873981	2.784392870919502	0.9156071290805047
6	0.00437905062336725	0.2076294184454892	0.18589535944935745	0.35523987105490895	41.792370581554486	41.81410464055062	81.92665034258172	2.731890213636765	0.9681097863632411
7	0.004579311973977387	0.20805608810348453	0.19332098037191348	0.37255710193608177	41.79194391189649	41.80667901962805	81.87429236362574	2.6968494655619772	1.0031505344380285
8	0.0047161673040698356	0.20834817376794418	0.1984018429349397	0.3843738961623041	41.79165182623202	41.80159815706502	81.8390767437727	2.6734506399351705	1.0265493600648363
9	0.004809035641153946	0.20854660936906935	0.20185251470256188	0.3923846602078795	41.791453390630885	41.798147485297406	81.81543346120645	2.6578181214144565	1.0421818785855501
10	0.0048717586455893375	0.20868073598439615	0.20418437885730129	0.3977915035722192	41.79131926401558	41.79581562114267	81.79957856738554	2.6473700709578787	1.052629929042127
11	0.004913988226792877	0.20877108626220287	0.20575493585436344	0.40143015049227965	41.79122891373775	41.7942450641456	81.7889548781849	2.640385028677308	1.0596149713226986
12	0.004942360279045495	0.20883180931245304	0.20681037920940168	0.40387405450551467	41.7911681906875	41.79318962079056	81.78184014618748	2.635714200693099	1.0642857993069077
13	0.004961395241830014	0.20887255814884434	0.20751859873083722	0.40551335504436514	41.79112744185109	41.79248140126911	81.77707705274439	2.6325904077888476	1.06740959221116
14	0.004974153854549236	0.2088998751949901	0.2079933512087652	0.40661198613974703	41.79110012480495	41.79200664879117	81.77388905691139	2.630501043051225	1.0694989569487827
15	0.004982700205186295	0.20891817539616375	0.2083113873963235	0.40734783775973177	41.79108182460378	41.791688612603615	81.77175562737172	2.6291034651315504	1.0708965348684574
16	0.004988422556938302	0.2089304294482498	0.20852434434455652	0.40784050997835214	41.791069570551684	41.79147565565538	81.77032807070495	2.6281685806833868	1.0718314193166218
17	0.00499225297060491	0.2089386324145349	0.2086668976453713	0.40817028047043663	41.79106136758539	41.79133310235456	81.76937290666547	2.6275431871360198	1.0724568128639904
18	0.004994816478964064	0.2089441224280785	0.20876230369773482	0.4083909737989	41.79105587757185	41.79123769630218	81.76873384578026	2.6271248195792474	1.0728751804207624
19	0.004996531892749645	0.20894779623694174	0.20882614716994058	0.40853865172007003	41.79105220376298	41.79117385282997	81.7683062898735	2.6268449415936512	1.0731550584063583
20	0.00499767969295931	0.2089502544525468	0.20886886588621795	0.4086374632812263	41.79104974554737	41.7911311341137	81.76802024480607	2.6266577080873614	1.0733422919126472
21	0.004998447653952284	0.20895189919102763	0.20889744797247925	0.4087035748001069	41.79104810080889	41.79110255202744	81.7678288765231	2.626532451323283	1.0734675486767253
22	0.004998961455641438	0.2089529996045265	0.20891657080458892	0.4087478062492141	41.79104700039538	41.791083429195325	81.76770084959375	2.6264486558430162	1.0735513441569913
23	0.004999305204255893	0.2089537358169421	0.20892936458597297	0.4087773982980897	41.79104626418297	41.79107063541394	81.76761519906763	2.6263925973657716	1.073607402634236
24	0.00499953517862051	0.20895422835842278	0.20893792388611995	0.4087971958943237	41.79104577164141	41.79106207611386	81.76755789871183	2.62635509460619	1.073644905393817
25	0.004999689033899236	0.2089545578744871	0.20894365015589925	0.4088104406739792	41.79104544212541	41.79105634984401	81.76751956482929	2.6263300055033008	1.0736699944967052
26	0.004999791963902137	0.20895477832276665	0.2089474810643457	0.408819301492748	41.79104522167714	41.79105251893556	81.76749391955285	2.626313221045655	1.0736867789543518
27	0.0049998608242735505	0.2089549258032151	0.20895004395103878	0.4088252293934083	41.791045074196674	41.79104995604885	81.76747676294552	2.626301992339024	1.073698007660983
28	0.0049999068918926744	0.20895502446775566	0.20895175852405673	0.4088291951596788	41.791044975532145	41.79104824147585	81.76746528522686	2.6262944803866057	1.0737055196134024
29	0.004999937711075692	0.20895509047424174	0.20895290557169363	0.40883184825179464	41.79104490952565	41.79104709442821	81.76745760667303	2.6262894549249234	1.0737105450750843
30	0.004999958329003453	0.2089551346323656	0.2089536729427655	0.40883362316094024	41.79104486536754	41.79104632705714	81.76745246975872	2.626286092919771	1.0737139070802373
31	0.004999972122273974	0.20895516417389162	0.2089541863094902	0.40883481056438586	41.791044835826014	41.79104581369042	81.76744903319906	2.6262838437635434	1.0737161562364648
32	0.004999981349965249	0.2089551839371603	0.2089545297516067	0.4088356049366373	41.79104481606275	41.79104547024829	81.76744673414467	2.626282339081419	1.0737176609185888
33	0.00499998752325295	0.20895519715870728	0.20895475951298934	0.40883613636838817	41.79104480284121	41.7910452404869	81.76744519608776	2.6262813324562653	1.0737186675437425
34	0.004999991653200332	0.20895520600396092	0.20895491322402648	0.40883649189775645	41.79104479399596	41.79104508677589	81.76744416712371	2.6262806590215773	1.073719340978431
35	0.004999994416064116	0.20895521192128366	0.20895501605406963	0.4088367297407832	41.79104478807862	41.79104498394584	81.76744347876465	2.6262802085055577	1.073719791494451
36	0.004999996264400766	0.20895521587993157	0.2089550848466542	0.40883688885611047	41.791044784119975	41.79104491515324	81.76744301825734	2.6262799071135667	1.0737200928864425
37	0.004999997500958788	0.20895521852831156	0.20895513086966805	0.408836995306054	41.79104478147159	41.79104486913023	81.76744271017279	2.6262797054789737	1.0737202945210351
38	0.0049999983281800164	0.2089552203000005	0.2089551616577213	0.4088370665179588	41.7910447796999	41.791044838342174	81.76744250407324	2.626279570591334	1.0737204294086746
39	0.0049999988815225965	0.2089552214851138	0.2089551822523826	0.4088371141528328	41.791044778514774	41.79104481774754	81.7674423662097	2.6262794803626677	1.07372051963734
40	0.0049999992517151355	0.20895522227796756	0.20895519603044313	0.4088371460211027	41.79104477772193	41.79104480396948	81.76744227397745	2.6262794199986765	1.0737205800013314
41	0.004999999499404599	0.20895522280845383	0.20895520524911537	0.40883716734362774	41.791044777191445	41.791044794750796	81.7674422122664	2.626279379610129	1.0737206203898781
42	0.004999999665089136	0.2089552231633061	0.20895521141566772	0.4088371816066932	41.7910447768366	41.79104478858424	81.76744217098664	2.6262793525934347	1.0737206474065728
43	0.004999999775910929	0.2089552234006571	0.20895521554030486	0.40883719114686295	41.79104477659926	41.7910447844596	81.76744214337576	2.6262793345227107	1.0737206654772973
44	0.004999999850100391	0.20895522355955126	0.20895521830153643	0.40883719753351394	41.791044776440366	41.791044781698375	81.76744212489169	2.626279322425294	1.0737206775747141
45	0.004999999899716942	0.2089552236658168	0.20895522014819704	0.408837201804788	41.7910447763341	41.79104477985172	81.76744211252988	2.6262793143347656	1.0737206856652421
46	0.004999999932936986	0.20895522373696548	0.208955221384602	0.4088372046645581	41.79104477626296	41.7910447786153	81.7674421042532	2.6262793089178693	1.073720691082139
47	0.004999999955120446	0.2089552237844764	0.20895522221024038	0.40883720657423644	41.791044776215436	41.79104477778967	81.76744209872628	2.62627930530061	1.0737206946993987
48	0.004999999969968034	0.20895522381627607	0.20895522276284745	0.40883720785240113	41.79104477618363	41.79104477723706	81.76744209502705	2.6262793028795457	1.0737206971204625
49	0.004999999979895057	0.20895522383753706	0.20895522313231782	0.40883720870697565	41.79104477616236	41.79104477686759	81.76744209255376	2.6262793012608343	1.0737206987391739
50	0.004999999986550194	0.20895522385179058	0.2089552233800129	0.4088372092798876	41.791044776148105	41.791044776619884	81.76744209089564	2.62627930017564	1.0737206998243676
51	0.004999999990997446	0.2089552238613154	0.2089552235455336	0.40883720966273246	41.79104477613858	41.791044776454356	81.76744208978764	2.626279299450466	1.0737207005495415
52	0.0049999999939742594	0.20895522386769091	0.20895522365632657	0.4088372099189934	41.791044776132196	41.79104477634356	81.76744208904597	2.6262792989650636	1.0737207010349439
53	0.004999999995963418	0.20895522387195112	0.20895522373036035	0.4088372100902315	41.79104477612793	41.79104477626953	81.76744208855037	2.626279298640709	1.0737207013592982
54	0.004999999997297432	0.20895522387480828	0.2089552237800105	0.4088372102050708	41.79104477612508	41.79104477621988	81.767442088218	2.6262792984231833	1.0737207015768235
55	0.004999999998184866	0.20895522387670892	0.20895522381303963	0.40883721028146636	41.79104477612318	41.79104477618685	81.7674420879969	2.626279298278477	1.0737207017215298
56	0.004999999998789548	0.208955223878004	0.20895522383554507	0.4088372103335207	41.791044776121886	41.79104477616434	81.76744208784625	2.626279298179877	1.0737207018201298
57	0.00499999999918529	0.20895522387885154	0.20895522385027393	0.40883721036758847	41.79104477612104	41.79104477614962	81.76744208774765	2.6262792981153473	1.0737207018846593
58	0.004999999999455938	0.20895522387943105	0.20895522386034723	0.40883721039088744	41.79104477612046	41.79104477613954	81.76744208768022	2.6262792980712155	1.0737207019287915
59	0.00499999999963729	0.20895522387981944	0.20895522386709686	0.4088372104064992	41.791044776120074	41.79104477613279	81.76744208763505	2.6262792980416445	1.0737207019583626
