id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	704.0594999999812	706.5526247024536	74	110	0.0	
{Bungay2006}_{Bungay2006}	330.11099999999806	332.7420949935913	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	279.9670000000119	282.11104869842535	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	0.0	24.2539644241333	46	119	-1.0	
{Froehlich2018}_{Froehlich2018}	0.0	401.3490676879883	1396	4704	-1.0	
{Holzhutter2004}_{Holzhutter2004}	200.79649999999924	201.5225887298584	45	166	0.0	
{Hui2014}_{Hui2014}	29.19300000000027	29.65617179870605	65	113	0.0	
{Lai2014}_{Lai2014}	888.2490000000038	889.0302181243896	195	27	0.0	
{Leber2015}_{Leber2015}	0.0	10.420799255371094	23	51	-1.0	
{Levchenko2000a}_{Levchenko2000a}	28.123499999986965	31.43119812011719	86	300	0.0	
{Liu2011}_{Liu2011}	0.0	15.527606010437012	42	89	-1.0	
{Nakakuki2010}_{Nakakuki2010}	0.0	2.202749252319336	49	141	-4.0	
{ODea2007}_{ODea2007}	47.728500000000274	48.044800758361816	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	294.4085000000005	294.8479652404785	90	20	0.0	
{Pathak2013}_{Pathak2013}	7.808500000000027	8.367657661437987	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	5.867999999999984	6.399869918823242	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	0.0	14.804363250732422	25	87	-1.0	
{Proctor2010a}_{Proctor2010a}	0.0	52.68597602844238	136	83	-1.0	
{Proctor2013a}_{Proctor2013a}	0.0	27.658462524414066	75	131	-1.0	
{Qi2013a}_{Qi2013a}	0.0	50.68445205688477	136	83	-1.0	
{Sasagawa2005}_{Sasagawa2005}	0.0	66.29908084869385	99	234	-1.0	
{Sengupta2015}_{Sengupta2015}	29.801500000000033	31.547188758850087	240	272	0.0	
{Singh2006}_{Singh2006}	0.0	22.42279052734375	68	105	-1.0	
{Sivakumar2011c}_{Sivakumar2011c}	36.82699999999997	37.161469459533684	50	56	0.0	
{Ueda2001}_{Ueda2001}	1.3765000000000158	1.6425848007202148	13	66	0.0	
{Ung2008}_{Ung2008}	0.0	57.50429630279541	194	313	-1.0	
{Yang2007}_{Yang2007}	0.0	14.669060707092285	25	54	-1.0	
{aguda1999_fig5c}_{model0_aguda1}	11.95650000000012	13.212442398071287	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	1.8360000000006729	2.93123722076416	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	1.828500000000619	2.922534942626953	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	1.8494999999996224	2.9125213623046875	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	1.8604999999990173	2.909064292907715	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	2.017999999999794	3.0841827392578125	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	1.817500000000236	2.856612205505371	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	1.9825000000003001	3.0287504196166988	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	1.3119999999995509	2.355813980102539	4	8	0.0	
{bachmann2011}_{bachmann}	4823.075000000013	4825.554490089417	26	32	0.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	5985.63150000024	5987.020373344421	26	32	0.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	1.5909999999999371	2.667069435119629	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	1.4019999999998731	2.417445182800293	1	4	0.0	
{becker2010_fig2b-user}_{model0_becker1}	1.4809999999997387	2.517819404602051	6	8	0.0	
{becker2010_figs4-user}_{model0_becker2}	1.4780000000001312	2.525210380554199	6	7	0.0	
{beuke2017_fig6}_{model29_beuke30}	0.0	13.252019882202148	33	72	-1.0	
{bier2000_fig3-user}_{model0_bier2}	2.7535000000000567	3.9358139038085938	4	5	0.0	
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	2.4429999999992447	4.427671432495117	4	21	0.0	
{borghans1997_fig12a-user}_{model0_borghans3}	16.671999999997123	17.80223846435547	4	15	0.0	
{borghans1997_fig5-user}_{model0_borghans1}	4.713500000000369	6.024837493896484	5	13	0.0	
{borghans1997_fig8-user}_{model0_borghans2}	3.387500000000724	5.144476890563965	4	17	0.0	
{brands2002_fig2-user}_{model0_brands1}	1.6585000000005332	2.7823448181152344	11	11	0.0	
{bucher2011_fig2-user}_{model0_bucher1}	2829.9370000002086	2830.7734727859497	18	30	0.0	
{bungay2003_fig4-user}_{model2_bungay3}	325.4659999999949	327.9341459274292	74	110	0.0	
{bungay2006_fig3a-user}_{model0_bungay2}	277.88250000001074	280.00223636627203	54	75	0.0	
{bungay2006_fig3b-user}_{model0_bungay1}	389.94000000002677	392.5358057022095	78	113	0.0	
{butenas2004_fig1-user}_{model0_butenas1}	663.1429999999891	665.205717086792	34	44	0.0	
{chance1943_fig12-user}_{model3_chance3}	1.4099999999999238	2.4280548095703125	4	2	0.0	
{chassagnole2002_fig4-user}_{model0_chassagnole2}	2945.7969999999846	2950.576066970825	18	135	0.0	
{chassagnole2002_fig5-user}_{model0_chassagnole2}	2982.361499999989	2988.06095123291	18	135	0.0	
{delcontezerail2008_fig4-user}_{delcontezerail1_Fig4D}	3.311000000000597	4.616975784301758	4	18	0.0	
{dupont1992_fig4-user}_{dupont2_Fig4B}	2.1299999999998693	3.5109519958496094	4	18	0.0	
{essunger1994_fig2-2}_{model0_essunger1}	2.7379999999994435	3.8306713104248047	7	14	0.0	
{essunger1994_fig4}_{model0_essunger2}	9.77749999999862	10.976433753967283	7	16	0.0	
{essunger1994_fig5}_{model0_essunger3}	6.593999999999371	7.7980756759643555	7	17	0.0	
{essunger1994_fig6-user}_{model2_essunger3}	10.616999999999727	11.801600456237793	7	17	0.0	
{essunger1994_fig8}_{model0_essunger6}	4.782999999997479	5.9462785720825195	7	17	0.0	
{ferreira2003_fig2f-user}_{ferreira1_Fig2F}	1.5955000000002182	3.05020809173584	6	29	0.0	
{fisher2006_fig3a}_{fisher1}	2.5849999999994253	3.9397478103637695	14	22	0.0	
{fraser2002_fig1a_1b_2a_2b}_{model0_fraser1}	1.573999999999887	2.6485919952392583	6	8	0.0	
{fraser2002_fig1a_1b_2a_2b}_{model1_fraser2}	2.0764999999987968	3.363490104675293	6	8	0.0	
{fuentes2005_fig1a-user}_{model0_fuentes1}	1.7925000000004443	3.0772686004638667	4	4	0.0	
{fung2005_fig3a}_{fung1_Fig3A_Vgly_0_5}	181.407500000043	182.72948265075684	8	21	0.0	
{gardner1998_fig4b-user}_{gardner1_Fig4B}	1.4849999999993848	2.5768280029296875	5	21	0.0	
{goldbeter1991_fig3-user}_{model0_goldbeter2}	8.664500000000025	9.781360626220703	3	14	0.0	
{goldbeter2006_fig3a-user}_{model0_goldbeter6}	2.526000000000259	3.6083459854125977	3	11	0.0	
{gorlich2003_fig4-user}_{model0_gorlich1}	18.630999999999553	19.848227500915527	13	16	0.0	
{hald2012_fig5-user}_{model0_hald}	0.0	13.231754302978516	31	89	-1.0	
{hald2012_fig5-user}_{model1_hald}	0.0	17.41015911102295	31	89	-1.0	
{hatakeyama2003_fig5-user}_{hatakeyama1_Fig5G}	0.0	18.191218376159668	36	68	-1.0	
{hernandezvargas2013}_{model0_esteban2013}	12.365000000001045	13.493895530700685	5	15	0.0	
{ho1995_fig3}_{model1_ho1}	1.1230000000002516	2.112865447998047	1	1	0.0	
{hockin1999_fig7a-user}_{model0_hockin2}	0.0	13.497471809387207	30	9	-1.0	
{hockin2002_fig3-user}_{model0_hockin1}	0.0	233.9881658554077	34	42	-1.0	
{hockin2002_fig3-user}_{model1_hockin1}	0.0	238.5333776473999	34	42	-1.0	
{hockin2002_fig3-user}_{model2_hockin1}	0.0	237.0892763137817	34	42	-1.0	
{hockin2002_fig3-user}_{model3_hockin1}	0.0	236.93585395812988	34	42	-1.0	
{hockin2002_fig3-user}_{model4_hockin1}	0.0	236.761212348938	34	42	-1.0	
{hockin2002_fig3-user}_{model5_hockin1}	0.0	232.46216773986816	34	42	-1.0	
{hornberg2005_fig2a-user}_{model0_hornberg1}	2.0764999999956686	3.19516658782959	9	17	0.0	
{ihekwaba2004_fig5-user}_{model0_ihekwaba1}	13.787999999998405	15.375971794128418	26	64	0.0	
{jiang2007_fig2-user}_{model0_jiang1}	395.1759999999958	398.2720375061035	59	306	0.0	
{karin2017_fig1c}_{model22_karin1}	1.3494999999992778	2.360820770263672	2	3	0.0	
{karin2017_fig1g}_{model24_karin3}	1.4934999999999228	2.6761293411254883	2	3	0.0	
{karin2017_fig2}_{model0_karin5}	43.33300000000046	45.21334171295166	5	2	0.0	
{kholodenko1999_fig4b-user}_{model0_kholodenko1}	3.2890000000003345	4.665374755859375	23	52	0.0	
{kholodenko2000_fig2a-user}_{model0_kholodenko2}	4.006499999999992	5.132317543029785	8	22	0.0	
{kim2011_figs5-user}_{model0_kim5}	5.4759999999970885	6.8764686584472665	4	14	0.0	
{kirschner1998_fig2-user}_{model0_kirschner}	6.247499999998831	7.301211357116699	2	8	0.0	
{kofahl2004_fig3-user}_{model0_kofahl}	3042.7254999999127	3042.0020818710327	37	47	0.0	
{kolodkin2010_figure2b}_{kolodkin1}	11.154499999999942	12.251853942871096	3	8	0.0	
{kolodkin2010_figure2b}_{kolodkin2}	772.9700000000978	774.3550539016724	6	8	0.0	
{kolodkin2010_figure2b}_{kolodkin3}	295.025500000135	296.4023351669312	10	17	0.0	
{kolodkin2010_figure2b}_{kolodkin4}	190.2035000000372	191.48170948028562	8	15	0.0	
{kolodkin2010_figure2b}_{kolodkin5}	792.9194999999628	794.6094274520874	8	15	0.0	
{kolodkin2010_figure2b}_{kolodkin6}	451.8670000000293	453.21333408355713	8	15	0.0	
{kouril2017_fig1a}_{model1_kouril4}	0.9989999999991056	2.0374059677124023	6	7	0.0	
{kouril2017_fig2b}_{model0_kouril5}	1.3759999999999302	2.3807287216186523	2	1	0.0	
{kouril2017_fig3b}_{model0_kouril6}	4.001500000000059	5.0978660583496085	7	10	0.0	
{kouril2017_fig4b}_{model0_kouril7}	14.180999999997086	15.35022258758545	11	14	0.0	
{kouril2017_fig4c}_{model0_kouril8}	26.704500000000554	27.93431282043457	13	21	0.0	
{kowald2006_fig2-user}_{model0_kowald1}	0.0	7.380366325378418	9	16	-1.0	
{laub1998_fig3top-user}_{model0_laub1}	1.4579999999994795	2.530813217163086	7	14	0.0	
{lebeda2008_fig1-user-2}_{model0_lebeda2}	1.825000000000092	3.2494068145751966	4	3	0.0	
{lee2010_fig3-user}_{model0_lee4}	300.41100000001734	301.8084764480592	14	22	0.0	
{lee2010_figs6-user}_{model0_lee2}	250.97799999999503	252.26664543151853	9	12	0.0	
{lee2010_figs9-user}_{model0_lee3}	1.446999999999789	2.487063407897949	4	4	0.0	
{leloup1999_fig2a}_{leloup1_Fig2A}	2.991999999999188	4.4727325439453125	10	46	0.0	
{leloup2003_fig2a}_{leloup2_Fig2A}	3.323999999999806	5.249977111816406	16	80	0.0	
{levchenko2000_fig2-user}_{model0_levchenko2}	9.940499999995922	11.500000953674315	31	46	0.0	
{levchenko2000_fig2-user}_{model1_levchenko2}	9.897499999995775	11.434197425842285	31	46	0.0	
{levchenko2000_fig2-user}_{model2_levchenko2}	10.043000000000816	11.577606201171875	31	46	0.0	
{levchenko2000_fig2-user}_{model3_levchenko2}	9.854499999998367	11.382222175598145	31	46	0.0	
{levchenko2000_fig2-user}_{model4_levchenko2}	9.944999999999167	11.4898681640625	31	46	0.0	
{levchenko2000_fig2-user}_{model5_levchenko2}	10.037500000000348	11.555194854736328	31	46	0.0	
{levchenko2000_fig2-user}_{model6_levchenko1}	8.533499999997076	9.850502014160156	22	30	0.0	
{levering2012_fig5-user}_{model3_levering2}	3492.8610000000263	3495.416879653931	25	122	0.0	
{li2014_fig3-user}_{model0_li1}	10.526500000000462	11.620163917541506	3	10	0.0	
{liu2011_fig5a-user}_{model0_liu2}	0.0	14.992356300354006	42	89	-1.0	
{liu2011_fig5a-user}_{model1_liu2}	0.0	18.49830150604248	42	89	-1.0	
{liu2011_fig5a-user}_{model2_liu2}	0.0	20.3322172164917	42	89	-1.0	
{lou2009_fig2-user}_{lou1}	1.4359999999996038	2.5551319122314453	6	12	0.0	
{ma2002_fig2-user}_{model0_ma}	1.6770000000003302	3.149867057800293	7	14	0.0	
{marhl2000_fig2-user}_{model0_marhl}	3.2360000000000966	4.608631134033203	5	11	0.0	
{martins2003_fig6-user}_{model0_martins1}	1.4834999999994525	2.628326416015625	14	16	0.0	
{marwan2003_fig5b-user}_{model0_BIOMD0000000037}	1.9085000000016767	3.2091140747070312	12	12	0.0	
{mcauley2012_fig1b-user}_{model0_mcauley1}	1410.9114999999329	1413.4446382522585	34	44	0.0	
{mcauley2012_fig1b-user}_{model1_mcauley1}	1410.1079999999786	1412.42516040802	34	44	0.0	
{mcauley2012_fig1b-user}_{model2_mcauley1}	1403.5899999998765	1405.9451818466187	34	44	0.0	
{mcauley2012_fig1b-user}_{model3_mcauley1}	1387.5054999999586	1389.6775245666504	34	44	0.0	
{mcauley2012_fig1b-user}_{model4_mcauley1}	1405.4010000000699	1407.7438116073608	34	44	0.0	
{mcauley2012_fig1b-user}_{model5_mcauley1}	1392.3709999999426	1394.6788311004639	34	44	0.0	
{mellor2012_fig3a-user}_{model0_mellor1}	1.2499999999999842	2.323627471923828	10	8	0.0	
{mellor2012_fig3a-user}_{model1_mellor1}	1.2975000000003836	2.3932456970214844	10	8	0.0	
{mellor2012_fig3a-user}_{model2_mellor1}	1.2589999999987604	2.318143844604492	10	8	0.0	
{mellor2012_fig3a-user}_{model3_mellor1}	1.255499999999321	2.3180246353149414	10	8	0.0	
{mellor2012_fig3a-user}_{model4_mellor1}	1.2640000000002225	2.3376941680908203	10	8	0.0	
{miao2008_fig1}_{model0_miao2008}	1.5625000000001703	2.601146697998047	4	9	0.0	
{montanez2008_fig3a-user}_{model0_montanez1}	1.449499999999713	2.5233030319213867	3	18	0.0	
{moriya2011_fig7c-user}_{model0_moriya1}	698.0520000000188	700.4379034042357	49	108	0.0	
{morris2002_fig1b-user}_{model0_Morris2002_CellCycle_CDK2Cyclin}	1.057999999999485	2.0691156387329097	4	5	0.0	
{naresh2011_fig11to13-user}_{model3_naresh2}	1.3954999999996902	2.456784248352051	5	10	0.0	
{naresh2011_fig6to7-user}_{model0_naresh2}	1.3299999999991137	2.377152442932129	5	10	0.0	
{naresh2011_fig6to7-user}_{model1_naresh2}	1.3220000000003491	2.3845434188842773	5	10	0.0	
{naresh2011_fig8to10-user}_{model2_naresh2}	1.3580000000001142	2.4164915084838867	5	10	0.0	
{neves2008_figs1-user}_{model0_neves1}	57.528999999994	59.29374694824219	37	64	0.0	
{nyman2012_fig5-user}_{model0_nyman3}	0.0	7.678866386413574	9	16	-1.0	
{odea2007_fig3-user}_{model0_odea1}	47.0349999999867	48.58553409576416	24	70	0.0	
{orfao2008_fig2-user}_{model0_orfao1}	27.611500000001485	28.849124908447266	12	13	0.0	
{ouattara2008_fig3}_{model0_ouattara1}	1.2909999999988455	2.349734306335449	3	6	0.0	
{panteleev2002_fig1-user}_{model0_panteleev3}	32.35400000000022	33.489465713500984	8	9	0.0	
{panteleev2002_fig1-user}_{model1_panteleev3}	31.90700000000539	33.093690872192376	8	9	0.0	
{panteleev2002_fig1-user}_{model2_panteleev3}	32.35749999998043	33.5390567779541	8	9	0.0	
{panteleev2002_fig1-user}_{model3_panteleev3}	32.55949999999245	33.72669219970703	8	9	0.0	
{panteleev2002_fig1-user}_{model4_panteleev3}	32.30749999999864	33.48827362060547	8	9	0.0	
{panteleev2002_fig1-user}_{model5_panteleev3}	32.23050000000401	33.37883949279785	8	9	0.0	
{panteleev2002_fig1-user}_{model6_panteleev3}	32.2165000000016	33.42437744140625	8	9	0.0	
{panteleev2002_fig1-user}_{model7_panteleev3}	32.14599999998745	33.278942108154304	8	9	0.0	
{panteleev2002_fig1-user}_{model8_panteleev3}	32.542500000000764	33.74195098876953	8	9	0.0	
{panteleev2002_fig1-user}_{model9_panteleev3}	32.22600000000597	33.37419033050537	8	9	0.0	
{panteleev2002_fig2a-user}_{model0_panteleev2}	30.552999999973594	31.728148460388184	9	15	0.0	
{panteleev2002_fig3a-user}_{model0_panteleev1}	30.03150000000217	31.22401237487793	9	15	0.0	
{perelson1993_fig11-user}_{model2_perelson3}	10.321499999998018	11.393427848815918	5	10	0.0	
{perelson1993_fig2and3-user}_{model0_perelson2}	10.53200000000544	11.606097221374512	5	10	0.0	
