time	species_1	species_10	species_11	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	300.0	5	20	0.0	1199.99994221	0.0	0.0	1199.99994221	0.0	0.0	100
40.0.	1.995665680402448	5	20	298.0043343195972	1120.8965298741239	7.450935249361083	71.65247708651532	1190.7059188628232	5.456553262531751	3.837470084644325	100
80.0.	0.014635918819364001	5	20	299.9853640811802	1006.5156656705966	6.697403756021771	186.78687278338097	1141.1903494074377	7.578820134813418	51.230772667747075	100
120.0.	0.015704275842015	5	20	299.9842957241577	892.6616728582634	5.947183809014616	301.39108554272104	1047.900992450945	6.962994075991873	145.13595568306135	100
160.0.	0.017935407874746002	5	20	299.98206459212486	779.5858640760005	5.202200969176028	415.21187716482234	911.6751993780152	6.057927935135257	282.2668148968478	100
200.0.	0.020876533766212003	5	20	299.9791234662334	667.5087242970269	4.463972791496581	528.0272451214754	734.0520066514681	4.877785732134778	461.0701498263952	100
240.0.	0.024916223294546003	5	20	299.97508377670493	556.7561297523033	3.734765680888365	639.5090467768074	518.2211029960273	3.443748815510266	678.3350903984599	100
280.0.	0.030778294493383002	5	20	299.9692217055063	447.83640050425475	3.018186350480692	749.1453553552635	272.95688265373536	1.8140815229157492	925.228978033346	100
320.0.	0.039962073713545	5	20	299.96003792628653	341.5993339399128	2.3204744357893032	856.0801338342961	44.05784627712375	0.29298979920259205	1155.6491061336726	100
360.0.	0.056071078365492	5	20	299.9439289216348	239.60078299667015	1.652072533234121	958.7470866800918	0.07933562139297201	0.0007224381219340001	1199.919884150485	100
400.0.	0.08987234099286301	5	20	299.9101276590073	145.04504286403036	1.036575731889579	1053.918323614076	2.7262343236856544e-05	0.000290712449959	1199.9996242352042	100
440.0.	0.18598819034562902	5	20	299.8140118096545	65.39055682251973	0.534431898328796	1134.074953489148	1.190912784054631e-08	0.000583066297223	1199.999359131791	100
480.0.	0.6065042690051851	5	20	299.393495730995	16.164125982075486	0.312422594916174	1183.5233936330044	7.009581341869141e-08	0.001973204115982	1199.9979689357858	100
520.0.	1.855839331232459	5	20	298.14416066876777	2.013492870217465	0.47128995165519905	1197.5151593881228	7.689617588215554e-07	0.007176198174954001	1199.9927652428612	100
560.0.	2.407085980545906	5	20	297.59291401945427	0.20444550671080303	0.540475981638741	1199.2550207216464	1.7144368249975069e-06	0.010902140004278001	1199.9890383555567	100
600.0.	2.47373139904136	5	20	297.5262686009586	0.026633559390711003	0.5481086068917	1199.4252000437136	1.906317259089338e-06	0.011489464507759001	1199.9884508391729	100
640.0.	2.480192434959834	5	20	297.51980756503997	0.009729741151218	0.548841267916242	1199.441371200929	1.926486446161953e-06	0.011548619463998001	1199.9883916640465	100
680.0.	2.480805787204455	5	20	297.51919421279536	0.008128006079511	0.5489107549151391	1199.442903449003	1.928417063533653e-06	0.011554256437008002	1199.9883860251437	100
720.0.	2.480863898060969	5	20	297.51913610193884	0.007976279355371001	0.548917337740033	1199.4430485929022	1.928600121038495e-06	0.011554790694672001	1199.988385490703	100
760.0.	2.480869402721225	5	20	297.51913059727866	0.007961906993834	0.548917961349757	1199.4430623416545	1.9286174627627698e-06	0.011554841345145	1199.9883854400346	100
800.0.	2.4808699242296792	5	20	297.5191300757702	0.007960545366431001	0.548918020408676	1199.4430636442232	1.928619105760104e-06	0.011554846107519001	1199.9883854352715	100
840.0.	2.480869973562123	5	20	297.5191300264378	0.007960416562387001	0.548918025970013	1199.4430637674661	1.928619261187e-06	0.011554846552289002	1199.9883854348257	100
880.0.	2.480869978267842	5	20	297.5191300217321	0.007960404276038	0.548918026503058	1199.4430637792198	1.928619276011915e-06	0.011554846595556001	1199.988385434782	100
920.0.	2.480869978712311	5	20	297.5191300212876	0.007960403115558	0.5489180265533831	1199.4430637803293	1.928619277412167e-06	0.011554846599647001	1199.9883854347777	100
960.0.	2.480869978754316	5	20	297.51913002124564	0.007960403005884001	0.548918026558141	1199.4430637804344	1.9286192775445007e-06	0.011554846600033001	1199.9883854347777	100
