	E	E_M	E_M1	E_P1	E_P2	E_P21	E_P_1	E_P_2	M	M1	P	P2	P21	T
0	0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1	7.882115095029088e-05	2.4440085590727127e-06	4.814233289426031e-13	0.0	1.8505361526698165e-08	1.1159695142744217e-22	5.951862741134415e-05	7.145713728582405e-06	0.04300202586816723	6.143849961843354e-09	0.952415710247279	0.0021330793656680097	6.997591105271713e-12	0.002380051512496192
2	7.825120257087169e-05	4.477449355416118e-06	1.8104795851318018e-12	0.0	3.586149487154669e-08	8.61203627433189e-22	5.6073405968965154e-05	7.166044595229609e-06	0.07934980718025812	2.3094947936452444e-08	0.9074441923396122	0.004146881814990965	2.7493428243903e-11	0.008991342779472415
3	7.800923037537052e-05	6.184116161767905e-06	3.80429517321266e-12	0.0	5.202560980397538e-08	2.8170396436266213e-21	5.348362871365046e-05	6.431542528561788e-06	0.10994218583618737	4.8851559850971566e-08	0.864810460731082	0.00604949220438902	6.072827139503177e-11	0.01913166099923549
4	7.775964807159999e-05	7.585287656306419e-06	6.346757130157402e-12	0.0	6.733473588549164e-08	6.476745060377324e-21	5.088313095257074e-05	6.114543112686969e-06	0.13555124202328242	8.169937782155772e-08	0.8243183263034174	0.007849417006876552	1.0600172546610961e-10	0.03221628255824007
5	7.766875039571281e-05	8.781411628311063e-06	9.326210427660866e-12	0.0	8.185630721691413e-08	1.2290550240391828e-20	4.839405049322036e-05	5.818796797173575e-06	0.15681998240959663	1.2016165842092915e-07	0.7858042453922373	0.00955457467750077	1.6267383009520018e-10	0.04775800107178131
6	7.764001223459743e-05	9.77292106722844e-06	1.2677940150288962e-11	0.0	9.588774357561757e-08	2.0653553527536096e-20	4.610771391980914e-05	5.542459160888715e-06	0.17430820660750163	1.6296906201017657e-07	0.7491221848763618	0.011171827204787559	2.3015079718617767e-10	0.06533609911756708
7	7.769759140543337e-05	1.056047395923249e-05	1.622990184713747e-11	0.0	1.0889249397457289e-07	3.192366149833445e-20	4.399011761695734e-05	5.289873108795607e-06	0.1884888524040024	2.0902937644348546e-07	0.7141475999918512	0.01270702058792019	3.078829539059784e-10	0.08459636830555838
8	7.78204597870629e-05	1.1209744667843479e-05	2.0008761207842186e-11	0.0	1.215363841071481e-07	4.6428814716186514e-20	4.200112044573609e-05	5.051138529639064e-06	0.19977194848119154	2.573885786174231e-07	0.6807712361213109	0.014165289393659344	3.9535230944440247e-10	0.10523288465987171
9	7.800562661514817e-05	1.1825409557638552e-05	2.405755211785977e-11	0.0	1.343870456402233e-07	6.445604917141065e-20	4.004487199274966e-05	4.815432336093687e-06	0.20852805960683274	3.0722775476866407e-07	0.6488910139304018	0.01555144562128148	4.920729590543289e-10	0.126972352996667
10	7.825205706134035e-05	1.2043935796698583e-05	2.7894961340046988e-11	0.0	1.4507885263948398e-07	8.627442489987962e-20	3.84445361743023e-05	4.6227955758215785e-06	0.21506985105193416	3.5783850309630696e-07	0.6184200336240273	0.01686954267916243	5.975877797778386e-10	0.149584957834491
11	7.854403956102062e-05	1.2442169503856464e-05	3.2082914702741793e-11	0.0	1.570226962619353e-07	1.1213292455160642e-19	3.669310660172683e-05	4.412398969030952e-06	0.21966646643156057	4.0861300753871476e-07	0.5892831710637458	0.018123151685590273	7.114683547532028e-10	0.17287309676477378
12	7.888450954653086e-05	1.2661442584963898e-05	3.6201525818814576e-11	0.0	1.6809587078545625e-07	1.4225784598429e-19	3.51080104795979e-05	4.221683625367343e-06	0.2225595331875473	4.5902723927850405e-07	0.5614107130814064	0.01931552225070113	8.333075089830748e-10	0.1966616123510363
13	7.926518171505066e-05	1.2801594468061972e-05	4.030279523255878e-11	0.0	1.788000498523926e-07	1.7685121290297085e-19	3.360398927771601e-05	4.040977487071731e-06	0.22397180292597635	5.086296942666169e-07	0.5347363139497299	0.020449788356572393	9.62712987217736e-10	0.22079095977372873
14	7.968428607213615e-05	1.2877681973488251e-05	4.4374643790374096e-11	0.0	1.8924266414543838e-07	2.161054116459762e-19	3.2167353444646305e-05	3.868139408863902e-06	0.22409046764707682	5.570407604252556e-07	0.5092036434726994	0.021528601971320827	1.0993176692522933e-09	0.24512762630695933
15	8.014165437697241e-05	1.2840563668033445e-05	4.8369309668099065e-11	0.0	1.9928355556384985e-07	2.601950998183286e-19	3.0842025874843874e-05	3.7063917889570008e-06	0.22308680229561917	6.039369645282462e-07	0.4847593320762215	0.02255447692554485	1.242766931872757e-09	0.2695511952096266
16	8.062080901072482e-05	1.2855313081885497e-05	5.231672519243595e-11	0.0	2.0926935211864216e-07	3.092862386871629e-19	2.9486910150643056e-05	3.5458315671773414e-06	0.221110530981631	6.49049632729264e-07	0.461355972458332	0.0235296564956247	1.3927259139603623e-09	0.29395709224558536
17	8.112947758109955e-05	1.2760884579678036e-05	5.613225085590875e-11	0.0	2.1884275780318763e-07	3.635247943752257e-19	2.8244336030723147e-05	3.3958531900377275e-06	0.21829793317697896	6.921563218164788e-07	0.43894825733030385	0.02445627506298846	1.5488710669963677e-09	0.3182522207518456
18	8.166530253543725e-05	1.2648411595876566e-05	5.98561645099061e-11	0.0	2.2825633129251858e-07	4.2304259992370974e-19	2.702957185815411e-05	3.250347791197228e-06	0.2147705315245631	7.330778342687106e-07	0.41749437589171035	0.02533631796914912	1.7108935114606335e-09	0.34235488317841706
19	8.223140191309972e-05	1.2488305783880335e-05	6.347625192274329e-11	0.0	2.3748771865801336e-07	4.879996731999293e-19	2.586646704384194e-05	3.11046661411237e-06	0.21063177914085343	7.716646757208277e-07	0.39695979009116067	0.026171410863343677	1.8784977724543026e-09	0.36619454357083203
20	8.277983281308069e-05	1.2581102336701464e-05	6.701028793073058e-11	0.0	2.4682114187677486e-07	5.584783865784236e-19	2.4512783737959885e-05	2.963821509762332e-06	0.20598524930756743	8.078110634484723e-07	0.3773042679310007	0.026963486031407184	2.0513924741488608e-09	0.3897058822718322
21	8.3384338451691e-05	1.208342563186011e-05	7.015314107964088e-11	0.0	2.5494183646344145e-07	6.345323339148997e-19	2.3698503136701636e-05	2.8497622725692537e-06	0.2009205253662889	8.41447661071156e-07	0.35848966658831855	0.02771433799810317	2.229307470716203e-09	0.4128357396672902
22	8.398989973637438e-05	1.1843258972121378e-05	7.327514974459312e-11	0.0	2.6338778434472387e-07	7.16292694327444e-19	2.2670042027415478e-05	2.7261338229738784e-06	0.19551182650509602	8.72514351141316e-07	0.3404881926230112	0.028425320386192592	2.4119770032781553e-09	0.43553628266349015
23	8.460462761233078e-05	1.1710521191002267e-05	7.629320541370972e-11	0.0	2.7183708136696546e-07	8.038275941346221e-19	2.1560162650319025e-05	2.601133229351963e-06	0.18982894388062002	9.009839582653896e-07	0.32326886129873716	0.0290979121764017	2.599148704259874e-09	0.457767235330689
