time	species_1	species_10	species_11	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	300.0	200	20	0.0	1199.99994221	1.009741958682895e-28	0.0	1199.99994221	0.0	0.0	100
40.0.	1.9956656714848582	200	20	298.00433432851503	1120.8974583549527	7.454077188902025	71.64840666614386	1190.7066976568387	5.456557086311018	3.836687466848293	100
80.0.	0.014635891662426001	200	20	299.98536410833725	1006.5178233607047	6.705999713594132	186.7761191356983	1141.195177199896	7.582729370620789	51.222035639480296	100
120.0.	0.015704219950729	200	20	299.98429578004885	892.6650913982879	5.961142614046186	301.3737081976632	1047.9125316189416	6.970745020975667	145.1166655700807	100
160.0.	0.017935305556248	200	20	299.98206469444324	779.5906086650193	5.22176249899331	415.18757104598467	911.695990100999	6.069196575522111	282.2347555334767	100
200.0.	0.020876351972386003	200	20	299.9791236480271	667.5149120315208	4.490011118520476	527.9950190599562	734.0846289980196	4.8921886864753645	461.0231245255029	100
240.0.	0.024915894404025002	200	20	299.97508410559544	556.7639719384722	3.769534354358848	639.4664359171666	518.2681157973008	3.460411087919563	678.2714153247772	100
280.0.	0.030777660772731003	200	20	299.96922233922675	447.846320137633	3.067845595806627	749.0857764765573	273.0193002388497	1.830664326021109	925.1499776451261	100
320.0.	0.039960681932331	200	20	299.96003931806706	341.61236610563174	2.403319149320153	855.9842569550448	44.107889961781424	0.302945370971934	1155.5891068772446	100
360.0.	0.056067321322939005	200	20	299.9439326786764	239.6186312151885	1.7625247131301012	958.6187862816785	0.07958607633332601	0.008341014721456	1199.9120151189452	100
400.0.	0.089859605780258	200	20	299.9101403942192	145.06835396972087	1.169779850327654	1053.7618083899492	3.052769814957102e-05	0.011621482054184002	1199.9882902002482	100
440.0.	0.185922084293474	200	20	299.8140779157062	65.41830151569829	0.71411975241822	1133.8675209418811	1.1625066285550341e-05	0.023318083940486	1199.9766125009944	100
480.0.	0.6058497692133851	200	20	299.39415023078624	16.189729668634406	0.6597418390823	1183.1504707022807	0.000111983042826	0.07885559390185601	1199.9209746330562	100
520.0.	1.850304183937312	200	20	298.14969581606226	2.04421399714383	1.2396865284895051	1196.716041684365	0.0012221248412140001	0.285618960198796	1199.7131011249608	100
560.0.	2.394198568967427	200	20	297.60580143103226	0.252059480717292	1.499222225384758	1198.2486605038966	0.0026940314617020004	0.43049068464149504	1199.5667574938975	100
600.0.	2.458486978885004	200	20	297.5415130211147	0.079821091994456	1.530951378925328	1198.389169739079	0.0029830525161390004	0.45257055969404103	1199.5443885977907	100
640.0.	2.464557795914932	200	20	297.53544220408486	0.06386693622937101	1.533967173273738	1198.402108100497	0.003012541573676	0.45473093604424103	1199.5421987323816	100
680.0.	2.465119100651768	200	20	297.53488089934825	0.062394434683073006	1.53424619253876	1198.4033015827783	0.0030152892535670003	0.454931369400879	1199.5419955513453	100
720.0.	2.465170897900089	200	20	297.5348291021001	0.06225857432348401	1.534271942009745	1198.4034116936664	0.0030155429919610003	0.45494987130164605	1199.5419767957058	100
760.0.	2.465175676960882	200	20	297.53482432303946	0.06224603938873301	1.534274317791257	1198.4034218528195	0.003015566404626	0.454951578424919	1199.5419750651697	100
800.0.	2.465176117969042	200	20	297.5348238820313	0.062244882675926004	1.5342745370263149	1198.403422790297	0.0030155685651430003	0.45495173595710203	1199.541974905477	100
840.0.	2.46517615867836	200	20	297.53482384132195	0.062244775900163	1.53427455726387	1198.403422876835	0.00301556876458	0.45495175049886605	1199.541974890736	100
880.0.	2.465176162436218	200	20	297.534823837564	0.062244766043744	1.53427455913199	1198.4034228848236	0.0030155687829900002	0.45495175184121006	1199.5419748893748	100
920.0.	2.465176162783103	200	20	297.534823837217	0.062244765133904006	1.5342745593044351	1198.4034228855608	0.003015568784689	0.45495175196512105	1199.5419748892496	100
960.0.	2.465176162815118	200	20	297.53482383718494	0.062244765049930005	1.534274559320374	1198.4034228856285	0.0030155687848460004	0.45495175197657206	1199.541974889238	100
1000.0.	2.465176162818026	200	20	297.53482383718216	0.06224476504230401	1.534274559321795	1198.4034228856349	0.00301556878486	0.454951751977596	1199.541974889237	100
1040.0.	2.465176162818338	200	20	297.5348238371818	0.062244765041485	1.53427455932195	1198.4034228856356	0.003015568784862	0.45495175197770704	1199.541974889237	100
1080.0.	2.4651761628183753	200	20	297.5348238371818	0.062244765041389004	1.534274559321969	1198.4034228856356	0.003015568784862	0.45495175197772003	1199.541974889237	100
1120.0.	2.465176162818379	200	20	297.5348238371818	0.062244765041377006	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1160.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1200.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1240.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1280.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1320.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1360.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1400.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1440.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1480.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1520.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1560.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1600.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1640.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1680.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1720.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1760.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1800.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1840.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
1880.0.	2.46517616281838	200	20	297.5348238371818	0.06224476504137601	1.5342745593219709	1198.4034228856356	0.003015568784862	0.45495175197772203	1199.541974889237	100
