time	Bar1	Bar1a	Bar1aex	Cdc28	Far1	Far1PP	Far1U	Fus3	Fus3PP	GaGDP	GaGTP	Gabc	Gbc	Sst2	Ste11	Ste12	Ste12a	Ste2	Ste20	Ste2a	Ste5	Ste7	alpha	complexA	complexB	complexC	complexD	complexE	complexF	complexG	complexH	complexI	complexK	complexL	complexM	complexN
0.0.	200.0	0.0	-6.28363963558109e-89	300.0	500.0	0.0	0.0	686.399701641	9.273015376718552e-69	0.0	0.0	1666.6666667	0.0	0.0	158.331766088	200.0	0.0	1666.6666667	1000.0	0.0	158.331766088	36.3997016405	100.0	105.94329812	77.8753625676	235.724935792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0.3.0	147.67505404230286	52.30030162042413	0.024644337273318002	299.99928996660395	82.6482394871564	0.00073152404268	417.3502872645255	627.0074700135822	0.5523254120573841	0.00037220669160100003	47.16094660210864	1619.5053478911987	15.41713940270898	0.10209156345529101	148.22659101050073	142.67162623223942	57.328373767760645	1601.0322352598319	968.3275498791944	51.91646283030732	148.22659101050073	34.74723106123938	99.99711676438899	105.13877109028219	68.61813103964326	214.89049018400385	0.071697594406954	16.481353819429984	2.8620235819487663	0.37819878988347905	2.1304480320181822	6.30512530006452	3.374362465798674	0.140938131662406	3.1690878343370594e-05	0.000710033396868
0.0.6.0	1.880409495400536	197.61891675089677	0.5006737537028031	287.49204971126346	4.801192230173758	1.967542893492578	479.49471579840355	382.96452721499435	110.2028750334981	0.0035550293231850004	143.7757927133465	1522.8873189573267	31.357861888567474	39.72240198087523	125.76266880228673	1.005132846836297	198.9948671531641	1546.1042525556436	888.9212538399213	90.32902560258908	125.76266880228673	40.608917282667846	99.79273120800673	111.21901715645795	46.37276867617655	151.82542697634457	0.11414090482995001	31.74939165190956	6.084454967913633	0.8165615259944721	5.083295774628548	42.43245063204629	23.359239489098517	1.553352118489439	1.228598789192053	12.507950288737765
0.0.8999999999999999.0	0.9948631774600821	197.91028198301598	1.094854839524205	282.92716554782476	0.021525797532996	0.029225700847726	481.1430947563995	269.48395568502394	227.3069315438157	0.010847279476702	193.0950676142761	1473.5607518062454	25.99413439447462	81.23261229577376	107.77167051382365	0.48778448240938604	199.5122155175911	1499.547599231216	834.6956253346052	118.35837723613862	107.77167051382364	41.965713762972065	99.07879806950616	116.39599363144264	32.20195038239415	110.45387464849794	0.07408654083935601	22.27877202245904	4.4570922870000445	0.6019630110369381	3.910739475370978	83.38570008496521	46.33271880160465	4.3373889829592	1.7333192930429142	17.0728344521762
1.0.2.0	0.989070078523498	197.32322283409243	1.6877070873845001	282.8908464116797	0.00034151019035500005	0.006388340772779001	481.14962952329984	215.5012989020847	287.15712445253416	0.033156139214364	194.53510905992303	1472.0984015008592	11.54491420823159	112.00289382155528	100.60126828555684	0.38621411007371703	199.61378588992685	1459.6525103633915	818.7406789959513	138.32089686944855	100.60126828555683	45.55354222234461	97.84578555213221	121.65087462899191	26.69860069230402	96.4589931319598	0.029542949440974003	9.616558473536116	1.9763517165655171	0.26794539092013303	1.7864081113533041	103.28278461509363	57.610605674879636	6.718667021701695	1.734487037414827	17.109153588321327
1.0.5.0	0.9859993045338461	196.73520633144776	2.278794364018825	282.8875245764892	0.000297393909762	0.006514901944185	481.1501422089407	207.0070161217134	298.5446232314286	0.13665835418219402	182.20922273611663	1484.3207856096951	3.123062135080727	134.80066366166818	101.07482145146354	0.37148257947823904	199.62851742052226	1425.1149602936964	822.5158962934894	151.99165488093976	101.07482145146352	47.961742117891255	96.1146781710439	123.46534575242053	26.578425086092725	97.96758391259029	0.008145177012168001	2.904599757019597	0.6104638325800911	0.083023393486194	0.565627010901798	106.56008009821757	59.54189495903445	7.2184146552733	1.730570071693068	17.11247542351174
1.0.7999999999999998.0	0.983102336084931	196.14877774136224	2.8681199225532232	282.8832547590995	0.00030191621229000003	0.006574618025417001	481.150651227315	216.15256786466162	289.6901723079756	0.44728854035776006	171.03838942716797	1495.180988732468	1.001919354762195	151.68959201774723	103.99933612743177	0.382806956042595	199.6171930439582	1394.9358371152782	831.2446839058558	160.73664690263107	103.99933612743176	48.7657958707496	93.91401307083686	123.06896525356731	28.30250551034929	104.17366700378176	0.002715521072639	0.8574398890659881	0.17531931070804402	0.02375520946449	0.15868191048847102	103.16519225450361	57.68079017456949	6.694137345345926	1.7257269975450522	17.11674524090182
2.0.1.0	0.9802562638121721	195.56405499748905	3.455688738699114	282.87878182850903	0.000304530795128	0.006579454869199	481.15116600441763	228.45159031319275	276.84901369199815	0.523266759718457	162.699962852512	1503.4434370877627	0.879928977082675	164.20040708378903	106.89312192418389	0.40052600315900205	199.59947399684168	1368.34579630189	839.3798919903141	165.61175653539613	106.89312192418387	48.84748940121337	91.27903690008092	122.14468396321556	30.190316486286005	110.33962531587736	0.0024607870348	0.6323584262686951	0.12108879063715601	0.016250926841680002	0.10177896248931101	98.57432591084967	55.12171639228195	6.052588600319322	1.720731838425298	17.12121817149237
2.0.4.0	0.9774217672664891	194.9810722393177	4.041505993416092	282.8743327672662	0.000306725940076	0.006575645312777	481.15168475294814	239.65842140819598	265.06193910753655	0.45350209110813305	156.05737001525597	1510.1557945936281	1.026396146372218	173.46767312288904	109.31772585230703	0.418300475965983	199.58169952403472	1344.748082005451	846.2342699937607	167.43799030591907	109.31772585230702	48.776140670439254	88.2507740113245	121.3039712859859	31.8455564679536	115.60959254477757	0.0029803106874170004	0.7603843593335211	0.144534249579268	0.019374950068059	0.120149663293901	94.40441625701287	52.79095115812567	5.525919368828078	1.715765643063222	17.125667232735406
2.0.6999999999999997.0	0.974590303299908	194.39983278096608	4.6255769157344	282.8699235217784	0.00030892352922100004	0.006574135269922001	481.1522071890528	249.3637162523377	254.89216342092513	0.44286044794865903	150.16898932573991	1516.0548169263031	1.049558546048306	180.33206084854388	111.36669351736845	0.434954398690147	199.56504560131043	1323.6751972595205	852.1516947328124	166.8584914003933	111.36669351736843	48.71219941034531	84.87497451015045	120.62432148418839	33.2788155913114	120.15752704472683	0.0031526865258250003	0.8370967163171381	0.160729409827294	0.021578348429711	0.135063065670533	90.8058474861316	50.779264377085525	5.108725863728198	1.7108332739245942	17.130076478223096
