	Ib	It	Iv	Sb	St	Sv
0	39455.0	36931.0	234800.0	2590800.0	2425100.0	15418000.0
1	41310.372921576774	37488.41540039076	242219.43908956673	2589903.544158284	2428479.648163261	15434533.44506603
2	43208.51301735165	38071.81440596475	249856.78305142102	2588946.671418633	2431819.9441083875	15450734.038283342
3	45150.76940494681	38681.839195421286	257718.57789651572	2587927.694344456	2435120.0446402226	15466593.54695485
4	47138.47321460976	39319.12359488207	265811.29546676145	2586844.9506065347	2438379.1226342884	15482103.870513545
5	49172.98698564231	39984.32190875335	274141.5857910076	2585696.7352069775	2441596.325192168	15497256.675418701
6	51255.70201065289	40678.10727990374	282716.2626750214	2584481.304024454	2444770.7756473455	15512043.413660588
7	53388.03961627724	41401.172619477315	291542.3116187063	2583196.8720092205	2447901.57234262	15526455.312083963
8	55571.45145306423	42154.230953134684	300626.8925039751	2581841.612683741	2450987.788141299	15540483.368479764
9	57807.41992010451	42938.01582019851	309977.34281190566	2580413.657481499	2454028.4698661705	15554118.34698402
10	60097.45850923847	43753.28165350712	319601.1805834956	2578911.0951729966	2457022.637761252	15567350.773765014
11	62443.11213123303	44600.804153184654	329506.10730096546	2577331.9713117555	2459969.2849598704	15580170.932794321
12	64845.957450155365	45481.38069952573	339700.01101691247	2575674.2876455844	2462867.3768938268	15592568.86120414
13	67307.60313971197	46395.83070414217	350190.96895569435	2573936.001640846	2465715.850787105	15604534.345369983
14	69829.69015028053	47344.996000484265	360987.2503667839	2572115.025969433	2468513.6150899907	15616056.9165731
15	72413.89192640065	48329.74121897374	372097.319186753	2570209.228050702	2471259.5489310054	15627125.8468782
16	75061.91459968495	49350.954160827714	383529.8366372759	2568216.4296160843	2473952.501566512	15637730.145049633
17	77775.49714021677	50409.54616600712	395293.66370261286	2566134.4063147246	2476591.2918339856	15647858.552573947
18	80556.41147019554	51506.45247607335	407397.86349601264	2563960.887356123	2479174.707607573	15657499.539775444
19	83406.46253527552	52642.63259039815	419851.70349724736	2561693.555194941	2481701.5052578114	15666641.302045543
20	86327.48832705748	53819.0706142341	432664.6576380647	2559330.0452647284	2484170.4091167655	15675271.756208308
21	89321.35986110553	55036.775598605724	445846.4082447072	2556867.945756712	2486580.1109491936	15683378.537017481
22	92389.98109899957	56296.78186951329	459406.84779823676	2554304.7974555395	2488929.269431861	15690948.993822776
23	95535.28881530817	57600.14934609079	473356.08051169134	2551638.0936313313	2491216.5096416543	15697970.187408688
24	98759.25240383994	58947.96384563526	487704.42370056687	2548865.2799945367	2493440.4225546983	15704428.887031863
25	102063.87362013897	60341.337374539646	502462.4089334319	2545983.754716811	2495599.5645575053	15710311.567670967
26	105451.18625554883	61781.40840330272	517640.7829422159	2542990.868523308	2497692.4569721473	15715604.407511992
27	108923.25573877324	63269.342124071685	533250.5082739613	2539883.9248609873	2499717.5855971207	15720293.285689117
28	112482.17866043188	64806.33068898851	549302.7636640371	2536660.18014804	2501673.4002657947	15724363.780303363
29	116130.08221602271	66393.59342751742	565808.9441099772	2533316.844109689	2503558.314424436	15727801.1667423
30	119869.12356260275	68032.37704088642	582780.6606246184	2529851.0802057195	2505370.704731855	15730590.416324647
31	123701.48908394789	69723.95577150823	600229.7396443816	2526260.0061557516	2507108.910683031	15732716.195296858
32	127629.39355981721	71469.63154556225	618168.2220722919	2522540.6945672985	2508771.2342587146	15734162.86420465
33	131655.07923342477	73270.73408627293	636608.3619281527	2518690.1736734086	2510355.939603745	15734914.47767059
34	135780.81477224035	75128.62099575848	655562.624582387	2514705.4281855617	2511861.2527364357	15734954.784604264
35	140008.89411641678	77044.67780299926	675043.6845465136	2510583.400268435	2513285.3612917652	15734267.228875775
36	144341.63520945233	79020.31797547816	695064.4227936077	2506320.9906428466	2514626.4143011007	15732834.950482817
37	148781.3786052678	81056.98289188002	715637.9235803799	2501915.0598236863	2515882.522011388	15730640.787243748
38	153330.4859460038	83156.14177317815	736777.4707422117	2497362.4294995475	2517051.755746808	15727667.277049476
39	157991.33830462414	85319.29156931143	758496.5434313248	2492659.8840610427	2518132.14781605	15723896.660708416
40	162766.33438641927	87547.95679856723	780808.8112676408	2487804.1722848234	2519121.691468467	15719310.885419605
41	167657.88858340812	89843.6893366796	803728.1288710304	2482792.009180473	2520018.340902505	15713891.608910212
42	172668.42887563023	92208.06815255828	827268.5297430011	2477620.078007486	2520820.0113299084	15707620.204274537
43	177800.39457329418	94642.69898746703	851444.2194651876	2472285.0324696256	2521524.5790993464	15700477.765552547
44	183056.23389376912	97149.21397437788	876269.5681814401	2466783.499093981	2522129.881883195	15692445.114086855
45	188438.40136743945	99729.27119413893	901759.1023297834	2461112.07980205	2522633.7189313555	15683502.80569779
