	IkBa_cytoplasm	IkBa_mRNA_cytoplasm	IkBa_mRNA_nucleus	IkBa_pre_mRNA_1	IkBa_pre_mRNA_2	JNK	JNK_P	LPS	MSK1	MSK1_P	TNFR1_EL	TNFR1_cytoplasm	TNFa_TNFR1_EL	TNFa_TNFR1_cytoplasm	TNFa_mRNA_LSEC	TNFa_mRNA_MC	TNFa_pre_mRNA_LSEC	TNFa_pre_mRNA_MC	p38	p38_P	p65_2P	p65_IkBa_nucleus	p65_cytoplasm	p65_nucleus	s11	s14	s15	s16	s19	s3	s5	s8
50	0.40997573071780247	2.828232929517478	8.31665405627389e-05	4.2018687034415745	4.202492407374824	0.8513398644367428	0.14866013556322702	2.9447013985703083e-08	14.999733818015885	0.00026618197047476527	4.012998384887642e-07	1.875041238002864e-08	3.5943875422898525e-10	0.0002999012267002943	1.5935936498140232e-07	9.414374398529997e-07	0.0966858474444273	0.051093750044870476	0.7743522817991537	0.2256477182008183	1.452351765141366e-06	0.8479008824416099	0.0018097558065189058	0.09048013348743686	0.81995129767016	0.2999912492899817	8.750709945170644e-06	0.015819247474305163	0.04239484651524043	0.007426210570448587	0.13277069805228964	0.37127735300074566
51	0.41042394866888343	2.831518174428608	8.312127340037397e-05	4.198829448196233	4.200204995359435	0.8513398811311202	0.1486601188688496	2.015758302929087e-08	14.999733818029272	0.0002661819570873856	4.013885518312539e-07	1.875441490077512e-08	3.594681080740852e-10	0.00029990120501749787	1.5921600692454346e-07	9.405905332157084e-07	0.09659886984467868	0.05104778667372748	0.7743523025155689	0.22564769748440308	1.4523452333574127e-06	0.8480784727880444	0.0018081802295331355	0.0904013521590552	0.8208477334505646	0.2999912489598899	8.751040037038234e-06	0.015816935707725212	0.0424037259705872	0.0074275020854336175	0.13279604272870726	0.37134192109311287
52	0.4109328617801817	2.8338266144816755	8.305001198906303e-05	4.194794768801592	4.19660407300899	0.851339887431769	0.14866011256820097	1.3798707911255903e-08	14.999733818042975	0.00026618194338304713	4.0145469071754607e-07	1.8757381872173798e-08	3.5944215320904095e-10	0.00029990118887879627	1.5907277756710785e-07	9.397443865906103e-07	0.09651197032647213	0.05100186455095848	0.7743523059711405	0.22564769402883145	1.452333723297072e-06	0.8482603607545374	0.0018063051540582117	0.09030759832078422	0.8218655596337955	0.29999124925132903	8.750748597847664e-06	0.01581329593888206	0.04241282035063997	0.007428900270999084	0.13282655818367203	0.37141182491364394
53	0.41144634646946643	2.835217746595538	8.296587725900921e-05	4.190383909448998	4.192352653804682	0.8513398865169248	0.14866011348304525	9.445949349614984e-09	14.999733818056772	0.00026618192958511883	4.015123912288831e-07	1.8759957636398098e-08	3.593840463387962e-10	0.0002999011748188915	1.5892967687452287e-07	9.388989998820319e-07	0.09642514887101	0.05095598367101742	0.7743522975280986	0.22564770247187346	1.452319577732405e-06	0.8484400054727265	0.001804375687002566	0.09021112388312992	0.8228925289790919	0.29999124991069714	8.75008922971335e-06	0.01580846864968208	0.04242180255834203	0.007430337897480736	0.13285851108644067	0.3714837022741535
54	0.4119219765346185	2.835815258800445	8.287973377993615e-05	4.186089693802299	4.187999734725097	0.8513399070882957	0.14866009291167523	6.466175660765679e-09	14.999733818068076	0.0002661819182562681	4.0172217146752625e-07	1.8769416872828728e-08	3.5943791738808353e-10	0.00029990112355424446	1.5878670478356087e-07	9.38054372812841e-07	0.09633840544330076	0.050910144018417834	0.7743523258034838	0.22564767419648757	1.4523047717684784e-06	0.8486125362096262	0.001802580149968911	0.09012134601739895	0.8238435726400731	0.2999912492990994	8.75070082738619e-06	0.015802579816694723	0.042430429051707276	0.007431761407729241	0.1328889630964303	0.37155486923298076
55	0.4123307924115675	2.8357802244417245	8.279989800423257e-05	4.18227251333471	4.183965553637398	0.8513399167211467	0.14866008327882418	4.426386561527726e-09	14.999733818080305	0.0002661819064342287	4.018959037209924e-07	1.8777234689028045e-08	3.5943776133406433e-10	0.0002999010811236479	1.5864386122577367e-07	9.372105049683578e-07	0.09625173999724648	0.05086434557085459	0.7743523357907496	0.22564766420922255	1.4522908517561984e-06	0.8487746357688434	0.0018010469344039402	0.09004468435228924	0.8246615640578014	0.29999124930078547	8.750699141843432e-06	0.01579574179237216	0.042438533997554394	0.007433136357759427	0.13291608251293013	0.3716236108950617
56	0.4126569194690777	2.835287896292379	8.273205538864948e-05	4.17915820681917	4.1805374014111445	0.8513399260366966	0.14866007396327444	3.030349061107451e-09	14.999733818091771	0.00026618189497257217	4.020914605117582e-07	1.8786034600956133e-08	3.5943760974066596e-10	0.00029990103336283635	1.58501146689163e-07	9.363673992750588e-07	0.09616515283040572	0.05081858848697872	0.7743523454745729	0.22564765452539917	1.4522789013731143e-06	0.8489248871185081	0.0017998486271747734	0.08998476819847895	0.8253136750718573	0.29999124930242294	8.75069750447761e-06	0.015788052890078598	0.042446046535705	0.007434433176770166	0.13293857846029533	0.37168844643342774
57	0.4128965602575736	2.8345072387490227	8.267910042201783e-05	4.1768425743341355	4.177861538600628	0.851339935071464	0.14866006492850706	2.075384198077601e-09	14.999733818102909	0.0002661818838366861	4.0230647101133316e-07	1.8795709922239952e-08	3.5943746209820417e-10	0.00029990098085083726	1.5835855991847558e-07	9.355250483360074e-07	0.09607864318118862	0.050772872365289115	0.7743523548854996	0.22564764511447233	1.452269510540408e-06	0.8490631194785351	0.0017990066718764825	0.0899426697168688	0.8257929566911449	0.2999912493040176	8.750695909792168e-06	0.01577960856960567	0.04245295812690252	0.007435640524777153	0.13295602829397235	0.3717488088550085
58	0.4130527359493945	2.8335900163792047	8.264226799199435e-05	4.175345294832409	4.176000364527377	0.851339943855058	0.148660056144913	1.4208119765257793e-09	14.999733818113752	0.0002661818729945841	4.0253899950322246e-07	1.8806173546173613e-08	3.594373174090381e-10	0.0002999009240604118	1.5821610139057842e-07	9.346834549813042e-07	0.09599221133891259	0.050727197359343605	0.7743523640504714	0.22564763594950057	1.4522629631645055e-06	0.8491899423112259	0.0017985129854515272	0.08991798473609725	0.8261053081138141	0.2999912493055803	8.7506943471236e-06	0.015770487092445527	0.04245929924391918	0.007436754528655192	0.13296843765446043	0.37180450448157537
59	0.41313548315086773	2.832660891241203	8.262095781563898e-05	4.174604258623827	4.174923545636733	0.8513399524153702	0.14866004758460086	9.724997124370268e-10	14.999733818124332	0.0002661818624146437	4.027872619514835e-07	1.881734519292119e-08	3.5943717839380535e-10	0.00029990086342727426	1.5807377099874616e-07	9.338426185891094e-07	0.09590585723882186	0.05068156343536871	0.7743523729966577	0.2256476270033142	1.4522592005651786e-06	0.8493067569694681	0.0017983290314304184	0.0899087864141716	0.8262708025484522	0.29999124930708243	8.750692844992857e-06	0.01576076066896331	0.04246513995396219	0.00743777999984991	0.132976277034367	0.3718557738347453
