time	_101	_105	_11	_129	_13	_147	_15	_153	_174	_181	_19	_198	_21	_25	_27	_5	_75	_79	_84	_9	_96	_99	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_26	species_27	species_28	species_29	species_3	species_30	species_31	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.96831017167883e-44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.204959932551442e-181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0999999951844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11.0.	0.00045514258551500005	0.00011347519701500001	2.4239792817613222e-05	2.0622729659213247e-06	2.0188953411201552e-09	0.05178159896775	0.001986549628831	1.69832710852442e-10	0.000647379556942	3.405010043098092e-07	4.800296855624496e-06	4.73092114397887e-10	0.023654309591109	2.8843683738817763e-05	1.186204521219407e-07	0.032212204866521	0.013719291456627002	6.439277620422893e-05	0.11847846398063301	1.2437210603475699e-08	5.43659570747281e-08	0.060225909176159005	0.000360492149973	1.504718438515841e-07	2.018895340822054e-09	1.702277047060164e-06	5.659551133722898e-31	1.0921746454800242e-30	0.00010182319385900001	2.440360097003669e-06	0.043094779338982	1.2543217021384721e-08	1.22454994933511e-09	6.970423696904124e-05	6.116477885675886e-06	2.018895341153785e-09	2.352124919524162e-05	2.3315954031969917e-06	0.0008737819483130001	5.218685658245085e-08	2.018895340853765e-09	1.229255268979238e-09	0.09999997400268601	1.9598745538615933e-08	0.15805440357636902	1.5829681601148532e-09	4.808635836993782e-05	2.624616774825842e-06	0.00030958221281	2.787967565058266e-10	6.717275535381293e-05	4.646355116216853e-06	4.072953243433805e-05
22.0.	0.0006022433429300001	0.000285915262704	3.2346424265100175e-05	7.342870667809159e-05	1.449750158136804e-08	0.069812874581651	0.003803859999975	5.797668576730662e-07	0.000861691125894	3.563905103933742e-06	0.000178186151062	4.6493812992425185e-08	0.034354111539584	5.8838112732702704e-05	5.343780746444244e-07	0.058356384115400006	0.023406230967008	0.00036855111204700004	0.205759417686376	1.121490078040975e-06	1.798171604237622e-06	0.07183361688995	0.0005906952100610001	1.5793658811014319e-06	1.449750151810293e-08	3.934804762758788e-06	1.125574984022774e-25	1.794064665227991e-25	0.000137368335439	1.331424120657415e-05	0.051645692151857006	1.566289687167475e-06	1.327814712642366e-07	7.874923616247262e-05	0.000216898367893	1.449750192626154e-08	3.1188811777165033e-05	1.2272805191382332e-05	0.0017030015685040002	2.386970819846688e-07	1.449750183864275e-08	1.757463291379145e-07	0.099999684208321	1.246059132594679e-07	0.171626617949227	1.86370165596799e-07	9.904946539871484e-05	8.937091837372988e-05	0.000712892297451	8.635714646129073e-07	7.632636220342864e-05	9.833214737302859e-06	5.2597584011019704e-05
33.0.	0.0007659050257530001	0.000428398308603	3.474544025830541e-05	0.000412939861036	3.0570659985336854e-08	0.079847153005746	0.005323456067472	3.1841830003151775e-05	0.0009413353545830001	1.043646334628543e-05	0.001013721055072	4.826851733709453e-07	0.047389193116265	7.299031705378324e-05	9.944314327592319e-07	0.073253696016342	0.030152278301396003	0.0008917439137980001	0.27004336960559	6.561516307414715e-05	1.014963021223968e-05	0.070393102555594	0.0007839511407970001	4.709299352792147e-06	3.057065608453809e-08	5.056696681944296e-06	3.1847607034257184e-23	4.877791660514054e-23	0.000158959441714	2.6406335792062133e-05	0.060723215029012005	9.479762299784565e-05	1.036331434305869e-05	8.082000900430735e-05	0.001230873495817	3.057068930362137e-08	3.3710903429907186e-05	2.3817474044534735e-05	0.002468288321454	4.586493271114967e-07	3.057068366854319e-08	1.4945607212829812e-05	0.09998534076107601	2.546908894536859e-07	0.164328653101034	1.4399732434224852e-05	0.000133616857536	0.000501844532425	0.001019965049454	4.6929270226049684e-05	7.947166841143502e-05	1.207659620835172e-05	6.355914977182774e-05
44.0.	0.000962149407067	0.000530464548632	3.6805317956197284e-05	0.001078468475335	4.473592262446327e-08	0.08463988109851801	0.006449700141387	0.00030960958740000003	0.0010316308979820001	1.6491404009819802e-05	0.0026465006341250003	2.062217140327772e-06	0.07268464521902601	7.913523973589695e-05	1.3477876510354928e-06	0.08041511336878601	0.034895333285927005	0.0015282410588960001	0.31736581915212403	0.000762224997461	2.7528922018098075e-05	0.06340774059875401	0.000931103279226	7.677559103353228e-06	4.4735873688249276e-08	5.265453183731647e-06	7.557400255389944e-22	1.165897950903832e-21	0.00017304469389	3.8026766895174885e-05	0.078362694849784	0.0011036127744730002	0.000175903764249	8.228066749552675e-05	0.003240953208397	4.4736331812043e-08	3.580692045438473e-05	3.374375689748211e-05	0.00317600901862	6.566252448486677e-07	4.4736260959869106e-08	0.000254542998678	0.09978240254577701	3.680283790526457e-07	0.144631828821068	0.000217224610243	0.00015638662681800001	0.0013241695078570002	0.0012351770757600001	0.00046423054949400004	8.169764006775428e-05	1.2295283924972592e-05	7.380791337089628e-05
55.0.	0.0012683249735570001	0.0006136414602310001	3.9446435012556306e-05	0.00195610307527	5.5084282478533007e-08	0.084212015522498	0.0071365085329080005	0.0012405528023170002	0.0014507197984490001	1.7008438066522863e-05	0.00477399404622	6.23795651131811e-06	0.10808819976299901	9.406200042775266e-05	1.7220292399030441e-06	0.08005336289974001	0.038305832105178	0.002184724924522	0.352176202419103	0.0035519418760260003	5.2921247931722655e-05	0.05483559616498201	0.001034185673177	8.404804339130747e-06	5.5083998944086225e-08	5.000349929353387e-06	5.780963302084366e-21	8.92417826582848e-21	0.00018229231161500002	4.700334640298579e-05	0.101459511289214	0.005112556145273	0.001114088680212	8.495054971202622e-05	0.0058625913384420004	5.508650885696826e-08	3.8319352861228054e-05	4.1094116084106794e-05	0.0038388355014290004	9.136466392930334e-07	5.5086100482474784e-08	0.001608849762369	0.098793778228886	4.4968484143418795e-07	0.115617423711906	0.0012057672706720002	0.00017134842729300001	0.002413018074411	0.001367830284253	0.0018849277413700001	8.474382861219127e-05	1.121295507709801e-05	8.388597283474195e-05
66.0.	0.0018535753875020002	0.0007266149416270001	4.327133485620303e-05	0.0028713840684060003	6.033069590008273e-08	0.078678092902055	0.007580278995609001	0.0029565330147890002	0.002767132560896	1.587615736487911e-05	0.006986885233407	1.839177648178267e-05	0.14773316666533	0.00015054413203800001	2.761307783556469e-06	0.07279032187468801	0.040824523155172	0.002803437546274	0.37776069265224804	0.009713217258922002	8.300631161222132e-05	0.046909369788639	0.001127105241108	8.730192365426154e-06	6.03296458325523e-08	4.5827508225862765e-06	2.488339227961164e-20	3.630259063471479e-20	0.00018836712999100003	5.268188841233325e-05	0.124515152593218	0.013599939587829001	0.003940933427875	9.042079240518614e-05	0.008419632710239001	6.03375518998084e-08	4.190571026517372e-05	4.5421460117815686e-05	0.004479632626710001	1.6160595126676519e-06	6.033607820187806e-08	0.005607408124489	0.09633330667642201	4.894880990002896e-07	0.084012895751069	0.0036661990198780005	0.000181177624811	0.003476550838246	0.0014608804842290001	0.004418537249384001	9.027757290722659e-05	9.376177464572158e-06	9.454533847916462e-05
77.0.	0.0027690912780990004	0.0009599012089370001	4.8154132254001153e-05	0.0034810284796820004	6.101149210730344e-08	0.07207941203532	0.008112728880636001	0.004696356475196	0.005256336942103	2.1628324226730083e-05	0.008488158820408001	5.0583771783787534e-05	0.18098157247886001	0.000281466953716	5.418850102187278e-06	0.064733463303249	0.042731721008473	0.00335482883952	0.39654384236704004	0.018060028325041	0.00010159312594800001	0.046036239043418005	0.001246646810103	1.321770144000108e-05	6.100873965845057e-08	4.406545985067754e-06	6.439787836338122e-20	7.919527876479592e-20	0.000192357903594	5.547785633489947e-05	0.13804029594825	0.023605309923502002	0.009356830420737	9.873877735285231e-05	0.009667960886418001	6.102397278291698e-08	4.6450387166897626e-05	4.7290604895681677e-05	0.005118962610915	3.4037573047659537e-06	6.102035879797492e-08	0.012788873997092	0.092801028616513	4.931764884786128e-07	0.06698231830643901	0.007198473391398	0.000187634828487	0.003975871877289001	0.0016153766967800002	0.006469637881587001	9.819595827298919e-05	7.67836430159326e-06	0.00010585084651300001
88.0.	0.0036404578556470005	0.001452865987766	5.2457844223633915e-05	0.0034826852364070004	6.084959322364269e-08	0.070040474402454	0.008878472568166	0.005356043190921001	0.008225046800092001	4.035663625245537e-05	0.008519903123359	0.00010626351407400001	0.194992527701619	0.00047266886914100004	1.0066051446854111e-05	0.063550936081236	0.04420365847001401	0.0038245730170400004	0.41030742960354705	0.024960858753537003	9.37213006318388e-05	0.056596308753057004	0.0013882715641730002	2.587474445645086e-05	6.084428815732533e-08	4.988775745616155e-06	8.946539096215245e-20	9.240149275958555e-20	0.00019497960136100002	5.776367012802622e-05	0.137793089584607	0.029941552081165	0.016423300226949	0.000106867547093	0.009203999696543001	6.086324163947431e-08	5.0307774773781465e-05	4.892028851837612e-05	0.005749857039576	6.511145542797151e-06	6.085685017641265e-08	0.021098303560616	0.08981110866751	4.92139007782707e-07	0.07219415439763101	0.010188394377881	0.00019187682437700002	0.003768194707867	0.0020428845931030003	0.006626181754596	0.00010544281864700001	7.245101256577061e-06	0.00011671405532400001
99.0.	0.004094167121972	0.002236948344723	5.4543319637812023e-05	0.0029237602813700003	6.392877765585221e-08	0.074172017712318	0.009814360430844	0.0046392892252240005	0.010531741042253	7.792573921257736e-05	0.007166155632788	0.000165965121443	0.184586192874192	0.0006564881563370001	1.5788559676585172e-05	0.07104153081665	0.045352141446933	0.004211098183137	0.420368140261047	0.027370486535352002	7.177529091458995e-05	0.073892632821162	0.001526808581755	5.043654444815099e-05	6.392133148919279e-08	6.472823551474079e-06	6.326550603988813e-20	6.064106406941881e-20	0.00019670189939700002	6.238308910734954e-05	0.126779606719569	0.030842956256144003	0.022819425010839	0.00011151518529400001	0.007597873365613001	6.39392145804792e-08	5.193371734100719e-05	5.274611582576029e-05	0.006340680281098	1.0208873252995842e-05	6.393080140953235e-08	0.027605792631024	0.08848631139578901	5.189229843064733e-07	0.092172911982244	0.011513164865626	0.000194663561127	0.0031045129069850004	0.0028675218064400003	0.005369581694095	0.00010916547185500001	8.417456067709849e-06	0.000125985332894
