	T	Tm	Tmw	Tw
0	32554830.0	134173.0	9818.0	26180.0
1	33038929.184216313	137813.01147675904	9912.27907004071	27376.376569118445
2	33529987.895626344	141655.11655285957	10009.760004491087	28642.01736445196
3	34028091.70250409	145712.21522053782	10110.639718334023	29981.712347768673
4	34533323.24178708	149998.0815473632	10215.131340548625	31400.58513190789
5	35045764.58470235	154527.59214574003	10323.468717649377	32904.17734345835
6	35565497.09490527	159316.77417216214	10435.907942963273	34498.46697178021
7	36092601.2428308	164382.92012333297	10552.730274960948	36189.91213115833
8	36627156.4045002	169744.7009758487	10674.245215682631	37985.49419841871
9	37169240.639151	175422.29045821718	10800.794018526492	39892.76513620848
10	37718930.445483565	181437.5003478569	10932.753651830313	41919.89898104812
11	38276300.49097607	187813.92986019206	11070.541340815265	44075.74864801253
12	38841423.31236419	194577.13010521315	11214.619762905479	46369.90839966672
13	39414368.98438044	201754.78512305065	11365.50299586978	48812.78254045245
14	39995204.75319138	209376.9113630494	11523.763339785388	51415.661025901
15	40583994.630704455	217476.07761142642	11690.03915254495	54190.80272491569
16	41180798.945461586	226087.6476090939	11865.04386285419	57151.527159396115
17	41785673.84533573	235250.0478620484	12049.576353243663	60312.31563957821
18	42398670.746696375	245005.06343197313	12244.532939305785	63688.92281619906
19	43019835.72409036	255398.1648149715	12450.92121138235	67298.49978587376
20	43649208.833790556	266478.86937317834	12669.876052442363	71159.73001435316
21	44286823.36378945	278301.14118112234	12902.678202380139	75292.97948499158
22	44932705.001946434	290923.83359048207	13150.77580621726	79720.46263837974
23	45586870.91302734	304411.17930758104	13415.809463856553	84466.42584528138
24	46249328.71428964	318833.3333221535	13699.641394706161	89557.35035047328
25	46920075.33709446	334266.9748983241	14004.389453553462	95022.17701256093
26	47599095.76424386	350795.9745063278	14332.466839140716	100892.5547742565
27	48286361.63003207	368512.1326187544	14686.628508515805	107203.11525910541
28	48981829.65388233	387516.0021915063	15070.025640223657	113991.77876012727
29	49685439.90914855	407917.79842813936	15486.269437727044	121300.09146805183
30	50397113.893702954	429838.4093587108	15939.506117986928	129173.59982839649
31	51116752.38422843	453410.51733329386	16434.505154143786	137662.26539652818
32	51844233.04223257	478779.8484842684	16976.76355591572	146820.9259800397
33	52579407.76971829	506106.5444470872	17572.62801832306	156709.8026669119
34	53322099.77526823	535566.6777383124	18229.438961538985	167395.06000977094
35	54072100.211093344	567354.0047957166	18955.70547556754	178949.44686413457
36	54829164.580060415	601681.7966843828	19761.305521477636	191452.97497115287
37	55593008.639223024	638784.9409320441	20657.728417680886	204993.69150258118
38	56363303.865399525	678922.2502224644	21658.361738383155	219668.52835844964
39	57139672.419730015	722379.0084020279	22778.83238370326	235584.24048276743
40	57921681.54469838	769469.7853208021	24037.413174396894	252858.44358237108
