time	A1	A1_2	A2	A2_2	A3	A3_2	CREB_n	DUSP_c	DUSP_n	DUSP_n_ERK_n	DUSP_n_pERK_n	DUSP_n_ppERK_n	DUSPmRNA	ERK_c	ERK_n	Elk1_n	F	FOSn	FOSn_2	FmRNA	Fn	Kin	Kin_2	MEK	PreDUSPmRNA	PreFOSmRNA	PreFmRNA	RSK_c	RsD	RsT	c_FOS_c	c_FOSmRNA	pCREB_n	pDUSP_c	pDUSP_n	pDUSP_n_ERK_n	pDUSP_n_pERK_n	pDUSP_n_ppERK_n	pERK_c	pERK_n	pElk1_n	pMEK	pRSK_c	pRSK_n	pc_FOS_c	ppERK_c	ppERK_n
0.0.	182.3524	0.0	25.38702	0.0	13.09262	0.0	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	570.4179	1624.9	1510.0	0.0	0.0	0.0	0.0	0.0	82.66574	0.0	637.3212	0.0	0.0	0.0	353.0	247.4035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.925929944387236e-34	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55.0.	182.3034058878296	0.048994112170381	25.033823292931313	0.353196707068677	13.079392234958021	0.013227765041980002	999.9991786763904	7.196185102951773e-23	4.0217854912009084e-24	1.072251822941546e-23	4.7954678392863883e-26	3.1106940921081022e-30	2.832966195476469e-20	555.1946271939269	1623.73504342361	1509.9997343101613	1.664826287388488e-113	1.2474792081455019e-24	2.7596788091769452e-30	1.217653589908837e-110	6.50747794970523e-115	82.54563955413767	0.12010044586239	631.3054689396322	4.3794036541681434e-16	2.524475136058011e-18	3.406526818152924e-106	352.99991895571543	242.84084161286796	4.562658387132224	3.4055996510652722e-25	4.0878453173002035e-21	0.0008213236102350001	5.818774918107855e-31	3.041011757830142e-32	8.027438307839731e-32	3.6095167592799216e-34	2.333903303454086e-38	15.107065950709234	1.118098921317593	0.00026568984109700004	6.015731060367688	7.309703271977438e-05	3.395644067361793e-05	1.7129907213995984e-30	0.125320558759759	0.007917286019303001
110.0.	182.25553090876795	0.09686909123201401	24.70686372524023	0.680156274759753	13.06631817968452	0.026301820315483	999.9537790894846	2.6871447879290733e-15	2.901760214748255e-16	7.892220757339591e-16	2.416316863034835e-17	1.0671454431596661e-20	5.351130870160946e-13	484.49483679225204	1616.3942284707912	1509.986681502859	1.389669436574561e-78	1.1948011363041352e-16	9.457529644696446e-21	5.719001935808695e-76	8.461088121293024e-80	82.42573128581097	0.24000871418907602	616.5440315141406	4.075855009286537e-09	3.956854665735724e-11	8.901706631024857e-72	352.99691077738476	238.87769030931076	8.525809690689378	1.866988355984363e-17	1.391984665602037e-13	0.046220910516007005	7.712369056420101e-22	9.298958073418747e-23	2.5184998406232113e-22	7.804651477290646e-24	3.444085531237839e-27	81.40135371108987	7.869140879820086	0.013318497144088	20.777168485859097	0.0026951246440230004	0.0016838731491160002	3.474993362176133e-21	4.5828592581447865	0.37535439576607604
165.0.	182.20874906837003	0.143650931630007	24.404191263009217	0.9828287369907551	13.05339603960652	0.039223960393483005	999.6424622664093	6.775074494753667e-11	9.923167669123449e-12	2.681588593036146e-11	2.925517620112769e-12	3.6773055552918965e-15	9.614481993200474e-09	374.15503214828937	1592.0611019902105	1509.8656202935333	3.9476706719621972e-59	2.805683856572045e-12	1.7933238001001532e-15	1.077151999370838e-56	3.178043967842155e-60	82.30604734151093	0.359692658489139	597.4508676209538	5.1506933555235955e-05	3.511978100213566e-07	1.108619536714026e-52	352.97976139013025	235.7993659431941	11.604134056806206	3.386511792998019e-13	1.914358259131012e-09	0.35753773359081703	1.2701712632174918e-16	2.5397489278603243e-17	6.841688829720739e-17	7.479736104790544e-18	9.394490602961709e-21	167.67250823920105	27.289711192417048	0.134379706470508	39.8703323790455	0.017372736560641002	0.012245095048123001	4.028141704477811e-16	29.02285916659484	3.701234177158333
220.0.	182.1630349955012	0.189365004498872	24.12400095233855	1.263019047661414	13.040624041297832	0.051995958702165	998.7153973067499	1.322010180801984e-07	2.163266985893325e-08	5.600900257588812e-08	1.821256711109419e-08	4.615820258519652e-11	1.541187828167217e-05	264.52421118397365	1519.892835384619	1509.1898781782752	2.136565424549151e-45	3.0725887997121003e-09	9.764363706331954e-12	4.494585490532588e-43	2.0108972262125307e-46	82.18661915776856	0.47912084223147505	577.5150318426796	0.06678831612951501	0.00020867159761300003	3.557029766836636e-39	352.9363149679946	233.70370212847047	13.699797871529869	3.2204033702990665e-10	1.5081504879266912e-06	1.284602693250216	7.425631010056206e-13	2.386364586200686e-13	6.1636669895089e-13	2.007474406629373e-13	5.084734156192346e-16	220.32587935574008	77.83176227710285	0.8101218217285531	59.80616815731941	0.054147314276917005	0.040752066658105005	1.155386283148698e-12	86.95262120704882	21.258479346010276
275.0.	182.1183639265051	0.234036073494881	23.8646221042053	1.522397895794667	13.028000432225381	0.064619567774611	996.8327547939512	5.4310522679768926e-05	9.557845454462956e-06	2.2260886928952123e-05	1.78260362704834e-05	7.646003661840214e-08	0.005066426616396001	176.38829022972578	1363.1462471083628	1506.4464066841815	1.114413675452881e-34	7.016610942105826e-07	7.816873431514546e-09	1.8549366386397793e-32	1.1891861851055301e-35	82.06747745648731	0.5982625435127911	559.2574974124861	16.72838403175483	0.029633238075313	1.156405232871684e-28	352.86486328732394	232.5618026399135	14.841697360087133	6.706508671578458e-08	0.00026916142222800003	3.167245206048957	6.056565476452477e-10	3.299303108153401e-10	7.669645381115283e-10	6.149525465694176e-10	2.636424476459826e-12	223.7393489754561	172.22144085348546	3.553593315822749	78.06370258751103	0.114207945476612	0.08942291439842101	4.828453188503336e-10	172.63140851562738	79.5291861571739
330.0.	182.07471168981394	0.277688310186042	23.62450828868584	1.762511711314125	13.015523480498679	0.077096519501322	993.6550895701164	0.003818044188606	0.000839313947563	0.001651165093487	0.0025082920760260002	1.6324321746529713e-05	0.24454365220344101	112.51835300529767	1147.5255497497953	1497.4096442782024	3.287403966664601e-26	5.603872118329394e-05	1.484697628322579e-06	4.356514189325894e-24	3.911700967258992e-27	81.94865224107514	0.717087758924973	544.3008244040606	481.07345447584464	1.5543178592272762	2.153061478009357e-20	352.7752587858046	232.2564548043377	15.147045195663239	5.021117729905196e-06	0.017462437547983	6.344910429883861	6.57153599005927e-08	7.336795751329105e-08	1.440971696349115e-07	2.19140420031311e-07	1.4256121303237612e-09	193.5485348453894	275.6096769842699	12.59035572180091	93.02037559593441	0.18912394033283503	0.15218289741093102	5.654722213809672e-08	266.4225232970519	192.90959494305656
385.0.	182.03205469098452	0.32034530901533903	23.402228077480324	1.984791922519658	13.003191474622176	0.08942852537782	989.0959213684301	0.041555299211419004	0.013620729866512	0.022262101968047003	0.049910986278925006	0.00046257130663100005	1.679929629185545	72.26817459400834	950.8164171253355	1466.4796113401267	1.2990666834344758e-19	0.0016885983900050002	7.802386608864386e-05	1.2676600847180131e-17	1.749199578136084e-20	81.83017279335387	0.835567206646155	533.4791988483026	1809.152413030162	18.930530696758805	4.510280867863298e-14	352.68814717932617	232.61586041479106	14.787639585209925	0.000137222582501	0.35955295367078605	10.904078631570151	9.28668187284058e-07	2.6879401744315688e-06	4.387088913080882e-06	9.844960054849839e-06	9.121056789970727e-08	152.54548122752632	337.5732136778285	43.52038865987672	103.842001151692	0.26149799939434404	0.21515241819220002	2.038258492118505e-06	345.6606115780901	336.19687668835564
440.0.	181.99036989815286	0.362030101846872	23.196456478452344	2.190563521547645	12.991002723251198	0.10161727674880301	984.101273669999	0.15914584655917002	0.079587254189019	0.122240176598555	0.25381602216750504	0.00362314659804	4.5519826192086335	54.330949376759555	892.7831188251357	1383.5835338019222	3.43901722304216e-15	0.013985588989255001	0.0008835077989580001	2.106591129225997e-13	5.375063276171961e-16	81.71206767122197	0.9536723287781471	526.9732896489973	3344.5135440031436	47.38570389022633	4.5770119594793573e-10	352.6275804552318	233.44480751948143	13.958692480519504	0.001022379134673	1.7342719102557491	15.898726330000892	4.072299953283293e-06	3.0285319819020763e-05	4.646504459537783e-05	9.654953893634656e-05	1.377839569696136e-06	118.54256070053795	293.59811011864457	126.41646619808095	110.34791035099725	0.31131593743379204	0.26107904951736	1.762985316284314e-05	394.7155903804094	450.2256362719052
495.0.	181.9496348278874	0.40276517211231105	23.00596701004254	2.381052989957465	12.97895555495049	0.11366444504950801	980.9739031591131	0.39490649924666105	0.289894805721626	0.506097736640267	0.50694199539658	0.013727718028646	8.455508473780904	55.129351002677986	1014.1609657545673	1293.9290448027068	2.059137993064093e-12	0.051500868884243	0.0035633545888360003	8.130961575255103e-11	3.56275678049996e-13	81.59436470704459	1.07137529295553	524.4643904929329	4896.5463008544675	72.39052164627188	1.1140400540062189e-07	352.606568785853	234.55184892482427	12.851651075176704	0.003548010291709	4.186200888591227	19.026096840886854	1.0561363543224812e-05	0.000177783533772	0.000310168329878	0.000310823774637	8.415553060197116e-06	100.54651076424238	160.91076901022817	216.07095519729634	112.85680950706161	0.328063184856264	0.27929976151142505	6.412170872651303e-05	410.252678757166	467.98267704735383
550.0.	181.90982753142902	0.442572468570787	22.82962436746899	2.557395632531019	12.967048317955573	0.125571682044425	981.0183949155618	0.7843151447522061	0.6985313689754511	1.388806098534578	0.6254131487441891	0.028418808006949	13.020952625616355	63.47514612466074	1154.0858551004383	1293.8103462832926	1.3913745046719671e-10	0.12782452108505102	0.008237761176493	3.748516202864297e-09	2.565174486046263e-11	81.47709100674895	1.1886489932512	525.2992048302837	6429.17990890295	93.33294998224619	3.4497767071542446e-06	352.6145251469041	235.77045381039278	11.633046189608402	0.008466246574319	7.511509193388271	18.981605084438264	2.0819869022485474e-05	0.000519350903977	0.0010324563890420002	0.00046497246618300005	2.112783164430781e-05	99.6410105319732	82.37393653351786	216.1896537167103	112.02199516971133	0.32103118609596004	0.27535021354342004	0.000150612959894	403.6855356762684	401.8471208771724
605.0.	181.87092658131323	0.48147341868666904	22.666377636404125	2.720642363595893	12.955279379937746	0.137340620062248	982.6964102102417	1.329195679880977	1.302917467015336	2.8324474991676203	0.6870852116580101	0.041859380745934004	17.96816819209989	73.22847680211369	1261.3957487688513	1387.7343895553213	2.6813103453975797e-09	0.25431147533243703	0.014218024185104	5.2568464580534505e-08	5.139574108172612e-10	81.36027294960095	1.305467050399225	528.6518237125991	7907.8998171178955	110.74688976618523	3.4888233918037625e-05	352.6328335310932	236.97249232759924	10.431007672401993	0.016363423488468	11.524247563939188	17.303589789758067	3.4401387464421955e-05	0.0009355117981710001	0.002034133587366	0.0004933681971690001	3.005900265637442e-05	106.66752282905436	48.51594753123359	122.26561044468144	108.669376287396	0.305652580207857	0.26283206989344604	0.00027976850978100003	389.1578417575362	317.2526044776575
