time	MAPK	MAPK_P	MAPK_PP	MKK	MKKK	MKKK_P	MKK_P	MKK_PP
3060.0.	179.4328397216897	64.77627737811116	55.79088290019803	207.3418209438345	47.056786748441475	52.94321325155845	46.60926897320835	46.04891008295712
3150.0.	83.59330894791438	76.15528259441304	140.2514084576714	150.32404816971683	49.08857183646279	50.911428163537124	64.24382187725342	85.43212995302972
3240.0.	2.224134817850483	21.792292144904735	275.9835730372434	113.56839228085585	60.07663514432453	39.92336485567539	74.88162910157482	111.54997861756955
3330.0.	0.438391845269243	2.952022219619682	296.6095859351094	103.79068012532282	72.40900507334851	27.590994926651348	80.88180400731082	115.32751586736659
3420.0.	0.5780387743777771	3.478035906363335	295.9439253192572	117.25386331325575	82.99296533289265	17.00703466710719	84.57655282427328	98.16958386247123
3510.0.	1.165399770981203	5.307705679068239	293.52689454994896	148.78439053557182	90.77596377905707	9.224036220942715	85.54078011723806	65.67482934719035
3600.0.	3.987370369682533	11.195233644734119	284.8173959855816	191.89751003089202	94.9509303682524	5.04906963174743	79.92861516161703	28.17387480749129
3690.0.	17.405098236972233	24.168279092902505	258.4266226701237	238.55041634042672	96.2275692597769	3.772430740222948	56.56332988570857	4.886253773865027
3780.0.	43.94511800021469	36.29133361556744	219.76354838421642	278.0765711790774	96.05201672384159	3.947983276158264	20.465802410823933	1.457626410099191
3870.0.	74.97952667406857	45.356388087436905	179.66408523849321	294.85685436848644	95.15453056371507	4.845469436284716	4.437293517966065	0.7058521135479711
3960.0.	108.28364684817149	52.16257464212284	139.5537785097044	295.87065409944285	93.48590442394328	6.514095576056518	3.536504146640873	0.592841753916976
4050.0.	141.99402563978862	57.00721856725791	100.99875579295224	293.73261277452133	90.37286919878022	9.627130801219586	5.155631088360835	1.1117561371184561
4140.0.	174.13815220050458	59.7064065830696	66.15544121642469	288.1630202799329	84.0193276007493	15.980672399250473	9.04392092383283	2.793058796234975
4230.0.	199.3008714205453	60.01546955514047	40.68365902431326	272.52205307283367	70.65826489209124	29.34173510790858	18.522778605027895	8.955168322139057
4320.0.	198.20900434600205	61.295972138185924	40.49502351581107	232.77230597014545	51.79181812775647	48.208181872243365	37.14516131706218	30.082532712793007
4410.0.	134.37648691957386	71.62917307335033	93.99434000707471	174.07984443283826	46.44627148884053	53.553728511159306	57.32704864279651	68.59310692436598
4500.0.	17.28678533667212	66.9214425987627	215.79177206456393	126.51335668049327	54.692076292476884	45.30792370752295	70.9449838104824	102.54165950902515
4590.0.	0.483924537180608	3.109132882952557	296.40694257986564	104.93681396031403	67.11236482140494	32.88763517859494	78.60082139270372	116.46236464698302
4680.0.	0.48750391630021406	3.144352132370622	296.36814395132836	108.76269505689783	78.59410524192657	21.405894758073416	83.18630532325416	108.05099961984874
4770.0.	0.805899066628298	4.243076995917359	294.9510239374535	132.98992227366588	87.75505607230441	12.244943927695545	85.59825284385154	81.41182488248319
4860.0.	2.16372079533002	7.753907320823144	290.0823718838459	171.91267605100293	93.54736138213175	6.452638617868193	83.6969597505771	44.39036419842061
4950.0.	9.376701014664054	17.931637975060355	272.69166101027497	218.05981526544699	95.91941799915728	4.080582000842729	70.02084956417998	11.91933517037349
5040.0.	31.367848366979967	31.37758655399565	237.25456507902385	262.4547584836906	96.24044680603919	3.759553193960897	35.51804727489196	2.027194241418057
5130.0.	60.882688612189725	41.66334462327049	197.45396676453916	290.74512440415964	95.62909569628277	4.370904303717305	8.23955095489852	1.015324640942152
5220.0.	93.41629441765714	49.40282295353984	157.1808826288024	296.0775297750518	94.3452633976897	5.654736602310447	3.374547352887709	0.547922872061087
5310.0.	127.1505176057068	55.110087493296646	117.73939490099596	294.94846262012743	92.0037933160946	7.9962066839055534	4.247462098050293	0.8040752818229541
5400.0.	160.3229593010364	58.80560020804798	80.87144049091505	291.2905916725521	87.42067056500488	12.579329434995321	6.907617338959268	1.801790988489289
5490.0.	189.75655625085017	60.13776746646115	50.10567628268808	281.4806415553746	77.70457665150931	22.29542334849087	13.306129966061604	5.213228478564434
5580.0.	204.1972131283446	59.99514057340316	35.80764629825162	254.00130832182094	59.73230192957987	40.267698070420295	27.955594951565825	18.043096726613648
5670.0.	172.0392830299269	66.05219586612148	61.908521103950896	200.34122459221012	46.467804722646335	53.53219527735383	48.99604088440277	50.66273452338757
5760.0.	68.86638138493493	76.51435449025948	154.619264124805	144.73232843405307	50.09202417178839	49.907975828211775	65.81913354604868	89.4485380198986
5850.0.	1.624781956609792	12.0445540633058	286.33066398008395	111.07146542061264	61.55229954375652	38.44770045624365	75.7548614609591	113.17367311842885
5940.0.	0.44351522379887603	2.973008630947124	296.58347614525314	104.25988015639956	73.74728354104954	26.252716458950655	81.41028958889336	114.32983025470756
6030.0.	0.612515454478618	3.599942108737582	295.787542436783	120.09573038980143	84.06331510103996	15.936684898960273	84.866568421006	95.037701189193
6120.0.	1.306473120212637	5.691786740704459	293.00174013908236	153.3448210655462	91.4499928485085	8.550007151491707	85.34966225943786	61.305516675016385
6210.0.	4.748992872797067	12.389394473238625	282.86161265396373	197.30048797975203	95.21850429165345	4.781495708346771	78.4323345807526	24.267177439495732
6300.0.	20.03963771319871	25.761921168996555	254.1984411178039	243.77616544825906	96.25934934733287	3.74065065266741	52.334187042052335	3.889647509688923
6390.0.	47.3855949309399	37.48107193113433	215.13333313792472	281.44835195122477	95.97994433276571	4.020055667234655	17.188960272401737	1.362687776373675
6480.0.	78.77118717894551	46.253315153515615	174.9754976675378	295.35044207389046	95.00711304690634	4.992886953094041	4.000622740127556	0.6489351859822791
6570.0.	112.21132789154822	52.8258215434803	134.9628505649704	295.7313023136897	93.21891804696423	6.78108195303615	3.645576634282693	0.623121052027878
6660.0.	145.86164200692744	57.43873580704913	96.69962218602241	293.3228485497945	89.85342778681411	10.146572213186262	5.455765535888428	1.221385914317368
6750.0.	177.60283100366485	59.86118901050773	62.535979985826394	287.077310625713	82.91476514684062	17.085234853159733	9.762177547065903	3.160511827221311
6840.0.	201.13856532238492	59.95778814697729	38.90364653063679	269.4074119739743	68.50835132370607	31.491648676294297	20.22523761979375	10.367350406232145
6930.0.	194.6407538015865	61.98439737684102	43.37484882157149	226.37647127976618	50.17157577365631	49.82842422634403	39.659627164943494	33.96390155529053
7020.0.	122.10914066099102	73.08108325984742	104.80977607916041	167.50121339682508	46.92930505935692	53.07069494064342	59.2891830739327	73.20960352924249
7110.0.	9.076674259687655	58.095067915733146	232.8282578245779	122.58233754497644	56.05471913926734	43.945280860733	72.08445757520926	105.33320487981445
7200.0.	0.45004711687201804	2.988192544304871	296.561760338822	104.17121730107141	68.53511591400388	31.464884085996538	79.24691217973492	116.58187051919415
7290.0.	0.506056395420805	3.214527016243944	296.2794165883342	110.62660526379477	79.79817521367494	20.201824786325528	83.5919626207891	105.7814321154166
7380.0.	0.879453587520241	4.472838857563862	294.6477075549146	136.88630328151035	88.61800076422226	11.38199923577821	85.67251437529359	77.44118234319659
7470.0.	2.516714194439641	8.501911293841243	288.981374511718	177.06004445490038	93.97998386683177	6.020016133168666	82.95428967511383	39.9856658699865
7560.0.	11.15015347803237	19.562641759500426	269.28720476246616	223.51075840632268	96.03300635506166	3.966993644938734	66.96762609022387	9.521615503454168
7650.0.	34.586003626695366	32.733748384820466	232.68024798848307	266.93062551816564	96.20511796699951	3.7948820330009143	31.250310845149556	1.8190636366853812
7740.0.	64.53574643663286	42.679634329807634	192.7846192335585	292.25728700288283	95.51674257151598	4.483257428484372	6.818246863994106	0.9244661331235511
7830.0.	97.31154853203496	50.1654715262363	152.52297994172773	296.0834418048972	94.14076946091934	5.859230539080993	3.368711379482143	0.5478468156211831
7920.0.	131.0696333923621	55.647399265514764	113.28296734212219	294.67501133763477	91.62143004117759	8.378569958822759	4.454229136318569	0.87075952604713
8010.0.	164.03603495618486	59.08940665187085	76.87455839194322	290.597118092023	86.63494267662865	13.36505732337167	7.390687128835343	2.012194779142003
8100.0.	192.5864773984616	60.135119000477616	47.278403601059686	279.5133764626658	76.03556191523317	23.964438084767284	14.495966786284345	5.990656751050044
8190.0.	203.66153572308414	60.16560051672184	36.17286376019295	248.95753627899927	57.45096255096963	42.549037449030784	30.273006102054516	20.769457618946632
8280.0.	163.58597754644867	67.44114427588526	68.97287817766497	193.328124843734	46.13923307170508	53.860766928295334	51.31022262762527	55.36165252864117
8370.0.	54.05245880869979	76.14473280119059	169.8028083901084	139.45878011213642	51.19320445103556	48.80679554896485	67.2966127941618	93.24460709370229
8460.0.	1.100621274128272	6.510665830093965	292.3887128957766	108.94854648648383	63.030570094408795	36.96942990559162	76.57134077791137	114.48011273560532
8550.0.	0.45134038318219905	3.004200332521324	296.54445928429493	105.033918075021	75.06044303494318	24.939556965057474	81.91271680420908	113.05336512077028
8640.0.	0.6527896683441	3.7392565820187613	295.6079537496356	123.17473358251009	85.09404846204679	14.905951537953925	85.11962568297378	91.70564073451659
8730.0.	1.475760910706859	6.132980725897076	292.39125836339474	158.0513584614364	92.0727600298414	7.927239970159318	85.06829112832044	56.88035041024377
8820.0.	5.67595229080836	13.70569393228103	280.61835377690954	202.7396324999953	95.44885274784757	4.551147252153242	76.66791011381582	20.592457386189427
8910.0.	22.842502631706438	27.309944389770006	249.8475529785225	248.89417292906708	96.27437270999782	3.725627290003059	47.949587009411594	3.156240061521927
9000.0.	50.87300271554234	38.63199464958293	210.49500263487366	284.44934229197577	95.8993309407429	4.100669059257898	14.27874680595463	1.27191090207036
