time	MAPK	MAPK_P	MAPK_PP	MKK	MKKK	MKKK_P	MKK_P	MKK_PP
0.0.	280.0	10.0	10.0	280.0	90.0	10.0	10.0	10.0
90.0.	260.7551636007412	23.293032040491948	15.951804358766688	211.72393994183844	16.909381286398048	83.09061871360187	41.552197432368274	46.723862625793146
180.0.	98.46589797727576	61.40767838660204	140.1264236361217	89.03576894753346	16.32330025558153	83.67669974441839	68.12417777140669	142.8400532810598
270.0.	0.121599966880092	1.431940196738186	298.4464598363811	17.901510194257924	30.968653482324996	69.03134651767493	60.41463400616644	221.68385579957544
360.0.	0.084942282368968	1.18424086567333	298.730816851957	8.907393129772464	45.66112193096994	54.33887806902995	30.183260230622107	260.909346639605
450.0.	0.08191053354486101	1.162520003309976	298.7555694631445	10.639044050636963	59.3705341756021	40.62946582439779	24.804364570708877	264.55659137865376
540.0.	0.09093844751879501	1.230320070857314	298.67874148162304	17.99699778515469	71.87017832637663	28.129821673623262	31.496362346503027	250.5066398683419
630.0.	0.11407950139853601	1.391579866265694	298.4943406323348	34.548036720673934	82.59450207300877	17.405497926991135	42.50935930835787	222.94260397096778
720.0.	0.16811875076257402	1.722069861816039	298.10981138742034	63.7541571889967	90.56967098446671	9.43032901553316	53.68932259471426	182.55652021628865
810.0.	0.307021060845313	2.415499922837531	297.2774790163161	104.29436629818309	94.96856964763624	5.031430352363642	62.386947143140105	133.31868655867646
900.0.	0.7549058795952941	4.084517596929684	295.1605765234741	150.9745125872329	96.54478275441669	3.455217245583234	67.34714981494432	81.67833759782248
990.0.	2.8754502281902132	9.17253421267251	287.95201555913644	199.51712971085541	96.90884264662795	3.091157353372048	65.86967096485999	34.613199324284196
1080.0.	14.40234749163933	21.882052396942413	263.7156001114173	246.6716984887784	96.80334648788798	3.196653512111972	47.58679819478626	5.741503316435078
1170.0.	40.390550128462586	34.63030287715091	224.9791469943855	283.6954253118759	96.29128418880151	3.7087158111984833	15.06313863829281	1.241436049831072
1260.0.	71.51960329734283	44.05671413612647	184.4236825665296	296.00434083082735	95.35040713208087	4.649592867919096	3.462595549088928	0.5330636200834701
1350.0.	104.83080599383494	51.138223152602194	144.03097085356177	296.1658794920857	93.75218911269144	6.247810887308559	3.306956507545208	0.527164000368691
1440.0.	138.5710777217327	56.24893330756809	105.17998897069815	294.1264657757427	90.84714935895877	9.152850641041164	4.864648699161958	1.008885525094682
1530.0.	171.0203334546702	59.247254571880724	69.73241197344818	289.10894408223606	84.99905504789321	15.000944952106774	8.408594182796167	2.4824617349670053
1620.0.	197.49892107164925	59.82682156129246	42.67425736705728	275.2025525802316	72.6140693060101	27.385930693989792	17.01336199413305	7.784085425634245
1710.0.	201.03027169525618	60.5838182322413	38.385910072501595	238.62058287911813	53.54515677560177	46.45484322439811	34.7499395620007	26.629477558880566
1800.0.	145.42125234296125	70.04877441122426	84.5299732458136	180.49412833140318	46.12138495164527	53.87861504835461	55.36384471404019	64.14202695455594
1890.0.	28.303115419289817	71.99991402752381	199.69697055318554	130.5074625027339	53.40589364275653	46.59410635724335	69.79024543650215	99.70229206076353
1980.0.	0.5655654866409411	3.424108368140796	296.0103261452175	105.83312094789159	65.70509463312212	34.29490536687779	77.95671937866294	116.21015967344523
2070.0.	0.47109166819788806	3.081430322103162	296.44747800969816	107.03982328638943	77.38914445333947	22.610855546660392	82.78213576244727	110.17804095116317
2160.0.	0.7423629570137571	4.038563396319425	295.2190736466659	129.218987710797	86.86801870004885	13.131981299950972	85.4936788086737	85.28733348052923
2250.0.	1.873123464297423	7.098685036465715	291.0281914992359	166.82649396102576	93.07874106224082	6.9212589377589815	84.31854332581922	48.85496271315494
2340.0.	7.848780626631956	16.347581967688217	275.80363740567896	212.5739010835195	95.78330148169113	4.216698518308639	72.72449764569552	14.701601270784831
2430.0.	28.232199026589214	29.97127868724089	241.79652228616885	257.76096002129066	96.26551022879413	3.734489771205687	39.92521245123406	2.313827527475285
2520.0.	57.27271509802356	40.612657766793355	202.11462713518208	288.85490254596596	95.73335379794257	4.266646202057306	10.037414750908951	1.107682703125399
2610.0.	89.53699286635948	48.612799354067306	161.85020777957212	296.011957761396	94.53633411677636	5.46366588322353	3.430002489339284	0.558039749264813
2700.0.	123.2257652162388	54.5456246215233	122.2286101622368	295.1928100177573	92.35775775854168	7.64224224145826	4.061297225360252	0.745892756882361
2790.0.	156.56713299887235	58.48910738052174	84.94375962060474	291.9099206310605	88.1399910312557	11.86000896874424	6.471155258373849	1.6189241105655041
2880.0.	186.7518097729726	60.110786394355294	53.13740383267107	283.2174278830397	79.24345726739652	20.756542732603428	12.232700026622588	4.549872090337482
2970.0.	204.1093832785453	59.91186796961986	35.978748751833855	258.6287812371971	62.06843340399896	37.93156659600097	25.743381010526857	15.627837752276
