	W_star	Wt	Y	Z
0	0.5	1.0	1.6	0.15
1	0.44800658563151324	1.0	1.6158572937173403	0.22245606003326618
2	0.41076282430997874	1.0	1.658400665901754	0.24670344967862012
3	0.3792433491540943	1.0	1.7054625428840562	0.25816449473889275
4	0.35103234074589945	1.0	1.7515854468718142	0.2659399753359337
5	0.32544271220749865	1.0	1.7951208089427502	0.2727234916389272
6	0.30232501366018466	1.0	1.8353489235916307	0.2794586615075267
7	0.2817322152940924	1.0	1.8717415959462553	0.2865792718939216
8	0.2638230470129434	1.0	1.9037082237069585	0.29440321236048417
9	0.24884848057795483	1.0	1.9304277935393197	0.3033105241100702
10	0.23718807733328334	1.0	1.9505995939867453	0.31392056400309226
11	0.22946081009514208	1.0	1.961864426063581	0.3274716408849742
12	0.2268414715805344	1.0	1.959003577989686	0.34706884053021697
13	0.2322421359596193	1.0	1.9254316947004666	0.3841293700650774
14				
15				
16				
17				
18				
19				
20				
21				
22				
23				
24				
25				
26				
27				
28				
29				
30				
31				
32				
33				
34				
35				
36				
37				
38				
39				
40				
41				
42				
43				
44				
45				
46				
47				
48				
49				
50				
51				
52				
53				
54				
55				
56				
57				
58				
59				
60				
61				
62				
63				
64				
65				
66				
67				
68				
69				
70				
71				
72				
73				
74				
75				
76				
77				
78				
79				
80				
81				
82				
83				
84				
85				
86				
87				
88				
89				
90				
91				
92				
93				
94				
95				
96				
97				
98				
99				
100				
