	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_3	species_4	species_5	species_6	species_7	species_8	species_9
32	0.15246862900670824	1.1472706601724751	9.654312894163533	0.34564697935645944	0.9995775249050118	5.687445520161721e-05	19.041682969335646	0.013876801100896648	0.14612319889910333	4.544943062149215	0.006492855430808084	0.33043563557868205	0.0011444517613106407	10.87752261037633	9.77158992338944	6.931317662296792	1.2949447537588696	6.636357493782044	0.13575542989096148	0.027963466890099868	2.338426794868966	0.004993078411236058	0.0004429527549881805	12.693867057167404	3.8527293398275275
33	0.14910581019248875	1.1025361011670956	9.625857764951087	0.3741021085689074	0.9996142058834641	4.582637966714867e-05	17.96950193294089	0.011687387436902816	0.14831261256309722	4.5454297315908745	0.006006185989148312	0.28050699506216703	0.001254279920864973	10.894719535907312	9.808771354029961	7.005820166580868	1.3065992366898482	6.699206791633193	0.12517936400342225	0.022636041504930534	1.9643470968857528	0.0045792573612319235	0.00040627177653604644	12.170889829367532	3.897463898832908
34	0.14546614044762918	1.063332276247067	9.605856899278242	0.3941029742417557	0.9996436406896828	3.7595876323947633e-05	16.9574052388177	0.01005305915925802	0.1499469408407421	4.545845944896367	0.005589972683656694	0.24259856309416844	0.00133089167254681	10.908667538308395	9.839604293470105	7.074603291047801	1.3188777778566716	6.755712399264558	0.11626241417140466	0.01905419548361746	1.7027635803361818	0.004225185865485684	0.0003768369703170757	11.682844667769485	3.936667723752937
35	0.14151741980468618	1.0308945309791644	9.592141736159613	0.4078181373603863	0.9996666021036916	3.129549685279377e-05	16.001298776150175	0.00875260691595767	0.15124739308404236	4.5461940498804685	0.00524186769955892	0.21257695261749807	0.0013674260765686357	10.920181159107496	9.864297261216318	7.138580050893146	1.33139482434319	6.807172911680594	0.10881174144861859	0.01656222424169089	1.5217934656868173	0.003934342419232432	0.00035387555630822753	11.264411498048801	3.96910546902084
36	0.1372645426448611	1.0036304856119949	9.583106485083567	0.4168533884364354	0.9996857810119616	2.6456754177491226e-05	15.097322132960047	0.007725862554337475	0.15227413744566257	4.546487992785531	0.004947924794498608	0.1888678569497849	0.001366252233206823	10.92983252601499	9.883520912984153	7.198486109812817	1.3438647464246911	6.854609715944771	0.1025477995512476	0.014798665610573815	1.3952420757325887	0.003686161713176409	0.00033469664803846533	10.928312018954678	3.996369514388008
37	0.13277757840514817	0.9806625172293909	9.577477336796338	0.42248253672366504	0.9997023774597998	2.2651040312390088e-05	14.243659491337263	0.006893253510425974	0.1531067464895741	4.546741057381315	0.004694860198715754	0.1696408657610322	0.0013331952481473656	10.937998192340197	9.898083299234933	7.254772505343408	1.3560852604873581	6.898676174969081	0.09717380222137492	0.013524405134368075	1.3066912442190315	0.0034713345938939583	0.00031810020020041206	10.673067517771807	4.019337482770611
38	0.1281533223778173	0.9607166329782603	9.57405187515497	0.42590799836503246	0.9997174126812213	1.9548562198660547e-05	13.434043102675851	0.006191729316706943	0.15380827068329314	4.546966045075589	0.00446987250444094	0.1534426110741953	0.0012785970678358663	10.945053993374328	9.909204527606562	7.3080730201954704	1.367956692903442	6.940105780630765	0.09240972064484484	0.012555834557298121	1.242257412580348	0.0032796527886988507	0.0003030649787790134	10.482295218066666	4.039283367021742
39	0.123472402823138	0.9430883666589083	9.572188274826393	0.4277715986936083	0.9997313324380946	1.6977152208237313e-05	12.667320592	0.00558930515326425	0.1544106948467358	4.547169791944218	0.004266125635812701	0.13953013329667338	0.0012098579409129493	10.951167271664643	9.91761906092626	7.358587493737864	1.3793935003176874	6.979183931166453	0.08810650440125678	0.011799263795807214	1.194841424171839	0.0031060920978453984	0.0002891452219055745	10.344467195360185	4.056911633341093
40	0.11879875392244169	0.9271799996506677	9.571441447013534	0.42851842650646815	0.9997444017857902	1.480639402573272e-05	11.941266551165791	0.005063004024947491	0.1549369959750526	4.547356585123136	0.004079332456893632	0.1273658618280301	0.00113311402553859	10.95648009043284	9.923985872833772	7.406532317332276	1.390355241648901	7.0161674682429505	0.08416974905011129	0.011188932900522199	1.1593524308832106	0.002946812733185126	0.00027607587421008353	10.247596100606648	4.072820000349334
41	0.11419144086265753	0.9124316624905231	9.571462576717737	0.42849729680226467	0.999756826841148	1.2944546650518553e-05	11.253415914058143	0.004594912353189007	0.15540508764681105	4.547531160150123	0.003904757429907161	0.11652467211606422	0.0010537719732878696	10.961122884561348	9.928925582481316	7.45211372164972	1.400818431143202	7.05128611545802	0.08049785870069756	0.010675538050656146	1.1316220091312135	0.0027984560765345746	0.0002636508188522112	10.179585644196267	4.087568337509479
42	0.10968131657280307	0.8985040130131241	9.57207396452571	0.4278859089942906	0.9997686813637223	1.1325661886389575e-05	10.601878151513445	0.004174619729128018	0.15582538027087203	4.547695297239361	0.0037406203406687936	0.10676270577885791	0.0009750141409274963	10.96518208344392	9.932828183499705	7.495468956505395	1.4107763636170436	7.084683830377239	0.07705135282300206	0.010229074852897181	1.1093181759003499	0.002659167705181945	0.0002517962962778632	10.132467201341099	4.101495986986878
43	0.10529698347096908	0.8851602649679585	9.573107019272081	0.42685285424791986	0.9997800527941838	9.920428566931477e-06	9.98477599146004	0.003794478340371263	0.15620552165962878	4.547851437684557	0.0035844798954733706	0.09789896344505841	0.0008988395797455933	10.968734569146559	9.9359978961998	7.536721470157269	1.4202299387331674	7.11648316463877	0.0737781802696226	0.009832971601705308	1.0906989391846222	0.002527423329171651	0.00024042486581637713	10.099903826037384	4.114839735032043
44	0.10105020925969434	0.8721625924573577	9.574470548026893	0.42548932549310714	0.9997910026899229	8.690236486555277e-06	9.400369056808806	0.0034503340349244325	0.1565496659650756	4.548000675275107	0.0034352423049232605	0.08983920221776848	0.0008264974520468193	10.971845677947252	9.938646118343643	7.575975404835747	1.429185438846862	7.146781980259925	0.07065530597750644	0.009471170583082514	1.0745083144300716	0.002402180439295739	0.00022947497007724463	10.077550703136442	4.127837407542644
