	s130	s137	s149	s153	s161	s166	s47	s48	s49	s50	s56	s60	s63	s64	s67	s71	s72	s75	s80	s81	s83	s84	s90	s91
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.006846659450247057	0.0030539845902253274	0.0026922340348894147	0.040316937393665736	0.8288985694053436	0.002778342714455659	1.2379899222928525e-05	0.0	0.00025453093766448885	0.009899050955760587	0.0016716932246188523	0.0026851029067313124	0.0	0.004329487475787604	0.21695747773182975	0.3382885593298764	0.0027156419977811745	0.44701242858443235	0.002717438501041433	0.0011756165220448802	0.02663679923724706	0.0011325214849196039	8.149811679654841e-05
2	0.0	0.03507906581386889	0.004585648704035021	0.010092487319910937	0.04915783133117386	0.5558419355242831	0.0026393908825595516	2.379840915059599e-05	0.0	0.0004863431902214344	0.01806989330195273	0.01274832769643879	0.016295295264235468	0.0	0.009825429728201421	0.4042772079340433	0.49049070867283995	0.0049379526461113595	0.8505791847566934	0.004944392653692188	0.002191199280612636	0.08206497161113123	0.00813066178845607	0.0030666754146023373
3	0.0	0.059689034211128256	0.003176746377345025	0.01118853878273969	0.036352505509590544	0.27040810535591836	0.002473680429714929	3.78975128287143e-05	0.0	0.0007702367183889566	0.02772867547280733	0.04531551028620249	0.04921929561001394	0.0	0.01729673070966903	0.5501908379323406	0.5405233487576767	0.00675469195320278	0.9831080444701861	0.006767937399191442	0.003330410673693137	0.15816800706458659	0.02671624240029013	0.042721037697691006
4	0.0	0.06526327087615577	0.001717154156732768	0.00882486752963394	0.026795922054190468	0.14870949284827026	0.0023723447665257406	5.335414710586273e-05	0.0	0.0010792082700782407	0.037599143261668404	0.0912834746043379	0.09630752548486225	0.0	0.022306060272873802	0.655891655080916	0.5419916362767421	0.008239486355535409	0.9816147134637089	0.008261342145728606	0.004237287918231122	0.2445133407652181	0.05104787240531482	0.16948430607917864
5	0.0	0.06509498718543713	0.00104846752364719	0.007152457799532496	0.020770342431280953	0.09783649213086683	0.0023131275996996423	6.574312083489906e-05	0.0	0.0013250366900106785	0.04480085025595211	0.14004366639468255	0.1491241038480586	0.0	0.025396565100950938	0.7367670422025443	0.5402350739229275	0.00945345655294807	0.98982049487855	0.0094853538679758	0.004649275400651847	0.33388984334865224	0.06420015149253065	0.36847291367722135
6	0.0	0.0625160600296718	0.0007454630859306964	0.005878757626655103	0.016796304737199334	0.07083851999466774	0.002249026240899132	7.621245104730134e-05	0.0	0.0015328727032618912	0.05074579129077471	0.18818074725573677	0.20423044964800027	0.0	0.02901511664617813	0.7931303598877146	0.5331029601273232	0.010422288380930192	0.9904725360541535	0.010465090454815577	0.005073608025927991	0.4207094187810799	0.060511742043767	0.5835601151843756
7	0.0	0.059267788963523124	0.0006111803812903823	0.00497795665867716	0.014030530929741542	0.05424423927808972	0.002154814155420322	8.538482402914171e-05	0.0	0.0017146790450538868	0.0558141603149841	0.23481694172856776	0.25731741082103754	0.0	0.0348729756755188	0.819214384303992	0.5122447362565355	0.011220226214256626	0.9891570275638004	0.011274107606986621	0.00575289890328656	0.49845878610455063	0.0463308887840215	0.7625284033111254
8	0.0	0.05614607903736983	0.0005837271036539032	0.004180961754307106	0.012082702127942204	0.043647696655705476	0.0020084118959499695	9.375455675030159e-05	0.0	0.001880376219515421	0.06033152953746329	0.27931849561794164	0.3033402507694162	0.0	0.045214657837787026	0.7966031874924155	0.4671652156850583	0.011875723317175752	0.9880375947448945	0.01194039039131308	0.006741512623690338	0.5572400867325823	0.02902453464948252	0.8845447791643722
9	0.0	0.05318472284244349	0.0006416385694655644	0.0034356123289049642	0.01064044451720783	0.03621028448549538	0.0017833377157872026	0.0001017822530700101	0.0	0.002039296344619362	0.06463160287478964	0.321902693046946	0.33354626415200045	0.0	0.06453461949811866	0.6950965335277461	0.38724636637420834	0.012422789091225132	0.9869337821905806	0.012497552927407422	0.008034877833355445	0.583937027103139	0.014045616326469015	0.9564896925833138
