	L	REL	ReNR
0	0.0	0.0	3.7
1	0.0049100377273259685	0.017989971570367608	3.682010028429637
2	0.004998038509268979	0.01839884745438828	3.681601152545614
3	0.004999957238554281	0.01840776153717909	3.6815922384628217
4	0.0049999990671072275	0.018407955864956627	3.681592044135044
5	0.004999999979590692	0.018407960104187087	3.6815920398958135
6	0.004999999999590012	0.018407960197100247	3.6815920398029007
7	0.00500000000002105	0.01840796019910278	3.6815920398008988
8	0.00499999999995869	0.018407960198813068	3.6815920398011883
9	0.0050000000000223815	0.018407960199108963	3.6815920398008926
10	0.0049999999999902935	0.01840796019895989	3.6815920398010418
11	0.00500000000000526	0.018407960199029415	3.681592039800972
12	0.00500000000000098	0.018407960199009532	3.6815920398009916
13	0.0049999999999994875	0.0184079601990026	3.6815920398009987
14	0.004999999999999716	0.018407960199003655	3.6815920398009974
15	0.004999999999999941	0.018407960199004706	3.6815920398009965
16	0.004999999999999988	0.018407960199004925	3.6815920398009965
17	0.004999999999999997	0.018407960199004973	3.6815920398009965
18	0.004999999999999999	0.018407960199004984	3.6815920398009965
19	0.004999999999999999	0.018407960199004984	3.6815920398009965
20	0.005	0.018407960199004984	3.6815920398009965
21	0.005	0.018407960199004984	3.6815920398009965
22	0.005	0.018407960199004984	3.6815920398009965
23	0.005	0.018407960199004984	3.6815920398009965
24	0.005	0.018407960199004984	3.6815920398009965
25	0.005	0.018407960199004984	3.6815920398009965
26	0.005	0.018407960199004984	3.6815920398009965
27	0.005	0.018407960199004984	3.6815920398009965
28	0.005	0.018407960199004984	3.6815920398009965
29	0.005	0.018407960199004984	3.6815920398009965
30	0.005	0.018407960199004984	3.6815920398009965
31	0.005	0.018407960199004984	3.6815920398009965
32	0.005	0.018407960199004984	3.6815920398009965
33	0.005	0.018407960199004984	3.6815920398009965
34	0.005	0.018407960199004984	3.6815920398009965
35	0.005	0.018407960199004984	3.6815920398009965
36	0.005	0.018407960199004984	3.6815920398009965
37	0.005	0.018407960199004984	3.6815920398009965
38	0.005	0.018407960199004984	3.6815920398009965
39	0.005	0.018407960199004984	3.6815920398009965
40	0.005	0.018407960199004984	3.6815920398009965
41	0.005	0.018407960199004984	3.6815920398009965
42	0.005	0.018407960199004984	3.6815920398009965
43	0.005	0.018407960199004984	3.6815920398009965
44	0.005	0.018407960199004984	3.6815920398009965
45	0.005	0.018407960199004984	3.6815920398009965
46	0.005	0.018407960199004984	3.6815920398009965
47	0.005	0.018407960199004984	3.6815920398009965
48	0.005	0.018407960199004984	3.6815920398009965
49	0.005	0.018407960199004984	3.6815920398009965
50	0.005	0.018407960199004984	3.6815920398009965
51	0.005	0.018407960199004984	3.6815920398009965
52	0.005	0.018407960199004984	3.6815920398009965
53	0.005	0.018407960199004984	3.6815920398009965
54	0.005	0.018407960199004984	3.6815920398009965
55	0.005	0.018407960199004984	3.6815920398009965
56	0.005	0.018407960199004984	3.6815920398009965
57	0.005	0.018407960199004984	3.6815920398009965
58	0.005	0.018407960199004984	3.6815920398009965
59	0.005	0.018407960199004984	3.6815920398009965
60	0.005	0.018407960199004984	3.6815920398009965
61	0.005	0.018407960199004984	3.6815920398009965
62	0.005	0.018407960199004984	3.6815920398009965
63	0.005	0.018407960199004984	3.6815920398009965
64	0.005	0.018407960199004984	3.6815920398009965
65	0.005	0.018407960199004984	3.6815920398009965
66	0.005	0.018407960199004984	3.6815920398009965
67	0.005	0.018407960199004984	3.6815920398009965
68	0.005	0.018407960199004984	3.6815920398009965
69	0.005	0.018407960199004984	3.6815920398009965
70	0.005	0.018407960199004984	3.6815920398009965
71	0.005	0.018407960199004984	3.6815920398009965
72	0.005	0.018407960199004984	3.6815920398009965
73	0.005	0.018407960199004984	3.6815920398009965
74	0.005	0.018407960199004984	3.6815920398009965
75	0.005	0.018407960199004984	3.6815920398009965
76	0.005	0.018407960199004984	3.6815920398009965
77	0.005	0.018407960199004984	3.6815920398009965
78	0.005	0.018407960199004984	3.6815920398009965
79	0.005	0.018407960199004984	3.6815920398009965
80	0.005	0.018407960199004984	3.6815920398009965
81	0.005	0.018407960199004984	3.6815920398009965
82	0.005	0.018407960199004984	3.6815920398009965
83	0.005	0.018407960199004984	3.6815920398009965
84	0.005	0.018407960199004984	3.6815920398009965
85	0.005	0.018407960199004984	3.6815920398009965
86	0.005	0.018407960199004984	3.6815920398009965
87	0.005	0.018407960199004984	3.6815920398009965
88	0.005	0.018407960199004984	3.6815920398009965
89	0.005	0.018407960199004984	3.6815920398009965
90	0.005	0.018407960199004984	3.6815920398009965
91	0.005	0.018407960199004984	3.6815920398009965
92	0.005	0.018407960199004984	3.6815920398009965
93	0.005	0.018407960199004984	3.6815920398009965
94	0.005	0.018407960199004984	3.6815920398009965
95	0.005	0.018407960199004984	3.6815920398009965
96	0.005	0.018407960199004984	3.6815920398009965
97	0.005	0.018407960199004984	3.6815920398009965
98	0.005	0.018407960199004984	3.6815920398009965
99	0.005	0.018407960199004984	3.6815920398009965
100	0.005	0.018407960199004984	3.6815920398009965
