time	ADP	AMP	ATP	NADH	Pyr
168.0.	0.37406113227202104	1.3716165710233001	14.554322296704672	-11.909803310204136	0.018675801771068
174.0.	0.374269475155511	1.37236349452055	14.553367030323935	-12.470239583472916	0.01868626028047
180.0.	0.374439296223319	1.372972419589181	14.552588284187493	-13.030959616403884	0.018694785021312003
186.0.	0.374577725417272	1.37346885298311	14.551953421599606	-13.591910948360862	0.018701733921644002
192.0.	0.37469057052806803	1.373873583346402	14.551435846125521	-14.153050826733997	0.018707398533292
198.0.	0.374782563201601	1.37420355515314	14.551013881645249	-14.714344407330785	0.018712016383276003
204.0.	0.374857558893936	1.374472580361891	14.550669860744161	-15.275763289406587	0.018715781012719
210.0.	0.37491869948836104	1.374691918055676	14.550389382455954	-15.837284322760006	0.018718850140932
216.0.	0.37496854560846404	1.374870746646675	14.550160707744855	-16.39888863613557	0.018721352307937002
222.0.	0.37500918431552605	1.37501654861851	14.549974267065958	-16.960560845723	0.018723392281109003
228.0.	0.37504231679710404	1.375135424045812	14.549822259157079	-17.52228841026778	0.018725055457248
234.0.	0.375069329782353	1.375232346102163	14.54969832411548	-18.084061105568086	0.018726411447673
240.0.	0.375091353716197	1.37531136930809	14.549597276975708	-18.645870596211026	0.018727516998567003
246.0.	0.37510931015541304	1.37537579927224	14.549514890572341	-19.207710086525058	0.018728418370244002
252.0.	0.375123950388888	1.375428331053745	14.54944771855736	-19.769574036076015	0.01872915327585
258.0.	0.37513588691050503	1.3754711619517201	14.549392951137769	-20.33145792775823	0.018729752461276002
264.0.	0.37514561906979105	1.375506083451842	14.549348297478364	-20.893358078749184	0.018730240992779
270.0.	0.37515355397895706	1.375534556183964	14.549311889837073	-21.455271486399123	0.018730639306489
276.0.	0.375160023554623	1.3755577710313251	14.549282205414048	-22.01719570259606	0.018730964063874003
282.0.	0.37516529840953805	1.375576698950865	14.549258002639592	-22.579128731341946	0.018731228849076003
288.0.	0.37516959917701503	1.375592131590744	14.54923826923223	-23.14106894525015	0.018731444737381
294.0.	0.375173105742837	1.375604714405447	14.549222179851705	-23.703015017467536	0.018731620758638
300.0.	0.375175964771489	1.375614973654539	14.549209061573963	-24.26496586617115	0.018731764275063
306.0.	0.375178295842006	1.375623338414952	14.54919836574303	-24.826920609316563	0.018731881289241
312.0.	0.37518019645036105	1.3756301585279	14.549189645021729	-25.38887852774367	0.018731976695242
318.0.	0.37518174608785804	1.375635719231327	14.549182534680805	-25.95083903509655	0.018732054483342
324.0.	0.375183009566228	1.37564025309007	14.549176737343688	-26.512801653298467	0.018732117906936
330.0.	0.37518403972859105	1.375643949722823	14.54917201054857	-27.074765992556166	0.018732169618623
336.0.	0.37518487965974	1.375646963732804	14.549168156607445	-27.636731735056845	0.018732211781157002
342.0.	0.37518556448821805	1.375649421173872	14.549165014337907	-28.198698621675817	0.018732246157908
348.0.	0.375186122855584	1.375651424822554	14.549162452321864	-28.76066644113894	0.018732274186613003
354.0.	0.375186578114356	1.375653058476513	14.549160363409126	-29.322635021186358	0.018732297039513002
360.0.	0.37518694930470603	1.375654390459229	14.54915866023605	-29.884604221367955	0.018732315672380002
366.0.	0.37518725195080804	1.375655476477493	14.549157271571678	-30.44657392716932	0.018732330864489003
372.0.	0.37518749871010904	1.375656361951234	14.54915613933863	-31.008544045222425	0.018732343251215002
378.0.	0.37518769990271505	1.3756570839130982	14.54915521618416	-31.570514499400616	0.018732353350602002
384.0.	0.375187863943003	1.375657672557257	14.549154463499711	-32.132485227634874	0.018732361585032
390.0.	0.37518799769154504	1.37565815250221	14.549153849806215	-32.6944561793179	0.018732368298888
396.0.	0.375188106742031	1.375658543820392	14.549153349437544	-33.25642731318756	0.018732373772961
402.0.	0.37518819565521705	1.375658862877652	14.5491529414671	-33.81839859560119	0.018732378236190003
408.0.	0.37518826814966505	1.375659123017717	14.549152608832587	-34.38036999912861	0.018732381875238003
414.0.	0.37518832725726603	1.37565933512025	14.549152337622452	-34.94234150140492	0.018732384842298
420.0.	0.375188375450041	1.3756595080558771	14.549152116494051	-35.50431308419512	0.018732387261460003
426.0.	0.37518841474352504	1.375659649057168	14.549151936199275	-36.066284732631495	0.018732389233898
432.0.	0.37518844678106306	1.375659764021128	14.549151789197778	-36.628256434591805	0.018732390842106
438.0.	0.37518847290254104	1.375659857755815	14.549151669341612	-37.19022818019228	0.018732392153342003
444.0.	0.37518849420042105	1.375659934181433	14.549151571618113	-37.75219996137434	0.018732393222444
450.0.	0.37518851156542904	1.375659996494278	14.54915149194026	-38.31417177156749	0.018732394094126
456.0.	0.37518852572381	1.37566004730042	14.549151426975737	-38.87614360541451	0.018732394804843
462.0.	0.375188537267701	1.375660088724687	14.549151374007577	-39.438115458547486	0.018732395384318
468.0.	0.37518854667989504	1.37566012249954	14.54915133082053	-40.00008732740506	0.018732395856788
474.0.	0.37518855435403103	1.375660150037522	14.549151295608418	-40.56205920908356	0.018732396242011
480.0.	0.37518856061105904	1.375660172490334	14.549151266898583	-41.124031101215444	0.018732396556099002
486.0.	0.375188565712663	1.375660190797004	14.549151243490313	-41.68600300187037	0.018732396812187
492.0.	0.375188569872204	1.3756602057231602	14.549151224404618	-42.247974909474486	0.018732397020986002
498.0.	0.375188573263643	1.375660217893049	14.549151208843295	-42.80994682274454	0.018732397191228
504.0.	0.37518857602881805	1.375660227815644	14.54915119615553	-43.3719187406343	0.018732397330034
510.0.	0.37518857828337504	1.3756602359059311	14.549151185810684	-43.93389066229063	0.018732397443207
516.0.	0.37518858012160505	1.3756602425022622	14.549151177376123	-44.495862587018046	0.018732397535482
522.0.	0.37518858162038704	1.375660247880513	14.549151170499089	-45.05783451424941	0.018732397610717003
528.0.	0.37518858284240403	1.375660252265615	14.54915116489197	-45.61980644352235	0.018732397672059
534.0.	0.375188583838762	1.375660255840963	14.549151160320266	-46.181778374459874	0.018732397722074003
540.0.	0.37518858465113303	1.375660258756086	14.549151156592774	-46.7437503067546	0.018732397762853
546.0.	0.37518858531349103	1.375660261132902	14.549151153553598	-47.305722240155895	0.018732397796102
552.0.	0.37518858585353804	1.375660263070815	14.54915115107564	-47.86769417445942	0.018732397823211
558.0.	0.37518858629386004	1.375660264650873	14.549151149055259	-48.42966610949859	0.018732397845314
564.0.	0.375188586652872	1.375660265939155	14.549151147407967	-48.99163804513755	0.018732397863336
