time	Inh	Inh_T1	T1	T1_alpha	T2	T2_beta	T3	T3_Inh	alpha	alpha_T1	alpha_T1_alpha	alpha_T2	alpha_T2_beta	alpha_alpha_T1	alpha_beta_T2	beta	beta_Inh_T3	beta_T3	beta_T3_Inh
0.0.	0.0	0.0	38.5	0.0	3.89	0.0	38.5	0.0	10.0	0.0	-1.6155871338926322e-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.0.5.0	2.261711843412341	1.146081402397464	4.259832800392095	4.680340876204478	0.34194664748450404	0.6203271873118661	30.588586589272715	3.62831517144208	91.81869174718388	1.3150708994199531	4.809589805894379	0.084249303803097	0.566253187318845	22.28908421569156	2.277223674081688	4.935572244008614	2.763334691133352	0.144546290211398	1.3752172579404611
11.0.	13.597639093089091	6.237205778083845	1.108259549464332	2.583722972663611	0.077628895051829	0.39718419549030504	4.796464822384378	19.58924172103241	182.43731169820592	0.9630393700837021	5.05343902910949	0.054069957628462006	0.6857717677334431	22.55433330059495	2.675345184095963	10.483583819160927	8.934901398941905	0.049568759861932	5.129823297779382
16.0.5.0	20.288400660943122	14.208755162540308	0.9685444417093451	2.040692126917684	0.090946529069476	0.43676337445505503	0.17081336475243702	20.152507446286958	159.47984182352354	0.7336268770695641	3.7141828950683893	0.05400810676612101	0.672446469869828	16.83419849669465	2.635835519839519	12.835506765193548	11.508551140698142	0.002805533762305	6.665322514500132
22.0.	21.94193200804445	21.828846771707383	1.025863678181542	1.625023557302083	0.14319725651559	0.54918454550963	0.046703910361777005	19.16230225447472	114.229942938036	0.523730071685176	2.381663214158349	0.05591620802944101	0.632647352757261	11.114872706965407	2.5090546371880773	13.31665728097327	12.237231792476626	0.001305527682972	7.052456515003897
27.0.5.0	22.070672254222014	28.200318534953603	1.096581151252029	1.165224613677905	0.260228643344637	0.7197814209889111	0.044652942813562004	19.24119735815143	71.94329463713986	0.328174109503508	1.318508213061604	0.057795147519362	0.5652689167304671	6.391193377551275	2.28692587141662	12.74263715973457	12.19922886308213	0.00125083147785	7.013670004475029
33.0.	21.378360150326294	32.986496241547385	1.087561594423065	0.676735792232639	0.522371003649869	0.9353907603908491	0.048047065906159	20.0253739453992	38.771295475138885	0.165424718001696	0.590941381580496	0.05665584472600901	0.458798635933692	2.992840272214646	1.916783755299579	11.345481569706406	11.70855873567385	0.0011995864090310001	6.716820666611768
38.0.5.0	19.775184262937163	35.96311085764061	0.9388501734885971	0.28301697395664205	1.071689714801429	1.100480105539132	0.05628288554995801	21.603465685325308	16.94953152580013	0.060954263479384006	0.199763203487025	0.047085553916191	0.31074526707576905	1.054304527947672	1.359999358667477	9.08449635703822	10.713978169178898	0.0011104396466010001	6.125162820299257
44.0.	16.958430783973284	37.31359446988962	0.7487975027437851	0.08526684760666901	1.9467823296251021	1.019660969392699	0.07324898833586001	24.17289055475369	5.914756366779912	0.016842047454731	0.052232069480606005	0.028574309803421002	0.15958237227139002	0.283267062824522	0.735400018907387	6.270605445536145	9.085725691428248	0.0009678503846480001	5.167166915097609
49.0.5.0	13.157451565435661	37.691394243966755	0.694976511184589	0.023810147229063	2.824625373091614	0.6946968724282201	0.10502019003837801	27.46048263984986	1.7927431331332961	0.004509716437926001	0.013131442922044	0.012309151215003	0.061854095942007005	0.072177938259566	0.29651450732315704	3.796595088898275	6.984320533013135	0.000789802503639	3.949386834595047
55.0.	9.332711887915611	37.65891415589186	0.8056165608986091	0.007881056317155001	3.379979572040676	0.38510833408259304	0.157768080599428	30.651294909405795	0.5391090077410551	0.001464944444088	0.003998934600047	0.004368480136437001	0.020422305990756003	0.022124347848172	0.100121307749539	2.191847016524445	4.919982399320054	0.0006206940813900001	2.7703339165934002
60.0.5.0	6.265272902746	37.44287849468066	1.043296585150859	0.003197688231325	3.644419835213323	0.20439498382588	0.23632712919817403	33.13613236950111	0.176753027931104	0.0005883958460120001	0.001532362580879	0.0015221256438300002	0.006654256641762	0.008506473510188	0.033008798675205	1.285324679223449	3.282837754290153	0.00048591697722800005	1.844216830033397
66.0.	4.106405131220848	37.10389577231095	1.389603579420715	0.0015476964039300002	3.761547654298669	0.11360761154842101	0.34409024867216403	34.82273277745642	0.06679669053415101	0.000283498699707	0.000711442423029	0.0005843243999670001	0.0023784579831250003	0.003958010741587001	0.011881951769819	0.776344590602376	2.134821637971383	0.00038408720643200004	1.1979712486936331
71.0.5.0	2.677764932036996	36.65851700433812	1.8378335987095622	0.0008899516298270001	3.816872785117357	0.06687002356105701	0.48299763790860306	35.87126598504887	0.030188459665988	0.00016301847960700002	0.00039495490328300003	0.00026362375766600003	0.0009953094940340001	0.002201471939536	0.004998258069887	0.479915670005129	1.374525828949418	0.000305673267163	0.770904874825971
77.0.	1.756439704130974	36.116339791110605	2.381196572559028	0.000613890365855	3.845752959463756	0.041039319398665	0.653280352017615	36.46912781791905	0.016712962546952002	0.00011282006183	0.00026378567451300003	0.000144768635386	0.000506750306284	0.001473140228104	0.0025562021959080004	0.30137379864359404	0.882540457875377	0.00024311095464600002	0.49480826123332905
82.0.5.0	1.168290597146728	35.48905704552542	3.00892525628816	0.0005128419758720001	3.862023868509591	0.025934490760558003	0.853306320645681	36.76177897805577	0.011480319180421	9.475440458432924e-05	0.00021379983907500002	9.844687114865678e-05	0.00032040521661100003	0.001196301966826	0.0016227886420910002	0.191448585958089	0.566939649620611	0.000192113132619	0.317782938545324
88.0.	0.7942932256937311	34.79177788106667	3.70620926107672	0.0005209902690240001	3.8715407127231343	0.016834042451262	1.079763181612953	36.850196710650316	0.009817606095823	9.688380015328396e-05	0.00021116182617800003	8.333382795280562e-05	0.000253448433007	0.0011838219611880001	0.001288462564642	0.12295564512102401	0.365212767430018	0.00015056050693100002	0.204676779799802
93.0.5.0	0.5569263998641011	34.04188869573574	4.455669702688677	0.0006424502455610001	3.87703922832508	0.011346090326767	1.328130907121327	36.802418660792455	0.010411394104605001	0.00012029968537900001	0.000253727855151	8.752849969342201e-05	0.000250307088725	0.0014251237894160002	0.001276845759734	0.08017853111854101	0.23668304745044103	0.000117471060634	0.13264991357517902
99.0.	0.406836511157989	33.25737213918694	5.2390504958217194	0.0009552815517390001	3.879798561953112	0.008216380814244001	1.5932299360225382	36.66411259067051	0.0135687270003	0.00018012370631800002	0.000368501981027	0.00011307189830700001	0.000306034770874	0.002073457752204	0.0015659505634600002	0.05385362014279801	0.15541240763744701	9.256238034155689e-05	0.087152503289186
104.0.5.0	0.313400150495665	32.45563052465724	6.038102064542571	0.0016956092506980002	3.880116224924814	0.006901614522489	1.869581715117587	36.46588097510853	0.021465692166067002	0.00032186903058000003	0.0006404410872170001	0.00017743920764200002	0.00045746990610400005	0.0036094914316400005	0.002347251438948	0.03874832949134	0.10529236259912	7.657156052123345e-05	0.059168375614282
110.0.	0.25910198947337904	31.653612604747213	6.833422140533678	0.003547724375655	3.877024788169999	0.007581589014474001	2.151251473505445	36.227753611465396	0.040635587147556	0.0006777335282040001	0.001315420868961	0.000333307907726	0.0008237745021150001	0.0074243759462230005	0.004236540405683001	0.032813906773437006	0.077252175608626	7.298005288721861e-05	0.043669759367687
115.0.5.0	0.23793337026199501	30.870602970471037	7.598201621332773	0.008616995964681	3.866636249045022	0.011814579321474	2.430456570355731	35.961164563765244	0.09060050770447901	0.0016559522226970002	0.0031460098366220004	0.000736873692906	0.001757697027453	0.017776450172128002	0.009054600913143	0.038208457005616	0.06883408989676701	9.374932256782172e-05	0.039451026659732005
121.0.	0.260940946105198	30.137832795663176	8.276599201482426	0.023791569483771	3.836317208393462	0.024983396680077003	2.69267974607017	35.667088022809054	0.233535313663841	0.0045979850733270005	0.008594582331198001	0.001876262726116	0.004359505132815	0.048583865966045005	0.022463627067527	0.06688971198551301	0.088353265618064	0.00017852918944300002	0.05170043631330801
126.0.5.0	0.38192676171344603	29.52848225615496	8.713052627719543	0.071883677745017	3.7453708760071303	0.064292755631604	2.900704982212308	35.32388438995826	0.6776857865093141	0.013973090465186001	0.025979347086246003	0.0053055602714890005	0.012230706834535001	0.14662900082899502	0.062800101255243	0.16090802952791702	0.172358255483159	0.00045828514680200003	0.10259408719953601
132.0.	0.7870774443191111	29.243280619201936	8.463522840103499	0.216818934677545	3.472774239897201	0.17909855285252702	2.946035432860752	34.843034129799456	2.100150117452447	0.042468791806237007	0.080863735884816	0.015314281157972	0.036767630140969	0.45304507832593005	0.186045295951331	0.45710328261430105	0.443453396440441	0.001318190074306	0.26615885082511503
137.0.5.0	2.030303946694414	29.748155767181185	6.733055532667886	0.5177428077181591	2.798326105860189	0.448944015426181	2.558427318539308	33.95488788466676	6.08859959095078	0.102904152561316	0.215413733438647	0.036583477518696006	0.103398002333192	1.182728006432769	0.502748398861742	1.306878040245647	1.239279976238824	0.0032865828146490003	0.7441182377405551
143.0.	5.013423762752828	31.473115482058642	4.00046571818291	0.685092435427547	1.899701714530817	0.7791937619464621	1.51859981614435	32.204887839292354	12.422684633303412	0.139711494898448	0.346799169616268	0.053443088223027006	0.20685797493714603	1.8548156998161351	0.950803460362548	2.975373572428542	2.991704847339972	0.004540646807291	1.78026685041613
148.0.5.0	9.005254576633863	33.85584369742466	2.2871703814031408	0.48691157408908603	1.542060708284132	0.9369383238412011	0.538273156321404	29.84551699718509	13.884400282834408	0.100116831449874	0.280152884701508	0.050941474049248	0.247441957761195	1.48980463093167	1.112617536064224	4.5112028132211766	5.115998926544316	0.002656796044106	2.997554123905184
154.0.	11.402205128639638	35.85806457394292	1.5087545528246031	0.231830072351236	1.800437790733075	0.9510701717444141	0.19966926807165203	28.402267433796283	9.099880303025806	0.046226376363348004	0.133932946841046	0.039382727773607004	0.197308991884826	0.721191477676801	0.9018003178640781	4.781204263589759	6.27268629054832	0.001292928496226	3.624084079087638
159.0.5.0	11.309598449861117	36.98288847973231	1.117365515694041	0.08392606177754401	2.404927285617704	0.8085347518641861	0.14716485175003802	28.758573910212842	4.155159622350397	0.016080552431087	0.046396242790604	0.023877097792139	0.11422295573506101	0.253343147574425	0.538437908990911	3.88608185747691	6.103854458257103	0.000909792488993	3.489496987291167
165.0.	9.471584160153343	37.381288396120674	0.9901987980290561	0.028041984828929	3.032286496519045	0.548956589425287	0.16678318271011502	30.42192064601836	1.554112815586978	0.0052387691360170005	0.014629611868098	0.011187151504135	0.050922385273065	0.080602440017234	0.24664737727847102	2.637637207970754	5.047470280484067	0.0007203084833320001	2.863105582304261
170.0.5.0	7.061416013632746	37.38087120237493	1.073014459443334	0.010477314928177	3.452884087213524	0.31658578237394003	0.22049781420958803	32.445647961926056	0.55387583079822	0.0019335546863230003	0.0051548651383500005	0.004505350366124	0.019574401786875	0.028548603428897004	0.096450378259539	1.64640358351721	3.729013237746255	0.000569554576513	2.104271431541717
176.0.	4.914013736995607	37.16989353130184	1.310251771343437	0.004662518714756	3.6696186049823822	0.17439688579449802	0.304942566957206	34.172582926053906	0.209987605616927	0.0008554767685050001	0.0021869582364630004	0.00179562156339	0.007394021019746001	0.01214974363504	0.036794866639984006	1.012724659576111	2.5738865836025733	0.00045013485281300005	1.44813778853363
181.0.5.0	3.308958756867912	36.81882207286325	1.670926076777673	0.002471427728578	3.771822872031063	0.099127142672061	0.42099397316093	35.39961003232789	0.090676069583212	0.00045273888284300004	0.0011156709631250001	0.0007863097082860001	0.0030398877584160004	0.0062120127845970005	0.015223787830175	0.6300574786609561	1.715398031159873	0.000358028966043	0.9636399343854031
187.0.	2.205723617545651	36.35441363104954	2.139248830029349	0.0015625751667370001	3.82156320961905	0.059265874357834	0.569083915774933	36.173542797895216	0.046511963265278004	0.000286760485997	0.000682210772238	0.00040280514682300005	0.001453475959361	0.003805992496225	0.0073146349169340005	0.39781926279143104	1.125394861664265	0.000285957248131	0.6316924674176061
192.0.5.0	1.476462780026684	35.79292738257861	2.702354240256533	0.001187302882222	3.847608072406183	0.037055409581906	0.7482016672696431	36.60533875143344	0.029052118717386003	0.00021881710368800003	0.000502646725982	0.000249781212471	0.000840251063594	0.002809610453045	0.004246485735848	0.25454354128654805	0.734262421274083	0.00022821487732900002	0.411968945145667
198.0.	1.003219570229398	35.15030060801307	3.345444336810829	0.0010909177770500001	3.86204775745507	0.02412432928871	0.9556923022987661	36.79587140820236	0.022361929309559003	0.00020221644335100003	0.000448754288327	0.00019050444513900002	0.0005989219963800001	0.002513166667452	0.0030384868147040004	0.165114230751906	0.47935455616694805	0.00018157182915200002	0.268900161502905
203.0.5.0	0.699179815240004	34.44419548061777	4.051150884306958	0.0012136192281820002	3.870096500966106	0.016498347779509002	1.187467591989025	36.8207762801764	0.021256509176476	0.00022643982669500002	0.00048611008724900006	0.000179388526648	0.0005295866944770001	0.0027274659332290003	0.002696176033263	0.1091750565901	0.314925213559863	0.00014455560056800002	0.17668635867426902
209.0.	0.505700498302015	33.69345294318003	4.8003988199266345	0.0016282116082000002	3.8740277411866373	0.012228077237526001	1.438412190863618	36.73332708115664	0.024829868416568	0.00030587190462800004	0.000636499955496	0.00020766076081800002	0.000579065456694	0.003577653425096	0.0029574553583270003	0.07475928446643701	0.21014759091811003	0.00011688387756500001	0.117996253184192
214.0.5.0	0.385215522982423	32.917226741539324	5.573041656673356	0.0026125521125190004	3.874476450816587	0.010482225327609	1.7026926989378741	36.57009924470627	0.035292692230663	0.000494102015868	0.0009992212606100002	0.000292652654575	0.000775720105473	0.00562572639842	0.003972951095759	0.055113883904051	0.145320008962221	9.969098806549337e-05	0.08178835640569501
220.0.	0.31579487248404203	32.13518475462076	6.346577226250951	0.004954424409921001	3.8703984165767853	0.011400168150385	1.973562182217862	36.355402797658044	0.060244316132207	0.0009430771817560001	0.001858997478943	0.000495364997158	0.0012563692888030002	0.010481520057766001	0.006449680986872	0.047513852643262	0.10914476006847201	9.73244905692838e-05	0.061792935565167004
225.0.5.0	0.289410613801922	31.370509543336382	7.089637465897145	0.010931759611711	3.857416500066045	0.016726525845834003	2.24185426817803	36.10345065399326	0.12156104516879801	0.00209359095339	0.004037612262512	0.0009901539638470002	0.002420620045463	0.022790027938947	0.012446200078813	0.054212995912244	0.098253301969146	0.00012323562369300002	0.056318540235990006
231.0.	0.31751215288003404	30.65994521803332	7.740681698889431	0.027436163274065003	3.822100132486143	0.032218259575619	2.490929679381313	35.81663683434785	0.28429901502201405	0.0052850084489660006	0.010028461825417001	0.002284164246972	0.005437579202668	0.056623449528883006	0.027959864488601	0.088004989480589	0.12138184547147202	0.000218306548271	0.070833334251239
236.0.5.0	0.45585830276981204	30.082996071649973	8.144634964829367	0.075189275104295	3.724626699181302	0.074857377298056	2.681408559251546	35.47404615973175	0.748637657873879	0.014569355121281002	0.027514414958690003	0.005850736343762	0.013829370455366	0.15509591833646402	0.07083581672151601	0.191072496996768	0.21600499463480302	0.000505172210285	0.128035114171749
242.0.	0.8837444238270361	29.836181736605035	7.9077070702168815	0.2052052639628	3.458424891163807	0.188531145773073	2.709950576796336	34.992677765567066	2.099469882924285	0.040057022781543	0.077427392789499	0.015303608717539002	0.037644149695582	0.43342151364430304	0.19009620465000301	0.488623387976555	0.49824470005275	0.0013012012838810002	0.29782575630010305
247.0.5.0	2.082781731929481	30.32825183920368	6.409663640553369	0.45165512295957005	2.854118756243037	0.435419300151878	2.349455501271267	34.139567543539336	5.517615563366165	0.089285601600047	0.18784314271041402	0.033869139524859	0.096456790036735	1.033300652972978	0.47013601404349303	1.267423981765572	1.256318106594768	0.002938427639111	0.7517204209556501
253.0.	4.753103761804137	31.901475402652654	4.037857273358989	0.5901108034835221	2.067282863360256	0.738447700055141	1.4481734970992362	32.55570404953092	10.569769931653436	0.11896740260964601	0.29017621808884103	0.049160849696829004	0.18342151552430003	1.5614128998064092	0.8516870713634771	2.708095348506204	2.8184665315340043	0.003954620533969	1.673701301302033
258.0.5.0	8.281356496236349	34.068084410207284	2.39585631109919	0.43173087470279403	1.725820256369079	0.897979503053672	0.5733869196046141	30.467735637614613	11.782156189338519	0.08746537271295801	0.23886865553584802	0.047789006716229	0.219641710325564	1.277994375741979	0.9987695235354591	4.042464102992763	4.70236417815334	0.002524821781677	2.7539884428459063
