	A20	A20_mRNA	BAR	BAR_Casp8	Casp3	Casp6	Casp8	FADD	FLIP	FLIP_mRNA	IKK	IKKa	IkBa	IkBa_N	IkBa_NFkB	IkBa_NFkB_N	IkBa_mRNA	NFkB	NFkB_N	PARP	PIkBa	RIP	TNFR	TNFRC1	TNFRC2	TNFRC2_FLIP	TNFRC2_FLIP_FLIP	TNFRC2_FLIP_pCasp8	TNFRC2_FLIP_pCasp8_RIP_TRAF2	TNFRC2_pCasp8	TNFRC2_pCasp8_pCasp8	TNFRCint1	TNFRCint2	TNFRCint3	TNFR_E	TNF_E	TNF_TNFR_E	TNF_TNFR_TRADD	TRADD	TRAF2	XIAP	XIAP_Casp3	XIAP_mRNA	cPARP	pCasp3	pCasp6	pCasp8
82	0.038451179331031565	0.00011748579552292748	3.1868728932929446e-05	0.03109709153984667	0.16337603115090346	0.024300457957471763	0.595291975654602	0.09722988959864133	1.6155351839497397e-05	0.00031824972204984433	0.20465905123688097	0.0005938194569046417	0.000544191524478054	0.0017518112304998163	0.004513901963582609	0.0002326657922712939	0.00011340876333315378	9.466542557677105e-05	0.0013324977864668391	3.0742245023847726e-05	7.796107752114069e-05	7.737602197879701e-05	8.750000000000004e-05	9.62594621186561e-07	0.003199088713847307	7.255202213768321e-07	1.2992702942462482e-05	3.4421931697024654e-07	1.376252114031584e-05	0.003191896257003698	5.054061188627418e-05	1.0319351031146023e-06	1.075791542026634e-06	1.0881865429803525e-08	1.130361947784129e-09	0.2637906561907925	5.470352582322303e-05	0.000218406834155099	0.016248859396288427	0.10613039171913165	0.00025140098121522917	0.07420704891041326	0.0005607019262581718	1.407620914061292	0.0005172974419762839	0.0002481459937468688	0.07126000144672429
83	0.03831215599538281	0.0001147542206198871	3.1280636988963975e-05	0.030417611068918736	0.16231645565313793	0.02419941140855834	0.5934500594897335	0.09720075866023717	1.6166592865479512e-05	0.0003135370179116704	0.204415967353664	0.0005607709927912851	0.0005396242583490947	0.0017637131219162014	0.004528232267730922	0.00022600325021504742	0.00011094657682507585	9.162957036287503e-05	0.0012850112757864527	3.0942995728966514e-05	7.394632465294393e-05	7.78815317911144e-05	8.750000000000004e-05	9.098509142556914e-07	0.003103469471898238	6.88148377246759e-07	1.2611759625352664e-05	3.341756337648512e-07	1.3352720703389165e-05	0.003096649638058432	5.018571400325696e-05	9.870343927483746e-07	1.0393902101926687e-06	1.0508297594563401e-08	9.786132496785423e-10	0.26379054357089743	4.6935933778242694e-05	0.00020337743843272285	0.017621713798619085	0.10598167137349797	0.00025290998559108623	0.07417071724303262	0.000552718828694364	1.4048537291740937	0.0005189022886907872	0.0002497584892195135	0.07293598678544108
84	0.03817288925772294	0.00011174088757614444	3.070701113701572e-05	0.02975902357012549	0.1612931218452822	0.02410145550827334	0.5916671315978306	0.09717320650460645	1.616188444183986e-05	0.0003083759268743177	0.20419015366670662	0.0005249680283809373	0.0005345042729519308	0.0017765182606750915	0.004544688216156382	0.00021865624806260576	0.00010822667428665474	8.831935740957853e-05	0.0012336465997995574	3.113938770039994e-05	6.957370338017713e-05	7.83761234033869e-05	8.750000000000004e-05	8.524089249671767e-07	0.0030106957066135566	6.521535547325432e-07	1.2241849509242944e-05	3.241040953569071e-07	1.2955123459524144e-05	0.003004235082952563	4.982566955129433e-05	9.373422158901849e-07	9.983467005208503e-07	1.0088642566531318e-08	8.404203965076873e-10	0.26379043096017407	3.9862267702678634e-05	0.00018751386896054606	0.019114416801291875	0.10584077980653192	0.00025437488315784425	0.07413283656589399	0.0005443098975925323	1.4020951819788667	0.0005204652896406724	0.0002513363300579815	0.07464019766102416
85	0.03803264444005813	0.00010844193976756791	3.0147578995701215e-05	0.029120686458023747	0.16030525183283303	0.02400649681475074	0.5899416670445984	0.0971471556836166	1.6140268427282766e-05	0.0003027408189138279	0.203980590635388	0.0004866670446337789	0.0005287763770740572	0.0017899806212624098	0.0045631213958751745	0.00021062674457763162	0.00010524372100723105	8.474843465145226e-05	0.0011787551225404982	3.133135623038224e-05	6.486172385696367e-05	7.885962088856558e-05	8.750000000000004e-05	7.906955828897699e-07	0.0029206812706096255	6.17485865159064e-07	1.1882649880735363e-05	3.1400599255201853e-07	1.2569365839066827e-05	0.0029145669381673155	4.9460511524196384e-05	8.830001277673015e-07	9.526067388430072e-07	9.622356674982676e-09	7.158123453551314e-10	0.2637903183590621	3.34840061810185e-05	0.00017098060030208386	0.020729857659452736	0.10570730505318607	0.0002557943349284523	0.07409316274110567	0.0005354335094283349	1.3993452456032496	0.0005219869450455912	0.000252879006635943	0.07637264648609862
86	0.0378907272440302	0.00010486288494213057	2.9602068031670777e-05	0.02850197691841362	0.15935208159944578	0.023914444743546922	0.5882721979974114	0.09712253280405153	1.6101050624879726e-05	0.00029661630490788804	0.2037861507462073	0.00044627260772993213	0.0005223838891699266	0.0018036988253646452	0.004583283911582314	0.00020194585989945484	0.00010200032860857385	8.094443583754943e-05	0.0011209210211693644	3.151884187588141e-05	5.984703463943541e-05	7.93318573742676e-05	8.750000000000004e-05	7.253837340166386e-07	0.002833342635566771	5.841081291989444e-07	1.1533847897551796e-05	3.0388835220168067e-07	1.2195095104336854e-05	0.0028275620342229557	4.909027582831856e-05	8.243416987932788e-07	9.02251942212317e-07	9.110257532611327e-09	6.047018096025425e-10	0.2637902057678839	2.7796676478189224e-05	0.00015400017871384643	0.02246832031880615	0.10558085636176857	0.00025716719100284645	0.0740514753858665	0.0005260585006714105	1.3966038932536637	0.0005234677506011237	0.0002543860434988589	0.07813332691265204
87	0.03774650932916709	0.00010102088985933654	2.9070205873893607e-05	0.027902291299868587	0.15843284527189883	0.023825211455819326	0.5866573126934785	0.09709926813136055	1.6043901951067506e-05	0.00029000054557641006	0.20360558957306024	0.00040434420064546504	0.0005152700368559674	0.0018170823945606047	0.004604818496608897	0.00019268080874698567	9.850911734959859e-05	7.695084170449416e-05	0.001060978527539161	3.170179359130702e-05	5.458672846285994e-05	7.979268348643509e-05	8.750000000000004e-05	6.574033409756438e-07	0.002748598865270018	5.519965362690151e-07	1.1195140492701818e-05	2.937649687976354e-07	1.183196902998788e-05	0.002743139650194532	4.871500151756289e-05	7.61920868404765e-07	8.475327286467401e-07	8.554853317859275e-09	5.068558843932138e-10	0.26379009318681174	2.278835098279003e-05	0.00013684940884593002	0.024326922779061937	0.10546106303322844	0.00025849258167877874	0.07400759164061523	0.0005161678448116003	1.3938710982119171	0.0005249081960957126	0.00025585702214764533	0.07992221296256048
88	0.03759945812755109	9.694666750581607e-05	2.8551720603568252e-05	0.02732104452373683	0.1575467574712122	0.02373871174421723	0.5850956545982131	0.09707729517755444	1.596895854533412e-05	0.00028290838543706585	0.20343755248854672	0.00036158751356486345	0.0005073799426023899	0.0018293263076793766	0.004627258071902593	0.00018294006234333084	9.479447190323033e-05	7.282759545894218e-05	0.0010000060934160606	3.1880172447109353e-05	4.9159008938426606e-05	8.024197791832029e-05	8.750000000000004e-05	5.879268373217555e-07	0.0026663715957440234	5.211406484890791e-07	1.086623428317528e-05	2.8365715983032385e-07	1.1479655593226235e-05	0.0026612214921633045	4.8334731230902985e-05	6.965262188204588e-07	7.888959045857942e-07	7.96061891702315e-09	4.2187222925429473e-10	0.2637899806158387	1.8438428242456482e-05	0.00011984806363054262	0.02629918567973705	0.10534757335991689	0.00025977001501327154	0.07396138152174744	0.0005057622381318354	1.3911468338312256	0.0005263087639393115	0.00025729160875777204	0.08173925793470042
89	0.03744916907337726	9.268556054720976e-05	2.804634102233699e-05	0.026757669512449737	0.15669299492252167	0.023654862917849268	0.5835859217265068	0.09705655028418395	1.587690803586896e-05	0.00027537386285945395	0.20328060070881032	0.00031882650629703216	0.0004986636432979732	0.0018394044503630793	0.004650038192546254	0.0001728749956918086	9.08936516141003e-05	6.864988309661492e-05	0.0009392905859183112	3.2053955712145605e-05	4.366147603800033e-05	8.067965955102079e-05	8.750000000000004e-05	5.183225934827554e-07	0.002586585018557876	4.915425093817148e-07	1.0546845466156483e-05	2.7359405902400143e-07	1.1137832673648631e-05	0.0025817316844662344	4.7949511863491505e-05	6.291740900247229e-07	7.270011257958531e-07	7.334160864556933e-09	3.491651984473238e-10	0.2637898680547596	1.4716923341066121e-05	0.00010333978771428594	0.028374820095308208	0.10524005367297846	0.00026099947157183316	0.07391278366993762	0.0004948631279645404	1.388431073531869	0.0005276699276216851	0.00025868958543844256	0.08358439306698931
90	0.03729539747690084	8.82974290747282e-05	2.7553796901973797e-05	0.026211616635456906	0.15587067900335488	0.023573584688616162	0.5821268660741938	0.09703697221766104	1.5769047250650652e-05	0.0002674516047160341	0.2031332574622135	0.00027695544640127766	0.0004890807625016122	0.001846094558810365	0.004672524166150871	0.0001626762831724581	8.685691217153657e-05	6.450466988870732e-05	0.0008802590810845696	3.2223140948325615e-05	3.8206532877644394e-05	8.110570006702257e-05	8.750000000000004e-05	4.500752739575617e-07	0.002509165861941114	4.632146931966696e-07	1.02366996831624e-05	2.6361227739306084e-07	1.0806187762101402e-05	0.002504596770424768	4.755939547228828e-05	5.610751010307158e-07	6.627202173862141e-07	6.684210856928354e-09	2.879658057189911e-10	0.26378975550316575	1.1584466545373137e-05	8.766649630490672e-05	0.03053981185098877	0.10513818749983918	0.000262181484593193	0.07386181983577708	0.00048351466040300034	1.3857237907968372	0.00052899215014188	0.00026005088264104744	0.08545752595508703
91	0.03713808650323722	8.385505503586335e-05	2.7073819219602995e-05	0.025682353172231574	0.15507886127311007	0.02349479906214304	0.5807172930834742	0.09701850179998432	1.564729750673399e-05	0.000259216670261708	0.20299407094119545	0.00023687425843617422	0.0004786074856225684	0.0018480463628646898	0.004694051804911531	0.00015256389525367434	8.274637442608162e-05	6.0484961468002333e-05	0.0008243826441534886	3.23877496605191e-05	3.291390863215428e-05	8.152013556263286e-05	8.750000000000004e-05	3.846787172655126e-07	0.0024340433634723194	4.361772814802212e-07	9.935531832884998e-06	2.5375482323529694e-07	1.0484417677961855e-05	0.0024297457168576736	4.716444037640172e-05	4.935722178431159e-07	5.971144126996919e-07	6.021398272240842e-09	2.3733792291711066e-10	0.2637896429604551	8.993132989760336e-06	7.313940979926438e-05	0.032776846411916805	0.10504167482318351	0.00026331719295162197	0.07380860612910282	0.000471784067283551	1.383024959167921	0.0005302758824745414	0.0002613756094047601	0.08735853876194637
