time	T	TStar	V
150.0.	305.7425992210223	78.15615873886158	252643.74087673266
153.0.	303.2075911102279	80.17850654703834	259631.0952868037
156.0.	300.34085842694117	82.08298522091889	266343.4116577707
159.0.	297.2156034291355	83.8410085904255	272677.76156821236
162.0.	293.9063086502399	85.42772579862881	278539.83426461945
165.0.	290.48670944062604	86.82290835700371	283847.24874689226
168.0.	287.0278312299191	88.01162091588823	288532.41959884926
171.0.	283.59620481623404	88.9846246041842	292544.75161168
174.0.	280.25235426843176	89.73848776226997	295851.999407851
177.0.	277.04962460452583	90.27540688937756	298440.7074746389
180.0.	274.0333845000538	90.6027666343435	300315.7319643879
183.0.	271.24060737854023	90.73248826845222	301498.9263453081
186.0.	268.69980625940224	90.68022909782223	302027.13819158636
189.0.	266.4312764163855	90.46449998807961	301949.7072282221
192.0.	264.44758651283666	90.10576526116989	301325.6726147445
195.0.	262.75425334218335	89.62558037816608	300220.89188341587
198.0.	261.35053648609073	89.04581025783513	298705.24958730396
201.0.	260.23029538120886	88.3879570459471	296850.0969406586
204.0.	259.38286055661695	87.67261255388836	294726.02125035523
207.0.	258.793881423152	86.91903879021739	292401.0016437957
210.0.	258.4461235745872	86.14487078203543	289938.96991088684
213.0.	258.3201981430339	85.36592946117523	287398.7648876227
216.0.	258.39521379454345	84.59612861187401	284833.44680300937
219.0.	258.64934825251197	83.84745833244305	282289.9242066575
222.0.	259.06034083628884	83.13002763151563	279808.8394597657
225.0.	259.60591059034766	82.45215012832494	277424.65783107764
228.0.	260.2641064183974	81.82045888178561	275165.908397226
231.0.	261.01359650681525	81.24003875148755	273055.5307171107
234.0.	261.8339044845363	80.71456711165123	271111.28838344617
237.0.	262.70559944695884	80.24645600638412	269346.2180906498
240.0.	263.6104463510286	79.83699083875604	267769.09012110264
243.0.	264.53152250648577	79.48646237438652	266384.8627149257
246.0.	265.4533050460083	79.19429020151142	265195.1184240991
249.0.	266.3617334256837	78.95913684004151	264198.47517874674
252.0.	267.2442502341358	78.77901246349936	263390.96842978854
255.0.	268.0898229031506	78.65137072851485	262766.4034567649
258.0.	268.8889483313556	78.57319653683577	262316.6788532283
261.0.	269.6336419628235	78.54108672280978	262032.08344728564
264.0.	270.31741250534395	78.55132469973928	261901.5696033008
267.0.	270.93522322474644	78.59995004205311	261913.00609600343
270.0.	271.4834406047684	78.68282385350781	262053.41365246664
273.0.	271.9597711063882	78.79569059767176	262309.18591068505
276.0.	272.36318678376574	78.93423686570348	262666.29802442144
279.0.	272.6938406014722	79.09414734522467	263110.50452093536
282.0.	272.952972433485	79.271158047894	263627.5273505479
285.0.	273.1428068913329	79.46110666492123	264203.23440600466
288.0.	273.26644430922903	79.65997975982987	264823.80817900767
291.0.	273.32774639072335	79.86395638458967	265475.9036972501
294.0.	273.3312181781524	80.06944762457432	266146.79447611276
297.0.	273.2818881287096	80.27313154277874	266824.504944815
300.0.	273.1851881577581	80.47198300472958	267497.9276785124
