time	T	TStar	V
0.0.	1000.0	50.0	100.0
3.0.	983.6925897708447	53.16790672654013	98185.39261010781
6.0.	946.333623471424	74.57168186041903	167357.37717650618
9.0.	891.60088086998	107.37057853288078	251042.85711651726
12.0.	818.0056305813707	150.66411825980174	361984.60513029445
15.0.	725.3708559758992	202.56769428671618	503058.3319669621
18.0.	617.7944663238871	257.80633054558933	668054.9480307584
21.0.	504.45689118922496	307.732916919858	839950.4074576123
24.0.	397.29578023304106	343.11951420012895	993405.7057934038
27.0.	306.4274602836663	358.31170725058263	1103308.01622136
30.0.	236.64847621454396	353.4953216330691	1154825.9965513141
33.0.	187.35903264080378	333.46171047551076	1147963.9273439117
36.0.	154.90239122832696	304.5572465986863	1094463.9262376805
39.0.	134.96587857616993	272.2733399612359	1010947.2262516235
42.0.	123.87485749049956	240.33496044150425	913067.8310636681
45.0.	118.92386061491996	210.81933794000673	812621.9435741978
48.0.	118.25263875152193	184.63484246105796	717104.4654452321
51.0.	120.61202390997519	161.98393045569918	630492.7242871894
54.0.	125.1593198498632	142.69525085936198	554337.3132873387
57.0.	131.3130556310842	126.4296787593074	488714.3598721055
60.0.	138.6585433303567	112.79645938394587	432912.03979278886
63.0.	146.88875431455367	101.41317458318574	385870.98254064674
66.0.	155.76773600581697	91.93319713544246	346442.00825541577
69.0.	165.10787989331052	84.0554013138235	313523.2665261908
72.0.	174.7555812923371	77.52477740010845	286123.8423304933
75.0.	184.58198069595161	72.12879863829573	263385.44362902344
78.0.	194.47680966653638	67.6921541146745	244581.8799582661
81.0.	204.34416517473827	64.07118881830843	229107.95243087236
84.0.	214.09951150168482	61.14868705029912	216464.26387638398
87.0.	223.66748988823161	58.82925562881344	206241.3838836347
90.0.	232.98028283413143	57.03536680086732	198105.02774532037
93.0.	241.9763795090495	55.704025516268466	191782.92235872362
96.0.	250.59964874569187	54.783985227914975	187053.51055896148
99.0.	258.79866261282933	54.23342458515096	183736.38885564447
102.0.	266.52623591972707	54.017999915566584	181684.26385548388
105.0.	273.7391605256461	54.10919752528799	180776.18143909893
108.0.	280.3981210294176	54.482921608407935	180911.79155757086
111.0.	286.46778193521516	55.1182660320443	182006.43936392094
114.0.	291.9170365821349	55.99643064829671	183986.90936577367
117.0.	296.71940541517915	57.09975481092884	186787.68802099992
120.0.	300.85356582399066	58.41085237346076	190347.64925854333
123.0.	304.3039880697558	59.911843530086976	194607.10567126152
126.0.	307.06164223230826	61.583689190217626	199505.2048112107
129.0.	309.12473042250207	63.40564267559077	204977.68406604015
132.0.	310.4993878935111	65.35484066381035	210955.02734511642
135.0.	311.2002877172592	67.40605953390579	217361.08988124484
138.0.	311.2510782316367	69.53166358002288	224112.27091664556
141.0.	310.68458244347914	71.70176706519005	231117.31479238876
144.0.	309.5426956501058	73.88462231416037	238277.80640889733
147.0.	307.87593268137886	76.04723121403512	245489.3959267706
