[Glc(int)]	[ATP]	[Glu6P]	[ADP]	[Fru6-P]	[Fru1,6-P2]	[AMP]	[glycerone phosphate]	[Gra3P]	[NAD]	[Gri2,3P2]	[NADH]	[Gri3P]	[Gri2P]	[phosphoenolpyruvate]	[pyruvate]	[acetaldehyde]
0.04116370240559825	2.6441520875800086	0.9822148928988013	1.211325881217255	0.23483232135643528	1.6385264203841525	0.24452203120273058	0.6870038142739019	0.030910455949898323	1.5142447753461545	0.000440162757454103	0.0757552246538497	0.4801054379609426	0.06923532840217843	0.04927507431548399	1.5901846080916466	0.17228070702942253
0.04204727862284445	2.562689981687523	0.8779851915699319	1.2632577578275053	0.20830219129960484	1.4911728282290762	0.27405226048496606	0.6590041305119564	0.029650566860146405	1.5142964449737943	0.0003893018041743221	0.07570355502620969	0.4527160289613214	0.06516986691458529	0.04587543678627489	1.571684337623311	0.17011753473429106
0.04307086289049745	2.4756961858533266	0.7822283059448697	1.3165124392186103	0.18396122113799793	1.3560681022344516	0.307791374928057	0.6319209444021262	0.028431926639446645	1.5143144017118462	0.0003431509389486207	0.07568559828815823	0.4261142725546316	0.06123080681271895	0.042679311631592734	1.5518007256341706	0.16773519116765656
0.04424533298697479	2.3839582769759278	0.6959188784140771	1.3701446706281994	0.16204914787793792	1.2329257641964124	0.34589705239586666	0.6058404331441074	0.027258412600036818	1.5143027761229355	0.00030181298939121104	0.0756972238770688	0.4005201475306504	0.05745029263944032	0.03970258186882824	1.5306564269526932	0.1651652267866305
0.045585679494306544	2.288113184727606	0.6195946090752827	1.4233116213695853	0.1426886481121249	1.1217617231204207	0.3885751939028029	0.580895362840899	0.026135997946490245	1.514248239811425	0.000265136191560976	0.07575176018857882	0.37614387189145365	0.0538581466735359	0.036948955280517636	1.5084328305603927	0.16241270919126838
0.047105990610049206	2.1889896244876805	0.5532569030039678	1.4750684893587185	0.12587344287283397	1.022761016669138	0.4359418861535956	0.5572911869847256	0.025073926562449843	1.5141163566473117	0.00023293409594764774	0.07588364335269199	0.3532430383158231	0.05049089662853719	0.03442654206250085	1.485419905787939	0.15945462640052419
0.04881406000509242	2.0878399742530394	0.49652385728019544	1.5243059962740118	0.11150371797230382	0.9360034252808221	0.48785402947294426	0.5353105713972947	0.024084916444118466	1.5138718984152222	0.00020515835824663309	0.07612810158478275	0.33208244452261104	0.047385881019820594	0.0321420075559324	1.462038619633649	0.15628397448406114
0.05070663746039536	1.986400041119911	0.4487508045920638	1.5698290601988156	0.0994152680514913	0.8612041804301818	0.5437708986812693	0.5151942855937985	0.023179798607986923	1.51349024409476	0.00018137991855580118	0.07650975590524503	0.31290040023923377	0.044576393440838545	0.03010396708046247	1.438817413502085	0.15293134337894973
0.052767305524398206	1.8867040189484185	0.4090977331544848	1.610552635600866	0.08939408083404228	0.7977644711067529	0.6027433454507117	0.49714192683915903	0.022367552179446387	1.51296437497947	0.00016133880823334805	0.07703562502053503	0.29586203091700436	0.04208508278838947	0.02831576791368781	1.416336846797768	0.1494660068741846
0.05496532827011161	1.7908502540133031	0.3765996880656866	1.6456821109783675	0.08119367903130578	0.744753065977587	0.6634676350083261	0.4812264098689293	0.02165145643603282	1.5122977740440438	0.00014464609483846297	0.0777022259559612	0.28104293708252814	0.03992140940082393	0.026773948376504556	1.3951531191957693	0.14597404144172704
0.057260287721480944	1.7006081703434759	0.3502314066994238	1.6749059656755216	0.07455194393905835	0.7010419527028291	0.7244858639810005	0.4675002331742452	0.021033871261811325	1.5115446124809109	0.0001311069215242034	0.07845538751909355	0.2683503043594127	0.03807115414429648	0.02546320229244126	1.375678602479132	0.1425906297641617
0.05960059571589593	1.6174658426468027	0.3289935541569021	1.698271269010195	0.06921365927830458	0.6653628995948552	0.7842628883430003	0.4558126778279548	0.020508013463223427	1.5107213827028254	0.00011999378245495429	0.0792786172971789	0.25768100245349435	0.03651749445484001	0.02436591286476362	1.358228041313396	0.13939129235630135
0.061932036211047786	1.5423305962120115	0.31196733067423	1.7162480506700368	0.0649440123521878	0.63643847504221	0.8414213531179493	0.4459946575342514	0.020066273977663713	1.5098834234671639	0.0001110021450894022	0.08011657653284056	0.24881745390745172	0.035228140230993195	0.0234574087969786	1.342921578943991	0.1364671279011441
0.06420275213851961	1.4755775524725172	0.2983454342798693	1.7295527360869822	0.061536800663295955	0.6130742130046382	0.8948697114404978	0.4378245475377764	0.019698680033079962	1.5090730071095544	0.00010374761972260625	0.08092699289045041	0.24151869438126453	0.03416738125305069	0.02271138126155854	1.3297294075841544	0.13386822819985947
0.06636785428996429	1.417119261457421	0.287451632871512	1.7390141739703435	0.05881925580499056	0.5942263924308706	0.9438665645722324	0.43106694052729855	0.01939463922856981	1.5083197463445868	9.790404429540056e-05	0.08168025365541765	0.23554515344556337	0.03329991039746491	0.022102274981747785	1.3185166466746572	0.13160932281030796
0.0683925189604467	1.3665282108912264	0.27872548669598274	1.745458569720415	0.056648491163354485	0.5789997189698298	0.9880132193883543	0.42549495949342514	0.01914394317191098	1.5076431375702928	9.319023810488238e-05	0.08235686242971178	0.23066929500468356	0.03259233534989696	0.021606355171012462	1.309079698790677	0.1296817178571058
0.07025334326395416	1.3231541675896938	0.27171911893854916	1.7496309737520297	0.05491035680343083	0.5666647056727229	1.0272148586582726	0.42090420537185924	0.01893739511829557	1.5070505798313023	8.93851429554518e-05	0.08294942016870212	0.22669169528528238	0.03201547309326931	0.021202927363233762	1.3011900527942082	0.1280590486221414
0.07193794732835773	1.2862348890699447	0.26607586478167916	1.752154658443229	0.053514137730862776	0.5566368339730975	1.0616104524868226	0.4171192298876946	0.018767101016739778	1.506541190158134	8.629923378646796e-05	0.0834588098418702	0.22344435165731982	0.03154477697864981	0.020874547722234234	1.294619119744501	0.1267046538152138
0.07344341113236609	1.254977624583751	0.26151457922680404	1.7535252947649622	0.05238849213247212	0.5484532060556723	1.091497080651283	0.41399515569653483	0.018626542387065844	1.5061095244535023	8.37945894950791e-05	0.08389047554650181	0.22078683910795005	0.03115976449118706	0.020606700452990817	1.2891568954961006	0.1255813458176293
0.0747740632594417	1.2286182240124668	0.2578144250485175	1.7541170418995276	0.051477532319021066	0.5417500597279165	1.1172647340880015	0.41141180098817876	0.01851031191989545	1.5057464316427234	8.175120622526684e-05	0.08425356835728076	0.2186070247834464	0.030844097663061624	0.02038774389488896	1.2846188184582017	0.12465174467015605
