time	D_1	E_1	RS_1	R_1	X_1	theta_1
0.0.	0.0	0.0	0.0	0.0	0.0	0.0
4.0.1.0	0.273605134137062	0.694475226463519	0.004299807123718	0.048599605595147005	0.088360493019195	0.174768024863471
8.0.2.0	0.22328223488352703	1.359931277657874	0.052954117840587005	0.183690694370821	0.199401547167249	0.27408050217919
12.0.299999999999999.0	0.145144033403487	1.8472380275270441	0.165076088434223	0.33235645839476	0.29968008476306	0.283964656971324
16.0.4.0	0.118047528853345	2.097522730602083	0.308556607917128	0.48163660238634104	0.388781520607736	0.254978356479167
20.0.5.0	0.11181764568233601	2.148314480703455	0.45398144118203704	0.6245677440385391	0.458371464267293	0.22597284962928102
24.0.599999999999998.0	0.113136359087492	2.103207508096811	0.5897661103435611	0.7312706525857391	0.48192243837762905	0.210328031095037
28.0.699999999999996.0	0.11517732538632601	2.075027283250735	0.711887996153115	0.770680473449296	0.45914346201584705	0.21075939199356203
32.0.8.0	0.11486468904954401	2.091322400468086	0.8197374817987081	0.7500050900912201	0.44639802622469404	0.224459157432869
36.0.9.0	0.114056165248738	2.100352426071672	0.9151051006229081	0.7056146818026331	0.47189152951917	0.24502040677423703
41.0.	0.11539114464983301	2.061341804007758	1.000503027017051	0.663157085609784	0.5190097250053141	0.266759668005498
45.0.099999999999994.0	0.11926263284280401	1.984966970974682	1.077372090920686	0.625791094227865	0.556214870269634	0.287751704736396
49.0.199999999999996.0	0.12360356321262701	1.920411066178373	1.144347104409042	0.583876209961799	0.5606426600059701	0.31054633459298303
53.0.3.0	0.125892357931525	1.897283027126834	1.198777089565684	0.534439799776474	0.555611028169275	0.33812163783208804
57.0.39999999999999.0	0.12674088603847802	1.884451099514533	1.2417714212249331	0.49097950754985004	0.5814984944796551	0.36729415400584603
61.0.49999999999999.0	0.129196407169604	1.8351887906989721	1.279295777686368	0.46607404183726003	0.6370770047981631	0.390325707586095
65.0.6.0	0.134490533426798	1.7539433799054782	1.315571759956973	0.45403312907222204	0.675925828519623	0.40497018070022606
69.0.69999999999999.0	0.139323989811578	1.7074625576235611	1.346473041851971	0.43574821862010105	0.6513237781450111	0.41984185175709704
73.0.8.0	0.139271244877219	1.729807097202039	1.36532513552627	0.40610554086960904	0.619646599189843	0.44296056333100503
77.0.89999999999999.0	0.13716338670824102	1.749395598846781	1.3767725749786681	0.38658854100830103	0.658886511922372	0.46533219285736305
82.0.	0.13974386331068	1.687390767005947	1.3938448170460052	0.39078215504909203	0.7506691097043701	0.47180194674347403
86.0.1.0	0.148140158266224	1.5806948287879101	1.4187304354495431	0.40125171969579104	0.778220802486384	0.46609670982824203
90.0.19999999999999.0	0.15235247295411602	1.5812618299414192	1.434001753027797	0.38396221506838	0.6597527463420441	0.473815978669176
