time	D_1	E_1	RS_1	R_1	X_1	theta_1
94.0.3.0	0.14502629485587	1.691977460710021	1.428503868302416	0.349391474915687	0.612192872904568	0.503175236772728
98.0.39999999999999.0	0.139105379141151	1.722399676952975	1.423378071826312	0.346403990545238	0.727953028718325	0.5202406718601741
102.0.49999999999999.0	0.147459103417764	1.5535376573969661	1.4440605268786841	0.383005754323654	0.9427762740222011	0.49991939870927404
106.0.6.0	0.16890103330421502	1.35005730654219	1.479639020639911	0.411393169780969	0.9016261443865581	0.468657936222209
110.0.69999999999999.0	0.16920552017371	1.485955115873793	1.4794167392237911	0.358932746989898	0.546728364979367	0.491793768531089
114.0.79999999999998.0	0.144490813428368	1.7478928362417592	1.440725948737343	0.303258646277954	0.5628229212302881	0.5522355568448021
118.0.89999999999999.0	0.135871207354878	1.733455744493874	1.4279894898917491	0.330987393752382	0.8667927046362811	0.5585606111113991
122.0.99999999999999.0	0.168762793228516	1.149786339285039	1.485608972928443	0.442874773766522	2.06658098754928	0.47921609052363706
127.0.1.0	0.35074641675163304	0.24515404272919702	1.583979264661274	0.566948037671626	4.284375560472043	0.37512554337796905
131.0.2.0	0.44596644216733305	0.6906740503785931	1.506170347796917	0.43743218854001403	0.424328658864546	0.480544128256335
135.0.29999999999998.0	0.251160106369618	1.388951880861149	1.357045947937499	0.24861037456515403	0.390252713719464	0.6628255598742551
139.0.39999999999998.0	0.14969728073253502	1.755699824619049	1.300573434341012	0.261119390913964	0.6874548080703601	0.6902674003329681
143.0.5.0	0.151977514842062	1.379513500006637	1.3749317453297931	0.40013225617797704	1.7798117547891832	0.561646133347939
147.0.6.0	0.38124775062167104	0.083440646530811	1.551069788357758	0.614673553793465	10.636680703343243	0.36109572090146
151.0.7.0	0.5736430009723741	0.4572475003213	1.481995924308543	0.5358443511462141	0.7817912049462611	0.44757141131445405
155.0.79999999999998.0	0.34891048339339403	1.176648070139012	1.322298104005698	0.287870428104881	0.347256691538087	0.6414439930468621
159.0.89999999999998.0	0.17072169356376102	1.69036732836119	1.242954721187195	0.249306927595617	0.579536402917314	0.704135763481747
164.0.	0.14337589219878902	1.611274551579955	1.296093106670563	0.353775249543584	1.137798015502471	0.6014531159385621
168.0.1.0	0.24303044103933402	0.24614337716251702	1.459523640778582	0.5857165378218651	12.64393659272766	0.40372938816497206
172.0.2.0	0.52970122319348	0.28246386635270204	1.50412055543546	0.6173287005815791	1.7940540160736171	0.37734299172294605
176.0.29999999999998.0	0.43221236728330203	0.94160361668755	1.367148409952917	0.368774187771504	0.311511547259861	0.556579280838406
180.0.39999999999998.0	0.204025324847346	1.576366196013435	1.252250356901224	0.24526760018531302	0.46780396626778303	0.685011014910465
184.0.49999999999997.0	0.14144004826796402	1.7455583152002871	1.258985934281537	0.306145904487231	0.8372677544647581	0.640768092450203
188.0.6.0	0.17144297138424	1.047733566608305	1.3783262456658552	0.486213918157732	2.9189359981035112	0.48108032763998704
192.0.7.0	0.44175116454505603	0.14466125167055002	1.5199562895722232	0.648665900111971	5.098733271849134	0.341848039480924
196.0.79999999999998.0	0.521486546287671	0.65603961282732	1.422641682404383	0.48367575448506706	0.406920007595918	0.47350390379397206
200.0.89999999999998.0	0.27159994487314604	1.367414425255228	1.282008211149602	0.264873107938427	0.378765539766433	0.651808818710608
204.0.99999999999997.0	0.151957437379259	1.756794957962081	1.239301384528901	0.269172945543586	0.652521027090407	0.673012526909183
209.0.1.0	0.14707803230345	1.488137597852522	1.316835774615751	0.39786409388569705	1.418698176157994	0.552229121190788
213.0.2.0	0.31104622538987703	0.09712018926118901	1.492265822085429	0.6308124388156311	12.49176078155596	0.357306985452352
217.0.29999999999998.0	0.547904255029539	0.393982653757362	1.4751280935932811	0.5900851568435751	0.9791926455620211	0.40104906484302805
221.0.39999999999998.0	0.371956882944167	1.098165600682117	1.33174531936418	0.32398719541563303	0.317391848778724	0.591408937842952
225.0.49999999999997.0	0.17939997830333002	1.663209766036887	1.2405198174835341	0.248720895871043	0.5204795766220041	0.6844268254728021
229.0.59999999999997.0	0.14006916696202001	1.700121850988437	1.272320870800284	0.332870430633026	0.964723426990533	0.61240698054411
233.0.7.0	0.19692508906262302	0.679377839247118	1.41195013287102	0.54213888913828	5.672292581403074	0.43799791081689804
237.0.79999999999998.0	0.491258771343116	0.20453817140607802	1.511085357835857	0.6435864528863761	3.022939670302339	0.35225153728751
241.0.89999999999998.0	0.480374525975151	0.799685474781869	1.391930040038684	0.42669343137061005	0.328742824773869	0.51163387860605
245.0.99999999999997.0	0.233212232839405	1.481222305037412	1.263071749546538	0.252174512363857	0.41843412664739504	0.668496351355998
250.0.09999999999997.0	0.1448809440571	1.767637426415702	1.245077091397437	0.28597631389568	0.7311796712785921	0.6572674357843771
254.0.2.0	0.15548768585660203	1.318954779125961	1.342776299413342	0.43749848033166305	1.8578620113601612	0.517963284960271
258.0.29999999999995.0	0.37526804746701703	0.10390887011468301	1.5117951477471872	0.64740878109041	8.474539626168832	0.340392658543472
262.0.4.0	0.5451466188891361	0.51202029995305	1.450684081681435	0.545559824490306	0.6040518931059371	0.43201494911987703
266.0.5.0	0.32084068257000603	1.23170180937649	1.3058304014914541	0.290820896646314	0.341177224278556	0.6222583257111041
270.0.59999999999997.0	0.16370911976146102	1.720074433462358	1.237014399794436	0.25611086916984804	0.577597979904468	0.681402516757391
274.0.7.0	0.14173691402184302	1.62208905812966	1.290839612795125	0.36106366027207404	1.131473015083151	0.5852919067579191
278.0.79999999999995.0	0.24056237077818302	0.26132578059057804	1.451086672461781	0.592905823623014	12.188295178597393	0.39617839645815406
282.0.9.0	0.527157297874702	0.28209753692035805	1.496951430677276	0.625974183365689	1.782543264859268	0.37147558768666905
287.0.	0.43156282684735103	0.9406157027246651	1.363068624462038	0.37416906083100304	0.307864279793846	0.5500958986339001
291.0.09999999999997.0	0.20408830711653503	1.576133065393734	1.2497821876454611	0.24700864272601203	0.46294572460000505	0.679434534385249
295.0.2.0	0.141138934470389	1.751949290742585	1.255432549437099	0.305820629405579	0.8255367140799821	0.638428533596456
299.0.29999999999995.0	0.169239571947952	1.082311733528215	1.3725198692741292	0.48281544324912606	2.74190358578015	0.48225057762245405
303.0.4.0	0.434276800004939	0.13994558810132202	1.517497483631189	0.651347469403847	5.35608022356009	0.339520135319884
307.0.5.0	0.523779592872267	0.641742652103312	1.424184440452686	0.49171492770155206	0.41783751862967805	0.46751123650713605
311.0.59999999999997.0	0.275819878454161	1.354838012134462	1.28360705969521	0.26767789566572503	0.37366799465218603	0.6474423788723841
315.0.7.0	0.15282646536920202	1.755334230898769	1.238236828126737	0.267792920989724	0.642678265188886	0.67304819809789
319.0.79999999999995.0	0.146141244667818	1.507799722919776	1.312987938878201	0.393556157673133	1.374669930670938	0.555499114876164
323.0.9.0	0.301770756561875	0.10205506320606901	1.487485214858731	0.628015267560284	12.965827209535469	0.360526678054343
328.0.	0.546424629930029	0.379138160351486	1.477623141637795	0.595918681927395	1.050375510469223	0.39666128154601105
332.0.09999999999997.0	0.37911626994774406	1.079315511748785	1.3352145403599511	0.32973110163712704	0.314755060068491	0.58617777709393
336.0.2.0	0.18196318713442802	1.65396339968065	1.24117674038564	0.24821252828433002	0.512700875413395	0.6838921638915161
340.0.29999999999995.0	0.139996169681832	1.7090691485606482	1.269755159697917	0.32927226393553105	0.9443963117565951	0.615699325382957
344.0.4.0	0.19229007209419502	0.740756816817556	1.40639214730586	0.534411022669084	5.053839285071635	0.44372879431177104
348.0.49999999999994.0	0.48470694849070206	0.19488746470926802	1.512384494827058	0.6454630352569111	3.259133592944595	0.34987303086957305
352.0.59999999999997.0	0.48677327684054605	0.779175521902647	1.396038941710138	0.43499400375428204	0.33522524491232303	0.505779389260701
356.0.7.0	0.238092121143636	1.466058114275469	1.2653465129741441	0.25360159269271604	0.41223822051095904	0.6661696186261871
360.0.79999999999995.0	0.14565843292201702	1.76791282450557	1.243838887448669	0.283380393468538	0.7186709479312221	0.659572262069776
364.0.9.0	0.15394935213375802	1.347721832922419	1.338615726805127	0.431383707174183	1.7745722415779892	0.522966042103556
368.0.99999999999994.0	0.365941317868513	0.10041860138149301	1.509742852481979	0.645949520530211	9.03250438185594	0.341697320522349
373.0.09999999999997.0	0.5467390662813011	0.493689236369768	1.454380417665779	0.552973377979844	0.6449298609307911	0.427037821606747
377.0.2.0	0.32807189384066504	1.212521717130653	1.309416906164673	0.29513054870919303	0.336961539048228	0.617942340980703
381.0.29999999999995.0	0.165698349397429	1.713009374155648	1.237201462127169	0.254740522213515	0.568613023339216	0.682139826433781
385.0.4.0	0.14131840253389802	1.635919801935052	1.287816046782073	0.356621182731478	1.102820319450364	0.589467320281962
389.0.49999999999994.0	0.23260721349287702	0.31380241594174	1.445030753582926	0.5860754392659261	11.181412561529191	0.40237372323785503
393.0.59999999999997.0	0.522759277039276	0.26925331370695604	1.499409864937094	0.6293822014321421	1.930349259139767	0.36817620529911604
397.0.7.0	0.43921855980818403	0.9196142550080251	1.36733141022608	0.38158900733691103	0.30878128138987804	0.544424575116329
401.0.79999999999995.0	0.207968544198559	1.562996240128676	1.251464135479064	0.247352710593695	0.455959729635432	0.6781980670444191
405.0.9.0	0.141524806516326	1.755982197894944	1.253617720296897	0.302629370781828	0.81010112145305	0.6414924344963271
409.0.99999999999994.0	0.166722842982114	1.12336177444881	1.36781455355644	0.47559946533127206	2.557925963870475	0.48775737075488906
