	APC	HC	HC3	HC36	HC5	HC53	HC536	HC56	LC	LC_APC	Va	Va3	Va36	Va36_APC	Va3_APC	Va5	Va53	Va536	Va536_APC	Va53_APC	Va56	Va56_APC	Va5_APC	VaA3	VaA36	VaA53	VaA536	VaLCA1	VaLCA1_APC	Va_APC
0	1e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	3.546913403708925e-10	3.512145640858436e-11	9.865040514222571e-14	2.851076127548591e-17	3.634544180804702e-12	3.7125534310171387e-13	3.984588901229053e-16	2.1489272850033654e-15	3.75503885824567e-11	1.6780936521127032e-12	1.4946593534816762e-07	8.214502265516872e-10	2.572879632206125e-13	4.460889175618306e-14	1.3039907210037438e-10	3.511495782049784e-08	3.93548498283021e-09	4.941495560605236e-12	1.2395409872614979e-12	8.334505790638087e-10	2.430166844929901e-11	4.7250550057180754e-12	5.556033498938812e-09	2.0801612930928333e-10	6.091339133459483e-14	8.165964787469798e-10	9.051383570487496e-13	9.498121217681232e-10	7.576653803652367e-11	3.0419716729527364e-09
2	3.546913403708926e-10	6.235345782711464e-11	3.016592202819289e-13	9.547776955913586e-17	1.3849086290019342e-11	1.5573551753897172e-12	2.108727747980676e-15	1.0243090876406582e-14	7.451987188488484e-11	3.554133924314734e-12	1.1583787711434695e-07	1.084900683075254e-09	3.7222940408238e-13	4.112814963108578e-14	1.1052603423404451e-10	6.247188961200563e-08	7.3768669186933465e-09	1.1628482237641005e-11	1.845168748051e-12	1.0163538180647797e-09	5.4331710916658794e-11	6.391950795998625e-12	5.947879385157849e-09	5.789768465245921e-10	1.8440510453748872e-13	3.0600872005143048e-09	4.209108744451807e-12	3.442304717806624e-09	2.0115284308126374e-10	2.357564197473176e-09
3	3.5469134037089255e-10	8.345843664813653e-11	5.290640286454783e-13	1.761164667666354e-16	2.891791291640349e-11	3.3495315389416347e-12	5.183605215109861e-15	2.4629584182734956e-14	1.1088412612838346e-10	5.400808309608242e-12	8.977573104518473e-08	1.0907611960053244e-09	3.98455924633453e-13	3.581769726813557e-14	9.093691090246695e-11	8.24730873864289e-08	9.845615498889286e-09	1.8104800222535317e-11	2.388321867773186e-12	1.1374817321317558e-09	8.513442317940753e-11	7.997946748139956e-12	6.1956902512350495e-09	9.828425295333996e-10	3.285870944992616e-13	6.340113305161681e-09	9.926593373593396e-12	6.954974408407922e-09	3.7823660675525534e-10	1.8271402639817932e-09
4	3.5469134037089793e-10	9.981483990680774e-11	7.443890387796528e-13	2.567681109997942e-16	4.75052281155695e-11	5.56937021552816e-12	9.550042073410567e-15	4.5389183013493243e-14	1.4647965799070468e-10	7.209365279179151e-12	6.957725688773606e-08	9.84858568255352e-10	3.7776390807133234e-13	3.011994626626768e-14	7.342327645693379e-11	9.681443413973882e-08	1.1554141003471797e-08	2.4116357602243305e-11	2.8693056493851398e-12	1.2131854985553086e-09	1.1598408894838482e-10	9.532367562569992e-12	6.333733925523458e-09	1.3605701174807471e-09	4.708387467926381e-13	1.0347355453300394e-08	1.7915877612978793e-11	1.1137042872718276e-08	5.892694144219577e-10	1.4160553862341293e-09
5	3.5469134037088485e-10	1.1249098070114693e-10	9.331026910591759e-13	3.305991301437945e-16	6.858405979911163e-11	8.079317974883553e-12	1.5099397550895805e-14	7.24735520010297e-14	1.8120120086877616e-10	8.974163846105775e-12	5.392320614504048e-08	8.413323019470652e-10	3.355564551357069e-13	2.47531807887998e-14	5.855270241923558e-11	1.0680881963038499e-07	1.2684311621676718e-08	2.955879223409021e-11	3.2919196102761283e-12	1.2558341987143887e-09	1.4634711097974892e-10	1.0988148014486221e-11	6.388546022459316e-09	1.689211931078699e-09	5.999995779067286e-13	1.4843427023067713e-08	2.7976920131945517e-11	1.57395789807861e-08	8.216368930711152e-10	1.0974598583132888e-09
6	3.5469134037088443e-10	1.223148378006073e-10	1.0915987377956011e-12	3.9482210732488184e-16	9.136647303396321e-11	1.0775761252500874e-11	2.1711177717468715e-14	1.0574010644325339e-13	2.1498477230805848e-10	1.0691744623075127e-11	4.179112340998824e-08	6.959683290482086e-10	2.8644162526987607e-13	2.0026306466564172e-14	4.630740236612725e-11	1.1347242605206605e-07	1.3383196638792949e-08	3.441325847611651e-11	3.661786041746324e-12	1.2746788594334345e-09	1.7583739558672452e-10	1.2361051106327514e-11	6.380629749509734e-09	1.963703515955112e-09	7.116668334614313e-13	1.9648562487570027e-08	3.98910245698321e-11	2.0586455042481597e-08	1.0664136524478305e-09	8.505443877942541e-10
7	3.5469134037088443e-10	1.299280920552714e-10	1.221354603506484e-12	4.48909013779185e-16	1.1524955389760268e-10	1.3582044105951862e-11	2.926624774654564e-14	1.4497873487736993e-13	2.47795548664441e-10	1.2360189889527723e-11	3.238861461966288e-08	5.643985059657799e-10	2.3824551627682777e-13	1.6026461580055954e-14	3.6418050988791975e-11	1.1759148631791287e-07	1.376564767556482e-08	3.870674950828356e-11	3.985039678688728e-12	1.276570885482444e-09	2.0418192703789567e-10	1.3648974704750075e-11	6.3258143907002105e-09	2.187225937073785e-09	8.051870991880529e-13	2.4629460884942055e-08	5.34428894083004e-11	2.5553621750539963e-08	1.3173131479843664e-09	6.591819537386355e-10
8	3.5469134037088443e-10	1.3582806195322166e-10	1.325892623568427e-12	4.934890650944035e-16	1.3977349876785335e-10	1.644231375507757e-11	3.765359749652084e-14	1.899322837087659e-13	2.796191811983818e-10	1.3978665271608097e-11	2.5101559367743487e-08	4.519971235375272e-10	1.9471739904102844e-13	1.2728569925136086e-14	2.8533583060985488e-11	1.197740907832132e-07	1.391929840922312e-08	4.248794236205094e-11	4.267618224734471e-12	1.266546539629093e-09	2.3119410517234436e-10	1.485141593683132e-11	6.236309499827923e-09	2.366205528291311e-09	8.818081946960448e-13	2.9688665316849708e-08	6.843185685404857e-11	3.055424971052404e-08	1.5699347996667259e-09	5.108738094411663e-10
9	3.546913403708844e-10	1.4040017378511418e-10	1.4092668210963357e-12	5.297004839338976e-16	1.6458917218452485e-10	1.9316461760877695e-11	4.677322431334183e-14	2.4031217588473965e-13	3.1045559711470445e-10	1.5547092537589135e-11	1.9454012569481933e-08	3.591692648887184e-10	1.5726633562078802e-13	1.0057216036041281e-14	2.2302529191957196e-11	1.2049029884170962e-07	1.3909932482147368e-08	4.581308287925069e-11	4.514919041177534e-12	1.2482852069982805e-09	2.5675315258362346e-10	1.5969058969207142e-11	6.121521053383645e-09	2.507834575837007e-09	9.43596577971324e-13	3.47558696033239e-08	8.467665958934301e-11	3.552809908323234e-08	1.8212253520968692e-09	3.959333901942334e-10
