time	APC	HC	HC3	HC36	HC5	HC53	HC536	HC56	LC	LC_APC	Va	Va3	Va36	Va36_APC	Va3_APC	Va5	Va53	Va536	Va536_APC	Va53_APC	Va56	Va56_APC	Va5_APC	VaA3	VaA36	VaA53	VaA536	VaLCA1	VaLCA1_APC	Va_APC
0.0.	1e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.814824860968091e-35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12.0.	3.54691340373948e-10	3.512325785608709e-11	9.846770326178798e-14	2.846005038873879e-17	3.6325116634800042e-12	3.710056332593817e-13	3.989718728920949e-16	2.151214221570744e-15	3.754985249155412e-11	1.6779690106789871e-12	1.494645376570457e-07	8.220055109927601e-10	2.573975660097164e-13	4.4607126624629044e-14	1.3040111238087992e-10	3.511670689859526e-08	3.935350679731166e-09	4.93859645768143e-12	1.24090842328043e-12	8.336404340539772e-10	2.429868921241464e-11	4.726053863581576e-12	5.5558279086964666e-09	2.0771387594894113e-10	6.082771883539795e-14	8.161474712018541e-10	9.05932908081536e-13	9.49046058281423e-10	7.578204949628894e-11	3.04196761657427e-09
24.0.	3.546913403709235e-10	6.235620181375527e-11	3.015271576587542e-13	9.543269373494816e-17	1.384618125849758e-11	1.55696137934046e-12	2.1089327392463464e-15	1.024504786134091e-14	7.451922113147903e-11	3.5540998910673573e-12	1.1583532481126639e-07	1.0853384757816921e-09	3.7234129476274533e-13	4.1132585645991764e-14	1.10533371724723e-10	6.24745836603107e-08	7.377152963193246e-09	1.162739111068638e-11	1.845133413615204e-12	1.0163837681082932e-09	5.4329192685586834e-11	6.3918738267802156e-12	5.947937226756954e-09	5.787597815686558e-10	1.843295202488056e-13	3.059398935790547e-09	4.209428306603246e-12	3.4414432835963094e-09	2.011091915897461e-10	2.357512861732246e-09
36.0.	3.5469134037091856e-10	8.346068309889825e-11	5.290013277762033e-13	1.76090859274954e-16	2.891553402384849e-11	3.349202239734136e-12	5.18362941954939e-15	2.463104769503925e-14	1.108836291181333e-10	5.400782340097599e-12	8.977379337549465e-08	1.090987234783952e-09	3.98526315588122e-13	3.582021335090312e-14	9.094023001549268e-11	8.24751616688932e-08	9.845899486083328e-09	1.810415754993204e-11	2.388303131458191e-12	1.137504769572523e-09	8.513229979543693e-11	7.997878378037295e-12	6.1957360426533e-09	9.827401908721779e-10	3.2854443164294983e-13	6.339539639826337e-09	9.926609897873092e-12	6.954330962336691e-09	3.7820402269133983e-10	1.827100810633469e-09
48.0.	3.546913403708305e-10	9.981673235907535e-11	7.443608087742281e-13	2.5675409963925897e-16	4.750323091592565e-11	5.569096443717365e-12	9.549962801816584e-15	4.5390239618687904e-14	1.464792723509712e-10	7.209345133041565e-12	6.957575634395934e-08	9.84976073274782e-10	3.7780728335824885e-13	3.012128632042109e-14	7.342462017012411e-11	9.681606645212558e-08	1.155439089518576e-08	2.4115979391667676e-11	2.8692956815694913e-12	1.213203271693299e-09	1.1598226425446001e-10	9.532307015781411e-12	6.3337705806696795e-09	1.3605246745183571e-09	4.70815607095131e-13	1.0346879310905539e-08	1.791572125795855e-11	1.113654625254487e-08	5.89244269744086e-10	1.4160248482352541e-09
60.0.	3.546913403708924e-10	1.1249260421289611e-10	9.330912881949625e-13	3.3059191950040134e-16	6.858235825823582e-11	8.079090940066593e-12	1.5099259844678968e-14	7.247426016789156e-14	1.812009006548602e-10	8.974148156465261e-12	5.392203769729019e-08	8.413938214123997e-10	3.35582514468347e-13	2.475386523803471e-14	5.855311752235028e-11	1.068101152122017e-07	1.2684517674301901e-08	2.955856982801706e-11	3.291914291270169e-12	1.2558478274214251e-09	1.463455268139299e-10	1.098809399907142e-11	6.38857570926831e-09	1.6891941867627322e-09	5.999878424377409e-13	1.484303253141725e-08	2.7976666666278048e-11	1.573918635535326e-08	8.216170173354396e-10	1.09743607776952e-09
72.0.	3.546913403708924e-10	1.223162466351098e-10	1.0915964627765539e-12	3.948190611547802e-16	9.136501194988367e-11	1.077557270369027e-11	2.171100472197056e-14	1.057405081790918e-13	2.1498454153597943e-10	1.0691732547443129e-11	4.179022005013421e-08	6.959973668409851e-10	2.8645631030678863e-13	2.002660023010946e-14	4.630733217635975e-11	1.134734521011234e-07	1.3383361238180309e-08	3.441313319832573e-11	3.661783295889816e-12	1.274689214197023e-09	1.758360136485088e-10	1.236100277395909e-11	6.380653835933875e-09	1.9637007071822314e-09	7.116620498951348e-13	1.964823508704096e-08	3.9890712864838935e-11	2.058614043939873e-08	1.066397729739198e-09	8.505260023651158e-10
84.0.	3.546913403708925e-10	1.299293338649617e-10	1.221356507402616e-12	4.489082742849153e-16	1.152482847173532e-10	1.3581886123303078e-11	2.926605490931293e-14	1.44978867953685e-13	2.477953743016379e-10	1.236018074251998e-11	3.2387917502771674e-08	5.644105508600628e-10	2.382532241807717e-13	1.602654455493638e-14	3.641777800458739e-11	1.1759230185478599e-07	1.3765776163060811e-08	3.870667964897317e-11	3.985038101714431e-12	1.2765787373352212e-09	2.0418071347180508e-10	1.3648931273803379e-11	6.325834083923203e-09	2.1872298878778522e-09	8.051861415523805e-13	2.462918674676593e-08	5.3442545338892376e-11	2.555336424824555e-08	1.317300117878673e-09	6.591677658248126e-10
96.0.	3.546913403708925e-10	1.3582917474340843e-10	1.3258961047180922e-12	4.934894909591664e-16	1.3977238262161242e-10	1.644217950498339e-11	3.765339354697167e-14	1.899321801852584e-13	2.796190534976609e-10	1.397865854028452e-11	2.5101021561834142e-08	4.520007181483058e-10	1.947210279117178e-13	1.27285480606254e-14	2.853325215707778e-11	1.197747429063365e-07	1.3919397482905991e-08	4.248790201323512e-11	4.267617038821577e-12	1.2665525162587541e-09	2.311930324645788e-10	1.48513767717943e-11	6.236325761805145e-09	2.366211955086566e-09	8.818091498216868e-13	2.9688432587552933e-08	6.843149499421482e-11	3.05540339621424e-08	1.5699238846411382e-09	5.108628638680167e-10
108.0.	3.546913403708925e-10	1.404011925572938e-10	1.40927063149245e-12	5.297014124273676e-16	1.645881733167307e-10	1.931634501495292e-11	4.677301295599576e-14	2.403118639757186e-13	3.1045550828656044e-10	1.554708781225353e-11	1.945359085177187e-08	3.5916902573291543e-10	1.572677577922662e-13	1.00571490093521e-14	2.23022051505262e-11	1.204908309197351e-07	1.3910009602401932e-08	4.581305695085934e-11	4.514917900232758e-12	1.2482898556546081e-09	2.567521956675352e-10	1.596902349591311e-11	6.1215347700118845e-09	2.5078414419588213e-09	9.435983414471918e-13	3.475566752089932e-08	8.467628604142541e-11	3.552791291206625e-08	1.821215935174759e-09	3.9592480727990655e-10
