	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_26	species_27	species_3	species_4	species_5	species_6	species_7	species_8	species_9
15	44.146490920400204	11.593681273277753	1.6915394891269353	235.66140294725176	26.648319068033622	2.059675221444395	195.28330095436283	24.102420433836016	1.9423297183634507	8.057670281636543	3.844840158805554	214.92416872109837	3.9517828924244585	457.9985370240569	1.198972992431243	81.14979179241892	34.94357217166607	0.30541447008233025	28.92164192064208	28.032748386379357	188.42203175653734	6.736558029517517	2.895536407678595	417.4520810769573	115.87024676820228	72.95833391485958	167.42778789862876
16	35.28313710026986	12.015466333529343	1.7989352578508566	250.82654097207316	25.62046730447253	2.0525133029918905	182.53965682655246	23.81235577055813	1.923446609318693	8.076553390681303	3.809581751013775	237.89246808498757	3.8158746433059463	474.5084122268595	1.0741320273768844	63.37827733967291	37.35424577423257	0.3056775018924613	27.152976108872657	27.561644220682442	166.74140323708954	6.2772166443952475	2.9864818568595672	449.75093956747446	112.10555553553687	74.86595718304508	166.22807920753067
17	28.095452878405748	12.354874831071054	1.9005770693575466	265.13758376244675	24.67519205057592	2.0328060974645332	170.40733306238337	23.556404986151296	1.9066801508412994	8.093319849158698	3.7830663987967226	261.0601506953973	3.6881877823950306	487.32448603419	0.9641528145190987	49.45844617841976	39.627254876468854	0.30382732334987195	25.4455297717073	27.152133847282077	145.74437549895111	5.850737721565168	3.0546977796321366	479.50765109431535	108.15216105862014	76.92230937442078	164.77882817314995
18	22.36201443636269	12.607603064959218	1.9958008714114752	278.5552830186769	23.836015776157595	2.0039732102703307	158.93245688777287	23.372215100443825	1.894540669975111	8.105459330024873	3.768715893232797	283.89020888385994	3.5707063783916535	497.0461316579589	0.8702706049643437	38.75586884419829	41.726994264119796	0.3001937799500812	23.79499965726144	26.83839002704409	126.17213111055419	5.467596135111981	3.1043287270783133	506.22165848376915	103.94206894934649	79.15637986315363	162.97395757473862
19	17.848788835745324	12.775063642928215	2.0842857032333857	291.0754780088433	23.111054311327493	1.968923474594728	148.1421235141058	23.282845017438593	1.888597304231284	8.111402695768707	3.768097832129862	305.9203737323175	3.464206476350194	504.2793377776233	0.7917812298843829	30.631301683620645	43.63065210800295	0.2951307385844151	22.203882812038	26.63803003289437	108.53489401233917	5.131261548586847	3.1394693395019764	529.6431655726963	99.47311623673136	81.58153743329356	160.75660667677835
20	14.330029510515677	12.863598255988725	2.16604076871951	302.72557880447016	22.496965709911017	1.9299515473295978	138.04119863604956	23.29766212951819	1.8895020452584874	8.1104979547415	3.7812326456689234	326.8163237820692	3.3684778852473363	509.5715664008685	0.7269193302099657	24.507819571160827	45.32912927436054	0.2889813740948689	20.677781023292933	26.55439779733518	93.09266184210226	4.84025599264271	3.1637178954687952	549.7670294570296	94.79128512249791	84.19741293994446	158.1137516735547
21	11.603402663920344	12.88285496996477	2.241316750024917	313.55332379663264	21.983505448543653	1.8887647753739345	128.61685674248105	23.415273773190723	1.8971650693368496	8.102834930663137	3.807046914122368	346.38234928595233	3.2826653295276964	513.3805989427112	0.6735462571977888	19.903404037059126	46.82477254497942	0.28205441899373246	19.22295486860057	26.580505923775963	79.88824994287877	4.590311840116672	3.179985944686758	566.7805003714277	89.97055566147317	86.99273127159225	155.06596029795642
22	9.497298214043111	12.844092832023891	2.310501299502462	323.6152188220181	21.557102463084007	1.8465822896957356	119.84544726316463	23.62703100804192	1.9109860995089658	8.08901390049102	3.843819978757032	364.54112449293683	3.205607642794254	516.0698429223806	0.6295670217331838	16.436239217923536	48.12786034898501	0.27461447519639237	17.845001317645345	26.703096236621736	68.80714434974655	4.376063615394335	3.190497480648229	580.9933471781292	85.09550303624667	89.94815338537857	151.6564119921889
23	7.871674631438534	12.758800532470953	2.3740309934008748	332.96705955768795	21.203742249253175	1.8042646609744775	111.69872163580479	23.920178448850454	1.930073489262555	8.06992651073743	3.8895380771930705	381.3012181152753	3.1360820776959337	517.918617202207	0.5931393088990662	13.814455385173284	49.25328515773144	0.26688128857226706	16.548247302948585	26.905966095858467	59.64051039799406	4.192085277304305	3.196888107290343	592.7726296896924	80.24864091400299	93.03876155958933	147.94145133584476
24	6.615358702336313	12.637811882369645	2.432336674703186	341.65935319872415	20.910233806184763	1.7624214412677663	104.14768668655084	24.28020968297057	1.953413929050688	8.046586070949301	3.942139850806834	396.7238034660221	3.072964744730451	519.1379320554671	0.5627341423321637	11.819638669472711	50.21800984123096	0.25903454320709335	15.3355665132692	27.172284506755123	52.136998959974605	4.033458564975918	3.2003344726390224	602.4935444328012	75.50298672558998	96.23595976126278	143.98365559445028
25	5.641620736375541	12.490812171964125	2.4858148722275732	349.7351366215324	20.665112704019286	1.7214993182194367	97.16452016670067	24.69241515861767	1.9799867046455977	8.020013295354392	3.9996658634404225	410.8967921359038	3.015298693809743	519.886296486487	0.5371291231374173	10.290305579903176	51.03943109826021	0.2512195006185925	14.208375517383761	27.48600932648688	46.03903105104191	3.895962645158996	3.2016763195208156	610.5079780583741	70.91851888756199	99.50893573551762	139.84717233906363
26	4.883675867384474	12.326152091123364	2.534819961098573	357.2305841180006	20.458762332173734	1.68183447377017	90.72290829825404	25.1428086275588	2.0088327946681086	7.991167205331884	4.060342445798391	423.91638193303226	2.9623187053162727	520.2828278554367	0.5153658095836753	9.107717112780419	51.73440140864171	0.24355261203438316	13.166734495283386	27.832650332925432	41.105005640344274	3.7761135316311485	3.20151396380316	617.127780219035	66.5413775620794	102.82581239541658	135.5947334425335
27	4.290482375114116	12.150827462259581	2.5796660940853346	364.17614959472184	20.28340502374974	1.6436886260546333	84.7977315553238	25.618623097542905	2.0390913552670553	7.960908644732936	4.122619264681062	435.8764337462309	2.9134359540589316	520.4176317490819	0.4967022495641769	8.184691201503227	52.31874180124832	0.236125760785754	12.20947501121639	28.19960220800912	37.120537078380245	3.671084002522143	3.200280915442455	622.618590428391	62.40456790051782	106.15462352668213	131.2857744537318
