time	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_26	species_27	species_3	species_4	species_5	species_6	species_7	species_8	species_9
400.0.	16.05176545822504	5.459016636171692	0.868141755361956	65.08485240588037	2.875076338574876	0.104926224643494	22.37489470014037	14.55555131767148	1.269450179010391	8.730549820989607	2.6834546655798412	551.1137485635796	2.534848920791117	106.16344618721914	0.013439617532922	3.383364526006623	57.42419129350193	0.092558368809352	19.92071708388731	17.344229667429833	176.64826235343256	0.6974551369992661	0.7688055346725451	896.2734611859107	116.38721236695072	79.52649970197663	183.7526727129682
440.0.	9.541494928480615	4.83417304303684	0.9348834123032871	73.10666554987232	2.7092363876583843	0.08758857533707101	15.542044742650242	16.1889098484972	1.391859285298133	8.608140714701868	2.970350353105249	656.2429507620808	2.307634983881874	106.67800485261336	0.01018986789721	1.866270023968554	62.32237439761612	0.07465111538774201	13.392838712977314	18.932150437030877	125.08059707382955	0.5619262595876491	0.7375658152998721	955.5239511783216	84.76533349360786	96.70351335776294	162.87833330600063
480.0.	5.8960142118048395	4.191854509384485	0.9730772313868421	79.14782645500628	2.587785863485304	0.07254052541809901	10.668326165879462	18.175870331216903	1.536454167689016	8.463545832310983	3.277434478041616	743.3161709671127	2.120971595313781	106.41888128268104	0.008274851285301001	1.09636485624111	64.92843189396189	0.059493837140992004	8.856126796392513	20.75754139914825	87.56537890668578	0.47820799212373805	0.710957039546485	997.8259208596297	60.30284522276475	116.07265194319695	139.20697044931867
520.0.	3.747029514784088	3.647238977556193	0.9916804447456591	83.63579817019581	2.497801991219139	0.060899732856870004	7.318535245904651	20.280233904951285	1.684585494553248	8.315414505446746	3.566204204338876	813.3921108887504	1.969836659879687	105.80374040249215	0.007072536859687	0.67615192046752	66.0138740591881	0.048057190392702	5.844430021872036	22.557597864327388	60.903338717692826	0.42376441213712	0.689403163106005	1027.7494993324583	42.48689095808272	135.95195565742716	114.96774242965445
560.0.	2.431561782185058	3.228452221250028	0.998527065742227	86.92691836467898	2.430911328215216	0.052438764556416	5.070301325537477	22.272622316746137	1.8202666089765671	8.179733391023428	3.813275458797376	868.3907109587834	1.851163591249025	105.07925502232844	0.0062854462178910005	0.43388974846082	66.24507475996298	0.039954359442757006	3.9045193587694813	24.146012471776928	42.197390524595704	0.38718794435533105	0.67248397352384	1048.7919455583312	29.96952749948371	154.64559525428774	92.30370082367105
600.0.	1.603094222264012	2.921386902594506	0.9992624964819671	89.32126529160918	2.3814272817535063	0.046463387735969	3.57233721581815	24.008108475621608	1.934970805714242	8.065029194285753	4.012042812599129	910.654565035309	1.760691357786134	104.38445269019782	0.0057562056036420004	0.288297927276343	66.0794730541563	0.034367698430445	2.665854944866374	25.44757013215997	29.175164966969707	0.36211280088364906	0.6595368589238441	1063.52158432788	21.297364878070116	171.02508800838908	72.57295726903195
640.0.	1.069903575960695	2.700619471438012	0.9973164437300871	91.05815314652591	2.345096041094894	0.042279462923251	2.568599515621611	25.435330287661483	2.026955724279844	7.973044275720152	4.166166102015628	942.6036588258529	1.693140997921023	103.7825411236461	0.005393891142185	0.19793681903992702	65.77505512402712	0.030536184743276	1.86824043980197	26.466861151489166	20.154746616301306	0.344691609515889	0.6498281600999101	1073.7949582042922	15.288716031237216	184.64511971312695	56.262250577694736
680.0.	0.721066084655631	2.54273976619108	0.9945100816623281	92.31837178869766	2.318604673785318	0.039344883924415	1.8875530763491342	26.56562783208722	2.098346026710653	7.901653973289344	4.283181335407964	966.4662959607336	1.6433244931823392	103.2905563549486	0.005142627308166	0.14042659497992502	65.45555023825015	0.027893471792986003	1.345441725533421	27.244608735831047	13.926968656837893	0.332472347356331	0.6426561917506081	1080.9407111421606	11.096820255982081	195.5578720860074	43.25585390229128
720.0.	0.49001211639107206	2.429702665868007	0.9917010343989731	93.23415656631727	2.299388040100309	0.037274438949562005	1.418713067271924	27.43942516512208	2.152673473413013	7.847326526586983	4.370971080423244	984.1376580198136	1.6068247430819609	102.90239523404071	0.004966675142977	0.103105978169838	65.17094207770222	0.02605293266633	0.9956802410435011	27.829528925080464	9.636869224755703	0.32384010258021	0.6374134361484121	1085.9013972327689	8.145959759719624	204.07782378621894	33.1378765353412
760.0.	0.33556596094830204	2.348482529347254	0.9892340166616951	93.90089012138704	2.285497987768008	0.035803623964956004	1.091517190848477	28.1045712183228	2.193533676579033	7.806466323420963	4.436387556226482	997.1465935179813	1.580164202845343	102.60292274692591	0.004842540264837001	0.07852578883273101	64.93566544212332	0.024757991935014	0.757096305392095	28.265928501475308	6.686106660384594	0.31770805406636404	0.633608042456942	1089.3407202061178	6.050471546051561	210.61057201927073	25.39977301146183
800.0.	0.231628586583661	2.289887279561349	0.9872036043282041	94.38714025230624	2.275481196534259	0.034752082614538	0.8604913128572851	28.605831603695165	2.224047885502292	7.775952114497703	4.4849379304236034	1006.68427378519	1.560714615302263	102.37522543130052	0.004754458016444	0.06215526636205201	64.74883084292746	0.023838621767283002	0.5916115985311311	28.59006639104559	4.658705217022121	0.31333319862964104	0.630858837815772	1091.7233390042663	4.551124428543821	215.55663044847248	19.551282136530563
840.0.	0.16133441641039	2.247457151988414	0.9855934964392571	94.74226964720076	2.268267740245287	0.033996213893515	0.6958237147072961	28.98107409266373	2.246735849019895	7.753264150980102	4.520882723181993	1013.6577017398978	1.5465300649760252	102.20378958811716	0.004691678707551001	0.051161417119101	64.603944744177	0.023180981650236	0.475261452215525	28.83020003379636	3.266749244854707	0.310201369994805	0.628878627817229	1093.3731936569754	3.471720729724111	219.26809154946707	15.167422255429583
880.0.	0.11362049419223001	2.216636597061842	0.984345787117292	95.00192596517716	2.263077052204705	0.033450500234313	0.577586966514904	29.26070367654889	2.263557319723704	7.736442680276293	4.547453088798498	1018.7469991552686	1.5361840687696642	102.07558005103719	0.004646777957958001	0.04373268686385701	64.49325388220826	0.022707751119189	0.392580413590754	29.00782079551054	2.311557738122369	0.30795332634926303	0.627454931080013	1094.5154539943933	2.690893443845613	222.03551246364435	11.900606868654664
