time	s130	s137	s149	s153	s161	s166	s47	s48	s49	s50	s56	s60	s63	s64	s67	s71	s72	s75	s80	s81	s83	s84	s90	s91
26.0.	0	0.047633602004047	0.0013849004130150001	0.0007379349513070001	0.008118433268904001	0.022729799932793	0.00081338503401	0.000132868107585	0	0.002652379355762	0.080524048628496	0.47104637414743805	0.144724934582581	0	0.27175554909307703	0.001765347834907	0.05762281479168001	0.013795952624618002	0.9823969284142581	0.013899733646022	0.012856906538837	0.163303906453831	7.333357918211877e-05	0.9997326518201711
28.0.	0	0.047730923605194	0.0013204477183310001	0.0005775382008800001	0.007938075691554	0.021358807866964	0.0007935070281550001	0.00013996789221	0	0.00279187760712	0.08397717215240401	0.503491450523004	0.12296185592736401	0	0.28127552991687704	0.0016953714431530002	0.055604326594072	0.013992969815904002	0.981303547050792	0.014102890943653001	0.013819152821830001	0.09443630536854501	3.5323889383749875e-05	0.9997834967463051
30.0.	0	0.047916655973937	0.001229601262336	0.0004897798691830001	0.007806799153276001	0.020233266937267	0.000794642447999	0.00014696727192000002	0	0.002929272298769	0.08733233552881901	0.534539171817462	0.111747550508867	0	0.28068497114246305	0.001699126513165	0.055073387200801	0.014153143305876002	0.9802021803558321	0.014269413432228002	0.014730717413308001	0.05725497758861701	2.404143037333118e-05	0.999761106265826
32.0.	0	0.04808856206762	0.001135296640624	0.00043419155757400005	0.007703248317123001	0.019265262826527	0.000804884366408	0.000153969608748	0	0.0030665806749720003	0.09063754685769801	0.564297633550924	0.105382389320437	0	0.275686122078506	0.001734672509871	0.05515207323621701	0.014283118770233002	0.9790768524704241	0.01440594067023	0.015623907878859	0.037807311718352006	1.930809931008735e-05	0.9997093960699641
34.0.	0	0.048206061226865	0.001045740003424	0.000394021320864	0.007618096792592	0.018410026083917	0.000819288422171	0.00016105618737800002	0	0.003205385795636	0.09392850508875901	0.5928206338335581	0.101258367651661	0	0.268879025527743	0.0017857023805480001	0.05548484370297901	0.014388359879903001	0.977914117791951	0.014517911129307	0.016523810125304	0.027762692309956004	1.728099066812931e-05	0.9996405620278931
36.0.	0	0.048255307170643004	0.0009634312080600001	0.000362042373094	0.0075471082160930006	0.017642005706171002	0.0008356491000910001	0.00016829754851300003	0	0.0033470555059480003	0.09723389744581701	0.6201394733094211	0.098192067693096	0	0.261435040985799	0.0018451141033090002	0.055915717444602005	0.014473343304480002	0.9767014009070291	0.014609779496704	0.017449174499717002	0.022627790368280002	1.686129612225327e-05	0.9995608625501071
38.0.	0	0.048233555424835005	0.0008886967746480001	0.00033495631037100003	0.007488194447876	0.016944783248989	0.0008529276236280001	0.00017575922224900002	0	0.003492854401788	0.10057831151148201	0.6462765860766201	0.095639968454458	0	0.253884094430322	0.0019095846825430002	0.056372016265143	0.014541729943056001	0.975426067037873	0.014685194798568	0.018414901236494002	0.020057775784409003	1.7537145939064112e-05	0.999474738472323
40.0.	0	0.048142238260384	0.0008210771404630001	0.00031114316190100004	0.007440223758198	0.016306679416647003	0.000870608187949	0.000183506622586	0	0.003644039398465	0.103984588337811	0.6712503913577941	0.09334694641016	0	0.24646724025006903	0.001977465039553	0.056817679215073004	0.014596509457846001	0.9740745257559191	0.014747146373568	0.019434305468702003	0.018836765865608	1.8968557465422052e-05	0.999385577165213
42.0.	0	0.047983853258997004	0.000759869624331	0.000289732347729	0.0074025530587870005	0.015718718958899	0.000888418999564	0.000191610113794	0	0.0038019578772730002	0.10747595977439701	0.6950763144882021	0.091190181421734	0	0.239293219418848	0.002047885012088	0.057233293589642006	0.014640120098186	0.972631201358621	0.014798083521546001	0.020520922085713003	0.0183310492351	2.0902072970684712e-05	0.9992959528011971
44.0.	0	0.047760495451465004	0.0007043371151040001	0.00027020491480800004	0.007374853876282001	0.015173600266537001	0.0009062057074550001	0.00020015066461000002	0	0.003968156349648	0.111078138088088	0.717766140734582	0.089108806374282	0	0.23240902205244002	0.002120346968211	0.057607074861976006	0.014674547046404002	0.9710772655821481	0.014840013607922002	0.021690071570273	0.018206837837114003	2.3148508997446983e-05	0.999207816450935
46.0.	0	0.04747307108884	0.000653782868284	0.000252215805895	0.007357062386425001	0.014665110998474002	0.0009238714592950001	0.00020922675234600003	0	0.00414451233088	0.114821607515591	0.7393264617192851	0.08707138659117901	0	0.225832507048282	0.002194530288405	0.057930526047398005	0.014701402539331	0.969388956300923	0.014874582554272	0.022960494270038	0.018285861826314	2.5569408380759092e-05	0.999122681524476
48.0.	0	0.047120737722371006	0.0006075709831340001	0.00023551029084500002	0.007349391235651001	0.014187747631529002	0.0009413471841420001	0.00021896366054000003	0	0.0043334112105220006	0.11874449706447202	0.7597562928214341	0.085060410066588	0	0.21956795597633302	0.002270191036067	0.058196132723739004	0.01472199059603	0.9675351730803221	0.014903140956459001	0.024356412439159	0.018471228172772	2.806410827166933e-05	0.9990417880496861
50.0.	0	0.046700313851839	0.0005651244361960001	0.00021988182379100002	0.00735238677264	0.013736420445965	0.0009585758849610001	0.00022952710804800003	0	0.004538004865292	0.12289662322756001	0.7790435122145131	0.08306456931122001	0	0.21361380578237701	0.0023471051754740003	0.058395893726699004	0.014737358596099	0.965473808146422	0.014926798526092001	0.025910520655202003	0.018708989048620003	3.055806188388469e-05	0.9989662366671371
52.0.	0	0.046205445809075006	0.000525913007639	0.000205148171031	0.007367039350824001	0.013306173739765	0.000975503277135	0.00024114464287700003	0	0.004762616919713	0.127345695603601	0.797159308060566	0.08107461092076801	0	0.20796679524149603	0.0024250301903610003	0.058520060655815005	0.014748337254613001	0.9631458236074051	0.014946469130681001	0.027668742527735	0.018967941717042	3.299336918922116e-05	0.9988970956595311
54.0.	0	0.045625257106641004	0.000489434843292	0.000191134829681	0.007394976362088	0.012891858831546001	0.0009920707537080002	0.000254141302394	0	0.005013417312453	0.13218751818769	0.814049018313163	0.079080694966457	0	0.20262458683063603	0.002503670650224	0.058555638949956	0.014755569655541001	0.9604651564693341	0.014962908434163001	0.029698344228634002	0.019228783112807003	3.5321643537167385e-05	0.9988354917381841
56.0.	0	0.044942005142075005	0.00045519037897200006	0.00017765941922700003	0.007438803461950001	0.012487671051618	0.001008207999886	0.000269002720144	0	0.005299614346849	0.13756384103073702	0.8296160748354131	0.07707009965057601	0	0.197588027604043	0.0025826360266470003	0.058484134435529	0.014759528635048001	0.957300483403923	0.014976746025635002	0.032102705774798006	0.019478045416343	3.7498854924102736e-05	0.998782699635638
58.0.	0	0.044126778867496004	0.000422642444494	0.000164511569858	0.007502732730697001	0.012086391626322001	0.0010238224605620002	0.00028649454808400004	0	0.005635706637058001	0.143695758719457	0.8436919013121771	0.07502431865501401	0	0.192863995076636	0.0026613755309590004	0.058277657272518005	0.01476051928467	0.953439994620435	0.014988514137496	0.035050208960101005	0.019704355837455	3.948171269277005e-05	0.9987402508302431
60.0.	0	0.043131093456812	0.00039114732366700005	0.00015142028191200002	0.007593810699402	0.011677988109297	0.0010387810500580002	0.000307907174645	0	0.006046087251790001	0.150951221756311	0.855974855778262	0.072914219496788	0	0.18847014339221702	0.0027390616637690004	0.057891499694240005	0.01475865780946	0.9485176559380861	0.014998675925323002	0.038835730357054	0.019895527169041003	4.1225444396809634e-05	0.998710092511589
62.0.	0	0.04186915939951601	0.00035982021811700005	0.000137992505024	0.0077245097770460005	0.011246741788985002	0.0010528741410410001	0.000335609454658	0	0.006575427491979	0.15999507568818203	0.8658938475536401	0.07069049308679201	0	0.18444427868796	0.0028143585312470003	0.057248650029293004	0.014753803990736001	0.9418427879415121	0.015007658957306002	0.044025999733660004	0.020035174784917002	4.268380628977622e-05	0.998694851997123
64.0.	0	0.040176879058678006	0.00032724193617	0.000123585191155	0.007918716902034	0.010764700015864001	0.0010657370197360001	0.00037447096305600003	0	0.007315209266043001	0.17216445529211202	0.8722645986317631	0.06826231261542601	0	0.18086532860335	0.002884911105842	0.05620408273675501	0.014745383790382002	0.931954390465292	0.015015907757329002	0.051851602615043006	0.020096777503300002	4.381546267079463e-05	0.9986983133277081
66.0.	0	0.037706972331759	0.000290759052537	0.00010702193500600001	0.008226977015252001	0.01017510422385	0.001076661487848	0.00043617762346400004	0	0.008483483286809	0.19055894456260203	0.8722803615416481	0.06544337646508	0	0.177906304935244	0.002946086883358	0.05445270281699301	0.014731898946947002	0.9152613651265641	0.015023997872095001	0.065454676254015	0.020029810744899002	4.4613482918939485e-05	0.998726305921489
68.0.	0	0.033642784339422	0.000244817970043	8.601753214398643e-05	0.008767212898391	0.009347748729757	0.0010841248427670002	0.0005555833180820001	0	0.010720982780745	0.22382034687930902	0.8579498352421291	0.061797325977781	0	0.17598509893779202	0.002987527785917	0.051268659029261004	0.014709331839721002	0.8810676520237211	0.015032975165696	0.09471333981299301	0.019720114614891003	4.5226390057628324e-05	0.99878820534776
70.0.	0	0.026084791373951	0.000179038755178	5.710791956920771e-05	0.009801648158247	0.007986045777265001	0.001085085677537	0.0008729751536470001	0	0.016497169273706	0.30133791568085805	0.801312674261062	0.056175938313398004	0	0.176204320129057	0.0029838356887610003	0.044844514860305	0.014664460835654002	0.7902490055783311	0.015045744456970002	0.17808076764979902	0.018859664059086	4.6408899699061305e-05	0.9988976344218621
72.0.	0	0.013146775288959	9.404712332532214e-05	2.38963646858585e-05	0.011494307594563002	0.005808292656061	0.001083764675876	0.002187941963979	0	0.0376420627069	0.5254387918303081	0.600725753970479	0.045962495373013	0	0.180953422757821	0.0028864623852090003	0.032587379641585	0.014536803216739001	0.49027083936921007	0.015074997555599	0.471121288488962	0.016590455461499003	5.001938845124154e-05	0.999062994344268
74.0.	0	0.002054780467575	4.1489687806114515e-05	6.7458001073894864e-06	0.012676442793892	0.003966477835514	0.0012428202433140002	0.010834789657861001	0	0.115423095517497	0.9803088414972201	0.15887129115679302	0.030758252305264	0	0.18921552807157702	0.0027277864881680002	0.020400521696119	0.013936527723585002	0.010132761896492001	0.01520439661864	0.9897105249026951	0.012010877112646002	5.024556689458929e-05	0.9992647047121761
76.0.	0	0.000410025580258	3.7798478902984854e-05	4.534967158239023e-06	0.013402979076102	0.003994445628902	0.0032794093381500002	0.07313165177342401	0	0.24251757359793003	1.047607437836146	0.032042751568446	0.021613551550708	0	0.180183185603662	0.002891691204962	0.01927405340833	0.010406276788521001	0.009183935990544	0.016093195099794	0.9906855076439791	0.008991040058781001	3.3043359645733945e-05	0.99943096579315
78.0.	0	0.000306703139965	5.9876898652149643e-05	7.5125998504353215e-06	0.017687094647086	0.006631314500075001	0.056839638987108004	0.289074426105319	0	0.34490696927622105	0.751062468315789	0.013020227191218	0.015852885417862003	0	0.126400730134541	0.0045585282101330005	0.025832643632148003	0.002735652911134	0.014406884120192	0.020532923222531002	0.98536452746584	0.009278626298449002	2.05102131393522e-05	0.9995343567811401
80.0.	0	0.0018654821401550001	0.0029491931840190003	0.000990784082541	0.036652755685084006	0.166041138437369	0.9939485396616331	0.590034768154727	0	0.33389268043999604	0.046290924128776	0.002348021679141	0.013883901736034002	0	0.041596934613368004	0.023007312724763	0.11186952831322301	0.00051638560507	0.19973165535216902	0.031711883397677006	0.796798485471765	0.015595037255766001	1.2425793699332863e-05	0.9961288681386651
82.0.	0	0.002245373643427	0.00466747897133	0.0058554458644410005	0.013410873087661	0.8477310889841551	0.996980894336386	0.770597686691127	0	0.259028964572392	0.0032482132186530004	0.000534345629318	0.004996307318179001	0	0.005062458492636	0.170216547563168	0.31955412238347103	0.000368039059005	0.6951719260483511	0.047620175532172	0.29104834761479303	0.037278132701164	0.001547611286177	3.693990036843887e-05
84.0.	0	0.003042326444498	0.0037651456222880003	0.006655220544052	0.011240416945469001	1.265034096639319	0.9971391524964971	0.7968209250108951	0	0.18300054651800401	0.0018302956680670002	0.00048437459559700003	0.0036112068450370005	0	0.0037138195619550005	0.37502687519708805	0.5334204293179621	0.00034877031054	0.9994870158791681	0.06336267542641101	0.00019131453107	0.08742576199948901	0.0020441177473830003	3.568810445218817e-05
86.0.	0	0.003327928931636	0.0044919029213110005	0.011669909566393001	0.011674997206628	1.359700939858691	0.9964972547117691	0.681661086233294	0	0.10861908422402601	0.0017679634085140002	0.000493053945439	0.0059819795502670005	0	0.004573079154768	0.5766109760142221	0.7263189112221481	0.000393269307284	0.9997812877292821	0.07495490928533201	0.000160542517999	0.16740546842195803	0.0043831966688910005	8.114144696056894e-05
88.0.	0	0.004066875804499001	0.005219536582748	0.021605425466286	0.012814751554114	1.27213990895353	0.9933339718561701	0.43153490390779503	0	0.039265506181572006	0.0020715170954210002	0.0006445570651800001	0.011940723075706	0	0.005868525103458	0.768628102667199	0.8991263083899941	0.0005538310246640001	0.999750251371276	0.07940392296788301	0.000179499002149	0.27534452659983	0.009090453881554	0.000202132390408
90.0.	0	0.006447041536318	0.005659795757249	0.04137388156308101	0.016279017630623	1.013359758789296	0.39696387478452105	0.078288583162856	0	0.000758089353665	0.003296144427389	0.001285914253477	0.030064085264763004	0	0.007988507600316	0.939975773600852	1.041620643893818	0.0012282547736050002	0.9996169819202121	0.074612718752302	0.00026453349787900003	0.40780360134783306	0.018452304883193	0.0007551906053160001
92.0.	0	0.026124197844395004	0.002842557709496	0.041562234245795006	0.029014124443914	0.40055501925367704	0.002596323532857	1.737825267518625e-05	0	0.000361403643918	0.014921860076719001	0.013346761352554	0.104681797091939	0	0.011942864756548	0.9945006793408421	1.038290868644123	0.0036024726203330005	0.9981744836351951	0.06404813738177101	0.0010644999360990002	0.5509697581235521	0.05323772862424601	0.026931312765324
94.0.	0	0.035726913699349	0.0009468388161360001	0.017807405824667	0.022728957428318	0.152341024673184	0.002515217104743	4.133492928262068e-05	0	0.0008416629494950001	0.031316530393557	0.048965680707129006	0.20251765454454002	0	0.015258472451614002	0.9923716245261951	0.870960413628115	0.0056628310458180005	0.9955867957199871	0.05515803485651401	0.0018810949967260002	0.6784762737507241	0.09894545299280201	0.22240014063322003
96.0.	0	0.041451607682719	0.0006275492036080001	0.011751124808524001	0.018386149759577003	0.09619288243840501	0.002436886297648	5.744056567852493e-05	0	0.0011604116514720001	0.040685982748197	0.09128976978087401	0.277614049672789	0	0.018875880814766002	0.9894834929246361	0.756760275138733	0.007346482586624001	0.9937855652377641	0.047879982990638004	0.0024192190760890003	0.786572179826288	0.09430560843885101	0.5119765805510901
98.0.	0	0.043943072122842	0.000520885290367	0.008742163138569	0.015154904597062	0.069103976215155	0.00233433380745	6.91598925075082e-05	0	0.001392695712692	0.04725050612685	0.13639696888421002	0.34456523464460903	0	0.024208619545008	0.9837335722743481	0.6818783275807111	0.008722161335499001	0.992360825155685	0.041921586263064005	0.003227221350574	0.8742989444205431	0.06428414213204	0.744939408345748
100.0.	0	0.044461166206907	0.000510860517299	0.006805579546688	0.012774293398715001	0.053019356527407004	0.0021773948406400003	7.874891538032258e-05	0	0.001582813406652	0.052492318864499	0.18193086841921502	0.40280531030987304	0	0.033579649247393005	0.9674877544568281	0.6118490253048451	0.009846231096680001	0.9911152129538371	0.037043549105975	0.004352610644065	0.9365086640122341	0.035392589885393004	0.8861223937665851
102.0.	0	0.04390045547995	0.000573676421414	0.0053830302027380005	0.011015149977367002	0.042469714125582	0.0019421034126650002	8.729111038656579e-05	0	0.0017521827279410001	0.057104829154947	0.22668013747654	0.44762974437937203	0	0.05066747967315	0.911667486809392	0.5234441924424801	0.010764925563507001	0.9899453304148381	0.033049994340150005	0.0056718127092210005	0.9606359367671511	0.016087546730552002	0.9576277257835301
104.0.	0	0.042909649959529006	0.0007076541453530001	0.004226287834735	0.009720541296183001	0.035201027982574004	0.0016326156359480002	9.533391425413376e-05	0	0.0019115393635650002	0.06139894426744601	0.27000836859557603	0.46851057406942404	0	0.08080036140978501	0.7442120930092211	0.395057040981425	0.011516124663354001	0.988798678131182	0.029780572725699003	0.006986639647816001	0.92252460538296	0.0057339751687610005	0.987619149709491
106.0.	0	0.042046573644188005	0.0009505262405770001	0.0031566136112970004	0.008805074497724	0.030159442330552004	0.001272430456022	0.00010307136050300001	0	0.0020646451088390002	0.065469938783434	0.311512134044991	0.442547742571869	0	0.134469528629574	0.351201268912742	0.217179810631898	0.012130753513725001	0.9876604465679921	0.027104010915076002	0.008173186420138001	0.78730774951235	0.001514824587409	0.997218276157749
108.0.	0	0.041423093362278	0.001425935362708	0.0019089012711500002	0.008157271322778001	0.02654783081038	0.0008819064585030001	0.000110631471504	0	0.0022141238675950003	0.069409286959685	0.35125957658355805	0.32421605188554103	0	0.242335064692612	0.002029688421875	0.06750187299341101	0.012634054067194	0.9865172925705991	0.024912834769702002	0.009338545026863002	0.530649351747695	0.00028828627415500004	0.9995192350117931
110.0.	0	0.041163684405035005	0.001663946863018	0.00111338182101	0.007709628893427	0.023941077982213003	0.0007078011192280001	0.000118005387592	0	0.002359535111182	0.073148711466476	0.389286277463394	0.21990354767639703	0	0.32878459113254205	0.0014202175707960002	0.052385115082359004	0.013045974197833002	0.9853801819193351	0.02311905529578	0.010498736284162001	0.28530475137585604	5.009239577825958e-05	0.999892994228974
112.0.	0	0.041445019323174	0.0016749500677970001	0.0007442164231820001	0.007446464513380001	0.022136067726422	0.0006497426083310001	0.000125037236632	0	0.002498053366294	0.076664135164501	0.42535900297912205	0.16340992773020402	0	0.367908251912045	0.0012506375427730001	0.047581093779241	0.013382370242901	0.9842716274141801	0.021650628254272	0.01155309308393	0.13885538818065202	1.7775824305704242e-05	0.999934029764834
114.0.	0	0.041978795546550006	0.0015940555389130002	0.0005704745119840001	0.007285471216065001	0.020786136877305003	0.000635010417275	0.000131862265602	0	0.0026323675989960004	0.08003252821666901	0.45976155932580204	0.135572611538611	0	0.378956833148669	0.001209699250912	0.046057487602019005	0.013656691351689001	0.983174886276539	0.020448569912675	0.012503361402875002	0.06791852242353501	1.0424826359744459e-05	0.9999286327614101
116.0.	0	0.042576512967291	0.001483255212973	0.00048270098597400006	0.007178140583104	0.019699505689413	0.0006388157095610001	0.000138583755258	0	0.002764515070344	0.083307640286921	0.492701895885347	0.12232784811458701	0	0.376021639602357	0.001220020415856	0.045883656706467005	0.013880116148614001	0.982076695008223	0.019464591683089002	0.013391409933798	0.036471517776386006	7.4806019066204905e-06	0.9999078139294431
118.0.	0	0.043136358496375	0.0013691442316290001	0.000431340806347	0.007099661663984001	0.018775698168166002	0.0006506695949250001	0.00014529373896600002	0	0.0028963052698490004	0.08653441633688001	0.5242997042033071	0.115628004044018	0	0.36715022717879303	0.001252809623791	0.046267775318529006	0.014061854921166001	0.9809638686997901	0.018659160848892003	0.014256900409514	0.022980910795108	6.175510471115668e-06	0.9998773105975811
120.0.	0	0.043615869378393006	0.001261466361953	0.00039570764107200003	0.007038858564837	0.017963810578290003	0.000666031578321	0.000152071713795	0	0.0030292904566380004	0.08974805609781	0.554616765287632	0.11167363040235001	0	0.35612925841916104	0.001296154997051	0.046871818602455005	0.0142094664624	0.9798239581047261	0.017999913093267	0.015126506850909001	0.017288428984023	5.8460912197702895e-06	0.9998400476667981
122.0.	0	0.044002831995027004	0.0011629461801880001	0.000367486245709	0.006990852590413	0.017236530443915002	0.0006829529965450001	0.000158983786259	0	0.0031647535527180005	0.09297509086035101	0.5836885474672301	0.108840901522728	0	0.34456464575989304	0.0013450099841130002	0.047552008527301	0.014329140720765	0.97864558047086	0.017460352724956	0.016017423675751	0.014964052720980002	6.171315767469096e-06	0.9997982280382611
124.0.	0	0.044297737937875004	0.0010737029113240002	0.00034329819071300004	0.006953375986616	0.016577356555547002	0.000700593847942	0.000166086763394	0	0.0033037912295290003	0.09623630690741601	0.611540762889977	0.10646362076096401	0	0.333102935352524	0.001397215595898	0.0482465481239	0.014425940358768001	0.977417917845628	0.017018788559952	0.016941895660638	0.014110602549625002	6.928863441768076e-06	0.9997534600471801
126.0.	0	0.044505439630770006	0.000993007210733	0.00032169083320700005	0.006925240296677001	0.015974988356019	0.000718581681105	0.000173433716555	0	0.003447423542617	0.09954968747602	0.6381955280867121	0.10427144742571001	0	0.32199447496190503	0.001451835341928	0.048927741412592006	0.014504002636754	0.976129892512373	0.016657462839005002	0.017910219886675002	0.013910514699880002	7.963630549659966e-06	0.9997068333655341
128.0.	0	0.044631578256152	0.000919929250485	0.000301970651776	0.006905755774987	0.015420894226384001	0.0007367404550380001	0.000181079269654	0	0.0035966968351250003	0.10293278654258801	0.663672820138368	0.10215429597945601	0	0.311329575099804	0.0015084511457590002	0.049581960189732	0.014566706086032001	0.974769271983245	0.016361838191388003	0.018932587230227	0.014005726218154001	9.17463534538791e-06	0.9996590666514361
130.0.	0	0.044681123833864	0.0008535600227760001	0.000283754544467	0.006894523606636001	0.014908197547131002	0.0007549767281920001	0.00018908448417400003	0	0.003752777943986	0.10640463164404701	0.6879901178996051	0.100066818808377	0	0.301134252048663	0.0015668635580170002	0.050201283934547	0.014616807194047001	0.973321713611321	0.016120013985175	0.020020354101735003	0.014236113415635	1.049945612468997e-05	0.999610657565942
132.0.	0	0.044657770588042	0.000793075576361	0.00026679436556100003	0.006891370283137001	0.01443110383913	0.000773231638218	0.00019752189386000002	0	0.003917050601587	0.10998745236814701	0.711161303327778	0.097989879952683	0	0.291408844163552	0.0016269621787840002	0.050779939350329005	0.014656552021299	0.9717696381270731	0.015922248624989	0.021187161127503	0.014528257940132001	1.1899983514048581e-05	0.99956199868213
134.0.	0	0.044563624476168004	0.0007377456065600001	0.00025090551174000004	0.0068963404269500005	0.013984560611238001	0.000791460240828	0.00020648153318000002	0	0.004091230297695	0.11370857258680801	0.73319507845439	0.095914825835892	0	0.28214377309194605	0.0016886676702620002	0.05131268029597601	0.014687767001851001	0.9700907437128211	0.015760568567085	0.022450204474268	0.014847377327764002	1.3351928496656081e-05	0.999513456725555
136.0.	0	0.044398928604844005	0.0006869233386410001	0.000235935592744	0.006909722819733	0.013564013767723001	0.000809622188993	0.00021607911281400002	0	0.004277519591609	0.11760285293810802	0.754092764812828	0.09383686090183001	0	0.27332617266152404	0.0017519035824390002	0.051793913323822	0.014711932391295	0.9682558700886341	0.015628448411377	0.023831962440379002	0.015176148344776002	1.4837963190571562e-05	0.9994654249268381
138.0.	0	0.04416167382936	0.000640029530467	0.000221748643995	0.006932107621927	0.013165199926121002	0.0008276769928610001	0.00022646809829300003	0	0.004478837171082	0.121716214675954	0.773845092847767	0.09175204392792001	0	0.26494288178567704	0.0018165798248560002	0.052217040345462006	0.014730241076734001	0.966225732479802	0.015520549257529001	0.025362794820805	0.015505164131002001	1.63434827744261e-05	0.9994183594133861
140.0.	0	0.043846954918786006	0.000596534182516	0.000208215018622	0.0069644870642260005	0.012783932238511	0.000845580868302	0.00023785869206800002	0	0.004699177375261001	0.12611110819162202	0.7924272304242851	0.089655654242976	0	0.256982056548673	0.0018825791964390002	0.052573733692313	0.014743644688423001	0.9639456672161981	0.015432504894006	0.027085124384819	0.015828499416103002	1.785400740347817e-05	0.9993728086184651
