time	s130	s137	s149	s153	s161	s166	s47	s48	s49	s50	s56	s60	s63	s64	s67	s71	s72	s75	s80	s81	s83	s84	s90	s91
0.0.	0	0.0	0.0	0.0	0.0	0.0	2.117582368135751e-22	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0.	0	0.006751378738060001	0.0030564965364100003	0.0026805216867770002	0.040412457160264	0.8276543371783001	0.002778628465188	1.23774905429226e-05	0	0.00025469579432	0.009931142774919001	0.0016494126072150001	0.0026593980217030004	0	0.004317254235062001	0.217250107284843	0.338411684562738	0.0027174419055580002	0.447261647859364	0.0027192292993470004	0.001180361530676	0.026544753459105	0.0011180797770360001	8.319237519013543e-05
4.0.	0	0.035260203991567006	0.004602089937176	0.010157238459813001	0.049090935154023005	0.5599704528246351	0.002639877001377	2.3642661648223584e-05	0	0.00048296526074100005	0.017907293107659	0.012805880915112	0.016243417754496	0	0.009793928334092001	0.404808997293414	0.49167937327987205	0.00493941073587	0.85226113883453	0.004945842965047	0.0021698135302010003	0.08208117764797501	0.008063288068429	0.004450136346282
6.0.	0	0.05992630759001501	0.00320183936985	0.011286590098817	0.036423483114746004	0.272542560912551	0.002474515702654	3.7653230569295014e-05	0	0.000765408703644	0.027577822364116003	0.045167193691935004	0.049176216099510006	0	0.017258465055726	0.550723641794448	0.541738164988118	0.006755966092613	0.995190235922888	0.006769187170087	0.0033081700589260004	0.15828885601258103	0.026546423158412002	0.04552524641305301
8.0.	0	0.065873615782328	0.0017358967586810002	0.008941956539873001	0.026604822481489	0.14987622587153102	0.002373331576415	5.2631888677153504e-05	0	0.001064632346338	0.03707861667074	0.091393480598964	0.09629362923514101	0	0.022261858570036003	0.6565791356717561	0.5442270887468761	0.00824061792871	0.9934128082423401	0.008262417960438001	0.004174198315143001	0.24475942360150602	0.050620852491537006	0.16986094019102801
10.0.	0	0.06537579082299301	0.001053016065451	0.0072202285834750005	0.020697764800210003	0.098166601720823	0.002314460161768	6.530760477062093e-05	0	0.0013165004300320002	0.044547291431490006	0.14009537222034701	0.149298543869154	0	0.025323328105651	0.7377589853234271	0.5422601718964101	0.009453548247415	0.9917883606977601	0.009485348841046001	0.004616964396500001	0.334435847172358	0.064077942763685	0.367784414528876
12.0.	0	0.062707624769559	0.000742242770223	0.005968339221863001	0.016777189122359003	0.07079956878450301	0.002251676359878	7.601046631715301e-05	0	0.001528841133987	0.050612043470649	0.188383960700504	0.20443384442644702	0	0.028850650847746004	0.797805498714895	0.5363847158320111	0.010444257832484	0.9904011522913001	0.01048691532938	0.005051343673070001	0.422365279871357	0.060980714084298004	0.584951643351736
14.0.	0	0.059384258441383	0.0006084574040400001	0.004993848339454	0.014021999806649001	0.05427535412878701	0.0021575949684490003	8.533716603973334e-05	0	0.0017136806915470002	0.055754861014698	0.235186939727201	0.25818764333321403	0	0.03468618120125	0.8284538216913611	0.5171847577056611	0.011253392904696001	0.9891742140620721	0.011307199056200002	0.005743408632965	0.5023676458203671	0.04589889209726	0.768171594205698
16.0.	0	0.05603608734525001	0.000580224880511	0.004178731976487	0.012033519775826	0.043455616360078005	0.002007229330897	9.382442263425066e-05	0	0.0018817952139880002	0.060360328119562004	0.28001101619641905	0.30525507397205703	0	0.045312991303037	0.811268585807277	0.47346843816076906	0.011914317594572002	0.98803410156557	0.011979031205857001	0.006775267777447001	0.564652152730122	0.027734130959099	0.8917208814271981
18.0.	0	0.052979154216720004	0.000638499125359	0.003435805649944	0.01058684110007	0.036001890588198006	0.001779335965829	0.00010192709173300001	0	0.002042204207732	0.06470634961331001	0.32263588613394	0.336538901870421	0	0.064985571795107	0.7101969049617981	0.39229200852257	0.01245442671884	0.986917441297338	0.012529305363271001	0.008061875408246	0.5929885079341091	0.013277854609585001	0.9589628521365791
20.0.	0	0.05049424266995901	0.000790481908423	0.0026915842790420003	0.009555016380146001	0.030768398886095002	0.0014778805834830002	0.00010990294605800001	0	0.0021999140673160003	0.068918008586538	0.36295021700586105	0.33658189123075904	0	0.100448185225847	0.456320369057693	0.263785687910897	0.012896171467384001	0.9857895313364251	0.012980049987388002	0.009394724233993	0.5622901171669721	0.004827960876008001	0.987802375027865
22.0.	0	0.048871676266827	0.00109630967742	0.0018218155378170002	0.008868809513300002	0.027152374119699	0.0011251059306470002	0.000117773377917	0	0.002355278786741	0.072990601247072	0.400898801058762	0.275884108117108	0	0.16619898419620702	0.00360078910535	0.096818041080378	0.013257844784516	0.9846501365285381	0.013349303960258001	0.010637957363050001	0.44215384762221904	0.0012948185369530002	0.9971188831617611
24.0.	0	0.047864884878718005	0.0013615104525610002	0.001072392270097	0.008396879264512	0.024534949627712	0.000887063113227	0.000125514498898	0	0.0025077802656480004	0.07689850567207	0.43697637951107104	0.18901031948214603	0	0.24012058825873103	0.002045228924105	0.06368128555329901	0.013554067824301	0.9835050126851521	0.013651836097712	0.011807682687494	0.28064491864760105	0.00027190075919800003	0.9993485883665151
