	ADP	ATP	BPG	Glc	NAD	NADH	P3G	gap	pep	pyr
0	0.0	10.0	0.0	10.0	0.0	0.2	3.0	0.365	10.0	0.15
1	0.0002975426847547613	9.999702457315243	0.0010988288091329551	9.96510161467469	0.00029702077117063635	0.19970297922882937	2.9637057650943848	0.40019540609648363	9.964003307779143	0.18599669222086201
2	0.0002970602743445899	9.999702939725651	0.0011573142362675212	9.929163895364402	0.0002965473133180036	0.19970345268668202	2.9277100338148134	0.4361326519489204	9.92800709408916	0.22199290591084359
3	0.0002965662155169999	9.999703433784479	0.0012150047668088063	9.893384242047663	0.0002960532304564785	0.19970394676954356	2.891873184050394	0.47191181118279835	9.892169750265914	0.25783024973409036
4	0.0002960574252000918	9.999703942574795	0.001271853035019565	9.857745710712225	0.0002955508402957683	0.19970444915970428	2.8561783068369055	0.507549840128076	9.856474364262109	0.29352563573789564
5	0.0002955337786910136	9.999704466221305	0.0013271595577245925	9.822296117127602	0.00029504022278976076	0.19970495977721028	2.820673917347083	0.5429989230951933	9.820969451125777	0.32903054887422706
6	0.000295005660667711	9.999704994339327	0.0013811035727168755	9.787035537602705	0.000294517788001687	0.19970548221199835	2.7853599162419824	0.5782589801853015	9.785654921902651	0.36434507809735095
7	0.00029446167133540793	9.99970553832866	0.0014345926386766636	9.751965442428089	0.0002939678145879716	0.19970603218541205	2.75023688197482	0.6133285253865046	9.750531343646157	0.3994686563538461
8	0.00029389270256535704	9.99970610729743	0.0014875844270486247	9.717086863663614	0.0002934024378397712	0.19970659756216025	2.715305876798721	0.6482065387742315	9.715599769501289	0.43440023049871507
9	0.0002933156233940594	9.999706684376601	0.0015391274249021293	9.682399422480096	0.00029284231712472717	0.1997071576828753	2.6805674527380647	0.6828934198370347	9.68086076836146	0.469139231638543
10	0.00029273720746290043	9.999707262792532	0.001588881953428073	9.647902487662881	0.0002922748654645346	0.19970772513453552	2.6460213308439857	0.7173897872025877	9.646314068051451	0.503685931948553
11	0.0002921425329237911	9.99970785746707	0.0016377066025343601	9.61359688670496	0.0002916772376522465	0.1997083227623478	2.61166750286477	0.7516947905326969	9.611959645397697	0.5380403546023077
12	0.00029152064785393383	9.99970847935214	0.0016864253730619935	9.57948456577374	0.000291050598630541	0.1997089494013695	2.5775070898020456	0.785806484824894	9.577798610449902	0.5722013895501022
13	0.0002908782847556871	9.999709121715238	0.0017345591410852432	9.545566498704156	0.0002904162619942489	0.1997095837380058	2.5435415233010747	0.8197239175578414	9.543832401585833	0.606167598414171
14	0.00029023181323895936	9.999709768186754	0.0017808679503371967	9.511841735660505	0.00028978978672844404	0.1997102102132716	2.5097710779234377	0.8534480541262263	9.51006130973668	0.6399386902633246
15	0.00028958724184262454	9.99971041275815	0.0018250133383225368	9.478309171450915	0.00028916124497533566	0.1997108387550247	2.4761949968676156	0.8869799897940631	9.47648458410946	0.6735154158905432
16	0.0002889263236223229	9.99971107367637	0.0018683769620230942	9.444969766752397	0.0002884884724244761	0.19971151152757557	2.4428129013179483	0.9203187217200297	9.443101827641573	0.7068981723584308
17	0.000288213881650485	9.999711786118342	0.0019131186269921582	9.411827825368627	0.0002877437998305039	0.19971225620016952	2.409626962941804	0.9534599184312053	9.409915176823457	0.7400848231765472
18	0.0002874527496718854	9.99971254725032	0.0019586961666790675	9.378886556057498	0.0002869951073620343	0.199713004892638	2.3766408647834556	0.9864004390498667	9.37692831753313	0.7730716824668742
19	0.0002867259062905455	9.999713274093702	0.0020000553167525206	9.346141313236423	0.00028633779327194375	0.1997136622067281	2.3438549201263963	1.0191450245568527	9.34414164603269	0.8058583539673149
20	0.00028606206742446625	9.999713937932567	0.0020355697321520626	9.313584855468562	0.00028571750663451944	0.1997142824933655	2.311263568229773	1.0517008620380763	9.311549630297199	0.8384503697028043
21	0.00028538759147962435	9.999714612408512	0.002069745497786871	9.281217698303633	0.0002850139065155869	0.19971498609348445	2.2788629388993282	1.0840673156028862	9.279148326490809	0.8708516735091939
22	0.00028459557718750375	9.999715404422805	0.0021093264812369872	9.249051417569193	0.0002841413113096573	0.19971585868869038	2.2466579497766443	1.11623272374212	9.246942545353834	0.9030574546461699
23	0.00028368223938065625	9.999716317760612	0.002154248981646292	9.217097235931892	0.0002831995019925819	0.19971680049800747	2.2146597874482508	1.1481859635701042	9.214943469687633	0.9350565303123705
24	0.0002827928137741023	9.999717207186219	0.002195387408854512	9.185350376220917	0.000282401299407455	0.1997175987005926	2.182872587512653	1.1799320250784937	9.18315538032643	0.9668446196735747
25	0.0002820591183949808	9.999717940881597	0.0022250334173089348	9.153792362102493	0.00028179040773859183	0.1997182095922615	2.1512855382774423	1.2114894283052502	9.15156759739584	0.9984324026041648
26	0.0002814120437975747	9.999718587956194	0.002247687983176902	9.12241374941421	0.00028115033495179447	0.1997188496650483	2.1198849110960802	1.2428674009207445	9.120166323139879	1.0298336768601244
27	0.00028054641450594075	9.999719453585486	0.002281562776286925	9.091238323470975	0.0002800754510136431	0.19971992454898646	2.0886766852436724	1.2740417519800422	9.08895723165818	1.0610427683418238
28	0.00027937126153858137	9.999720628738453	0.002331470504581055	9.060297387557572	0.0002787728796654069	0.1997212271203347	2.0576871441733235	1.304981385322097	9.057966515434863	1.09203348456514
29	0.00027839155796322235	9.999721608442028	0.002367291902745652	9.029565907403393	0.0002781411447312883	0.1997218588552688	2.0269204743559146	1.3357122337413414	9.02719886591388	1.1228011340861241
