	e	ez	w	z
0	0.0	0.0	0.0	2.4e-05
1	1.1307023136790708e-07	1.8178332514294681e-09	1.1488806461933655e-07	2.3883294102129235e-05
2	2.2263637197815662e-07	6.608229653160494e-09	2.2924460163131713e-07	2.3764147168715523e-05
3	3.2859298373202395e-07	1.4434480275945882e-08	3.4302746400796987e-07	2.3642538055716086e-05
4	4.3105596337005225e-07	2.517186015614034e-08	4.5622782352619264e-07	2.351860031631767e-05
5	5.30158088803084e-07	3.8677783520911966e-08	5.688358723239961e-07	2.3392486344155092e-05
6	6.260177956965917e-07	5.482540198023704e-08	6.808431976768289e-07	2.3264331400342935e-05
7	7.187493873234923e-07	7.349264402267121e-08	7.922420313461636e-07	2.3134265324631165e-05
8	8.084637898390435e-07	9.456130346203617e-08	9.030250933010798e-07	2.3002413603236883e-05
9	8.952683512292574e-07	1.179172716016539e-07	1.0131856228309114e-06	2.2868897105567433e-05
10	9.792670669913187e-07	1.4345026924503964e-07	1.1227173362363585e-06	2.27338323945186e-05
11	1.0605602119313435e-06	1.7105425823436023e-07	1.231614470165704e-06	2.2597331271599935e-05
12	1.139244854354119e-06	2.0062684591634738e-07	1.3398717002704664e-06	2.2459501453813182e-05
13	1.2154148055173991e-06	2.3206933445865755e-07	1.4474841399760567e-06	2.2320446525565282e-05
14	1.2891606648279261e-06	2.6528666565648096e-07	1.5544473304844072e-06	2.2180266003859108e-05
15	1.360569917015383e-06	3.001873031193847e-07	1.6607572201347677e-06	2.2039055476745844e-05
16	1.4297270105313008e-06	3.3668313811971373e-07	1.7664101486510148e-06	2.189690671322927e-05
17	1.4967134393386168e-06	3.746893920308427e-07	1.8714028313694597e-06	2.1753907776599696e-05
18	1.5616078258051e-06	4.1412451795632024e-07	1.9757323437614205e-06	2.1610143138282255e-05
19	1.6244860012023204e-06	4.5491010570432134e-07	2.079396106906642e-06	2.1465693787389032e-05
20	1.6854210946768844e-06	4.969707772166163e-07	2.182391871893501e-06	2.1320637350889878e-05
21	1.7444836080935688e-06	5.402340990848633e-07	2.2847177071784324e-06	2.11750481937367e-05
22	1.801741500452597e-06	5.846304839924715e-07	2.386371984445069e-06	2.1028997531562455e-05
23	1.8572602676253004e-06	6.300930980884983e-07	2.487353365713799e-06	2.0882553536197697e-05
24	1.9111030218218744e-06	6.765577688587437e-07	2.5876607906806186e-06	2.0735781440460633e-05
25	1.9633305695479796e-06	7.239628950183454e-07	2.6872934645663255e-06	2.0588743640415322e-05
26	2.0140014882330696e-06	7.722493581436863e-07	2.7862508463767566e-06	2.044149979547955e-05
27	2.0631722013618913e-06	8.213604362214552e-07	2.884532637583347e-06	2.0294106926195192e-05
28	2.1108970520199666e-06	8.712417191918034e-07	2.982138771211771e-06	2.014661950959642e-05
29	2.1572283747787423e-06	9.218410265496741e-07	3.0790694013284173e-06	1.9999089572121902e-05
30	2.2022165658604183e-06	9.73108327053746e-07	3.1753248929141654e-06	1.985156678003208e-05
31	2.2459101515362553e-06	1.0249956605785193e-06	3.2709058121147757e-06	1.9704098527306698e-05
32	2.2883558547244242e-06	1.0774570621327584e-06	3.3658129168571837e-06	1.955673002101005e-05
33	2.32959865976434e-06	1.1304484880565879e-06	3.4600471478209286e-06	1.9409504364122475e-05
34	2.369681875354113e-06	1.183927744399879e-06	3.553609619753993e-06	1.926246263584612e-05
35	2.408647195680859e-06	1.2378544174353552e-06	3.646501613116215e-06	1.9115643969448424e-05
36	2.4465347595729384e-06	1.292189806497866e-06	3.738724566070805e-06	1.896908562743132e-05
37	2.4833832080307552e-06	1.346896858720185e-06	3.830280066750941e-06	1.882282307452887e-05
38	2.519229739812175e-06	1.4019401060407758e-06	3.921169845852952e-06	1.8676890048106267e-05
39	2.5541101652400146e-06	1.4572856042777138e-06	4.011395769517729e-06	1.8531318626204552e-05
40	2.5880589582599013e-06	1.5129008742320035e-06	4.100959832491905e-06	1.8386139293276085e-05
41	2.621109306743965e-06	1.568754844819098e-06	4.189864151563063e-06	1.8241381003617833e-05
42	2.6532931610897983e-06	1.62481779816734e-06	4.278110959257139e-06	1.8097071242575515e-05
43	2.6846412811421053e-06	1.6810613166475183e-06	4.365702597789624e-06	1.795323608556285e-05
44	2.7151832814735457e-06	1.737458231787753e-06	4.452641513261299e-06	1.780990025495094e-05
45	2.7449476750659678e-06	1.7939825750230523e-06	4.538930250089021e-06	1.766708717488792e-05
46	2.7739619154254414e-06	1.8506095302387726e-06	4.624571445664215e-06	1.7524819024097004e-05
47	2.80225243717669e-06	1.9073153880527156e-06	4.709567825229406e-06	1.738311678671787e-05
48	2.829844695175966e-06	1.9640775017892255e-06	4.793922196965192e-06	1.7242000301245576e-05
49	2.8567632021834716e-06	2.020874245096274e-06	4.877637447279746e-06	1.7101488307623975e-05
50	2.8830315651381623e-06	2.0776849711548938e-06	4.960716536293057e-06	1.6961598492552042e-05
51	2.9086725200762275e-06	2.134489973432336e-06	5.043162493508564e-06	1.6822347533059093e-05
52	2.933707965735356e-06	2.191270447929604e-06	5.124978413664959e-06	1.6683751138405428e-05
53	2.9581589958863653e-06	2.24800845687484e-06	5.206167452761205e-06	1.6545824090363947e-05
54	2.9820459304333136e-06	2.30468689381475e-06	5.286732824248063e-06	1.640858028193718e-05
55	3.005388345322882e-06	2.3612894500567544e-06	5.366677795379637e-06	1.6272032754563604e-05
56	3.0282051013031063e-06	2.417800582415552e-06	5.446005683718658e-06	1.6136193733865785e-05
57	3.0505143715708888e-06	2.4742054822185986e-06	5.524719853789487e-06	1.600107466399191e-05
58	3.0723336683469997e-06	2.530490045525985e-06	5.602823713872983e-06	1.5866686240601027e-05
59	3.093679868416419e-06	2.5866408445212135e-06	5.680320712937631e-06	1.573303844254115e-05
60	3.114569237671065e-06	2.642645100030448e-06	5.757214337701511e-06	1.5600140562268035e-05
61	3.135017454691038e-06	2.698490655128864e-06	5.833508109819901e-06	1.546800123505123e-05
62	3.155039633399578e-06	2.7541659497938997e-06	5.9092055831934764e-06	1.5336628467012616e-05
63	3.1746503448260373e-06	2.8096599965662666e-06	5.984310341392302e-06	1.5206029662041422e-05
64	3.193863638010148e-06	2.864962357180785e-06	6.058825995190931e-06	1.5076211647628274e-05
65	3.212693060079957e-06	2.9200631201302113e-06	6.1327561802101665e-06	1.4947180699659613e-05
66	3.2311516755347897e-06	2.974952879126387e-06	6.206104554661175e-06	1.4818942566212428e-05
67	3.2492520847636504e-06	3.0296227124241657e-06	6.278874797187815e-06	1.4691502490388009e-05
68	3.2670064418285157e-06	3.084064162974697e-06	6.351070604803212e-06	1.4564865232222081e-05
69	3.2844264715409346e-06	3.1382692193758195e-06	6.422695690916754e-06	1.4439035089707417e-05
70	3.3015234858595873e-06	3.1922302975882523e-06	6.493753783447839e-06	1.4314015918963898e-05
71	3.31830839963529e-06	3.245940223387572e-06	6.564248623022862e-06	1.4189811153589556e-05
72	3.334791745729166e-06	3.2993922155228645e-06	6.63418396125203e-06	1.4066423823225095e-05
73	3.3509836895287665e-06	3.352579869554025e-06	6.703563559082791e-06	1.3943856571363174e-05
74	3.366894042886011e-06	3.4054971423407006e-06	6.772391185226711e-06	1.3822111672432578e-05
75	3.3825322774999916e-06	3.4581383371568553e-06	6.840670614656847e-06	1.3701191048186289e-05
76	3.397907537766812e-06	3.51049808940589e-06	6.9084056271727015e-06	1.35810962834214e-05
77	3.4130286531178234e-06	3.5625713529122065e-06	6.975600006030029e-06	1.3461828641057755e-05
78	3.427904149866821e-06	3.6143533867660013e-06	7.042257536632821e-06	1.3343389076601169e-05
79	3.442542262585974e-06	3.6658397426989628e-06	7.108382005284935e-06	1.3225778252016093e-05
80	3.4569509450295237e-06	3.717026252969415e-06	7.173977197998938e-06	1.3108996549031639e-05
81	3.471137880623536e-06	3.7679090187362646e-06	7.2390468993598e-06	1.2993044081903927e-05
82	3.485110492539295e-06	3.818484398901927e-06	7.30359489144122e-06	1.2877920709656843e-05
83	3.4988759533656624e-06	3.868748999406961e-06	7.3676249527726205e-06	1.2763626047820408e-05
84	3.5124411943900423e-06	3.918699662965576e-06	7.431140857355612e-06	1.2650159479678775e-05
85	3.525812914560578e-06	3.968333459159868e-06	7.494146373720437e-06	1.2537520167119632e-05
86	3.5389975890278584e-06	4.01764767500801e-06	7.556645264035858e-06	1.2425707060956067e-05
87	3.5520014773507015e-06	4.066639805910331e-06	7.618641283261022e-06	1.231471891082858e-05
88	3.5648306314418416e-06	4.115307546889133e-06	7.680138178330964e-06	1.2204554274779837e-05
89	3.577490903155551e-06	4.163648784230748e-06	7.741139687386288e-06	1.2095211528382897e-05
90	3.589987951582293e-06	4.2116615874577344e-06	7.801649539040017e-06	1.1986688873502182e-05
91	3.6023272500615892e-06	4.259344201618933e-06	7.861671451680513e-06	1.187898434670049e-05
92	3.6145140929171166e-06	4.306695039891599e-06	7.921209132808706e-06	1.1772095827299627e-05
93	3.6265536019415837e-06	4.3537126764658285e-06	7.980266278407403e-06	1.1666021045126702e-05
94	3.638450732613743e-06	4.400395839730257e-06	8.03884657234399e-06	1.1560757587925687e-05
95	3.650210279992211e-06	4.446743405821431e-06	8.096953685813633e-06	1.1456302908364871e-05
96	3.6618368846098406e-06	4.4927543921738765e-06	8.154591276783708e-06	1.1352654331042351e-05
97	3.673335037924171e-06	4.538427951568727e-06	8.211762989492887e-06	1.1249809058938321e-05
98	3.6847090876075387e-06	4.58376336636142e-06	8.268472453968949e-06	1.1147764179669566e-05
99	3.6959632426702505e-06	4.628760042901222e-06	8.32472328557146e-06	1.104651667152725e-05
100	3.707101578363015e-06	4.673417506195908e-06	8.38051908455891e-06	1.0946063409245113e-05
