time	Ln_	NRLc	NRLm	NRLn	NRc	NRm	NRn	RE	REL
0.0.	0.0	0.0	0.0	0.0	42.0	42.0	83.25	3.7	0.0
0.0.3.0	0.0013314303565810002	0.2012439228509	0.07425258478705801	0.087577193421547	41.79875607714904	41.92574741521288	82.88043039746239	3.418007590883999	0.28199240911599904
0.0.6.0	0.002325169631801	0.20330936111663603	0.11043989452187501	0.17569935096855602	41.79669063888331	41.88956010547809	82.53145518363397	3.157154534602579	0.5428454653974191
0.0.8999999999999999.0	0.0031000218852400003	0.20492657388726002	0.138747695743728	0.24387218310816702	41.795073426112715	41.861252304256254	82.28710811867485	2.9809803017831302	0.7190196982168681
1.0.2.0	0.0036757136300130003	0.2061382050455	0.159907063991878	0.294168716515177	41.79386179495448	41.84009293600811	82.11891686034988	2.863085576865136	0.8369144231348621
1.0.5.0	0.004089072372094001	0.20701320452121302	0.17516309425631102	0.330109221834816	41.792986795478775	41.82483690574368	82.00428364983404	2.784392871668921	0.915607128331077
1.0.7999999999999998.0	0.004379050621124	0.20762941844488303	0.185895359429211	0.35523987081365205	41.792370581555105	41.81410464057078	81.92665034309603	2.731890213909733	0.9681097860902641
2.0.1.0	0.004579311956298	0.208056088101977	0.193320980339303	0.37255710183996504	41.79194391189802	41.80667901966069	81.8742923639919	2.696849465831921	1.003150534168076
2.0.4.0	0.004716167302483001	0.20834817376508602	0.19840184288312201	0.38437389601876604	41.7916518262349	41.801598157116864	81.83907674419426	2.67345064021309	1.026549359786907
2.0.6999999999999997.0	0.004809035639345	0.20854660936548602	0.20185251463905002	0.39238466004847805	41.7914533906345	41.79814748536094	81.81543346167138	2.657818121719915	1.042181878280081
3.0.	0.004871758643794	0.20868073598067302	0.20418437879207602	0.39779150341607206	41.79131926401931	41.7958156212079	81.79957856784127	2.6473700712574173	1.052629928742579
3.0.3.0	0.004913988225082	0.20877108625860602	0.20575493579158202	0.40143015034409	41.791228913741364	41.79424506420839	81.78895487861611	2.640385028960286	1.059614971039711
3.0.5999999999999996.0	0.004942360277628	0.208831809309438	0.20681037915694803	0.40387405438316504	41.791168190690534	41.79318962084304	81.78184014654285	2.635714200926116	1.064285799073882
3.0.9.0	0.0049613952406790006	0.20887255814639002	0.20751859868813002	0.40551335494516805	41.79112744185359	41.792481401311846	81.77707705303253	2.63259040797782	1.067409592022178
4.0.2.0	0.004974153853694	0.20889987519316103	0.207993351176977	0.40661198606609006	41.791100124806825	41.792006648823005	81.77388905712495	2.630501043191144	1.069498956808854
4.0.5.0	0.004982700204552	0.208918175394808	0.20831138737276703	0.40734783770515903	41.79108182460518	41.791688612627226	81.77175562752979	2.629103465235085	1.070896534764913
4.0.8.0	0.004988422556426	0.208930429447154	0.20852434432551803	0.407840509934271	41.79106957055283	41.791475655674475	81.77032807083259	2.628168580766971	1.071831419233027
5.0.1.0	0.004992252970313	0.208938632413909	0.20866689763450802	0.40817028044534	41.79106136758609	41.791333102365485	81.7693729067381	2.627543187183554	1.072456812816444
5.0.3999999999999995.0	0.00499481647883	0.208944122427792	0.20876230369275703	0.408390973787397	41.791055877572184	41.79123769630723	81.76873384581354	2.627124819601039	1.072875180398958
5.0.7.0	0.004996531892689	0.208947796236812	0.20882614716768802	0.40853865171486203	41.791052203763186	41.7911738528323	81.76830628988854	2.626844941603507	1.07315505839649
6.0.	0.004997679692975	0.208950254452581	0.20886886588682002	0.408637463282625	41.79104974554741	41.79113113411317	81.76802024480196	2.626657708084704	1.073342291915291
6.0.3.0	0.004998447653979001	0.208951899191085	0.208897447973483	0.40870357480243	41.79104810080892	41.79110255202651	81.7678288765163	2.6265324513188713	1.073467548681126
6.0.6.0	0.004998961455713	0.20895299960468003	0.208916570807256	0.40874780625538604	41.791047000395324	41.791083429192746	81.76770084957579	2.626448655831319	1.07355134416868
6.0.8999999999999995.0	0.004999305204334	0.20895373581710902	0.208929364588883	0.408777398304821	41.79104626418289	41.79107063541112	81.76761519904802	2.626392597353009	1.073607402646989
7.0.199999999999999.0	0.004999535178475001	0.208954228358112	0.20893792388071303	0.408797195881807	41.7910457716419	41.791062076119296	81.7675578987479	2.626355094629891	1.073644905370107
7.0.5.0	0.0049996890336550005	0.20895455787396502	0.20894365014683103	0.40881044065300304	41.791045442126034	41.79105634985316	81.76751956488985	2.626330005543029	1.073669994456968
7.0.8.0	0.004999791963649	0.208954778322226	0.20894748105496003	0.408819301471038	41.79104522167774	41.79105251894502	81.76749391961552	2.626313221086771	1.073686778913226
8.0.1.0	0.0049998608240540005	0.20895492580274602	0.20895004394289401	0.40882522937456905	41.791045074197214	41.79104995605708	81.76747676299995	2.6263019923747013	1.073698007625294
8.0.4.0	0.004999906891668	0.208955024467276	0.208951758515722	0.408829195140399	41.79104497553268	41.791048241484226	81.76746528528253	2.626294480423115	1.073705519576879
8.0.7.0	0.0049999377108340005	0.208955090473725	0.20895290556272403	0.408831848231047	41.79104490952623	41.791047094437225	81.76745760673298	2.626289454964213	1.0737105450357811
9.0.	0.00499995832878	0.20895513463188703	0.20895367293445002	0.408833623141706	41.79104486536807	41.7910463270655	81.76745246981429	2.626286092956194	1.073713907043802
9.0.299999999999999.0	0.00499997212212	0.20895516417356202	0.20895418630376503	0.408834810551143	41.79104483582639	41.791045813696186	81.76744903323727	2.626283843788617	1.073716156211379
9.0.6.0	0.004999981349814	0.208955183936838	0.208954529746004	0.40883560492367904	41.791044816063106	41.79104547025394	81.76744673418207	2.626282339105956	1.07371766089404
9.0.9.0	0.004999987523106	0.208955197158392	0.208954759507526	0.40883613635575106	41.79104480284154	41.7910452404924	81.76744519612419	2.626281332480192	1.073718667519803
10.0.2.0	0.004999991653012	0.20895520600355802	0.20895491321704002	0.40883649188159704	41.79104479399638	41.79104508678288	81.76744416717034	2.626280659052175	1.073719340947819
10.0.5.0	0.004999994415902	0.20895521192093702	0.20895501604805203	0.408836729726865	41.79104478807898	41.79104498395186	81.76744347880484	2.6262802085319112	1.073719791468083
10.0.799999999999999.0	0.004999996264263	0.20895521587963703	0.208955084841552	0.408836888844309	41.791044784120274	41.79104491515836	81.76744301829135	2.62627990713591	1.073720092864084
11.0.1.0	0.004999997500809	0.208955218527991	0.2089551308641	0.408836995293174	41.791044781471925	41.79104486913582	81.7674427102099	2.626279705503359	1.073720294496635
11.0.4.0	0.004999998328052001	0.20895522029972702	0.208955161652979	0.40883706650699003	41.79104477970019	41.79104483834693	81.76744250410479	2.6262795706121	1.073720429387894
11.0.7.0	0.004999998881474	0.20895522148501103	0.20895518225060203	0.40883711414871304	41.791044778514895	41.79104481774931	81.7674423662214	2.62627948037046	1.073720519629533
12.0.	0.004999999251711001	0.20895522227796	0.208955196030318	0.408837146020811	41.79104477772194	41.79104480396959	81.76744227397805	2.626279419999214	1.073720580000779
12.0.299999999999999.0	0.004999999499398	0.20895522280844	0.20895520524888603	0.40883716734310005	41.791044777191466	41.791044794751016	81.76744221226762	2.626279379611125	1.073720620388868
12.0.6.0	0.004999999665099001	0.208955223163329	0.20895521141606702	0.408837181607615	41.79104477683658	41.79104478858384	81.76744217098366	2.626279352591676	1.073720647408316
12.0.9.0	0.004999999775953	0.20895522340074701	0.208955215541883	0.40883719115051104	41.79104477659916	41.79104478445802	81.76744214336489	2.626279334515788	1.073720665484204
13.0.2.0	0.004999999850113001	0.20895522355957902	0.208955218302035	0.408837197534666	41.79104477644032	41.79104478169786	81.76744212488805	2.626279322423099	1.073720677576893
13.0.5.0	0.004999999899726	0.20895522366583702	0.20895522014856502	0.40883720180563804	41.79104477633406	41.79104477985134	81.76744211252718	2.626279314333143	1.073720685666849
13.0.799999999999999.0	0.004999999932916	0.20895522373692302	0.20895522138386902	0.40883720466286305	41.79104477626297	41.791044778616026	81.76744210425785	2.6262793089210703	1.073720691078923
14.0.1.0	0.0049999999551240005	0.20895522378448603	0.20895522221040702	0.408837206574621	41.79104477621541	41.79104477778949	81.76744209872491	2.62627930529987	1.073720694700123
14.0.399999999999999.0	0.004999999969981001	0.20895522381630502	0.208955222763365	0.408837207853597	41.791044776183575	41.79104477723653	81.76744209502334	2.6262793028772693	1.073720697122725
14.0.7.0	0.004999999979920001	0.20895522383759002	0.20895522313325202	0.40883720870913703	41.7910447761623	41.791044776866634	81.76744209254728	2.626279301256731	1.073720698743264
15.0.	0.004999999986568001	0.20895522385182802	0.208955223380679	0.408837209281428	41.79104477614806	41.79104477661921	81.76744209089095	2.626279300172713	1.073720699827282
15.0.299999999999999.0	0.004999999991015001	0.208955223861353	0.208955223546189	0.408837209664248	41.791044776138534	41.791044776453695	81.76744208978302	2.626279299447586	1.073720700552409
15.0.6.0	0.00499999999399	0.20895522386772503	0.208955223656929	0.408837209920387	41.79104477613216	41.79104477634296	81.76744208904171	2.626279298962414	1.07372070103758
15.0.899999999999999.0	0.0049999999959800005	0.208955223871987	0.208955223730997	0.40883721009170504	41.7910447761279	41.791044776268876	81.76744208854589	2.62627929863791	1.073720701362086
16.0.2.0	0.004999999997311	0.208955223874838	0.20895522378053802	0.40883721020628905	41.791044776125055	41.791044776219344	81.76744208821425	2.626279298420866	1.073720701579129
16.0.5.0	0.004999999998201001	0.208955223876745	0.20895522381367201	0.408837210282929	41.791044776123144	41.791044776186205	81.76744208799245	2.626279298275697	1.073720701724298
16.0.8.0	0.004999999998794	0.20895522387801402	0.208955223835728	0.40883721033394205	41.79104477612188	41.79104477616416	81.7674420878448	2.62627929817907	1.073720701820926
17.0.099999999999998.0	0.004999999999187	0.208955223878855	0.20895522385034201	0.408837210367745	41.791044776121026	41.791044776149555	81.76744208774696	2.6262792981150422	1.073720701884954
17.0.4.0	0.004999999999451	0.208955223879422	0.20895522386019602	0.40883721039053805	41.791044776120465	41.79104477613971	81.76744208768096	2.626279298071867	1.073720701928127
17.0.7.0	0.00499999999963	0.208955223879804	0.208955223866841	0.40883721040590704	41.79104477612008	41.79104477613305	81.76744208763651	2.626279298042756	1.073720701957238
18.0.	0.00499999999975	0.20895522388006202	0.208955223871321	0.408837210416269	41.79104477611982	41.79104477612855	81.76744208760653	2.6262792980231273	1.073720701976867
18.0.3.0	0.004999999999831001	0.20895522388023602	0.208955223874342	0.40883721042325705	41.79104477611965	41.79104477612554	81.76744208758632	2.626279298009892	1.073720701990103
18.0.599999999999998.0	0.004999999999886	0.208955223880353	0.20895522387637902	0.40883721042796806	41.79104477611952	41.791044776123485	81.76744208757265	2.6262792980009673	1.073720701999027
18.0.9.0	0.004999999999923	0.20895522388043203	0.208955223877753	0.408837210431145	41.79104477611945	41.79104477612213	81.76744208756347	2.62627929799495	1.073720702005045
19.0.2.0	0.004999999999948	0.208955223880486	0.20895522387867901	0.408837210433287	41.79104477611938	41.791044776121204	81.76744208755727	2.626279297990892	1.073720702009102
19.0.5.0	0.004999999999965	0.208955223880521	0.20895522387930301	0.40883721043473203	41.79104477611935	41.79104477612055	81.76744208755308	2.6262792979881553	1.073720702011837
19.0.8.0	0.004999999999976	0.20895522388054602	0.208955223879724	0.40883721043570603	41.791044776119314	41.791044776120124	81.76744208755031	2.626279297986311	1.073720702013682
20.0.099999999999998.0	0.004999999999984001	0.208955223880562	0.208955223880008	0.408837210436362	41.79104477611931	41.79104477611985	81.76744208754843	2.626279297985066	1.073720702014926
20.0.4.0	0.004999999999989	0.20895522388057303	0.20895522388020002	0.40883721043680504	41.79104477611931	41.79104477611967	81.7674420875471	2.626279297984227	1.073720702015765
20.0.7.0	0.004999999999992	0.20895522388058102	0.20895522388032903	0.408837210437104	41.79104477611931	41.79104477611955	81.76744208754621	2.626279297983663	1.07372070201633
21.0.	0.004999999999995001	0.20895522388058602	0.208955223880416	0.40883721043730503	41.79104477611931	41.79104477611948	81.7674420875456	2.626279297983282	1.073720702016712
21.0.3.0	0.004999999999996001	0.208955223880589	0.20895522388047502	0.40883721043744103	41.79104477611931	41.79104477611941	81.76744208754519	2.6262792979830243	1.073720702016969
21.0.599999999999998.0	0.004999999999997001	0.208955223880591	0.20895522388051402	0.408837210437532	41.79104477611931	41.791044776119385	81.76744208754491	2.626279297982852	1.073720702017142
21.0.9.0	0.004999999999998	0.208955223880593	0.20895522388054102	0.408837210437594	41.79104477611931	41.79104477611937	81.76744208754475	2.626279297982734	1.073720702017259
22.0.2.0	0.004999999999998	0.208955223880594	0.208955223880559	0.40883721043763505	41.79104477611931	41.79104477611936	81.76744208754461	2.626279297982656	1.073720702017337
22.0.5.0	0.004999999999999	0.208955223880595	0.20895522388057103	0.408837210437663	41.79104477611931	41.79104477611936	81.76744208754448	2.626279297982604	1.07372070201739
22.0.8.0	0.004999999999999	0.208955223880595	0.20895522388057902	0.408837210437682	41.79104477611931	41.79104477611935	81.76744208754448	2.626279297982568	1.073720702017426
23.0.099999999999998.0	0.004999999999999	0.208955223880595	0.20895522388058502	0.40883721043769505	41.79104477611931	41.79104477611935	81.76744208754448	2.626279297982543	1.07372070201745
23.0.4.0	0.004999999999999	0.208955223880596	0.20895522388058801	0.40883721043770305	41.79104477611931	41.79104477611934	81.76744208754448	2.626279297982526	1.073720702017466
23.0.7.0	0.004999999999999	0.208955223880596	0.208955223880591	0.40883721043770904	41.79104477611931	41.79104477611934	81.76744208754448	2.626279297982515	1.073720702017478
24.0.	0.004999999999999	0.208955223880596	0.208955223880593	0.40883721043771304	41.79104477611931	41.79104477611934	81.76744208754448	2.626279297982507	1.073720702017485
