time	Ln_	NR	NRLc	NRLn	NRc	RE	REL
3.0.3.0	0.020580666529825	198.7944301163334	0.22788381442718403	4.110099691029496	47.7416907245433	0.7245087749361631	2.9754912250638372
3.0.5999999999999996.0	0.021955731335441	198.85668056974316	0.22752035344720903	4.386462613487495	47.63293017499015	0.687250558968136	3.012749441031864
3.0.9.0	0.023172897944442	198.92924321417485	0.22717836773892502	4.631638015215978	47.532321117415535	0.657268344932147	3.042731655067853
4.0.2.0	0.024245958033515	199.0096750492913	0.22685665252967802	4.8483312527915245	47.43929690501489	0.6328685558571321	3.067131444142868
4.0.5.0	0.025189017857821003	199.09583927341765	0.226554175524797	5.039304510248297	47.35331977347116	0.612820719106543	3.087179280893457
4.0.8.0	0.026015772763801	199.18589616845753	0.226270005893936	5.207236882999589	47.2738824827181	0.5962138455756231	3.103786154424378
5.0.1.0	0.026739109925700003	199.27828315502134	0.22600327310984802	5.354648388675296	47.20050868713962	0.58236162901109	3.117638370988911
5.0.3999999999999995.0	0.027370912666126002	199.37168963884656	0.22575314389790402	5.483862963086143	47.13275250981235	0.570738742501239	3.129261257498762
5.0.7.0	0.027921987615157	199.465030036924	0.22551881009777403	5.596995041408953	47.07019762492307	0.560937243416158	3.139062756583842
6.0.	0.028402065520531	199.5574169855659	0.22529948301378702	5.695950175501019	47.01245604507554	0.5526362022751541	3.147363797724848
6.0.3.0	0.028819844839237004	199.64813586965585	0.225094391527971	5.782433738923141	46.95916674205313	0.5455801798146951	3.154419820185306
6.0.6.0	0.029183058693996	199.73662127477945	0.22490278229516902	5.857964005932567	46.90999418572622	0.5395637261311841	3.160436273868817
6.0.8999999999999995.0	0.029498553010523003	199.8224356305823	0.22472392098864102	5.923887291035168	46.864626857106884	0.5344200461810731	3.165579953818926
7.0.199999999999999.0	0.029772368260519003	199.90525010952763	0.22455709397053603	5.981393721167954	46.82277577252734	0.5300125930896821	3.169987406910318
7.0.5.0	0.030009820193026	199.98482772326847	0.22440161001682202	6.031532776461194	46.78417304313142	0.526228749475129	3.173771250524872
7.0.8.0	0.030215576842297004	200.06100848937288	0.22425680188698702	6.075228096127	46.74857048517616	0.522975018730244	3.177024981269757
8.0.1.0	0.030393730327866002	200.1336965051067	0.22412202762972303	6.11329127667474	46.715738290678956	0.52017332263536	3.179826677364641
8.0.4.0	0.030547862749047004	200.20284875008747	0.22399667157850703	6.146434536472527	46.68546376382837	0.517758119641063	3.182241880358938
8.0.7.0	0.030681105973909002	200.26846543788287	0.2238801450292	6.175282212999284	46.65755012572635	0.515674139053115	3.184325860946885
9.0.	0.030796195430593004	200.3305817428161	0.22377188661427003	6.200381115874556	46.63181538805416	0.513874582561735	3.186125417438265
9.0.299999999999999.0	0.030895518191642	200.38926073896204	0.22367136240059501	6.222209792219054	46.60809129489551	0.5123196841031831	3.187680315896818
9.0.6.0	0.030981155742663004	200.44458740135875	0.22357806574371802	6.241186779174875	46.58622233102473	0.5109755471938571	3.189024452806146
9.0.9.0	0.031054921873817004	200.49666353340328	0.22349151693333003	6.257677926846325	46.566064794353906	0.5098131991412971	3.190186800858706
10.0.2.0	0.031118396145475003	200.5456034983544	0.22341126266417402	6.272002877065625	46.54748592983892	0.5088078162774451	3.191192183722558
10.0.5.0	0.031172953370698003	200.59153064628507	0.22333687536451302	6.2844407816096375	46.53036312191069	0.507938085189475	3.192061914810528
10.0.799999999999999.0	0.031219789535597002	200.6345743404019	0.223267952411543	6.295235339371837	46.51458314237943	0.50718567295626	3.192814327043743
11.0.1.0	0.031259944549891006	200.67486749821782	0.22320411525996603	6.304599226573677	46.50004145072215	0.506534785410254	3.193465214589749
11.0.4.0	0.031294322187778	200.71254457356744	0.22314500850674002	6.312717988069547	46.48664154368652	0.505971796983131	3.194028203016872
11.0.7.0	0.031323707546128	200.74773991489843	0.22309029891193402	6.319753451605178	46.474294351206716	0.505484939148354	3.194515060851649
12.0.	0.031348782314455	200.78058644369017	0.223039674392662	6.325846720812662	46.46291767571939	0.505064037124983	3.19493596287502
12.0.299999999999999.0	0.031370138120216	200.8112146043181	0.22299284300444602	6.331120796936915	46.45243567207923	0.5047002865572611	3.195299713442741
12.0.6.0	0.03138828818401	200.83975154326478	0.22294953192194003	6.335682873884925	46.44277836539629	0.5043860634820361	3.195613936517967
12.0.9.0	0.031403677492782	200.8663204813616	0.22290948642883102	6.339626346217479	46.43388120424892	0.504114762149903	3.195885237850099
13.0.2.0	0.031416691674964005	200.89104024780903	0.222872468924862	6.343032565177347	46.42568464685932	0.5038806562571491	3.1961193437428532
13.0.5.0	0.031427664739732006	200.9140249491389	0.22283825795630102	6.345972373761555	46.41813377795269	0.503678779934438	3.196321220065563
13.0.799999999999999.0	0.031436885823117	200.9353837501317	0.22280664727479801	6.348507448179108	46.41117795415448	0.503504825470336	3.196495174529667
14.0.1.0	0.031444605066315	200.95522074703902	0.22277744492835602	6.350691469762395	46.40477047590959	0.503355055257509	3.196644944742494
14.0.399999999999999.0	0.031451038736181006	200.9736349163605	0.222750472387149	6.352571148489834	46.39886828403179	0.503226225863156	3.196773774136846
14.0.7.0	0.031456373684242	200.9907201249257	0.222725563706052	6.354187116697388	46.393431679114265	0.503115522462897	3.196884477537105
15.0.	0.031460771228585004	201.006565189199	0.22270256472503902	6.355574709275693	46.38842406214565	0.503020502154621	3.196979497845382
15.0.299999999999999.0	0.031464370532375004	201.02125397358483	0.22268133230803003	6.356764644637233	46.3838116947872	0.5029390448976561	3.197060955102348
15.0.6.0	0.031467291543473004	201.03486551912152	0.22266173362024702	6.357783618965813	46.37956347787002	0.5028693110125221	3.197130688987481
15.0.899999999999999.0	0.031469637551503005	201.04747419532666	0.22264364544377802	6.358654824702066	46.37565074676995	0.5028097043348321	3.197190295665172
16.0.2.0	0.031471497411513005	201.05914986914155	0.222626953530718	6.3593984028499815	46.37204708241097	0.502758840249504	3.1972411597505
16.0.5.0	0.031472947477192	201.06995808593317	0.22261155199301003	6.36003183748805	46.368728136734916	0.502715517942935	3.197284482057069
16.0.8.0	0.03147405328107	201.07996025838062	0.22259734272790302	6.360570299815625	46.36567147155755	0.502678696304923	3.197321303695082
17.0.099999999999998.0	0.031474870994378006	201.08921385980773	0.22258423487782603	6.3610269481423565	46.36285640980755	0.502647472991893	3.197352527008111
