time	LRC_Cave	LRC_EE	LRC_Surf	Smad2c	Smad2n	Smad4c	Smad4n	Smads_Complex_c	Smads_Complex_n	T1R_Cave	T1R_EE	T1R_Surf	T2R_Cave	T2R_EE	T2R_Surf	TGF_beta
0.0.	0.0	2.01948391736579e-28	0.0	492.61	236.45	1149.4	551.72	6.162975822039156e-33	0.0	2.092	2.06	0.23700000000000002	1.778	1.148	0.202	0.08
5.0.	0.184719793115489	0.27932439754064803	0.18576411160928902	468.92492064954604	229.6795894952431	1124.9254323933244	547.3180542639154	20.73595723558919	15.617776849342556	1.8115835754727692	1.779986078851036	0.049193161666516	1.498103997558923	0.8812715396128721	0.014083258623078002	0.07938546682839101
10.0.	0.02992258828037	0.49727577375035403	0.16785460917713801	417.623406555414	213.3635115748792	1071.570096832733	537.1634407429178	55.54332682585866	81.41628828124213	1.5747162563929171	1.544133320719979	0.04685618448207501	1.2628795693870711	0.678838733725038	0.013187374926366001	0.079010442406649
15.0.	0.011472615694	0.652029205405898	0.15405825344995303	366.5962304735338	198.72379145947139	1017.8209003969297	530.6897816892692	80.82699460499782	173.28653330479213	1.374592669605497	1.345422714129307	0.044308307555451	1.067020494092007	0.5266388584660551	0.012977142856820001	0.07867656127979
20.0.	0.007088908927382001	0.7624349795637311	0.143692641882007	328.40506764391154	189.29395689950948	976.9489915871421	529.3021850697943	94.01535545949197	257.72477379006017	1.204482122411137	1.1769669404386551	0.041385169226531	0.9044944038600691	0.41267252894176903	0.013041350132560001	0.078377859079216
25.0.	0.005329428770671001	0.8394205589765461	0.134845431280035	303.6907009565525	184.1076120760292	950.0916901405183	530.5446445241025	99.59705932555516	320.3091070773676	1.058786666640839	1.033054844465907	0.038207789587864006	0.7699690312276981	0.327652820787176	0.013321735302162001	0.078109086646602
30.0.	0.004446269701399001	0.8906644623494371	0.12708055386434	288.9520107589813	181.466713187093	933.8646004463832	532.3689441248532	101.58506122197757	361.20207086971055	0.9330539610604751	0.9091536430486131	0.034897372310872005	0.658978497436818	0.264589743723852	0.013804369082663002	0.077865899915611
35.0.	0.0039317086333960005	0.9220523351536141	0.120160530172876	280.58503806536146	180.16481641110923	924.5569066746303	533.8892105832659	102.14624339106632	385.92133921926296	0.8237587828371491	0.801682042244776	0.031555850373373	0.56780977915535	0.21824435231317102	0.014489033661635	0.077644748760491
40.0.	0.0035939477928410004	0.9381482420578151	0.11390998210668	276.06856668024375	179.55610139913915	919.4853300253525	534.9458113637742	102.15216542406824	400.0617022875664	0.728117332189515	0.7078181377128471	0.028268253913446003	0.49338965498191706	0.18470254417029303	0.015383296265337002	0.077442769967521
45.0.	0.0033493365521240002	0.9424927963607511	0.10818992898821701	273.9060535818841	179.3433290989234	917.0176717855935	535.648474487754	101.86432645998147	407.625530775114	0.64393751626981	0.6253448425467051	0.025105420326667002	0.43318440303279204	0.161049950771906	0.016498958911209	0.07725768850001401
50.0.	0.0031580911342	0.9378271534221121	0.102888969690842	273.26999316679587	179.3963503541475	916.2351374191818	536.1409175969474	101.33578621238846	411.06631150793015	0.5694978470454001	0.5525251241607231	0.022125320092477002	0.38511151144933503	0.14512381514803202	0.017848669185734002	0.077087725667564
55.0.	0.0029999625606220003	0.9262694888969931	0.097919518898102	273.7024723629734	179.6524429231712	916.6245601619112	536.5261795263141	100.57701928799882	411.78908212354213	0.5034478355184451	0.487999660158406	0.019372930261553	0.34746114508973003	0.1353222738239	0.019442257884514	0.07693151114784401
60.0.	0.0028639243260520004	0.909457133557052	0.09321611577007101	274.93433180179073	180.07364556766967	917.8845746553749	536.8629170068727	99.60253767484765	410.59574600204616	0.44472439738345004	0.43070121977122905	0.016879214185388	0.31882543941412	0.13045634477929102	0.021283089047208003	0.076787996822405
65.0.	0.0027435897427760003	0.888662061002593	0.08873412698044701	276.79231493283135	180.63186844046726	919.822817726773	537.180360058598	98.43474183258772	407.9669612629084	0.39248091762402504	0.379782257556942	0.014660189558767002	0.29803486354523	0.129634429837689	0.023365200212185	0.076656373091911
70.0.	0.002635114968241	0.864883906408859	0.084447602547631	279.1549529503161	181.30446638428458	922.3058049158038	537.4919104877765	97.09883044390938	404.2141834326754	0.34602778138821305	0.334554399576375	0.012717126939372	0.284102343449435	0.13217296325628	0.02567211804698	0.076535991485392
75.0.	0.0025361748006000003	0.838922590604754	0.080345724262866	281.93144252951805	182.07278161978084	925.2345841702727	537.8033566974724	95.61905348752168	399.55573032874025	0.304784646231537	0.29443999292294903	0.011038446368682	0.276176771062944	0.137529437759628	0.028177789638475004	0.076426299117335
80.0.	0.002445391949646	0.8114321065511341	0.07642816536925001	285.05051271063655	182.9212386700043	928.5319472396908	538.1169350827973	94.01745492371832	394.15485842657625	0.268244925800707	0.258936101201992	0.009603075628716	0.273507313431114	0.14525504075457502	0.030849284264938003	0.076326789596336
85.0.	0.0023619715357990003	0.7829577643332261	0.07270028075635601	288.4537426534848	183.83652274545395	932.1348778247982	538.4331172314712	92.31400890746549	388.14022257134576	0.23595198184656402	0.227590370406884	0.008384411456077	0.275418649743345	0.154963828091593	0.033650313262769	0.07623697181453401
90.0.	0.002285451794824	0.7539602594119931	0.069169060483886	292.09122080920594	184.8068852495651	935.9897211805927	538.7513841353615	90.52715031798581	381.61800136851696	0.20748517656305102	0.19998686046952902	0.007353938300329	0.28129568310456904	0.16631465140002602	0.03654454550312	0.07615635452005201
95.0.	0.00221553818693	0.724830449258254	0.06584035228269601	295.9187214024183	185.82164543194497	940.0490652080462	539.0706140150182	88.6742135982401	374.67954956574323	0.18245307163764102	0.175739088194202	0.006483916290363	0.290575239618068	0.179001791882469	0.039498072303281	0.076084442397194
100.0.	0.002152001496256	0.695898416628529	0.062717367185545	299.8959668944752	186.87088879088313	944.2698195727841	539.3893307559136	86.77165763701167	367.4062376143262	0.16049100184734202	0.15448748318806402	0.005749008520202	0.30274209840981703	0.192750713368169	0.042480853442910006	0.076020739007364
105.0.	0.0020946222179	0.6674395365990291	0.059800181908249005	303.98565600420704	187.94531775411437	948.6121324110212	539.7058885336298	84.83511612682896	359.8723658524542	0.141260792579483	0.135899011156382	0.005127024056631	0.317327173448741	0.20731627718240503	0.045467298698554	0.075964752802438
110.0.	0.002043165199994	0.639679279931421	0.057085873366024005	308.1529946049583	189.03620010430714	953.0388579750202	540.0186099940809	82.87934960290549	352.14676727178477	0.124451140802267	0.11966747654996901	0.004599058933925	0.33390638604890205	0.22248176126615402	0.048436256953634	0.075916003695249
115.0.	0.001997371920719	0.612797670770594	0.054568976697421	312.36552685781425	190.13537012033194	957.5153557305213	540.3258835021708	80.91816058416708	344.2935675534145	0.109777848195793	0.10551369000374401	0.0041492931930490005	0.35209942351856005	0.23805783063790603	0.05137066785865901	0.075874028812684
120.0.	0.001956961738598	0.58693376916424	0.052242056430997004	316.59312461097886	191.2352521475232	962.009466661652	540.6262259954647	78.96430822267739	336.37244935120526	0.096983567855874	0.09318516072594801	0.0037646296390090005	0.37156804943673505	0.253881136833264	0.054257062161665	0.075838386863063
125.0.	0.0019216368456120001	0.562190240362297	0.050096269283166	320.8080445116462	192.3288889824237	966.4915676472978	540.9183195754308	77.02943942249044	328.43865921487094	0.08583700582530801	0.08245525453204	0.003434288357338	0.392013912022364	0.26981251735329803	0.057085026422555	0.075808661030238
130.0.	0.001891088072827	0.5386379316613571	0.04812185993681101	324.9849999123825	193.40996606157478	970.9346453859677	541.2010296407824	75.12404204018141	320.5429080804455	0.076131656506319	0.073121896055985	0.0031494178870260002	0.41317593658362	0.285734896897996	0.059846694672964	0.07578446054914201
135.0.	0.0018650002179380002	0.516320335445808	0.046308569369978	329.1012192953542	194.4728274899342	975.3143581983604	541.4734107808794	73.25742040831096	312.7312533987892	0.067684200828714	0.065005943291743	0.0029027502454920004	0.43482743879899105	0.30155102840622805	0.062536295350391	0.075765421211062
140.0.	0.0018430564225770001	0.495257824998364	0.04464595576398701	333.1364777439699	195.51248260136248	979.6090703438592	541.7347048016596	71.43769140291602	305.0450099577053	0.06033269871314301	0.057949365056521006	0.0026883079464560004	0.456773098102127	0.31718120154871804	0.06514976213029	0.075751205059223
145.0.	0.001824941561603	0.47545157764357504	0.043123637421283	337.0730963209145	196.52460303040274	983.7998527582995	541.9843337182137	69.6717987704827	297.52071169513795	0.053934688803137	0.051813333240861	0.0025011615192830003	0.47884591082106703	0.33256101800784205	0.067684407071168	0.07574149950894901
150.0.	0.0018103447942760002	0.45688713177191803	0.041731470324762	340.8959086843846	197.50551086407626	987.8704491472593	542.2218894754188	67.96554344843703	290.19013273719776	0.048365283193366006	0.046476316391800006	0.002337231877582	0.5009042158404541	0.34763930166348905	0.070138649893246	0.075736016086326
155.0.	0.001798961482788	0.43953755282766405	0.040459673028332005	344.5921966227538	198.45215871172516	991.8072090280453	542.447121495819	66.32362772668343	283.0803682397082	0.043515320191089	0.041832236491774005	0.0021931306430640002	0.522828858972154	0.36237618440308605	0.07251179568388201	0.075734488937423
160.0.	0.0017904946748560002	0.423366205793677	0.039298910237179005	348.15159743141777	199.3621026651579	995.5989907259424	542.6599227815526	64.74971117051054	276.2139715288086	0.039289617038579	0.037788729753146004	0.0020660317052770003	0.5445205392126781	0.37674138687555503	0.07480385333841401	0.07573667322249
