time	species_0	species_1	species_2	species_3	species_4	species_5	species_6
0.0.	0.0	1.0	1.0	2.5	1.4	1.5	1.6
0.0.3.0	0.18040446520294	0.628518409851829	1.100826583176137	1.846776164058487	1.621080218503696	0.978867871227666	1.400278445351164
0.0.6.0	0.268899826105214	0.49419427875542304	1.031870807145542	1.571009313132695	1.724844771528202	1.495649983150076	1.278142300796497
0.0.8999999999999999.0	0.312482411106542	0.43943747780879006	0.9361818812824411	1.427063781295478	1.7868778056945671	2.044541769744751	1.2963858588173651
1.0.2.0	0.33745961851301604	0.42215215741038303	0.8552810010590811	1.307394320195841	1.8621159458850092	2.5155129742518	1.41843610926383
1.0.5.0	0.358755712067993	0.43061565459168105	0.801870783589238	1.176337071237363	1.978710950864298	2.924985086614262	1.6097834625569032
1.0.7999999999999998.0	0.38428264398320305	0.462366817366535	0.780509322973678	1.034005172349082	2.147063936203069	3.288040639599418	1.843493811355971
2.0.1.0	0.417538850469848	0.5174582917068601	0.793625353467982	0.8953608499516941	2.365623994875472	3.5990085795107802	2.093760513575245
2.0.4.0	0.45905050741989706	0.595747198981119	0.8428293626788421	0.7762366968205011	2.622998542795917	3.832613099322698	2.330498557130695
2.0.6999999999999997.0	0.507048224638749	0.6953627077941551	0.9285648414065971	0.6862717842686711	2.898329676272658	3.956422940610909	2.518266126774445
3.0.	0.5578006671602961	0.8116158398732211	1.049115096908386	0.628252731378236	3.162353119999915	3.949946862778911	2.621421595430497
3.0.3.0	0.606043186638332	0.936349979205622	1.199446179472224	0.6009235005090561	3.381232560756631	3.819057958497828	2.614663051265363
3.0.5999999999999996.0	0.6458220519901471	1.057969013840159	1.370282338926206	0.60196583047371	3.523618380181308	3.594981897845631	2.4937536583552102
3.0.9.0	0.6717631056113801	1.162422309999863	1.547831776449265	0.6295335104822161	3.568843367839443	3.319966906390386	2.2793143800895432
4.0.2.0	0.680397323594056	1.23527890313843	1.714560781055011	0.682352160711568	3.512588739855584	3.032528997030188	2.010295178058456
4.0.5.0	0.671006135207459	1.264675980004976	1.851245849611602	0.758961026923194	3.367288372367889	2.760883410610407	1.7305844699802102
4.0.8.0	0.645638496862722	1.244464725229583	1.9401730373198092	0.856646967888209	3.157389714355713	2.523125631083183	1.476207098016939
5.0.1.0	0.6083624525191601	1.176458405424899	1.968848286133817	0.970536406527249	2.912137717986476	2.329651175769911	1.268858331030757
5.0.3999999999999995.0	0.564147975876512	1.07062628476161	1.933103088399963	1.093197785206408	2.659107621539368	2.1855682695292282	1.116558285414471
5.0.7.0	0.517839745704762	0.9427381049953261	1.838359778853512	1.2148774942187521	2.42041042922679	2.092724184423828	1.018365785949897
6.0.	0.47350271024438906	0.810227986137059	1.698366094202001	1.324258569324745	2.211705481584739	2.051362834850225	0.9695190671600441
6.0.3.0	0.434184639153866	0.6880536328615531	1.531790320629193	1.40957126750091	2.043065365771405	2.061360249551037	0.9649940415051891
6.0.6.0	0.40198297065217203	0.58622279261453	1.358029240098786	1.459988442631492	1.920577045285469	2.122937556415856	1.001192188258836
6.0.8999999999999995.0	0.378261553096129	0.5095518691342751	1.19377150594103	1.467320782031597	1.847904763423225	2.236729223478986	1.076267240994155
7.0.199999999999999.0	0.36389301005232	0.45904460764985106	1.051237235778408	1.427919339597136	1.8274310685121131	2.403026255637931	1.189620707440209
7.0.5.0	0.359450405328194	0.43379597138457004	0.9381125419688491	1.344372948041312	1.860827972863084	2.619955383986159	1.340820289724175
7.0.8.0	0.36530712829029005	0.432550821814264	0.8585771436345131	1.226216545963447	1.9489868023299621	2.880455032821235	1.527944596704598
8.0.1.0	0.38162055008633305	0.45452493687829304	0.8146701497326061	1.088787298111413	2.091233765802793	3.1684333695531	1.7452956357531262
8.0.4.0	0.40818255646279206	0.499455184560377	0.807402538760385	0.9499631106540121	2.283792157534093	3.455669135795021	1.980681642330719
8.0.7.0	0.44413713093510504	0.567018366794392	0.8372823956758321	0.8257774203820011	2.517654888757975	3.70252180071623	2.213158568463118
9.0.	0.487613238715811	0.655846934455219	0.904154590217856	0.7269646727134811	2.776498207866462	3.865716092279655	2.413041022223265
9.0.299999999999999.0	0.5354078860354521	0.762439823868653	1.006453761250047	0.658128135365399	3.035882481157595	3.9128506361378	2.546297455391629
9.0.6.0	0.582942602214873	0.8803006700532021	1.140127247817052	0.619418680028595	3.265234159763841	3.8363143158057733	2.583838953593026
9.0.9.0	0.624713428044528	0.9996287603884211	1.297591446004047	0.6090693788733771	3.433276859593858	3.656214982951028	2.5125896355206363
10.0.2.0	0.6552743771188201	1.107853938598319	1.46714074259032	0.625206053065061	3.515625586092373	3.40972196292154	2.3422854858945312
10.0.5.0	0.6704855773881501	1.191192670778736	1.633221411747218	0.6664213983325921	3.5014325801687702	3.135854818089309	2.103294569299546
10.0.799999999999999.0	0.668531993252216	1.237141643188787	1.777863555190561	0.731381660577583	3.39596134563873	2.865914274736825	1.836235604534014
11.0.1.0	0.650277973880242	1.237438327852587	1.8832862414385811	0.817938151914632	3.218054397168105	2.621359748490855	1.5792048938988321
11.0.4.0	0.61884867861669	1.190608470536569	1.93526545523652	0.922197776171622	2.994105233109379	2.415393478804209	1.3589540213276141
11.0.7.0	0.578692928819003	1.103007953938749	1.9263844902116851	1.037939546449066	2.7514818554353973	2.255230547309122	1.188736117394114
12.0.	0.53455168819691	0.987591531675379	1.858016502138562	1.156596497769957	2.513796625891136	2.144132523721792	1.0713033982765041
12.0.299999999999999.0	0.49067716039559106	0.860620328864349	1.740134166982652	1.267790337334216	2.2988469299428083	2.083116418652032	1.003709079293123
12.0.6.0	0.450438143014866	0.7376288634537971	1.5888737272726332	1.360271735546039	2.118714807544627	2.072300695263466	0.9813356395223771
12.0.9.0	0.41626278797557903	0.63034094517116	1.42277831178388	1.4231560335918871	1.981005720125761	2.111794993101291	1.000228441232835
13.0.2.0	0.38978565396652204	0.5455413518998611	1.259153329784205	1.44743798936967	1.890350800353419	2.202020375588205	1.057933162003093
13.0.5.0	0.37206799043923705	0.48577197336514305	1.11168539474876	1.4277453402735811	1.849656420477197	2.3433122452942	1.153339370518464
13.0.799999999999999.0	0.36379968450667105	0.45096834526643004	0.9897013439909891	1.3640688832993502	1.86086946205443	2.534603981628666	1.2858767579337491
14.0.1.0	0.36542997178965003	0.440099310551527	0.8987244907390131	1.262865317884847	1.9251602280607862	2.771018104502023	1.4541628503945851
