time	L	REL	ReNR
0.0.	0.0	0.0	3.7
0.0.3.0	0.004910037629252	0.017989971114256	3.682010028885742
0.0.6.0	0.004998038446499001	0.018398847163019	3.681601152836976
0.0.8999999999999999.0	0.00499995720833	0.018407761399363003	3.681592238600631
1.0.2.0	0.0049999990590580004	0.018407955826728002	3.6815920441732652
1.0.5.0	0.004999999990741	0.018407960092990002	3.6815920399070032
1.0.7999999999999998.0	0.004999999986619001	0.018407960207075	3.6815920397929203
2.0.1.0	0.004999999999985001	0.018407960198938002	3.681592039801056
2.0.4.0	0.004999999999999	0.018407960199002	3.681592039800992
2.0.6999999999999997.0	0.004999999999999	0.018407960199004002	3.681592039800989
3.0.	0.004999999999999	0.018407960199004002	3.681592039800989
3.0.3.0	0.004999999999999	0.018407960199004002	3.681592039800989
3.0.5999999999999996.0	0.004999999999999	0.018407960199004002	3.681592039800989
3.0.9.0	0.004999999999999	0.018407960199004002	3.681592039800989
4.0.2.0	0.004999999999999	0.018407960199004002	3.681592039800989
4.0.5.0	0.004999999999999	0.018407960199004002	3.681592039800989
4.0.8.0	0.004999999999999	0.018407960199004002	3.681592039800989
5.0.1.0	0.004999999999999	0.018407960199004002	3.681592039800989
5.0.3999999999999995.0	0.004999999999999	0.018407960199004002	3.681592039800989
5.0.7.0	0.004999999999999	0.018407960199004002	3.681592039800989
6.0.	0.004999999999999	0.018407960199004002	3.681592039800989
6.0.3.0	0.004999999999999	0.018407960199004002	3.681592039800989
6.0.6.0	0.004999999999999	0.018407960199004002	3.681592039800989
6.0.8999999999999995.0	0.004999999999999	0.018407960199004002	3.681592039800989
7.0.199999999999999.0	0.004999999999999	0.018407960199004002	3.681592039800989
7.0.5.0	0.004999999999999	0.018407960199004002	3.681592039800989
7.0.8.0	0.004999999999999	0.018407960199004002	3.681592039800989
8.0.1.0	0.004999999999999	0.018407960199004002	3.681592039800989
8.0.4.0	0.004999999999999	0.018407960199004002	3.681592039800989
8.0.7.0	0.004999999999999	0.018407960199004002	3.681592039800989
9.0.	0.004999999999999	0.018407960199004002	3.681592039800989
9.0.299999999999999.0	0.004999999999999	0.018407960199004002	3.681592039800989
9.0.6.0	0.004999999999999	0.018407960199004002	3.681592039800989
9.0.9.0	0.004999999999999	0.018407960199004002	3.681592039800989
10.0.2.0	0.004999999999999	0.018407960199004002	3.681592039800989
10.0.5.0	0.004999999999999	0.018407960199004002	3.681592039800989
10.0.799999999999999.0	0.004999999999999	0.018407960199004002	3.681592039800989
11.0.1.0	0.004999999999999	0.018407960199004002	3.681592039800989
11.0.4.0	0.004999999999999	0.018407960199004002	3.681592039800989
11.0.7.0	0.004999999999999	0.018407960199004002	3.681592039800989
12.0.	0.004999999999999	0.018407960199004002	3.681592039800989
12.0.299999999999999.0	0.004999999999999	0.018407960199004002	3.681592039800989
12.0.6.0	0.004999999999999	0.018407960199004002	3.681592039800989
12.0.9.0	0.004999999999999	0.018407960199004002	3.681592039800989
13.0.2.0	0.004999999999999	0.018407960199004002	3.681592039800989
13.0.5.0	0.004999999999999	0.018407960199004002	3.681592039800989
13.0.799999999999999.0	0.004999999999999	0.018407960199004002	3.681592039800989
14.0.1.0	0.004999999999999	0.018407960199004002	3.681592039800989
14.0.399999999999999.0	0.004999999999999	0.018407960199004002	3.681592039800989
14.0.7.0	0.004999999999999	0.018407960199004002	3.681592039800989
15.0.	0.004999999999999	0.018407960199004002	3.681592039800989
15.0.299999999999999.0	0.004999999999999	0.018407960199004002	3.681592039800989
15.0.6.0	0.004999999999999	0.018407960199004002	3.681592039800989
15.0.899999999999999.0	0.004999999999999	0.018407960199004002	3.681592039800989
16.0.2.0	0.004999999999999	0.018407960199004002	3.681592039800989
16.0.5.0	0.004999999999999	0.018407960199004002	3.681592039800989
16.0.8.0	0.004999999999999	0.018407960199004002	3.681592039800989
17.0.099999999999998.0	0.004999999999999	0.018407960199004002	3.681592039800989
17.0.4.0	0.004999999999999	0.018407960199004002	3.681592039800989
17.0.7.0	0.004999999999999	0.018407960199004002	3.681592039800989
18.0.	0.004999999999999	0.018407960199004002	3.681592039800989
18.0.3.0	0.004999999999999	0.018407960199004002	3.681592039800989
18.0.599999999999998.0	0.004999999999999	0.018407960199004002	3.681592039800989
18.0.9.0	0.004999999999999	0.018407960199004002	3.681592039800989
19.0.2.0	0.004999999999999	0.018407960199004002	3.681592039800989
19.0.5.0	0.004999999999999	0.018407960199004002	3.681592039800989
19.0.8.0	0.004999999999999	0.018407960199004002	3.681592039800989
20.0.099999999999998.0	0.004999999999999	0.018407960199004002	3.681592039800989
20.0.4.0	0.004999999999999	0.018407960199004002	3.681592039800989
20.0.7.0	0.004999999999999	0.018407960199004002	3.681592039800989
21.0.	0.004999999999999	0.018407960199004002	3.681592039800989
21.0.3.0	0.004999999999999	0.018407960199004002	3.681592039800989
21.0.599999999999998.0	0.004999999999999	0.018407960199004002	3.681592039800989
21.0.9.0	0.004999999999999	0.018407960199004002	3.681592039800989
22.0.2.0	0.004999999999999	0.018407960199004002	3.681592039800989
22.0.5.0	0.004999999999999	0.018407960199004002	3.681592039800989
22.0.8.0	0.004999999999999	0.018407960199004002	3.681592039800989
23.0.099999999999998.0	0.004999999999999	0.018407960199004002	3.681592039800989
23.0.4.0	0.004999999999999	0.018407960199004002	3.681592039800989
23.0.7.0	0.004999999999999	0.018407960199004002	3.681592039800989
24.0.	0.004999999999999	0.018407960199004002	3.681592039800989
24.0.3.0	0.004999999999999	0.018407960199004002	3.681592039800989
