	EGF	GS	Grb	PLCg	PLCgP	PLCgl	R	R2	RG	RGS	RP	RPLCg	RPLCgP	RSh	RShG	RShGS	RShP	Ra	SOS	ShG	ShGS	ShP	Shc
43	580.4739646638174	1.8490115621383452	15.714620907808916	12.72026298008001	4.407460333246765	78.77332615986077	0.47396466381600344	21.011814317144307	1.7034375411268114	0.5456202787713249	2.5658034077723286	2.045556456744414	7.053394070068201	0.25891504416800426	1.0244654950815202	1.1160710484450562	5.470461354603107	13.934957308333678	1.7964954366159835	34.35397149259874	28.69280167402928	73.22562142289092	5.8576924681831635
44	580.4824694958261	1.8323671362813287	15.557358181800925	11.555546007465171	4.374124856817245	80.37638746700141	0.4824694958247524	21.66233492143188	1.7340167074673674	0.5481672631037594	2.6436143385051736	1.9300144989926733	6.763927169723673	0.23740146216465327	0.9725800927986901	1.054933232964689	5.122410702627875	14.17872972461422	1.7908596229155258	34.52690464084854	28.773672744734682	74.12697849717323	5.185118626687419
45	580.4907968964221	1.8176640470689622	15.41722787650067	10.47193752839091	4.3357005208206365	81.91303325467739	0.49079689642079083	22.30015115915084	1.7650572448308919	0.5512390224507286	2.7194384130465106	1.8140136898187647	6.465315006292461	0.21759101698903785	0.9241965533231119	0.997206489552674	4.792134405568175	14.41651710153262	1.7860404576079747	34.6795587829533	28.847849983319644	74.94539981366566	4.5960629546281675
46	580.4989076646078	1.804713492314291	15.292542107501196	9.468091878460973	4.292677051420399	83.38100526211116	0.4989076646064679	22.921736669483625	1.796523180871378	0.5548087762301399	2.7928613772609454	1.6985201414894695	6.159705666518152	0.19949949389572516	0.8792376143646862	0.9428194407033121	4.481220716591565	14.647226180575343	1.781943384539101	34.81364048180185	28.915714906213136	75.68491755001125	4.082949796418274
47	580.5067652502797	1.793337858950339	15.181744547639292	8.5420220558087	4.245610446764633	84.77851345319017	0.5067652502783563	23.523826278150192	1.8283657399302495	0.5588477799276728	2.8635124598309583	1.5844707766323038	5.84938326760435	0.1831118503243518	0.8376212922700127	0.8916998300472506	4.190848799272824	14.869858601741113	1.7784845168010992	34.930752936961554	28.977630014273622	76.35002047552425	3.6383148013259263
48	580.5143365644285	1.7833708179453758	15.083401781928156	7.691165433967826	4.195109039124769	86.10427122236571	0.5143365644270641	24.103492754465865	1.860525215805308	0.5633255742770227	2.931072614946893	1.4727465698979152	5.53670773464396	0.1683849515394849	0.7992576486102271	0.8437728253619492	3.9217795884495312	15.083532479576412	1.7755890132805323	35.03240436693685	29.033941769135104	76.94553571289146	3.254923137075202
49	580.5215926855096	1.7746574172928276	14.996196026918023	6.912464534297291	4.141817339641229	87.35751887603853	0.5215926855081985	24.658210420593807	1.8929330144387218	0.5682102800165882	2.9952804308181573	1.3641485979894887	5.224050652033665	0.1552515070215625	0.7640463018015236	0.7989594072708205	3.6743630577871484	15.287499974948595	1.7731897804332808	35.120014437275024	29.084983114986468	77.47650957610512	2.925872597752143
50	580.5285094000062	1.7670541520081888	14.91891914621728	6.202456551919108	4.0863988234361575	88.5380328883871	0.5285094000048421	25.185899704472376	1.9255137490551042	0.5734689235336762	3.0559353816556722	1.2593793630342172	4.913732373223625	0.1436246484136532	0.7318748818159657	0.7571750125493285	3.448561534815803	15.481159454856078	1.771226475471294	35.19491869838296	29.1310754364375	77.94809511588768	2.6446746716969107
51	580.5350675647762	1.7604289679223353	14.850467315671995	5.5573682585940745	4.029518328772011	89.64612119558227	0.5350675647748675	25.684952858127595	1.9581873523823763	0.5790677868006769	3.112898535165565	1.1590295666444546	4.607962650407421	0.1334028527944414	0.7026184258957808	0.7183285060912583	3.243986637677724	15.664062091250305	1.7696447177727945	35.25837162382266	29.17253002141292	78.36544776567521	2.4053141666297826
52	580.5412532761445	1.7546611815891704	14.789836080865115	4.973210301037571	3.9718252264644933	90.68260489996035	0.5412532761429789	26.154240347407416	1.9908711092004185	0.5849727646334305	3.1660908827628393	1.0635709378258578	4.308788634711942	0.12447484589464221	0.6761396964657922	0.6823215656271973	3.059946172531152	15.835912809735397	1.7683954712600627	35.311548584728754	29.209649016890125	78.73363346811894	2.202286649743171
53	580.5470578512386	1.7496412823466345	14.736115483314041	4.445867347615353	3.9139381199255023	91.64878768199549	0.5470578512369808	26.593099737723513	2.0234815584191432	0.5911497184871102	3.2154896987672372	0.9733546582623681	4.0180521922014885	0.11672417727064141	0.6522903106111738	0.6490484952090035	2.895497533137203	15.996565988584994	1.7674345484296434	35.355547196085304	29.24272595552759	79.05755073886893	2.0306155932899195
54	580.552477638394	1.7452706221195227	14.688485084973948	3.9711808275615845	3.856431729641595	92.54641466348878	0.552477638392389	27.001309525524224	2.05593621707361	0.5975648158420647	3.2611233402067628	0.8886148339738607	3.7373579453343764	0.11003326867575364	0.6309125361874928	0.6183964608098931	2.749503914027433	16.14601664629642	1.7667222030276581	35.391388364792626	29.272045898200837	79.34186772776846	1.8858518295372841
55	580.5575136810954	1.7414609905023402	14.646208775540373	3.5450221228037124	3.7998264028642366	93.37762276250353	0.5575136810939415	27.379050884569214	2.0881550939057867	0.6041848464814928	3.3030649588609045	0.8094761230440176	3.4680525887846985	0.10428679395930655	0.6118415831834164	0.5902461114227966	2.620690190417732	16.28438796964709	1.766222783786522	35.42001733115696	29.297885267806823	79.59097435751208	1.764058364540658
56	580.5621712721659	1.7381340916180246	14.608629414795722	3.1633537389036044	3.7445806455187998	94.14488567895543	0.5621712721643985	27.726861296267344	2.120061948442092	0.6109775036889038	3.3414256393594197	0.7359643775055823	3.211215559116778	0.09937432280199633	0.5949081675809619	0.5644725158075603	2.5076948458315855	16.411916375030927	1.7659044341533665	35.4423049033346	29.320511454732124	79.80894965493883	1.6617841349721139
57	580.5664594224143	1.7352209305728161	14.575163179047049	2.8222801349531874	3.6910863888847745	94.85095453120961	0.566459422412873	28.045582285969203	2.1515853320750162	0.617911634581494	3.3763472625856403	0.66801942648962	2.967659518463002	0.09519225961032458	0.5799412303363333	0.5409463563481709	2.409117609104414	16.528934746460454	1.7657388125828954	35.45904907112452	29.340182265914603	79.99954159361776	1.5760296139437047
