	E	E_M	E_M1	E_P1	E_P2	E_P21	E_P_1	E_P_2	M	M1	P	P2	P21	T
0	0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1	7.883773474921173e-05	2.4041796590013406e-06	5.262198647988279e-13	0.0	1.841152429843904e-08	1.0129508821239399e-22	5.9542915923597966e-05	7.160055299680338e-06	0.042022593813235025	7.49313609042408e-09	0.95276924438691	0.002116224034340755	8.690311183303732e-12	0.0030228047007551844
2	7.837336743004191e-05	4.398948003399059e-06	1.875526443597918e-12	0.0	3.554920558616406e-08	9.456581436885626e-22	5.642625538501448e-05	6.785101740327155e-06	0.07836023748307813	2.4067437552865876e-08	0.9078022561305674	0.004130009968344984	2.9050951812513946e-11	0.009639826465311245
3	7.804812936683369e-05	6.521568680585045e-06	4.156860028036335e-12	0.0	5.41893908734824e-08	3.0779988917644293e-21	5.316244077327074e-05	6.393322467985896e-06	0.10867860310378276	4.9291156777115e-08	0.8652530996614776	0.0060282723648467105	6.210092338131229e-11	0.019973843991165884
4	7.779684163830694e-05	7.6255319373086395e-06	6.359133497335108e-12	0.0	6.741290240832037e-08	6.899204912639698e-21	5.083204261803949e-05	6.112182919042035e-06	0.1338759756387296	8.154065026916948e-08	0.8248751359132173	0.007822623144653673	1.0716481191738161e-10	0.03336154647884872
5	7.776169864105235e-05	8.86805670153441e-06	9.591656864053386e-12	0.0	8.305156525908379e-08	1.2859943207259735e-20	4.82546904229529e-05	5.80324375318294e-06	0.1550370340133596	1.19366041293496e-07	0.7864030910584717	0.009525670677904207	1.6360748586258028e-10	0.04897107566858135
6	7.768404583598809e-05	9.411579977816128e-06	1.2477022322468738e-11	0.0	9.402360293179534e-08	2.1296428628677854e-20	4.641158643471848e-05	5.580457839208301e-06	0.17287266908490487	1.6161800319650465e-07	0.7496466914185874	0.011146335355322038	2.3086385748232466e-10	0.06627264463198708
7	7.771931601087032e-05	1.0778422841574996e-05	1.6415167424375554e-11	0.0	1.1015680642339104e-07	3.263509293701902e-20	4.379271318337095e-05	5.266903812603627e-06	0.18724853881635556	2.0722151670864321e-07	0.7146236913542893	0.01268384177620454	3.0839533876695393e-10	0.08538377231017993
8	7.788862878642296e-05	1.0766441495585408e-05	1.971813832627629e-11	0.0	1.1976453504421196e-07	4.71613382429781e-20	4.235434579293003e-05	5.092294118833307e-06	0.1988416244493904	2.5523021738930273e-07	0.6811748194090037	0.014145465579361785	3.9568449023161173e-10	0.10577950207068243
9	7.801149780904797e-05	1.2113565273261558e-05	2.4205081399333522e-11	0.0	1.3581033857129474e-07	6.52730394713582e-20	3.97951309795015e-05	4.786491701880278e-06	0.20768993584228465	3.04772125489225e-07	0.6492793979458361	0.015532337252770152	4.922412217248105e-10	0.12744119267224455
10	7.829085421956213e-05	1.1529612829120706e-05	2.738252355784067e-11	0.0	1.4265740688632553e-07	8.704267235270221e-20	3.888410370872052e-05	4.674596729224237e-06	0.2145325568604785	3.5520429115262687e-07	0.6187296707741945	0.016854117236989322	5.976105513813676e-10	0.1498280683283801
