time	Ta	Tastarstar	Tm	Tmstarstar	Ttot	Tv	V
0.0.	10.0	0.0	540.0	0.0	1000.0	450.0	5e-05
21.0.900000000000002.0	9.997318699423008	5.686193029299286e-09	540.10504656648	5.282309826379506e-07	1000.0752035051505	449.97283770533016	2.221320284195355e-06
43.0.800000000000004.0	9.999111871407486	7.224314288729285e-09	540.1807823330419	6.711177962970366e-07	1000.1343991835153	449.95450430072333	2.822243905231401e-06
65.0.7.0	10.000611322989041	9.179316743516424e-09	540.2412487252689	8.527385914461029e-07	1000.1839909312541	449.942130021078	3.585959144707126e-06
87.0.60000000000001.0	10.001864832286493	1.166431721550685e-08	540.2898674227743	1.083596916341279e-06	1000.2255112576397	449.93377790731734	4.55671500173192e-06
109.0.50000000000001.0	10.00291252826659	1.482305609847943e-08	540.3292020466876	1.377046465345366e-06	1000.2602565493382	449.9281405825142	5.7906625989809086e-06
131.0.4.0	10.003788057773965	1.883826088212094e-08	540.3611951778348	1.7500629012582548e-06	1000.2893206302497	449.92433562573916	7.359183196449904e-06
153.0.3.0	10.004519610741431	2.3942221155529604e-08	540.3873352161445	2.22422628238236e-06	1000.3136245152449	449.9217674401896	9.353019153731959e-06
175.0.20000000000002.0	10.00513079021828	3.043023182054577e-08	540.4087747703888	2.826969958766741e-06	1000.3339424411295	449.9200340231213	1.1887525424613311e-05
197.0.10000000000002.0	10.005641348337038	3.867768264950968e-08	540.4264153840217	3.5931682188143738e-06	1000.350924403821	449.91886403961536	1.5109345475081552e-05
219.0.00000000000003.0	10.00606780727652	4.916178322158854e-08	540.4409687441002	4.567154569790805e-06	1000.3651155177251	449.9180743500313	1.9204897980673633e-05
240.0.90000000000003.0	10.00642398209991	6.24891805375784e-08	540.4530013528412	5.8052874573418225e-06	1000.3769725455437	449.9175413428255	2.4411165458274103e-05
262.0.8.0	10.00672142021719	7.943106764014585e-08	540.4629674819556	7.379211911058232e-06	1000.3868779462292	449.917181585413	3.1029409207979104e-05
284.0.70000000000005.0	10.006969770230738	1.00967815092015e-07	540.4712337543091	9.380005878308326e-06	1000.3951517698276	449.91693876431333	3.944260429444212e-05
306.0.6.0	10.007177091114508	1.28345708276087e-07	540.4780976863472	1.192345120764059e-05	1000.4020616995585	449.9167748702991	5.013760358515688e-05
328.0.50000000000006.0	10.007350111066517	1.6314907407046338e-07	540.4838018295986	1.5156734328811302e-05	1000.4078315092925	449.91666424874325	6.373331354361724e-05
350.0.40000000000003.0	10.007494443959441	2.073919710581357e-07	540.4885446697792	1.926696441515731e-05	1000.4126481719479	449.91658958385256	8.101651238506028e-05
372.0.3.0	10.007614770082863	2.636347495897153e-07	540.4924891092509	2.449200199318058e-05	1000.4166678231676	449.9165391881965	0.00010298738347300001
394.0.20000000000005.0	10.007714986806217	3.351322272359729e-07	540.4957691264988	3.1134224669590885e-05	1000.4200207559137	449.9165051732514	0.000130917399056
416.0.1.0	10.007798333874709	4.260220547149716e-07	540.4984950432728	3.9578026613503555e-05	1000.4228155957926	449.91648221459633	0.000166422904151
438.0.00000000000006.0	10.007867497261646	5.41564173101412e-07	540.5007577146384	5.0312064494093594e-05	1000.4251427840001	449.9164667184711	0.00021155865889000002
459.0.90000000000003.0	10.007924694821037	6.884452195608224e-07	540.5026318746437	6.395753723033561e-05	1000.4270774746867	449.91645625923934	0.000268936752604
481.0.80000000000007.0	10.007971746395699	8.751654969997745e-07	540.5041788105864	8.130413604554029e-05	1000.4286819359826	449.91644919969843	0.00034187777096100004
503.0.70000000000005.0	10.00801013052198	1.112530900223662e-06	540.5054484950003	0.000103355745125	1000.4300075286044	449.9164444348058	0.000434602963722
525.0.6.0	10.008041029416399	1.414278263661751e-06	540.5064812716356	0.000131388537319	1000.4310963225724	449.916441218704	0.000552478532821
547.0.5.0	10.008065363517238	1.797870314473217e-06	540.5073091665435	0.00016702482638600001	1000.4319824007289	449.91643904797047	0.000702326175804
569.0.4000000000001.0	10.00808381647115	2.28550622592436e-06	540.507956875444	0.00021232694877400002	1000.4326928871877	449.91643758281674	0.0008928178523340001
591.0.3000000000001.0	10.008096851085815	2.905406236035502e-06	540.508442462162	0.000269916606336	1000.4332487291608	449.9164365938998	0.001134977612878
613.0.2.0	10.008104716400666	3.69344464555877e-06	540.5087777886944	0.00034312657383000003	1000.4336652515365	449.91643592642254	0.001442819520163
635.0.1.0	10.008107445641498	4.695225651749215e-06	540.5089686844291	0.00043619354618200005	1000.4339524947461	449.91643547590354	0.0018341585626380002
657.0.0000000000001.0	10.008104844404558	5.968722071223641e-06	540.5090148492778	0.000554503278461	1000.4341153375057	449.91643517182223	0.002331641458713
678.0.9000000000001.0	10.008096467939342	7.587629530375238e-06	540.5089094722126	0.0007049021929700001	1000.434153396555	449.9164349665802	0.0029640569567530002
700.0.8000000000001.0	10.008081585844062	9.645630025601735e-06	540.50863853213	0.0008960934667000001	1000.4340606851216	449.9164348280504	0.0037680013794120005
722.0.7.0	10.008059131822787	1.226181125005244e-05	540.5081797312795	0.0011391404888710002	1000.4338249999512	449.9164347345487	0.004789995668774001
744.0.6.0	10.008027635343016	1.558755475521301e-05	540.5075009916926	0.001448106771568	1000.4334269928013	449.9164346714389	0.006089176235528001
766.0.5000000000001.0	10.007985131033042	1.981529067199312e-05	540.5065584210957	0.0018408692602990002	1000.4328388655226	449.9164346288424	0.007740714989104
788.0.4000000000001.0	10.007929040413451	2.5189624174100672e-05	540.5052936252479	0.0023401519728070003	1000.4320226073506	449.91643460009163	0.009840165908712001
