time	EC	X	Y	Z
0.0.	0.0	0.5	0.0	0.0
0.0.5.0	-0.012238807394742	0.32530413579230905	0.183946472590025	0.0029881990124070003
1.0.	-0.024181139092873002	0.19801963820249602	0.32301007064707504	0.0031514302433020003
1.0.5.0	-0.036150672860266006	0.11196356055034101	0.42125455856339106	0.002932553746534
2.0.	-0.048255161359300004	0.06379197844974101	0.481794060552218	0.002669122357341
2.0.5.0	-0.060455542977233004	0.040819053884818005	0.5170847132560991	0.002551775836316
3.0.	-0.07268815368451301	0.029834772986680004	0.5403262019586961	0.0025271787391360004
3.0.5.0	-0.084922406239852	0.024272278074251002	0.5581106483092501	0.0025394798563500003
4.0.	-0.097146233494577	0.021367242986238003	0.5732121628037941	0.0025668277045440002
4.0.5.0	-0.109354423681569	0.019875056518963003	0.586878122503393	0.002601244659212
5.0.	-0.12154434693571801	0.019178257031431	0.5997265235514231	0.0026395663528630004
5.0.5.0	-0.133714438849	0.018946435554397	0.6120875816675241	0.0026804216270780003
6.0.	-0.14586360887564	0.018993739683291003	0.624146682759634	0.0027231864327140003
6.0.5.0	-0.157990980475529	0.019212557771093	0.636010833835978	0.0027675888684570004
7.0.	-0.17009576151160002	0.0195397771016	0.647742438361074	0.002813546048925
7.0.5.0	-0.18217717000904202	0.019938429607359	0.6593776478683051	0.002861092533378
8.0.	-0.19423438437172502	0.020387254138937	0.6709367810922161	0.002910349140571
8.0.5.0	-0.206266503467253	0.02087461428814	0.6824303764103301	0.002961512768782
9.0.	-0.21827250816321603	0.021394936859155	0.6938627111109881	0.003014860193072
9.0.5.0	-0.230251217785845	0.021946672642971003	0.7052337803712131	0.0030707647716600004
10.0.	-0.24220123438725502	0.022531227479953002	0.7165402774221581	0.0031297294851420003
10.0.5.0	-0.25412086461389605	0.023152580238402002	0.727775838585181	0.0031924457903120002
11.0.	-0.266008001626367	0.023817505668810003	0.7389305962167301	0.003259899740826
11.0.5.0	-0.27785993269256504	0.024536549258008	0.7499898076537571	0.003333575780798
12.0.	-0.289672996034444	0.025326338314023002	0.760930766569465	0.003415891150954
12.0.5.0	-0.30144188780360204	0.026215057520617	0.7717155480331851	0.003511282249799
13.0.	-0.31315796020221703	0.027257888680532003	0.782270328905413	0.0036297426162700003
13.0.5.0	-0.32480307444583	0.028602640910195	0.792393449069099	0.0038069844665340005
14.0.	-0.275744787313047	0.181267348180728	0.024419351601330002	0.5700580875309871
14.0.5.0	-0.17934809601204701	0.601853926596992	0.074723475620352	0.0027706937947030003
15.0.	-0.17550380333328802	0.577115606377216	0.025454604914297	0.072933592041776
15.0.5.0	-0.183948860372038	0.455747303276106	0.22357065713419902	0.0046308999617340006
16.0.	-0.17650709711720602	0.509082293956587	0.16385796493238403	0.003566838228236
16.0.5.0	-0.16854650144395503	0.5729812590015471	0.09264409907182901	0.0029211433705780003
17.0.	-0.16311172613683703	0.5687458598084101	0.025577108940668003	0.06878875738775801
17.0.5.0	-0.17192355458004402	0.44345505880818104	0.224223949705899	0.004244546065962001
18.0.	-0.16312088081480802	0.5100715700161901	0.14965729546883302	0.0033920153297840004
18.0.5.0	-0.153622216288808	0.5917053166741321	0.058745687676227	0.003171211938448
19.0.	-0.16171791151550502	0.435314992344896	0.026658973725828	0.19974394544477903
19.0.5.0	-0.15547039170141402	0.47362377118569404	0.17826876658538202	0.0035778539303360003
20.0.	-0.144697831045022	0.565084627778079	0.076889834606627	0.0027233686603140004
20.0.5.0	-0.151625925113357	0.42241496626811104	0.02530561318162	0.203905345663624
21.0.	-0.14504963455574202	0.464814798721138	0.176721330009665	0.003513505824935
21.0.5.0	-0.13253533495154202	0.5738688650940631	0.053090649730719	0.005575820126757
22.0.	-0.144342950068494	0.38650169036096405	0.25363778262810605	0.004203477079423
22.0.5.0	-0.130909350216582	0.49124126538817203	0.13648839102166002	0.0031796938067470003
23.0.	-0.12541041087656601	0.461005485824781	0.024702764278978002	0.139702160772804
23.0.5.0	-0.12788223429067502	0.42917647653869	0.19516363139401402	0.003542126357966
24.0.	-0.112064901090103	0.5503734364379951	0.029007084753393003	0.032684379898712
24.0.5.0	-0.12316534537288801	0.38588098259448705	0.233553672457492	0.0037306903209040005
25.0.	-0.104361423652715	0.5427442174235341	0.05882865182493201	0.0027885544042450003
25.0.5.0	-0.11624980638323401	0.361602318599814	0.250885931574864	0.0037615562085510004
26.0.	-0.094324427666505	0.539658301716577	0.039605101755314	0.015061024194610001
26.0.5.0	-0.10614082926847501	0.36087151377305104	0.24163492159407401	0.0036343939013440004
27.0.	-0.09024496686538601	0.40327823881899005	0.024626002069266	0.162340725977127
27.0.5.0	-0.09023333663709501	0.40252082013766005	0.184409191871652	0.003303324627779
28.0.	-0.101920479315057	0.257800856236166	0.34025855743403605	0.00386106564485
28.0.5.0	-0.113508362689269	0.154903999961357	0.45496818968526404	0.003636173042643
29.0.	-0.12530986046201	0.08861869197007001	0.5335108601443861	0.0031803083475500002
29.0.5.0	-0.137292990667812	0.053839209685005	0.5805291568641551	0.002924624118647
30.0.	-0.14935637514396602	0.037353190286961005	0.609162136599195	0.002841048257806
30.0.5.0	-0.161439672537458	0.029340881586265	0.629265566428029	0.002833224523159
31.0.	-0.173518291149934	0.025311005052869002	0.645351847141829	0.0028554389552310003
31.0.5.0	-0.185582031368715	0.023302567961344	0.6593882973628421	0.002891166044524
32.0.	-0.197625922757102	0.022388988914765002	0.6723027174567131	0.002934216385618
32.0.5.0	-0.209647016023035	0.022096481738084	0.6845684285801451	0.002982105704801
33.0.	-0.22164317835947	0.022169458656419002	0.6964398702216751	0.00303384948137
33.0.5.0	-0.23361257025753202	0.022466195359993002	0.708057189976511	0.003089184921024
34.0.	-0.24555336709900502	0.02290799677856	0.719497080110662	0.0031482902097780003
34.0.5.0	-0.257463562921093	0.023452785581641003	0.730799065441305	0.0032117118981430004
35.0.	-0.269340777133514	0.024081065233591003	0.7419792897123331	0.0032804221875850003
35.0.5.0	-0.28118199692809304	0.024788968476879003	0.7530369970441051	0.003356031407105
36.0.	-0.29298314554688204	0.025586426286004	0.763955400294964	0.0034413189659090004
36.0.5.0	-0.304738199770325	0.026501549582957	0.7746949644145871	0.0035416857727760005
37.0.	-0.316436868532112	0.027600889899547003	0.7851655071231861	0.0036704715093740002
37.0.5.0	-0.328054318530128	0.029105032915366	0.7950581676099571	0.0038911180048000005
38.0.	-0.21612856181486903	0.35199565912721603	0.024453428202091003	0.339679474485558
38.0.5.0	-0.182710164239536	0.541436092381496	0.137906847929077	0.0033672239289600004
39.0.	-0.175507556796725	0.599070960538799	0.073683595987449	0.002753000270472
39.0.5.0	-0.17225461496906302	0.561562002676353	0.025179318430711	0.08551329386199301
40.0.	-0.17975805608887602	0.45676890578149504	0.21870976065857803	0.004279389648797
40.0.5.0	-0.17189088002198302	0.514813049028593	0.153618347648035	0.00345948334535
41.0.	-0.163458336630308	0.584669403871472	0.076036596801922	0.002752335956908
41.0.5.0	-0.16205690010682303	0.5169744712970951	0.024804875286731	0.12027755352299101
42.0.	-0.16640392072849303	0.457199233041703	0.20531872004	0.003885967646784
42.0.5.0	-0.157009236984321	0.5316959047526301	0.12216258296552401	0.0031507492661610004
43.0.	-0.148603670847534	0.572978756392542	0.026616594567960002	0.049008319887025004
43.0.5.0	-0.15872624666982602	0.42377026543178303	0.230840319448394	0.004115661789642001
44.0.	-0.14806860871209301	0.507140394916913	0.13768307500475901	0.003245138790414
44.0.5.0	-0.13821697833864202	0.5614830500964401	0.026516981048557	0.050216947193638006
45.0.	-0.148318434502206	0.41539685084071304	0.228977704421283	0.003943879240204
45.0.5.0	-0.135922024319538	0.515131512946109	0.11773562276280901	0.003054888610611
46.0.	-0.133493170957515	0.455142306576216	0.024651654923780002	0.153699209457511
46.0.5.0	-0.134225162525475	0.439242346172008	0.191428419106556	0.0035543972469040002
47.0.	-0.11945774770520501	0.5647943331518971	0.037313606286613	0.017349808266687
