time	species_10	species_11	species_13	species_14	species_15	species_17	species_18	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_27	species_28	species_29	species_30	species_31	species_33	species_34	species_4	species_5	species_6	species_7	species_8
0.0.	100.0	57516.0	10000.0	100	100	20.0	100.0	3150.0	0.0	20.0	100	100.0	100	100.0	0.0	9363.0	0.0	45.0	100	100	100	400.0	467.0	0.0	60000.0	0.0
7.0.	3.666666666666665	58407.50423452407	9879.289632862397	100	100	23.246903340746776	100.04256615967712	3118.672854532647	7.000975736978562	26.269393899338127	100	134.13964680813422	100	99.95159684090872	6.998968425772604	9506.130558275505	202.74254235699954	52.64268281165111	100	100	100	397.741508510856	463.82670555209626	2788.1261111969825	59255.813341195164	5400.193203913573
14.0.	3.666666666666579	59308.106344365704	9775.207530629661	100	100	23.03362146067669	100.1626936633896	3084.0932251680515	14.007769011423155	26.028176504134745	100	132.7944932871025	100	99.79961124337537	13.990808980350074	9652.896587707706	408.7658424839267	53.45622234907613	100	100	100	395.5762092617775	461.28679868479855	5559.491365446883	58631.562234027	10707.047494017932
21.0.	3.666666666752888	60139.01690928568	9692.433264902285	100	100	22.86640484814524	100.34043912705656	3055.441261657836	21.025094702875162	25.839048541815572	100	131.65696096660471	100	99.5622301546827	20.968923397063868	9788.307751776743	617.8179824189821	54.20683058507597	100	100	100	393.8430549872181	459.25314803930945	8317.197605989455	58135.109900548305	15933.89576172799
28.0.	3.666666666684358	60904.677559778065	9627.345768551488	100	100	22.737270178497035	100.5590708172643	3032.26960149092	28.056382196271166	25.69298333584574	100	130.69998958063837	100	99.2551105969118	27.927895664416585	9913.087294716759	829.6628402878466	54.89851410145443	100	100	100	392.47242414672223	457.6442932390081	11064.028847196076	57744.73804608303	21096.266721243777
35.0.	3.666666666694701	61609.419677615995	9576.866925562977	100	100	22.63944291487321	100.80481870885767	3013.8917346058856	35.103995292860105	25.582321086671005	100	129.89946105753657	100	98.89172635016126	34.86332750409505	10027.940606898395	1044.0796594958483	55.53518098431081	100	100	100	391.4037939410378	456.3893844119382	13802.31310986212	57441.98484917367	26207.5392557393
42.0.	3.666666666666967	62257.42728255501	9538.39179454672	100	100	22.567200688568338	101.06652979658918	2999.622030440537	42.16942752631553	25.500591491207974	100	129.23401153793918	100	98.48366120176907	41.77169606992185	10133.549158374093	1260.8625945624865	56.12060712206306	100	100	100	390.58503574427374	455.4273808703717	16533.98366257239	57211.22650472284	31279.021762596538
49.0.	3.6666666666666883	62852.7106733564	9509.72907281496	100	100	22.515740007012408	101.33532049532326	2988.817621489236	49.2534731519472	25.442363106779545	100	128.68487669994855	100	98.04086091181787	48.650230688262646	10230.566186425891	1479.8201463592936	56.65841222996905	100	100	100	389.97167687063984	454.7061940799815	19260.635301542665	57039.320128723615	36320.16121485097
56.0.	3.666666666666666	63399.08893129984	9489.044473503034	100	100	22.48104962938628	101.60424317021075	2980.897617725731	56.35637421167343	25.403100230450395	100	128.23567507122456	100	97.57185020843777	55.49680597855509	10319.613829979417	1700.774521153963	57.15204390648482	100	100	100	389.5260728533302	454.1817242614077	21983.57513565315	56915.26414026394	41338.77128837663
63.0.	3.666666666666665	63900.17952000869	9474.808893933046	100	100	22.45979476301007	101.86797834225332	2975.3503176731147	63.47794510559186	25.379031992621112	100	127.87216603440028	100	97.08392006748944	62.30984909556132	10401.281422788137	1923.5609413117309	57.60476812209809	100	100	100	389.21656549761553	453.8168782441851	24703.867503743106	56829.887383091685	46341.25643850365
