time	atp	fbp	phos
0.0.	1.0	2.0	10.0
0.0.3.0	0.8374032643348741	2.461511407616155	9.26870594891337
0.0.6.0	0.9047344703370551	2.859283090208293	8.50733806755753
0.0.8999999999999999.0	0.9567654465013211	3.204557230440861	7.926425540040115
1.0.2.0	0.9906236007680971	3.515710079521182	7.4778866492345974
1.0.5.0	1.013700927220928	3.803841434782718	7.122133490648535
1.0.7999999999999998.0	1.03047940454359	4.075438009137941	6.834554330337966
2.0.1.0	1.043499351784509	4.3343727264839025	6.599482573508448
2.0.4.0	1.054291938039363	4.582958365766442	6.406533749745143
2.0.6999999999999997.0	1.063850350464508	4.822507912234177	6.248635761008067
3.0.	1.072866995449735	5.053646382198115	6.120924157218325
3.0.3.0	1.081859646730591	5.2764910975094015	6.020088597565454
3.0.5999999999999996.0	1.091241739303813	5.490758884849337	5.943967892578933
3.0.9.0	1.10136223687534	5.695831684353919	5.891288089700858
4.0.2.0	1.112527290941719	5.890799094219473	5.861484359906051
4.0.5.0	1.125009716023464	6.074489992625158	5.854570581952617
4.0.8.0	1.139049305956672	6.245502193956621	5.871032540725221
5.0.1.0	1.154845657861648	6.402237414590019	5.911727222508226
5.0.3999999999999995.0	1.172544810726901	6.542947637977098	5.977774801772243
5.0.7.0	1.192221353864843	6.665797572162209	6.070433408872491
6.0.	1.213858503700056	6.768945767694068	6.190950889901279
6.0.3.0	1.237329690059542	6.850643840454077	6.340393259672768
6.0.6.0	1.262385988905306	6.909349245733533	6.519456473706498
6.0.8999999999999995.0	1.28865374790462	6.943842814698934	6.728275670085143
7.0.199999999999999.0	1.315645549155965	6.9533388937133	6.96625239845152
7.0.5.0	1.342785215191566	6.9375746585655715	7.231923314921516
7.0.8.0	1.369444447802282	6.896866833507946	7.52289156791466
8.0.1.0	1.3949859120503731	6.832128531948241	7.835834305705254
8.0.4.0	1.4188061669600192	6.7448451110793926	8.166588093570908
8.0.7.0	1.4403722998135922	6.63701402971923	8.510301778553332
9.0.	1.459248157303696	6.5110580756996335	8.861636945995288
9.0.299999999999999.0	1.47510880592713	6.369723119040885	9.214991815520225
9.0.6.0	1.4877443121339802	6.2159708589100084	9.564725504367747
9.0.9.0	1.497055460721844	6.052874687576022	9.905364619286386
10.0.2.0	1.503044475838978	5.883523847140098	10.231780910519632
10.0.5.0	1.505803406873368	5.710938381280681	10.539335185260406
10.0.799999999999999.0	1.505501986093242	5.537995489365243	10.823987522394411
11.0.1.0	1.502375823789884	5.367366910320968	11.082376587869586
11.0.4.0	1.496715031906025	5.201466772482841	11.311871704241264
11.0.7.0	1.488852888349097	5.042409676240394	11.510600831425634
12.0.	1.479154006471866	4.8919793159031375	11.677456450076045
12.0.299999999999999.0	1.468001626260041	4.7516084021861555	11.812080153128356
12.0.6.0	1.455784013814243	4.622370790026322	11.914826058244138
12.0.9.0	1.44288042233963	4.5049864259252885	11.986703259918151
13.0.2.0	1.429647487839846	4.399839013098648	12.029298495110337
13.0.5.0	1.4164071732075891	4.307005290229679	12.044681786906743
13.0.799999999999999.0	1.403437352542671	4.226293763279543	12.035299634979847
14.0.1.0	1.390965840531189	4.15728987684402	12.00386183135995
14.0.399999999999999.0	1.379168199195942	4.099404163803981	11.953228759220652
14.0.7.0	1.368169128301329	4.051919956304338	11.886305853292981
15.0.	1.3580468009996252	4.014037733293335	11.80595080300631
15.0.299999999999999.0	1.34883923517674	3.984913975102886	11.714897332898657
15.0.6.0	1.340551721016727	3.9636933062584	11.615697388122696
15.0.899999999999999.0	1.333164425774556	3.949533562362374	11.510681665625716
16.0.2.0	1.326639503331541	3.941624098722014	11.40193693755791
16.0.5.0	1.320927279355262	3.939198116779775	11.291297641061664
16.0.8.0	1.3159713084335372	3.94154002460693	11.180348754049247
17.0.099999999999998.0	1.311712276219402	3.947988909965034	11.070436947678324
17.0.4.0	1.3080908376759321	3.9579391427334913	10.962687272167742
17.0.7.0	1.305049546921284	3.970838990005694	10.858023063486053
18.0.	1.302534057195379	3.986187963700066	10.757187248528172
18.0.3.0	1.3004937649151191	4.003533456010865	10.660763702287582
18.0.599999999999998.0	1.2988820516998771	4.022467069480395	10.569197729508808
18.0.9.0	1.297656251586977	4.042620923831406	10.482815086683699
19.0.2.0	1.296777443236665	4.063664122757282	10.401839225620796
19.0.5.0	1.296210142007805	4.085299488862144	10.32640663419557
19.0.8.0	1.295921945816358	4.107260620406068	10.256580284662665
20.0.099999999999998.0	1.295883171975028	4.129309285479299	10.192361287503187
20.0.4.0	1.296066509435714	4.151233143932266	10.133698900766564
20.0.7.0	1.296446701417376	4.172843771570618	10.080499071102901
21.0.	1.297000266633238	4.19397495215131	10.032631691053492
21.0.3.0	1.297705262608638	4.2144811985486275	9.989936753698649
21.0.599999999999998.0	1.298541091374561	4.234236463577162	9.952229574880766
21.0.9.0	1.299488345708488	4.25313300225846	9.919305238073683
22.0.2.0	1.30052869275166	4.27108035001778	9.890942399722618
22.0.5.0	1.301644791023444	4.288004384853537	9.866906574975879
22.0.8.0	1.302820236411685	4.303846445560286	9.84695300609972
23.0.099999999999998.0	1.304039532527634	4.3185624823505755	9.830829199085892
23.0.4.0	1.305288080798533	4.332122220533881	9.818277198366953
23.0.7.0	1.306552185780649	4.344508322146285	9.809035655332014
24.0.	1.307819071379021	4.355715534489033	9.802841733576267
24.0.3.0	1.309076903937217	4.365749818355084	9.799432882552788
24.0.599999999999998.0	1.310314818497377	4.374627452241843	9.798548501520767
24.0.9.0	1.311522944917355	4.382374112016716	9.7999315073751
25.0.2.0	1.3126924309582702	4.3890239282810715	9.803329813055731
25.0.5.0	1.3138154599124081	4.394618526037201	9.808497717715934
25.0.8.0	1.314885260817681	4.39920605318143	9.815197205608584
26.0.099999999999998.0	1.315896109789058	4.402840205815166	9.8231991476457
26.0.4.0	1.31684332147745	4.405579259385296	9.832284397703804
26.0.7.0	1.317723230130332	4.407485115249337	9.842244774875967
27.0.	1.318533160163975	4.408622372432441	9.852883922889472
27.0.3.0	1.319271386554069	4.409057434137315	9.864018038683891
27.0.599999999999998.0	1.319937085700579	4.408857658026793	9.875476463539663
27.0.9.0	1.320530277716868	4.408090558472305	9.88710213201995
28.0.2.0	1.321051761327707	4.406823067904088	9.89875187619731
28.0.5.0	1.32150304273342	4.4051208631685235	9.910296585045577
28.0.799999999999997.0	1.321886259908204	4.403047761451627	9.921621221358292
29.0.099999999999998.0	1.322204103851853	4.400665188921818	9.932624700992712
29.0.4.0	1.322459738310109	4.39803172383178	9.943219641532501
29.0.7.0	1.3226567194255892	4.395202714445748	9.953331989529136
30.0.	1.322798916685856	4.392229970865078	9.962900537257898
