time	Delay01_mSHP1	Delay02_mSHP1	Delay03_mSHP1	Delay04_mSHP1	Delay05_mSHP1	Delay06_mSHP1	Delay07_mSHP1	Delay08_mSHP1	ERK1	ERK2	Epo	EpoR	JAK2	MEK1	MEK2	Raf	SHP1	SOS	actSHP1	mSHP1	mSOS	pERK1	pERK2	pEpoR	pJAK2	pMEK1	pMEK2	pRaf	pSOS	ppERK1	ppERK2	ppMEK1	ppMEK2
0.0.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	21.0	50	1.0	2.0	24.0	11.0	3.7719	10.7991	2.5101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0.6.0	0.027623993068824	0.0013888433725680002	5.758194855391545e-05	2.0348144389314127e-06	6.271202855026715e-08	1.7145610302669671e-09	4.213477259719786e-11	9.405233056777027e-13	6.999907242786743	20.99972720868371	50	0.539778772608635	1.38638574955327	23.998309000827966	10.996482886870417	3.771207872416359	10.339939222884274	2.50362598566017	1.958035273136023e-14	0.43008825944165	0.006473986946780001	9.274949554398401e-05	0.000272771075905	0.46022122739136406	0.613614250446729	0.00163435118819	0.0034785681589010005	0.0006921275836430001	2.739304825448375e-08	7.717715823731016e-09	2.024038606665527e-08	5.664798383343998e-05	3.8544970687876706e-05
1.0.2.0	0.26525258809783103	0.028749811633240002	0.0025019118370170003	0.000182758372869	1.153343034132482e-05	6.416838775775803e-07	3.195406189794807e-08	1.441009116735013e-09	6.973982024627829	20.923505037395593	50	0.11009898575651501	0.9610327232250261	23.978172545796145	10.954779132627612	3.768253758423471	8.68568370515629	2.492022028362214	6.159569394454741e-11	1.8167170163318551	0.010986382134471001	0.025617045642040003	0.07544217212581801	0.8899010142434841	1.038967276774975	0.014517513534741	0.039361877061378	0.0036462415765320002	0.007091589503312	0.000400929730136	0.001052790478588	0.007309940669086	0.00585899031101
1.0.7999999999999998.0	0.7487750050007841	0.13163477814608102	0.018138836767311	0.002067343035219	0.000201586716405	1.7213049953991304e-05	1.3091377912534198e-06	8.984379445114747e-08	6.744303649345181	20.250460807456893	50	0.011438631688598001	0.6661810366081721	23.93897127851401	10.87477951415532	3.767991492313131	6.874267224205336	2.386207024430328	5.940686767878907e-09	3.023996608156624	0.0005186725976260001	0.23128029275196701	0.6850602915261541	0.9885613683114021	1.333818963391828	0.023196928673319003	0.08682930747428001	0.003908507686874001	0.12337430297204201	0.024416057902853002	0.06447890101697701	0.03783179281264	0.038391178370394005
2.0.4.0	1.326721532412746	0.330805016985508	0.06364478137750801	0.010022173845068	0.001340238470319	0.000156090171128	1.6125187268252635e-05	1.498375362770234e-06	6.338916079292491	19.07196626332531	50	0.000744535644448	0.461791961568404	23.905092372800077	10.807294636522807	3.7687108165877232	5.385596254578107	2.259968537647749	1.3649227055972938e-07	3.680796152104698	0.00010469239742800001	0.543381021447068	1.615930806890273	0.9992554643555511	1.538208038431597	0.026121812782504004	0.11287532477527801	0.003189183412281	0.25002676995481804	0.11770289926044102	0.31210292978443005	0.068785814417388	0.07983003870191101
3.0.	1.8708351948717712	0.6101878719993611	0.152131408519179	0.030834154977995003	0.005280085695969001	0.0007843286009390001	0.000103020979893	1.2140655908165401e-05	5.924510064010232	17.877315566650747	50	3.523674240825319e-05	0.320111083879687	23.87803483309546	10.754751271582629	3.769332462271157	4.215386475751999	2.147934242411315	1.428827583041128e-06	3.913543889119389	4.5798319951370374e-05	0.8191832144020851	2.441521654295423	0.9999647632575921	1.679888916120314	0.028338273770113002	0.12841587870255802	0.002567537728847	0.36211995926872903	0.256306721587688	0.681162779053845	0.093626893134421	0.11683284971480601
3.0.5999999999999996.0	2.313874280304255	0.9364342767750461	0.28806500404676505	0.07172389843153301	0.015035784918353001	0.002726573096525	0.00043619194399800005	6.248782639841435e-05	5.574700650690478	16.874440872706067	50	2.6121217505382033e-06	0.22190018161707703	23.85664276505141	10.714331659493311	3.7698385252283533	3.299263282947872	2.04989339713644	9.117709247177989e-06	3.871469101999997	2.8074056363158236e-05	1.026287903021403	3.063492196642519	0.9999973878782491	1.7780998183829242	0.030666153051530004	0.139359233850465	0.0020614747716520003	0.460178528807192	0.399011446288124	1.062066930651429	0.11269108189703601	0.14630910665621902
4.0.2.0	2.631031672810832	1.27400047285209	0.467248844446898	0.13830405964654902	0.03438554045092	0.007380398056262001	0.0013951507061850002	0.00023582808200200002	5.305985575710069	16.10619695511021	50	6.126050410291958e-06	0.15382732578510702	23.839853418343576	10.683609950054501	3.770246172710185	2.5822351994795003	1.964268701091617	4.145142286042103e-05	3.662841382045883	2.0552176339223292e-05	1.17196446516191	3.502549772212655	0.999993873949589	1.8461726742148952	0.033250223928990005	0.148155713869728	0.001653827289819	0.54581074673204	0.522049959128026	1.3912532726771611	0.12689635772742702	0.168234336075779
4.0.8.0	2.822399159526886	1.592751842737069	0.6792000369124981	0.233292195368157	0.06719373926404701	0.016683797036349	0.003643821374862	0.000710854872215	5.112254763331302	15.552977445983407	50	2.220604969870172e-05	0.106662624066631	23.82679223826599	10.660652099486992	3.770573400463725	2.021044099980444	1.8895305002931102	0.00014735434692100002	3.362033098580538	1.6721366928485532e-05	1.270791013151274	3.80134189625831	0.9999777939503011	1.893337375933371	0.036118959349473005	0.15585922069489602	0.001326599536281	0.620552778339958	0.616954223517422	1.645680657758312	0.13708880238455	0.183488679818117
5.0.3999999999999995.0	2.901296877617225	1.8707852606122781	0.9100742793881981	0.35610530490169	0.116702373728502	0.032934937567353	0.008168140701254	0.001807968756149	4.981152344132892	15.178860589590073	50	6.699916337276573e-05	0.07403623691907	23.816753970533544	10.643925576777391	3.770835656386755	1.5818291023133582	1.824312508347092	0.000434865121365	3.018960889292612	1.4570229683146071e-05	1.335492471249536	3.9972397300420193	0.9999330008366261	1.925963763080932	0.039269266802273	0.16292758788601802	0.0010643436132530002	0.6857729214232221	0.683355184617571	1.823899680367938	0.143976762664197	0.193146835336603
