	Ta	Tastarstar	Tm	Tmstarstar	Ttot	Tv	V
0	10.0	0.0	540.0	0.0	1000.0	450.0	5e-05
1	9.979012444800677	6.93619914808504e-09	539.8809337023805	6.443018965469563e-07	998.2196978582414	448.35975105982243	2.7122318940956367e-06
2	9.965032569042828	1.075115831341495e-08	539.4075844310912	9.987701054725747e-07	996.7941914603556	447.4215734507008	4.2170788572069984e-06
3	9.951604835522067	1.6705485054101456e-08	538.7965750118252	1.5521513424172711e-06	995.4393509083073	446.69116949210354	6.58018067497097e-06
4	9.938093998397429	2.6069967224022222e-08	538.1253689604903	2.42306119156151e-06	994.0778534479304	446.0143880399117	1.0324490004354271e-05
5	9.923871421671405	4.094490285883442e-08	537.4132572698778	3.8067615591596006e-06	992.6443966401787	445.3072641009232	1.63528396853771e-05
6	9.908356749264996	6.483395594736097e-08	536.6524032802831	6.03033245843176e-06	991.075913314803	444.51514719008867	2.6148364070808983e-05
7	9.89092303521347	1.0369673834514971e-07	535.8218207537623	9.650064479450315e-06	989.3080521694218	443.59529862668506	4.229609243533216e-05
8	9.870887008615675	1.6778344674122987e-07	534.8929088053949	1.562339597130305e-05	987.271009857178	442.50719825198826	6.932575020563727e-05
9	9.847444021911627	2.7509016210896043e-07	533.8310276821059	2.5632791354878634e-05	984.8840529622858	441.20555535038744	0.00011529549350551872
10	9.819658630011324	4.5763585873725025e-07	532.5949507623034	4.2673919406266665e-05	982.0502789191386	439.63562639526964	0.0001948560072116635
11	9.786360328936405	7.734522440598456e-07	531.1348938141095	7.218080148558809e-05	978.6503354747575	437.7290083774587	0.00033502724157759636
12	9.746149170250918	1.3294614246980906e-06	529.3903949997666	0.0001241735748180274	974.5412272012375	435.40455752818485	0.0005866020238298058
13	9.697231973677283	2.325910407147583e-06	527.2870697812851	0.00021743248681986902	969.539063641546	432.55454212818734	0.0010466973594336142
14	9.6374210988369	4.143615776270195e-06	524.7327075979731	0.0003876987144634948	963.4200567094373	429.0495361702978	0.001904021264976294
15	9.564006081177887	7.517267528667879e-06	521.6132107804384	0.0007039695221625047	955.9072526156455	424.7293242672407	0.0035309737325657166
16	9.473691907845197	1.3881311670891115e-05	517.7884119988734	0.0013010284975687124	946.6647412559672	419.4013224394406	0.006672020322610165
17	9.362554313498453	2.6061800322284393e-05	513.0882396666063	0.0024445100650294723	935.2942557907427	412.84099123877354	0.012830690595943009
18	9.22605356180041	4.965433417765722e-05	507.31058932982	0.004660433856675033	921.3384048762232	404.79705189641305	0.025062715961774
19	9.059194305050394	9.573166943336078e-05	500.22305421473703	0.00898951431242529	904.2997701679898	395.00843640222143	0.04958346875108369
20	8.856787693706776	0.00018603891351237154	491.5693882783468	0.01747436681435167	883.6737503813313	383.22991400355147	0.09896211389556583
21	8.613978032242896	0.0003625671460344445	481.08457001750185	0.03405524092631255	859.0083777328689	369.27541187505375	0.1982415556389817
22	8.326957335841628	0.0007041510878737677	468.5196212737173	0.06611717587745827	829.9937963233136	353.0803963867908	0.39606072171332085
23	7.993735619157393	0.0013526850022855987	453.67549255046606	0.1269202704632507	796.5518514593784	334.75435033429073	0.7832786987088154
24	7.614775829587422	0.002548778255881164	436.43888837259476	0.23887338259304616	758.918915290732	314.6238289277022	1.5205310429429153
25	7.193302965089579	0.004668213738339638	416.8127524141731	0.4368110196288233	717.6841477417022	293.23661312907336	2.8711537928420414
26	6.7352299062932035	0.008234388558845182	394.9330757989167	0.7689285683392233	673.7624924240876	271.31702376198047	5.224602683596106
27	6.248956011566423	0.013862654109297923	371.07200972810944	1.2912963326235176	628.3022195717249	249.6760948453169	9.078782650184774
28	5.745432741476893	0.02208984446411989	345.6369168042943	2.0517812376960123	582.5590063726296	229.1027857446991	14.939527731833397
29	5.2385681146431216	0.033089243014098595	319.17798903382806	3.0637677248375454	537.7798320388872	210.26641792256524	23.117892701828858
30	4.745205707409712	0.04638255097872261	292.3993585204628	4.280403439495413	495.120074353237	193.64872413489147	33.48297143133692
31	4.2835441589045695	0.06076252483336278	266.14097883560436	5.589008066550105	455.5916287796136	179.51733519372192	45.32407922448772
32	3.869774294794806	0.07458281724674999	241.29522297234718	6.83908669442977	420.00782940034463	167.92916262152673	57.47697787935737
33	3.514591111748463	0.0863115074626797	218.66464182888583	7.893183454034501	388.92166007587815	158.7629321737473	68.70012113226515
34	3.2215599935385963	0.09502172831058273	198.82154272384423	8.670440651814639	362.5753677864272	151.76680268891963	78.08561711915884
35	2.9878541729755126	0.10055788261214557	182.0334717765607	9.160032243924672	340.8919319293834	146.61001585331084	85.27592945838846
36	2.8063853505734926	0.10337570277464558	168.2744504707373	9.405504703070788	323.5201979713667	142.93048174421102	90.42555603486936
37	2.668008240502047	0.10424184883601016	157.293865181951	9.477285389412446	309.9145577735913	140.3711571128904	94.01286979667653
38	2.563172972067102	0.10396535618784174	148.70384726765488	9.448663177249866	299.4244200862211	138.60477131306203	96.63504880976333
39	2.482928406523256	0.10323638608828187	142.05710648144552	9.381641893510697	291.37343631286006	137.34852314529292	98.86169512691474
40	2.4194450966381313	0.10256564674385318	136.90423438128224	9.321808802036891	285.1192796258215	136.3712256991209	101.16153713110168
41	2.366243206866095	0.10228622100761013	132.83071717561236	9.298695044873671	280.0931269158518	135.49518526749264	103.88112343352687
42	2.318249728995639	0.10258267023551403	129.4780983938991	9.328486539771827	275.82170382336625	134.59428649046487	107.25150894172732
43	2.2717646091301433	0.10352553697205907	126.55410321787264	9.417151838182976	271.9358976354211	133.58935243326414	111.40421993552553
